Name,At-Bats,Rank
Pete Rose,"14,053",1
Hank Aaron,"12,364",2
Carl Yastrzemski,"11,988",3
Cal Ripken Jr.,"11,551",4
Ty Cobb,"11,434",5
Albert Pujols,"11,421",6
Eddie Murray,"11,336",7
Derek Jeter,"11,195",8
Adrián Beltré,"11,068",9
Robin Yount,"11,008",10
Dave Winfield,"11,003",11
Stan Musial,"10,972",12
Rickey Henderson,"10,961",13
Willie Mays,"10,881",14
Craig Biggio,"10,876",15
Paul Molitor,"10,835",16
Brooks Robinson,"10,654",17
Omar Vizquel,"10,586",18
Alex Rodriguez,"10,566",19
Rafael Palmeiro,"10,472",20
Honus Wagner,"10,430",21
Miguel Cabrera,"10,356",22
George Brett,"10,349",23
Lou Brock,"10,332",24
Luis Aparicio,"10,230",25
Tris Speaker,"10,195",26
Al Kaline,"10,116",27
Rabbit Maranville,"10,078",28
Frank Robinson,"10,006",29
Eddie Collins,"9,949",30
Ichiro Suzuki,"9,934",31
Andre Dawson,"9,927",32
Harold Baines,"9,908",33
Reggie Jackson,"9,864",34
Barry Bonds,"9,847",35
"Ken Griffey, Jr.","9,801",36
Tony Perez,"9,778",37
Carlos Beltran,"9,768",38
Johnny Damon,"9,736",39
Rusty Staub,"9,720",40
Vada Pinson,"9,645",41
Ivan Rodriguez,"9,592",42
Nap Lajoie,"9,589",43
Sam Crawford,"9,570",44
Jake Beckley,"9,526",45
Paul Waner,"9,459",46
Mel Ott,"9,456",47
Roberto Clemente,"9,454",48
Ernie Banks,"9,421",49
Bill Buckner,"9,397",50
Steve Finley,"9,397",
Ozzie Smith,"9,396",52
Max Carey,"9,363",53
Dave Parker,"9,358",54
Billy Williams,"9,350",55
Rod Carew,"9,315",56
Jimmy Rollins,"9,294",57
Tony Gwynn,"9,288",58
Joe Morgan,"9,277",59
Sam Rice,"9,269",60
Nellie Fox,"9,232",61
Gary Sheffield,"9,217",62
Wade Boggs,"9,180",63
Willie Davis,"9,174",64
Luis Gonzalez,"9,157",65
Doc Cramer,"9,140",66
Frankie Frisch,"9,112",67
Zack Wheat,"9,106",68
Cap Anson,"9,101",69
Roberto Alomar,"9,073",70
Lave Cross,"9,072",71
Al Oliver,"9,049",72
Bill Dahlen,"9,031",73
George Davis,"9,031",
Dwight Evans,"8,996",75
Buddy Bell,"8,995",76
Graig Nettles,"8,986",77
Chipper Jones,"8,984",78
Darrell Evans,"8,973",79
Gary Gaetti,"8,951",80
Tim Raines,"8,872",81
Charlie Gehringer,"8,860",82
Torii Hunter,"8,857",83
Luke Appling,"8,856",84
Steve Garvey,"8,835",85
Sammy Sosa,"8,813",86
Tommy Corcoran,"8,804",87
Harry Hooper,"8,785",88
Robinson Cano,"8,773",89
Al Simmons,"8,759",90
Fred McGriff,"8,757",91
Carlton Fisk,"8,756",92
Mickey Vernon,"8,731",93
Dave Concepcion,"8,723",94
Bert Campaneris,"8,684",95
Ted Simmons,"8,680",96
Julio Franco,"8,677",97
Chili Davis,"8,673",98
Goose Goslin,"8,656",99
Garret Anderson,"8,640",100
David Ortiz,"8,640",
Bobby Wallace,"8,618",102
Willie Keeler,"8,591",103
Lou Whitaker,"8,570",104
Fred Clarke,"8,568",105
Eddie Mathews,"8,537",106
Jeff Kent,"8,498",107
Bobby Abreu,"8,480",108
Red Schoendienst,"8,479",109
Miguel Tejada,"8,434",110
Joe Carter,"8,422",111
Jim Thome,"8,422",
Jesse Burkett,"8,421",113
Larry Bowa,"8,418",114
Babe Ruth,"8,399",115
Paul Konerko,"8,393",116
Ryne Sandberg,"8,385",117
Richie Ashburn,"8,365",118
Mike Schmidt,"8,352",119
Nick Markakis,"8,302",120
Bid McPhee,"8,291",121
Alan Trammell,"8,288",122
Marquis Grissom,"8,275",123
George Sisler,"8,267",124
B.J. Surhoff,"8,258",125
Manny Ramirez,"8,244",126
Jim Rice,"8,225",127
Frank Thomas,"8,199",128
Don Baylor,"8,198",129
Willie McCovey,"8,197",130
Brett Butler,"8,180",131
Rogers Hornsby,"8,173",132
Jimmy Ryan,"8,164",133
Vladimir Guerrero,"8,155",134
Harmon Killebrew,"8,147",135
Ron Santo,"8,143",136
Edgar Renteria,"8,142",137
Aramis Ramirez,"8,136",138
Jimmie Foxx,"8,134",139
Kenny Lofton,"8,120",140
Andrew McCutchen,"8,115",141
Mickey Mantle,"8,102",142
Tim Wallach,"8,099",143
Andres Galarraga,"8,096",144
Mark Grace,"8,065",145
Pee Wee Reese,"8,058",146
Jimmy Dykes,"8,046",147
Ruben Sierra,"8,044",148
George Van Haltren,"8,021",149
Willie Randolph,"8,018",150
Lou Gehrig,"8,001",151
Joe Kuhel,"7,984",152
Carlos Lee,"7,983",153
Gary Carter,"7,971",154
Todd Helton,"7,962",155
Dale Murphy,"7,960",156
Tommy Leach,"7,959",157
Enos Slaughter,"7,946",158
Barry Larkin,"7,937",159
Orlando Cepeda,"7,927",160
Willie Stargell,"7,927",
Michael Young,"7,918",162
Jose Cruz,"7,917",163
Charlie Grimm,"7,917",
Tony Fernandez,"7,911",165
Joe Judge,"7,898",166
Joe Torre,"7,874",167
Bernie Williams,"7,869",168
Frank White,"7,859",169
Brian Downing,"7,853",170
Stuffy McInnis,"7,822",171
Yadier Molina,"7,817",172
Freddie Freeman,"7,807",173
Jeff Bagwell,"7,797",174
Harry Heilmann,"7,787",175
Elvis Andrus,"7,772",176
Lloyd Waner,"7,772",
Bill Mazeroski,"7,755",178
Alfonso Soriano,"7,750",179
Willie Wilson,"7,731",180
Garry Templeton,"7,721",181
Roger Connor,"7,719",182
Billy Herman,"7,707",183
Ted Williams,"7,706",184
Tony Taylor,"7,680",185
Herman Long,"7,674",186
Jake Daubert,"7,673",187
Johnny Bench,"7,658",188
Heinie Manush,"7,654",189
Don Kessinger,"7,651",190
Carlos Santana,"7,650",191
Ed Konetchy,"7,649",192
Willie McGee,"7,649",
Joe Medwick,"7,635",194
Dick Bartell,"7,629",195
Jason Kendall,"7,627",196
John Ward,"7,618",197
Tony Phillips,"7,617",198
Lee May,"7,609",199
Jimmy Sheckard,"7,605",200
Andruw Jones,"7,599",201
Fred Tenney,"7,595",202
John Olerud,"7,592",203
Maury Wills,"7,588",204
Jose Altuve,"7,583",205
Joe Cronin,"7,579",206
Todd Zeile,"7,573",207
Chris Chambliss,"7,571",208
Pie Traynor,"7,559",209
Orlando Cabrera,"7,558",210
Yogi Berra,"7,555",211
Jose Reyes,"7,552",212
Juan Pierre,"7,525",213
Ed Delahanty,"7,505",214
Nelson Cruz,"7,501",215
Patsy Donovan,"7,496",216
Dick Groat,"7,484",217
Jim Bottomley,"7,471",218
Raul Ibanez,"7,471",
Ken Boyer,"7,455",220
Kid Gleason,"7,452",221
Sherry Magee,"7,441",222
George Scott,"7,433",223
Ian Kinsler,"7,423",224
Hal Chase,"7,417",225
Ray Durham,"7,408",226
Toby Harrah,"7,402",227
Jim O'Rourke,"7,399",228
Jay Bell,"7,398",229
Scott Rolen,"7,398",
Paul Goldschmidt,"7,394",231
Royce Clayton,"7,379",232
