Name,Base on Balls,Rank
Barry Bonds,"2,558",1
Rickey Henderson,"2,190",2
Babe Ruth,"2,062",3
Ted Williams,"2,021",4
Joe Morgan,"1,865",5
Carl Yastrzemski,"1,845",6
Jim Thome,"1,747",7
Mickey Mantle,"1,733",8
Mel Ott,"1,708",9
Frank Thomas,"1,667",10
Eddie Yost,"1,614",11
Darrell Evans,"1,605",12
Stan Musial,"1,599",13
Pete Rose,"1,566",14
Harmon Killebrew,"1,559",15
Chipper Jones,"1,512",16
Lou Gehrig,"1,508",17
Mike Schmidt,"1,507",18
Eddie Collins,"1,499",19
Bobby Abreu,"1,476",20
Gary Sheffield,"1,475",21
Willie Mays,"1,464",22
Jimmie Foxx,"1,452",23
Eddie Mathews,"1,444",24
Frank Robinson,"1,420",25
Wade Boggs,"1,412",26
Hank Aaron,"1,402",27
Jeff Bagwell,"1,401",28
Dwight Evans,"1,391",29
Tris Speaker,"1,381",30
Reggie Jackson,"1,375",31
Albert Pujols,"1,373",32
Jason Giambi,"1,366",33
Joey Votto,"1,365",34
Rafael Palmeiro,"1,353",35
Willie McCovey,"1,345",36
Alex Rodriguez,"1,338",37
Todd Helton,"1,335",38
Eddie Murray,"1,333",39
Tim Raines,"1,330",40
Manny Ramirez,"1,329",41
David Ortiz,"1,319",42
Tony Phillips,"1,319",
Adam Dunn,"1,317",44
Mark McGwire,"1,317",
"Ken Griffey, Jr.","1,312",46
Carlos Santana,"1,311",47
Fred McGriff,"1,305",48
Luke Appling,"1,302",49
Edgar Martinez,"1,283",50
Al Kaline,"1,277",51
John Olerud,"1,275",52
Ken Singleton,"1,263",53
Jack Clark,"1,262",54
Miguel Cabrera,"1,258",55
Rusty Staub,"1,255",56
Ty Cobb,"1,249",57
Willie Randolph,"1,243",58
Jimmy Wynn,"1,224",59
Dave Winfield,"1,216",60
Pee Wee Reese,"1,210",61
Lance Berkman,"1,201",62
Richie Ashburn,"1,198",63
Brian Downing,"1,197",64
Lou Whitaker,"1,197",
Chili Davis,"1,194",66
Billy Hamilton,"1,187",67
Charlie Gehringer,"1,186",68
Brian Giles,"1,183",69
Craig Biggio,"1,160",70
Donie Bush,"1,158",71
Luis Gonzalez,"1,155",72
Max Bishop,"1,153",73
Toby Harrah,"1,153",
Andrew McCutchen,"1,145",75
Harry Hooper,"1,136",76
Jimmy Sheckard,"1,135",77
Brett Butler,"1,129",78
Cal Ripken Jr.,"1,129",
Carlos Delgado,"1,109",80
Ron Santo,"1,108",81
George Brett,"1,096",82
Paul Molitor,"1,094",83
Lu Blue,"1,092",84
Stan Hack,"1,092",
Paul Waner,"1,091",86
Graig Nettles,"1,088",87
Bobby Grich,"1,087",88
Carlos Beltran,"1,084",89
Derek Jeter,"1,082",90
Mark Grace,"1,075",91
Bob Johnson,"1,075",
Robin Ventura,"1,075",
Paul Goldschmidt,"1,074",94
Ozzie Smith,"1,072",95
Harlond Clift,"1,070",96
Bryce Harper,"1,070",
Keith Hernandez,"1,070",
Bernie Williams,"1,069",99
Bill Dahlen,"1,064",100
Harold Baines,"1,062",101
Joe Cronin,"1,059",102
Ron Fairly,"1,052",103
Billy Williams,"1,045",104
Norm Cash,"1,043",105
Eddie Joost,"1,043",
Roy Thomas,"1,042",107
Max Carey,"1,040",108
Freddie Freeman,"1,038",109
Rogers Hornsby,"1,038",
Jim Gilliam,"1,036",111
Roberto Alomar,"1,032",112
Jose Bautista,"1,032",
Sal Bando,"1,031",114
Jesse Burkett,"1,029",115
Omar Vizquel,"1,028",116
Rod Carew,"1,018",117
Enos Slaughter,"1,018",
Ron Cey,"1,012",119
Ralph Kiner,"1,011",120
Mike Trout,"1,006",121
Dummy Hoy,"1,004",122
Johnny Damon,"1,003",123
Miller Huggins,"1,003",
Roger Connor,"1,002",125
Boog Powell,"1,001",126
Jim Edmonds,998,127
Eddie Stanky,996,128
Cupid Childs,991,129
Dale Murphy,986,130
Gene Tenace,984,131
Bid McPhee,981,132
Joe Kuhel,980,133
Earl Torgeson,980,
Augie Galan,979,135
Duke Snider,971,136
Tim Salmon,970,137
Bob Elliott,967,138
Robin Yount,966,139
Mike Hargrove,965,140
Joe Judge,965,
Buddy Myer,965,
Honus Wagner,963,143
Brady Anderson,960,144
Jimmy Dykes,958,145
Mickey Vernon,955,146
Cap Anson,952,147
Rocky Colavito,951,148
Goose Goslin,949,149
Mickey Tettleton,949,
Dolph Camilli,947,151
Kenny Lofton,945,152
Todd Zeile,945,
Gil Hodges,943,154
