Name,Batting Average,Rank
Ty Cobb,.366 (.36636),1
Rogers Hornsby,.358 (.35850),2
Joe Jackson,.356 (.35575),3
Ed Delahanty,.346 (.34590),4
Tris Speaker,.345 (.34468),5
Ted Williams,.344 (.34441),6
Billy Hamilton,.344 (.34429),7
Babe Ruth,.342 (.34206),8
Harry Heilmann,.342 (.34159),9
Pete Browning,.341 (.34149),10
Willie Keeler,.341 (.34129),11
Bill Terry,.341 (.34116),12
George Sisler,.340 (.34015),13
Lou Gehrig,.340 (.34008),14
Nap Lajoie,.339 (.33914),15
Jesse Burkett,.338 (.33844),16
Tony Gwynn,.338 (.33818),17
Riggs Stephenson,.336 (.33607),18
Dan Brouthers,.335 (.33509),19
Al Simmons,.334 (.33417),20
John McGraw,.334 (.33359),21
Paul Waner,.333 (.33323),22
Eddie Collins,.333 (.33310),23
Mike Donlin,.333 (.33264),24
Cap Anson,.331 (.33084),25
Stan Musial,.331 (.33084),
Heinie Manush,.330 (.32976),27
Honus Wagner,.329 (.32886),28
Wade Boggs,.328 (.32789),29
Rod Carew,.328 (.32775),30
Sam Thompson,.327 (.32712),31
Tip O'Neill,.326 (.32573),32
Bob Fothergill,.325 (.32548),33
Jimmie Foxx,.325 (.32530),34
Earle Combs,.325 (.32475),35
Joe DiMaggio,.325 (.32459),36
Babe Herman,.324 (.32447),37
Hugh Duffy,.324 (.32406),38
Joe Medwick,.324 (.32364),39
Edd Roush,.323 (.32269),40
Sam Rice,.322 (.32226),41
Ross Youngs,.322 (.32224),42
Kiki Cuyler,.321 (.32104),43
Charlie Gehringer,.320 (.32043),44
Chuck Klein,.320 (.32007),45
Pie Traynor,.320 (.31962),46
Mickey Cochrane,.320 (.31960),47
Ken Williams,.319 (.31921),48
Kirby Puckett,.318 (.31806),49
Earl Averill,.318 (.31780),50
Vladimir Guerrero,.318 (.31760),51
Arky Vaughan,.318 (.31758),52
Roberto Clemente,.317 (.31733),53
Chick Hafey,.317 (.31697),54
Joe Kelley,.317 (.31687),55
Zack Wheat,.317 (.31671),56
George Van Haltren,.317 (.31654),57
Lloyd Waner,.316 (.31639),58
Todd Helton,.316 (.31638),59
Frankie Frisch,.316 (.31607),60
Goose Goslin,.316 (.31597),61
Bibb Falk,.314 (.31449),62
Cecil Travis,.314 (.31420),63
Hank Greenberg,.313 (.31350),64
Jack Fournier,.313 (.31317),65
Elmer Flick,.313 (.31302),66
Nomar Garciaparra,.313 (.31275),67
Larry Walker,.313 (.31273),68
Bill Dickey,.313 (.31254),69
Dale Mitchell,.312 (.31225),70
Manny Ramirez,.312 (.31223),71
Johnny Mize,.312 (.31212),72
Joe Sewell,.312 (.31211),73
Fred Clarke,.312 (.31186),74
Barney McCosky,.312 (.31184),75
Edgar Martinez,.312 (.31152),76
Hughie Jennings,.311 (.31138),77
Freddie Lindstrom,.311 (.31135),78
Bing Miller,.311 (.31133),79
Jackie Robinson,.311 (.31126),80
Baby Doll Jacobson,.311 (.31124),81
Taffy Wright,.311 (.31119),82
Rip Radcliff,.311 (.31100),83
Ichiro Suzuki,.311 (.31095),84
Ginger Beaumont,.311 (.31078),85
Denny Lyons,.310 (.31043),86
Elmer Smith,.310 (.31042),87
Luke Appling,.310 (.31041),88
Irish Meusel,.310 (.31041),
Bobby Veach,.310 (.30995),90
Roger Connor,.310 (.30988),91
Jim Bottomley,.310 (.30960),92
John Stone,.310 (.30952),93
Derek Jeter,.310 (.30951),94
Sam Crawford,.309 (.30940),95
Bob Meusel,.309 (.30922),96
Magglio Ordonez,.309 (.30897),97
Jack Tobin,.309 (.30871),98
Spud Davis,.308 (.30834),99
Mike Piazza,.308 (.30777),100
Richie Ashburn,.308 (.30771),101
Jimmy Ryan,.308 (.30769),102
Jake Beckley,.308 (.30758),103
Stuffy McInnis,.307 (.30747),104
Don Mattingly,.307 (.30744),105
Joe Vosmik,.307 (.30738),106
Home Run Baker,.307 (.30715),107
George Burns,.307 (.30701),108
Matty Alou,.307 (.30696),109
Hack Wilson,.307 (.30693),110
Mike Tiernan,.307 (.30678),111
Johnny Pesky,.307 (.30664),112
Jim O'Rourke,.307 (.30653),113
Miguel Cabrera,.306 (.30649),114
George Kell,.306 (.30648),115
Joe Mauer,.306 (.30635),116
Paul Molitor,.306 (.30632),117
Dixie Walker,.306 (.30623),118
Cupid Childs,.306 (.30616),119
Ernie Lombardi,.306 (.30606),120
Ralph Garr,.306 (.30579),121
Hank Aaron,.305 (.30500),122
Chick Stahl,.305 (.30499),123
George Brett,.305 (.30476),124
Jose Altuve,.305 (.30463),125
Bill Madlock,.305 (.30452),126
Rusty Greer,.305 (.30452),
Billy Herman,.304 (.30427),128
Tony Oliva,.304 (.30424),129
Hal Morris,.304 (.30415),130
Mel Ott,.304 (.30415),
Manny Mota,.304 (.30405),132
Curt Walker,.304 (.30362),133
Chipper Jones,.303 (.30343),134
Will Clark,.303 (.30336),135
Charlie Jamieson,.303 (.30335),136
Moises Alou,.303 (.30325),137
Cy Seymour,.303 (.30324),138
Mark Grace,.303 (.30316),139
Jake Daubert,.303 (.30314),140
Al Oliver,.303 (.30313),141
George Harper,.303 (.30312),142
Henry Larkin,.303 (.30288),143
Steve Brodie,.303 (.30286),144
Pete Rose,.303 (.30285),145
Mike Greenwell,.303 (.30283),146
Buddy Myer,.303 (.30278),147
Harvey Kuenn,.303 (.30262),148
