Name,Caught Stealing,Rank
Rickey Henderson,335,1
Ty Cobb,318,2
Lou Brock,307,3
Brett Butler,257,4
Max Carey,246,5
Tris Speaker,239,6
Maury Wills,208,7
Juan Pierre,203,8
Bert Campaneris,199,9
Rod Carew,187,10
Otis Nixon,186,11
Omar Moreno,182,12
Cesar Cedeno,179,13
Steve Sax,178,14
Vince Coleman,177,15
Eddie Collins,173,16
Bobby Bonds,169,17
Eric Young,168,18
Omar Vizquel,167,19
Rabbit Maranville,163,20
Joe Morgan,162,21
Bill North,162,
Kenny Lofton,160,23
Stan Hack,153,24
Pete Rose,149,25
Ozzie Smith,148,26
Delino DeShields,147,27
Tim Raines,146,28
Luis Polonia,145,29
Sam Rice,143,30
Juan Samuel,143,
Luis Castillo,142,32
Ron LeFlore,142,
Barry Bonds,141,34
Lonnie Smith,140,35
George Burns,139,36
Jose Cardenal,139,
Dave Collins,139,
Tony Fernandez,138,39
Harold Reynolds,138,
Luis Aparicio,136,41
Jose Cruz,136,
Ben Chapman,135,43
Wally Pipp,135,
Alfredo Griffin,134,45
Claudell Washington,134,
Willie Wilson,134,
Willie Davis,131,48
Paul Molitor,131,
Freddie Patek,131,
Cy Williams,131,
Minnie Minoso,130,52
Garry Templeton,129,53
Bobby Abreu,128,54
Jose Reyes,127,55
George Sisler,127,
Tony Gwynn,125,57
Sparky Adams,124,58
Craig Biggio,124,
Enos Cabell,124,
Vada Pinson,122,61
Harry Hooper,121,62
Willie McGee,121,
Don Baylor,120,64
Chone Figgins,119,65
Mark McLemore,119,
Steve Finley,118,67
Tom Goodwin,118,
Pat Kelly,118,
Chuck Knoblauch,117,70
Ray Lankford,117,
Babe Ruth,117,
Ichiro Suzuki,117,
Roy White,117,
Marquis Grissom,116,75
Tommy Harper,116,
Carl Yastrzemski,116,
Elvis Andrus,115,78
Reggie Jackson,115,
Reggie Sanders,115,
Roberto Alomar,114,81
Davey Lopes,114,
Tony Phillips,114,
Dave Parker,113,84
Lenny Randle,112,85
Ray Chapman,111,86
Jim Gilliam,111,
Tony Taylor,111,
Charlie Jamieson,110,89
George Case,109,90
Dave Concepcion,109,
Carl Crawford,109,
Andre Dawson,109,
Buddy Myer,109,
Alan Trammell,109,
Luke Appling,108,96
Rajai Davis,108,
Ozzie Guillen,108,
Del Pratt,108,
Edgar Renteria,108,
Cesar Tovar,108,
Julio Franco,107,102
Darren Lewis,107,
Ryne Sandberg,107,
Sammy Sosa,107,
Frank Taveras,106,106
Ken Williams,106,
Larry Bowa,105,108
Don Buford,105,
Phil Garner,105,
Lance Johnson,105,
Bob Meusel,105,
Johnny Mostil,105,
Jimmy Rollins,105,
Robin Yount,105,
Carney Lansford,104,116
Gary Pettis,104,
Scott Podsednik,104,
Gary Sheffield,104,
Johnny Damon,103,120
Willie Mays,103,
Fred Merkle,103,
Ron Gant,102,123
Dee Strange-Gordon,102,
Lou Gehrig,101,125
Jimmy Wynn,101,
Brady Anderson,100,127
Royce Clayton,100,
Starling Marte,100,
Jose Offerman,100,
Bobby Tolan,100,
Rogers Hornsby,99,132
Torii Hunter,99,
Terry Puhl,99,
Jerry Remy,99,
Darryl Strawberry,99,
Chad Curtis,98,137
Chili Davis,98,
Devon White,98,
Mookie Wilson,98,
George Brett,97,141
Ray Durham,97,
Von Hayes,97,
Derek Jeter,97,
Greg Gagne,96,145
Dave Winfield,96,
Jose Altuve,95,147
Bip Roberts,95,
Jerry Royster,95,
Michael Bourn,94,150
Jack Fournier,94,
Rafael Furcal,94,
Vladimir Guerrero,94,
Toby Harrah,94,
Dave Martinez,94,
Willie Randolph,94,
Paul Blair,93,157
Bill Doran,93,
Dan Gladden,93,
Amos Otis,93,
Hanley Ramirez,93,
Burt Shotton,93,
Richie Ashburn,92,163
Al Bumbry,92,
Joe Judge,92,
Garry Maddox,92,
Raul Mondesi,92,
Lloyd Moseby,92,
Edd Roush,92,
Mike Schmidt,92,
Everett Scott,92,
Derrel Thomas,92,
B.J. Upton,92,
Bucky Harris,91,174
Marty McManus,91,
Rick Monday,91,
Damaso Garcia,90,177
Joe Kuhel,90,
Bill Madlock,90,
Lee Mazzilli,90,
Mickey Rivers,90,
Arky Vaughan,90,
Mickey Vernon,90,
Bill Bruton,89,184
Charlie Gehringer,89,
Goose Goslin,89,
Jason Kendall,89,
Andrew McCutchen,89,
Gene Richards,89,
Jose Canseco,88,190
Ivan DeJesus,88,
Gee Walker,88,
Ossie Bluege,87,193
Luis Gonzalez,87,
Billy Hatcher,87,
Bernie Williams,87,
Jimmy Austin,86,197
Lee Lacy,86,
Brian McRae,86,
Reggie Smith,86,
Amos Strunk,86,
Lu Blue,85,202
Don Kessinger,85,
Billy Southworth,85,
Ellis Burks,84,205
Pat Duncan,84,
Ruppert Jones,84,
Willie Kamm,84,
Roberto Kelly,84,
Brandon Phillips,84,
Alfonso Soriano,84,
B.J. Surhoff,84,
Bobby Veach,84,
Randy Winn,84,
Bob Bailey,83,215
Mike Cameron,83,
Shano Collins,83,
Ralph Garr,83,
Bobby Grich,83,
Ken Griffey,83,
Jimmy Johnston,83,
Gary Redus,83,
Quilvio Veras,83,
Frank White,83,
Ross Youngs,83,
Shawon Dunston,82,226
Tony Lazzeri,82,
Bing Miller,82,
Tommie Agee,81,229
Pete Fox,81,
Andres Galarraga,81,
Wally Moses,81,
Sandy Alomar,80,233
Matty Alou,80,
Orlando Cepeda,80,
Nellie Fox,80,
Charlie Hollocher,80,
Roy Johnson,80,
Jerry Mumphrey,80,
Babe Pinelli,80,
Buddy Bell,79,241
Coco Crisp,79,
Elmer Valo,79,
Jeff Bagwell,78,244
Julio Cruz,78,
Jake Daubert,78,
Miguel Dilone,78,
Jim Gantner,78,
Kirk Gibson,78,
John Lowenstein,78,
Rick Manning,78,
Hal McRae,78,
Clyde Milan,78,
Ken Boyer,77,254
Howard Johnson,77,
Barry Larkin,77,
Alex Rios,77,
Frank Robinson,77,
Juan Beniquez,76,259
Ernie Johnson,76,
Chet Lemon,76,
Kirby Puckett,76,
Alex Rodriguez,76,
Larry Walker,76,
Dave Bancroft,75,265
Mark Belanger,75,
Donie Bush,75,
Cliff Heathcote,75,
Bobby Murcer,75,
Gerald Perry,75,
Rafael Ramirez,75,
Milt Stock,75,
Lou Whitaker,75,
Dave Cash,74,274
Al Cowens,74,
Frankie Frisch,74,
Carlos Gómez,74,
Ian Kinsler,74,
Gary Matthews,74,
Bill Wambsganss,74,
Tony Womack,74,
Hank Aaron,73,282
Dusty Baker,73,
Kevin Bass,73,
Dante Bichette,73,
Bill Buckner,73,
Doc Cramer,73,
Curt Flood,73,
Darryl Hamilton,73,
Dave Nelson,73,
Paul O'Neill,73,
Brian Roberts,73,
Jean Segura,73,
Mitch Webster,73,
Gerald Young,73,
Lenny Dykstra,72,296
Jimmie Foxx,72,
Don Gutteridge,72,
Billy Hamilton,72,
Billy Herman,72,
Eddie Milner,72,
Joe Sewell,72,
Whitey Witt,72,
Earle Combs,71,304
Joe Cronin,71,
Jacoby Ellsbury,71,
Max Flack,71,
Chick Galloway,71,
Bernard Gilkey,71,
Duane Kuiper,71,
Shannon Stewart,71,
Tom Brunansky,70,312
Ben Oglivie,70,
Roger Peckinpaugh,70,
Jim Rivera,70,
Buck Weaver,70,
"Ken Griffey, Jr.",69,317
Julio Lugo,69,
Bill Russell,69,
Benito Santiago,69,
Ray Schalk,69,
Tony Scott,69,
Carson Bigbee,68,323
Rick Burleson,68,
George Cutshaw,68,
Darrell Evans,68,
Dexter Fowler,68,
Larry Gardner,68,
Cristian Guzman,68,
Jerry Hairston,68,
Tommy McCraw,68,
Wally Moon,68,
Dale Murphy,68,
Frank O'Rourke,68,
Cookie Rojas,68,
Billy Werber,68,
Bill White,68,
Alan Wiggins,68,
Jim Wohlford,68,
Felipe Alou,67,340
Jack Smith,67,
Fernando Vina,67,
Joe Carter,66,343
Eric Davis,66,
Heinie Groh,66,
Matt Lawton,66,
Milt Thompson,66,
Jonathan Villar,66,
Tim Wallach,66,
Eddie Yost,66,
Gary Gaetti,65,351
Al Kaline,65,
Rudy Law,65,
Al Martin,65,
Ski Melillo,65,
Rick Miller,65,
Bump Wills,65,
David Wright,65,
Bobby Doerr,64,359
Brett Gardner,64,
Harry Heilmann,64,
Tom Herr,64,
Bob Johnson,64,
Mark Kotsay,64,
Al Oliver,64,
Corey Patterson,64,
Alexei Ramirez,64,
Ivan Rodriguez,64,
Howie Shanks,64,
Al Simmons,64,
George Burns,63,371
Roger Cedeno,63,
Bill Cissell,63,
Bob Dernier,63,
Dan Driessen,63,
Keith Hernandez,63,
Julian Javier,63,
Gregg Jefferies,63,
Alex Johnson,63,
Matt Kemp,63,
Heinie Manush,63,
Bake McBride,63,
Greasy Neale,63,
Tony Pena,63,
Dave Philley,63,
Deion Sanders,63,
Bill Terry,63,
Dickie Thon,63,
Erick Aybar,62,389
Phil Bradley,62,
Frankie Crosetti,62,
David DeJesus,62,
Dom DiMaggio,62,
Steve Garvey,62,
Adam Kennedy,62,
Spike Owen,62,
Billy Rogell,62,
Rodney Scott,62,
Robby Thompson,62,
Jack Tobin,62,
Jose Vizcaino,62,
John Cangelosi,61,402
Jack Clark,61,
Leon Durham,61,
Tony Gonzalez,61,
Larry Hisle,61,
Brian Hunter,61,
Joe Jackson,61,
Jeffrey Leonard,61,
Dwayne Murphy,61,
Bill Almon,60,411
Jay Bell,60,
Don Blasingame,60,
Ryan Braun,60,
Tom Brookens,60,
Joey Cora,60,
Bernie Friberg,60,
Joe Gordon,60,
Bud Harrelson,60,
Jeff Kent,60,
Ken Landreaux,60,
Nemo Leibold,60,
Joe Orsulak,60,
Jorge Orta,60,
José Ramírez,60,
Red Schoendienst,60,
Del Unser,60,
Charlie Blackmon,59,428
Sam Bohne,59,
Alex Cole,59,
Tommy Davis,59,
Juan Encarnacion,59,
Dwight Evans,59,
Pinky Higgins,59,
Andruw Jones,59,
Buddy Lewis,59,
Dick McAuliffe,59,
Stuffy McInnis,59,
Terry Pendleton,59,
Muddy Ruel,59,
Denard Span,59,
Jim Tabor,59,
Willie Upshaw,59,
Justin Upton,59,
Andy Van Slyke,59,
Greg Vaughn,59,
Ralph Young,59,
Mike Bordick,58,448
Jeromy Burnitz,58,
Horace Clarke,58,
Vic Davalillo,58,
Darin Erstad,58,
Carlton Fisk,58,
Ira Flagstead,58,
Scott Fletcher,58,
Frankie Gustine,58,
Steve Henderson,58,
Felipe Lopez,58,
Jo-Jo Moore,58,
Phil Rizzuto,58,
Dave Roberts,58,
Alex Sanchez,58,
Fred Schulte,58,
Marvell Wynne,58,
Earl Averill,57,465
Bobby Bonilla,57,
Orlando Cabrera,57,
Donn Clendenon,57,
Mariano Duncan,57,
Larry Herndon,57,
Felix Jose,57,
Charlie Moore,57,
Jerry Morales,57,
John Moses,57,
Jim Piersall,57,
Dave Robertson,57,
George Scott,57,
Manny Trillo,57,
Gerald Williams,57,
Hubie Brooks,56,480
Mike Davis,56,
Ian Desmond,56,
Mike Devereaux,56,
Damion Easley,56,
Red Kress,56,
Harvey Kuenn,56,
Doc Lavan,56,
Whit Merrifield,56,
Hy Myers,56,
Ray Powell,56,
Johnny Roseboro,56,
Michael Tucker,56,
Jose Valentin,56,
Sam West,56,
Tony Bernazard,55,495
