Name,Games,Rank
Pete Rose,"3,562",1
Carl Yastrzemski,"3,308",2
Hank Aaron,"3,298",3
Rickey Henderson,"3,081",4
Albert Pujols,"3,080",5
Ty Cobb,"3,035",6
Eddie Murray,"3,026",7
Stan Musial,"3,026",
Cal Ripken Jr.,"3,001",9
Willie Mays,"2,992",10
Barry Bonds,"2,986",11
Dave Winfield,"2,973",12
Omar Vizquel,"2,968",13
Rusty Staub,"2,951",14
Adrián Beltré,"2,933",15
Brooks Robinson,"2,896",16
Robin Yount,"2,856",17
Craig Biggio,"2,850",18
Al Kaline,"2,834",19
Rafael Palmeiro,"2,831",20
Harold Baines,"2,830",21
Eddie Collins,"2,825",22
Reggie Jackson,"2,820",23
Frank Robinson,"2,808",24
Miguel Cabrera,"2,797",25
Honus Wagner,"2,792",26
Tris Speaker,"2,789",27
Alex Rodriguez,"2,784",28
Tony Perez,"2,777",29
Derek Jeter,"2,747",30
Mel Ott,"2,730",31
George Brett,"2,707",32
Graig Nettles,"2,700",33
Darrell Evans,"2,687",34
Paul Molitor,"2,683",35
"Ken Griffey, Jr.","2,671",36
Rabbit Maranville,"2,670",37
Ichiro Suzuki,"2,653",38
Joe Morgan,"2,649",39
Andre Dawson,"2,627",40
Lou Brock,"2,616",41
Dwight Evans,"2,606",42
Luis Aparicio,"2,599",43
Luis Gonzalez,"2,591",44
Willie McCovey,"2,588",45
Carlos Beltran,"2,586",46
Steve Finley,"2,583",47
Gary Sheffield,"2,576",48
Ozzie Smith,"2,573",49
Paul Waner,"2,549",50
Ivan Rodriguez,"2,543",51
Jim Thome,"2,543",
Ernie Banks,"2,528",53
Julio Franco,"2,527",54
Bill Buckner,"2,517",55
Sam Crawford,"2,517",
Gary Gaetti,"2,507",57
Babe Ruth,"2,503",58
Tim Raines,"2,502",59
Carlton Fisk,"2,499",60
Chipper Jones,"2,499",
Johnny Damon,"2,490",62
Dave Concepcion,"2,488",63
Billy Williams,"2,488",
Nap Lajoie,"2,480",65
Max Carey,"2,476",66
Rod Carew,"2,469",67
Vada Pinson,"2,469",
Dave Parker,"2,466",69
Fred McGriff,"2,460",70
Ted Simmons,"2,456",71
Bill Dahlen,"2,443",72
Ron Fairly,"2,442",73
Wade Boggs,"2,440",74
Tony Gwynn,"2,440",
Chili Davis,"2,436",76
Harmon Killebrew,"2,435",77
Roberto Clemente,"2,433",78
Willie Davis,"2,429",79
Bobby Abreu,"2,425",80
Luke Appling,"2,422",81
Zack Wheat,"2,410",82
Mickey Vernon,"2,409",83
David Ortiz,"2,408",84
Buddy Bell,"2,405",85
Sam Rice,"2,404",86
Mike Schmidt,"2,404",
Mickey Mantle,"2,401",88
Eddie Mathews,"2,391",89
Lou Whitaker,"2,390",90
Jake Beckley,"2,386",91
Bobby Wallace,"2,383",92
Enos Slaughter,"2,380",93
Roberto Alomar,"2,379",94
Torii Hunter,"2,372",95
George Davis,"2,368",96
Al Oliver,"2,368",
Nellie Fox,"2,367",98
Willie Stargell,"2,360",99
Sammy Sosa,"2,354",100
Jose Cruz,"2,353",101
Paul Konerko,"2,349",102
Brian Downing,"2,344",103
Steve Garvey,"2,332",104
Bert Campaneris,"2,328",105
Frank White,"2,324",106
Charlie Gehringer,"2,323",107
Frank Thomas,"2,322",108
Jimmie Foxx,"2,317",109
B.J. Surhoff,"2,313",110
Frankie Frisch,"2,311",111
Harry Hooper,"2,309",112
Manny Ramirez,"2,302",113
Jeff Kent,"2,298",114
Gary Carter,"2,296",115
Alan Trammell,"2,293",116
Don Baylor,"2,292",117
Ted Williams,"2,292",
Goose Goslin,"2,287",119
Jimmy Dykes,"2,282",120
Cap Anson,"2,276",121
Jimmy Rollins,"2,276",
Lave Cross,"2,275",123
Robinson Cano,"2,267",124
Bob Boone,"2,264",125
Jason Giambi,"2,260",126
Chris Speier,"2,260",
Rogers Hornsby,"2,259",128
Andres Galarraga,"2,257",129
Larry Bowa,"2,247",130
Todd Helton,"2,247",
Mark Grace,"2,245",132
Ron Santo,"2,243",133
Fred Clarke,"2,242",134
Doc Cramer,"2,239",135
John Olerud,"2,234",136
Garret Anderson,"2,228",137
Yadier Molina,"2,226",138
Red Schoendienst,"2,216",139
Al Simmons,"2,215",140
Brett Butler,"2,213",141
Tim Wallach,"2,212",142
Joe Torre,"2,209",143
Willie Randolph,"2,202",144
Willie McGee,"2,201",145
Tommy Corcoran,"2,200",146
Andruw Jones,"2,196",147
Andrew McCutchen,"2,196",
Tony Taylor,"2,195",149
Aramis Ramirez,"2,194",150
Richie Ashburn,"2,189",151
Joe Carter,"2,189",
Ruben Sierra,"2,186",153
Bill Russell,"2,181",154
Barry Larkin,"2,180",155
Dale Murphy,"2,180",
Chris Chambliss,"2,175",157
Joe Judge,"2,171",158
Miguel Tejada,"2,171",
Charlie Grimm,"2,166",160
Pee Wee Reese,"2,166",
Marquis Grissom,"2,165",162
Lou Gehrig,"2,164",163
Ryne Sandberg,"2,164",
Bill Mazeroski,"2,163",165
Raul Ibanez,"2,161",166
Tony Phillips,"2,161",
Johnny Bench,"2,158",168
Tony Fernandez,"2,158",
Todd Zeile,"2,158",
Tommy Leach,"2,156",171
Toby Harrah,"2,155",172
Nick Markakis,"2,154",173
Willie Wilson,"2,154",
Edgar Renteria,"2,152",175
Carlos Santana,"2,151",176
Jeff Bagwell,"2,150",177
Vladimir Guerrero,"2,147",178
Harry Heilmann,"2,147",
Duke Snider,"2,143",180
Bid McPhee,"2,135",181
Stuffy McInnis,"2,128",182
Orlando Cepeda,"2,124",183
Joe Cronin,"2,124",
