Name,GIDP,Rank
Albert Pujols,426,1
Miguel Cabrera,364,2
Cal Ripken Jr.,350,3
Ivan Rodriguez,338,4
Hank Aaron,328,5
Carl Yastrzemski,323,6
Dave Winfield,319,7
Eddie Murray,316,8
Jim Rice,315,9
Julio Franco,312,10
Harold Baines,298,11
Brooks Robinson,297,12
Rusty Staub,297,
Yadier Molina,287,14
Ted Simmons,287,
Robinson Cano,286,16
Joe Torre,284,17
Derek Jeter,283,18
Ernie Lombardi,283,
Paul Konerko,282,20
AdriÃ¡n BeltrÃ©,279,21
Vladimir Guerrero,277,22
George Scott,277,
Roberto Clemente,275,24
Miguel Tejada,274,25
Al Kaline,271,26
Frank Robinson,269,27
Tony Perez,268,28
Dave Concepcion,266,29
Victor Martinez,264,30
Torii Hunter,261,31
Tony Gwynn,260,32
Alex Rodriguez,258,33
Ron Santo,256,34
Buddy Bell,255,35
Al Oliver,254,36
Steve Garvey,251,37
Willie Mays,251,
Ken Singleton,248,39
Bill Buckner,247,40
Pete Rose,246,41
Harmon Killebrew,243,42
Stan Musial,243,
Manny Ramirez,243,
Magglio Ordonez,242,45
A.J. Pierzynski,241,46
Edgar Renteria,241,
Chipper Jones,239,48
Wade Boggs,236,49
Gary Gaetti,236,
David Ortiz,236,
George Brett,235,52
Gary Sheffield,235,
Tony Pena,234,54
Chili Davis,232,55
John Olerud,232,
Rafael Palmeiro,232,
Aramis Ramirez,231,58
Ernie Banks,229,59
Mike Piazza,229,
Dwight Evans,227,61
Fred McGriff,226,62
Frank Thomas,225,63
Vinny Castilla,224,64
Jeff Kent,224,
Brandon Phillips,224,
Joe Adcock,223,67
Bernie Williams,223,
Todd Zeile,223,
Jeff Bagwell,221,70
Paul O'Neill,221,
Dick Groat,220,72
Matt Holliday,220,
Tommy Davis,219,74
Frank Howard,219,
Lee May,219,
Orlando Cepeda,218,77
Royce Clayton,218,
Willie Randolph,218,
Andre Dawson,217,80
Manny Machado,217,
Robin Yount,217,
Rod Carew,216,83
Nick Markakis,214,84
Del Ennis,212,85
Luis Gonzalez,212,
Michael Young,212,
Ryan Zimmerman,212,
George Hendrick,211,89
Billy Herman,211,
Paul Molitor,209,91
Dale Murphy,209,
Dave Parker,209,
Lou Piniella,209,
Joe Mauer,208,95
Carl Furillo,207,96
Adrian Gonzalez,207,
