Name,Hit by Pitch,Rank
Hughie Jennings,287,1
Craig Biggio,285,2
Tommy Tucker,272,3
Don Baylor,267,4
Jason Kendall,254,5
Ron Hunt,243,6
Dan McGann,230,7
Anthony Rizzo,222,8
Chase Utley,204,9
Frank Robinson,198,10
Minnie Minoso,192,11
Jake Beckley,183,12
Jason Giambi,180,13
Andres Galarraga,178,14
Alex Rodriguez,176,15
Curt Welch,173,16
Carlos Delgado,172,17
Derek Jeter,170,18
Kid Elberfeld,165,19
Starling Marte,165,
Fernando Vina,157,21
Brady Anderson,154,22
Fred Clarke,153,23
Shin-Soo Choo,152,24
Chet Lemon,151,25
Jose Guillen,145,26
David Eckstein,143,27
Carlton Fisk,143,
Nellie Fox,142,29
Mark Canha,141,30
Art Fletcher,141,
Bill Dahlen,140,32
Chuck Knoblauch,139,33
Larry Walker,138,34
Frank Chance,137,35
Justin Turner,136,36
Gary Sheffield,135,37
Reed Johnson,134,38
Nap Lajoie,134,
Rickie Weeks,134,
Dummy Hoy,133,41
Steve Brodie,132,42
Damion Easley,132,
John McGraw,132,
Brian Downing,129,45
Willie Keeler,129,
A.J. Pierzynski,129,
Jeff Bagwell,128,48
Carlos Quentin,127,49
Aramis Ramirez,127,
Scott Rolen,127,
Aaron Rowand,126,52
José Abreu,125,53
Jeff Kent,125,
Prince Fielder,124,55
Matt Holliday,124,
Honus Wagner,124,
Derek Dietrich,123,58
Albert Pujols,123,
Miguel Tejada,122,60
Alex Gordon,121,61
Buck Herzog,120,62
Kurt Suzuki,119,63
Willson Contreras,118,64
Ty France,118,
Melvin Mora,117,66
Jimmy Dykes,115,67
Sherm Lollar,115,
Frankie Crosetti,114,69
Bill Freehan,114,
Carlos Gómez,112,71
Josh Willingham,112,
Andre Dawson,111,73
Steve Evans,111,
Luis Gonzalez,111,
Mark Teixeira,111,
Charlie Blackmon,110,77
George Burns,110,
Freddie Freeman,110,
Jon Jay,110,
Sherry Magee,109,81
Manny Ramirez,109,
David DeJesus,108,83
Bill Joyce,108,
Mo Vaughn,108,
Jason LaRue,107,86
Russell Martin,107,
Pete Rose,107,
Wally Schang,107,
Barry Bonds,106,90
Dan Brouthers,105,91
Edwin Encarnacion,105,
Mark Grudzielanek,105,
Paul Konerko,104,94
Kevin Youkilis,104,
Kris Bryant,103,96
Vladimir Guerrero,103,
Adam Jones,103,
Tris Speaker,103,
Kolten Wong,103,
Orlando Cepeda,102,101
Juan Pierre,102,
Mike Trout,102,
Placido Polanco,101,104
Henry Larkin,100,105
Elmer Flick,99,106
Bucky Harris,99,
Eddie Yost,99,
Josh Harrison,98,109
Rickey Henderson,98,
Dick Bartell,97,111
Adrián Beltré,97,
Torii Hunter,97,
Andruw Jones,97,
Mike Macfarlane,97,
Dick Padden,97,
Eugenio Suárez,97,
Gary Gaetti,96,118
Reggie Jackson,96,
Geoff Jenkins,96,
Pete Alonso,95,121
Ty Cobb,94,122
Ed Delahanty,94,
Matt Lawton,94,
Andrew McCutchen,94,
John Reilly,94,
Jake Stahl,94,
John Titus,94,
Marlon Byrd,93,129
Jim Delahanty,92,130
Doc Gessler,92,
Ian Kinsler,92,
Brandon Phillips,92,
Jimmy Sheckard,92,
Lonnie Smith,92,
Jeff Blauser,91,136
Cliff Floyd,91,
Ed Sprague,91,
Gene Tenace,91,
John Warner,91,
Chief Zimmer,91,
Joe Carter,90,142
Norm Cash,90,
Alex Cora,90,
Travis Hafner,90,
Craig Wilson,90,
Jack Fournier,89,147
Billy Hamilton,89,
Mike Lieberthal,89,
Edgar Martinez,89,
Eric Young,89,
John Olerud,88,152
Cesar Tovar,88,
Rondell White,88,
Mike Cameron,87,155
Carl Everett,87,
Bid McPhee,87,
Rafael Palmeiro,87,
Joc Pederson,87,
Salvador Perez,87,
Frank Thomas,87,
Devon White,87,
Nelson Cruz,86,163
Adam Dunn,86,
Bobby Grich,86,
Alfonso Soriano,86,
Cy Williams,86,
Robinson Cano,85,168
Boileryard Clarke,85,
Kiki Cuyler,85,
Brandon Guyer,85,
Arlie Latham,85,
Joe Torre,85,
Randy Arozarena,84,174
Jose Canseco,84,
Jimmy Collins,84,
Art Devlin,84,
Jerry Hairston,84,
Greg Luzinski,84,
Deacon McGuire,84,
Patsy Donovan,83,181
Jonny Gomes,83,
Heinie Groh,83,
Jimmy Ryan,83,
F.P. Santangelo,83,
Monte Cross,82,186
Joe Kelley,82,
Denny Lyons,82,
Brandon Nimmo,82,
Al Oliver,82,
Andrés Gimenez,81,191
"Ken Griffey, Jr.",81,
Shane Victorino,81,
Joey Votto,81,
Aaron Boone,80,195
Shawn Green,80,
Clyde Milan,80,
Bing Miller,80,
Joe Sewell,80,
Jose Bautista,79,200
Alex Gonzalez,79,
Jeff McNeil,79,
Hal McRae,79,
Victor Robles,79,
Mike Schmidt,79,
George Springer,79,
Rusty Staub,79,
Harry Steinfeldt,79,
Jeromy Burnitz,78,209
Frank Catalanotto,78,
Danny Espinosa,78,
Dick Harley,78,
Kevin Millar,78,
Carlos Ruiz,78,
Willie Stargell,78,
Tony Taylor,78,
Justin Upton,78,
Jose Altuve,77,218
Ryan Braun,77,
Max Carey,77,
Eddie Collins,77,
Todd Frazier,77,
Mike Griffin,77,
Mack Jones,77,
Tim Wallach,77,
Zack Wheat,77,
Jack Barry,76,227
Eddie Burke,76,
Harry Hooper,76,
Fielder Jones,76,
Yadier Molina,76,
Andy Pafko,76,
Sal Bando,75,233
Jesse Burkett,75,
Adam Eaton,75,
Mark Ellis,75,
Tyler Flowers,75,
