Name,IBB,Rank
Barry Bonds,688,1
Albert Pujols,316,2
Hank Aaron,293,3
Willie McCovey,260,4
Vladimir Guerrero,250,5
"Ken Griffey, Jr.",246,6
Miguel Cabrera,238,7
George Brett,229,8
Willie Stargell,227,9
Eddie Murray,222,10
Frank Robinson,218,11
Manny Ramirez,216,12
David Ortiz,209,13
Tony Gwynn,203,14
Mike Schmidt,201,15
Ernie Banks,198,16
Rusty Staub,193,17
Willie Mays,192,18
Carl Yastrzemski,190,19
Chili Davis,188,20
Ted Simmons,188,
Harold Baines,187,22
Carlos Delgado,186,23
Todd Helton,185,24
Billy Williams,182,25
Ichiro Suzuki,181,26
Wade Boggs,180,27
Chipper Jones,177,28
Rafael Palmeiro,172,29
Jim Thome,172,
Dave Winfield,172,
Fred McGriff,171,32
Dave Parker,170,33
Frank Thomas,168,34
Roberto Clemente,167,35
Pete Rose,167,
Prince Fielder,164,37
Reggie Jackson,164,
Lance Berkman,160,39
Harmon Killebrew,160,
Dale Murphy,159,41
Adrian Gonzalez,158,42
John Olerud,157,43
Jeff Bagwell,155,44
Will Clark,155,
Orlando Cepeda,154,46
Ryan Howard,154,
Sammy Sosa,154,
Ernie Lombardi,153,49
Luis Gonzalez,150,50
Mark McGwire,150,
Tony Perez,150,
Mickey Mantle,148,53
Tim Raines,148,
Joey Votto,147,55
Mike Piazza,146,56
Joe Mauer,145,57
Rod Carew,144,58
Garry Templeton,144,
Mo Vaughn,144,
Andre Dawson,143,61
Jose Cruz,142,62
Darrell Evans,141,63
Freddie Freeman,140,64
Boog Powell,140,
Dick Allen,138,66
Don Mattingly,136,67
Johnny Bench,135,68
Frank Howard,135,
Bryce Harper,133,70
Al Kaline,133,
Robin Ventura,132,72
Al Lopez,131,73
Tony Oliva,131,
Darryl Strawberry,131,
Keith Hernandez,130,76
Gary Sheffield,130,
Ron Fairly,129,78
Bobby Bonilla,128,79
Jack Clark,127,80
Stan Musial,127,
Joe Torre,127,
Ken Singleton,125,83
Lou Brock,124,84
Mike Trout,124,
Leo Cardenas,122,86
Adam Dunn,122,
Bill Madlock,121,88
Brooks Robinson,120,89
Paul Goldschmidt,119,90
Victor Martinez,119,
Tim McCarver,119,
Al Oliver,119,
Johnny Edwards,118,94
Ron Cey,117,95
Larry Walker,117,
Bobby Abreu,115,97
Pedro Guerrero,115,
Reggie Smith,115,
Brian Giles,114,100
Mark Grace,114,
Steve Garvey,113,102
Edgar Martinez,113,
Adrián Beltré,112,104
Robinson Cano,112,
Norm Cash,112,
Bill Buckner,111,107
Ken Caminiti,111,
Kent Hrbek,110,109
Bill Mazeroski,110,
Johnny Roseboro,110,
Wally Joyner,109,112
Eddie Mathews,107,113
Rick Monday,107,
Paul O'Neill,107,
Cal Ripken Jr.,107,
Gary Carter,106,117
George Foster,106,
Andres Galarraga,106,
John Mayberry,106,
Darrell Porter,106,
Bill Russell,106,
Chris Speier,106,
Carlton Fisk,105,124
Howard Johnson,105,
Ben Oglivie,105,
Garret Anderson,104,127
Duke Snider,104,
Carlos Beltran,103,129
Willie Montanez,103,
Tino Martinez,102,131
Ruben Sierra,102,
Mike Scioscia,101,133
Dan Driessen,100,134
Paul Molitor,100,
Chris Chambliss,99,136
Bob Watson,98,137
Ken Boyer,97,138
Jason Giambi,97,
Alex Rodriguez,97,
Bernie Williams,97,
Smoky Burgess,96,142
Leon Durham,96,
Tom Haller,96,
Bobby Murcer,96,
Manny Sanguillen,96,
