Name,Isolated Power,Rank
Babe Ruth,.348 (.34766),1
Mark McGwire,.325 (.32536),2
Aaron Judge,.320 (.31974),3
Barry Bonds,.309 (.30883),4
Lou Gehrig,.292 (.29234),5
Hank Greenberg,.292 (.29155),6
Ted Williams,.289 (.28938),7
Jimmie Foxx,.284 (.28399),8
Mike Trout,.280 (.27967),9
Jim Thome,.278 (.27773),10
Manny Ramirez,.273 (.27317),11
Ralph Kiner,.269 (.26916),12
Albert Belle,.269 (.26892),13
Giancarlo Stanton,.267 (.26721),14
Carlos Delgado,.266 (.26610),15
Juan Gonzalez,.265 (.26541),16
David Ortiz,.265 (.26539),17
Kyle Schwarber,.263 (.26296),18
Sammy Sosa,.261 (.26052),19
Mike Schmidt,.260 (.25982),20
Mickey Mantle,.259 (.25870),21
Ryan Howard,.257 (.25670),22
Willie Mays,.256 (.25577),23
Alex Rodriguez,.255 (.25535),24
Matt Olson,.255 (.25506),25
Joe DiMaggio,.254 (.25421),26
"Ken Griffey, Jr.",.254 (.25406),27
Frank Thomas,.254 (.25393),28
Adam Dunn,.253 (.25280),29
Russell Branyan,.253 (.25256),30
Larry Walker,.253 (.25250),31
Harmon Killebrew,.252 (.25249),32
Johnny Mize,.250 (.24988),33
Hank Aaron,.250 (.24951),34
Jose Canseco,.249 (.24855),35
Albert Pujols,.248 (.24753),36
Willie Stargell,.247 (.24700),37
Darryl Strawberry,.247 (.24677),38
Richie Sexson,.246 (.24594),39
Juan Soto,.246 (.24585),40
Willie McCovey,.245 (.24497),41
Duke Snider,.244 (.24424),42
Jeff Bagwell,.244 (.24356),43
Lance Berkman,.243 (.24341),44
Jim Edmonds,.243 (.24293),45
Frank Robinson,.243 (.24285),46
Dave Kingman,.242 (.24202),47
Dick Allen,.242 (.24179),48
Mark Teixeira,.241 (.24092),49
Jason Giambi,.240 (.23985),50
Jay Buhner,.240 (.23958),51
Nelson Cruz,.239 (.23917),52
Bryce Harper,.238 (.23833),53
Eddie Mathews,.238 (.23826),54
Hack Wilson,.238 (.23782),55
Mike Piazza,.237 (.23745),56
Kevin Mitchell,.236 (.23609),57
Edwin Encarnacion,.236 (.23608),58
Ryan Braun,.236 (.23588),59
Troy Glaus,.235 (.23530),60
Vladimir Guerrero,.235 (.23495),61
J.D. Martinez,.233 (.23261),62
Adam Duvall,.232 (.23165),63
Charlie Keller,.231 (.23140),64
Andruw Jones,.231 (.23121),65
Rafael Devers,.231 (.23090),66
Carlos Pena,.231 (.23055),67
Mo Vaughn,.230 (.23030),68
Hank Sauer,.230 (.22977),69
Alfonso Soriano,.230 (.22955),70
Mike Napoli,.229 (.22900),71
Mel Ott,.229 (.22896),72
Josh Donaldson,.229 (.22859),73
