Name,Doubles,Rank
Tris Speaker,792,1
Pete Rose,746,2
Stan Musial,725,3
Ty Cobb,724,4
Albert Pujols,686,5
Craig Biggio,668,6
George Brett,665,7
Nap Lajoie,657,8
Carl Yastrzemski,646,9
Honus Wagner,640,10
Adrián Beltré,636,11
David Ortiz,632,12
Miguel Cabrera,627,13
Hank Aaron,624,14
Paul Molitor,605,15
Paul Waner,605,
Cal Ripken Jr.,603,17
Barry Bonds,601,18
Luis Gonzalez,596,19
Todd Helton,592,20
Rafael Palmeiro,585,21
Robin Yount,583,22
Wade Boggs,578,23
Bobby Abreu,574,24
Charlie Gehringer,574,
Robinson Cano,572,26
Ivan Rodriguez,572,
Carlos Beltran,565,28
Jeff Kent,560,29
Eddie Murray,560,
Chipper Jones,549,31
Alex Rodriguez,548,32
Manny Ramirez,547,33
Derek Jeter,544,34
Tony Gwynn,543,35
Harry Heilmann,542,36
Rogers Hornsby,541,37
Joe Medwick,540,38
Dave Winfield,540,
Al Simmons,539,40
Lou Gehrig,534,41
Freddie Freeman,529,42
Al Oliver,529,
Cap Anson,528,44
Frank Robinson,528,
Dave Parker,526,46
Ted Williams,525,47
"Ken Griffey, Jr.",524,48
Willie Mays,523,49
Garret Anderson,522,50
Johnny Damon,522,
Ed Delahanty,522,
Scott Rolen,517,53
Joe Cronin,515,54
Nick Markakis,514,55
Edgar Martinez,514,
Mark Grace,511,57
Jimmy Rollins,511,
Rickey Henderson,510,59
Babe Ruth,506,60
Tony Perez,505,61
Roberto Alomar,504,62
Andre Dawson,503,63
Goose Goslin,500,64
John Olerud,500,
Rusty Staub,499,66
Bill Buckner,498,67
Torii Hunter,498,
Al Kaline,498,
Sam Rice,498,
Aramis Ramirez,495,71
Frank Thomas,495,
Heinie Manush,491,73
Mickey Vernon,490,74
Jeff Bagwell,488,75
Harold Baines,488,
Mel Ott,488,
Lou Brock,486,78
Billy Herman,486,
Vada Pinson,485,80
Hal McRae,484,81
Carlos Delgado,483,82
Dwight Evans,483,
Ted Simmons,483,
Brooks Robinson,482,85
Alfonso Soriano,481,86
Vladimir Guerrero,477,87
Zack Wheat,476,88
Jake Beckley,473,89
Larry Walker,471,90
Carlos Lee,469,91
Matt Holliday,468,92
Miguel Tejada,468,
Gary Sheffield,467,94
Frankie Frisch,466,95
Jim Bottomley,465,96
Reggie Jackson,463,97
Paul Goldschmidt,461,98
Dan Brouthers,460,99
Orlando Cabrera,459,100
Joey Votto,459,
Sam Crawford,458,102
Jimmie Foxx,458,
Omar Vizquel,456,104
Jimmy Dykes,453,105
George Davis,451,106
Paul O'Neill,451,
Jimmy Ryan,451,
Jim Thome,451,
Steve Finley,449,110
Joe Morgan,449,
Bernie Williams,449,
Rod Carew,445,113
Shawn Green,445,
George Burns,444,115
Andres Galarraga,444,
Gary Gaetti,443,117
Dick Bartell,442,118
Don Mattingly,442,
Andrew McCutchen,442,
Jose Altuve,441,121
Roger Connor,441,
Barry Larkin,441,
Fred McGriff,441,
Michael Young,441,
Luke Appling,440,126
Will Clark,440,
Roberto Clemente,440,
Ray Durham,440,
Steve Garvey,440,
B.J. Surhoff,440,
Eddie Collins,438,132
Jim Edmonds,437,133
Adrian Gonzalez,437,
Cesar Cedeno,436,135
Edgar Renteria,436,
Joe Sewell,436,
Wally Moses,435,138
Billy Williams,434,139
Joe Judge,433,140
Joe Carter,432,141
Derrek Lee,432,
Tim Wallach,432,
Evan Longoria,431,144
Tim Raines,430,145
Joe Mauer,428,146
Ruben Sierra,428,
Red Schoendienst,427,148
Keith Hernandez,426,149
Magglio Ordonez,426,
Buddy Bell,425,151
Sherry Magee,425,
George Sisler,425,
Chili Davis,424,154
Raul Ibanez,424,
Victor Martinez,423,156
Willie Stargell,423,
Lance Berkman,422,158
Moises Alou,421,159
Carlton Fisk,421,
Lou Whitaker,420,161
Max Carey,419,162
Orlando Cepeda,417,163
Ryan Zimmerman,417,
Ian Kinsler,416,165
Cecil Cooper,415,166
Tony Fernandez,414,167
Jim O'Rourke,414,
Kirby Puckett,414,
Bill Dahlen,413,170
Enos Slaughter,413,
Joe Kuhel,412,172
Alan Trammell,412,
Lave Cross,411,174
Brian Giles,411,
Chase Utley,411,
Paul Konerko,410,177
Wally Joyner,409,178
Bobby Bonilla,408,179
Ryan Braun,408,
Yadier Molina,408,
Mike Schmidt,408,
Mark Teixeira,408,
Ernie Banks,407,184
Ben Chapman,407,
Julio Franco,407,
A.J. Pierzynski,407,
Frank White,407,
Jason Giambi,405,189
Ryne Sandberg,403,190
Ellis Burks,402,191
Ozzie Smith,402,
Earl Averill,401,193
Dante Bichette,401,
Marty McManus,401,
Babe Herman,399,196
Carlos Santana,399,
Gee Walker,399,
Nolan Arenado,398,199
Chuck Klein,398,
Todd Zeile,397,201
Doc Cramer,396,202
Gabby Hartnett,396,
Bob Johnson,396,
Chet Lemon,396,
Willie Davis,395,206
Luis Aparicio,394,207
Jay Bell,394,
Kiki Cuyler,394,
Charlie Grimm,394,
Jason Kendall,394,
Mike Lowell,394,
Dustin Pedroia,394,
Nick Castellanos,393,214
Bobby Veach,393,
Chris Chambliss,392,216
Del Pratt,392,
Jose Cruz,391,218
Mark Grudzielanek,391,
Bobby Wallace,391,
J.D. Martinez,390,221
David Wright,390,
Albert Belle,389,223
Dave Concepcion,389,
Joe DiMaggio,389,
Harry Hooper,389,
Bing Miller,389,
Asdrubal Cabrera,388,228
Juan Gonzalez,388,
Fred Lynn,388,
Jose Reyes,387,231
Marquis Grissom,386,232
Lou Boudreau,385,233
Jeff Conine,385,
George Kell,385,
Melky Cabrera,383,236
Mike Cameron,383,
Andruw Jones,383,
Kenny Lofton,383,
Manny Machado,383,
Bob Elliott,382,241
Bryce Harper,382,
Johnny Bench,381,243
Bobby Doerr,381,
Elvis Andrus,380,245
Mookie Betts,380,
Rabbit Maranville,380,
José Ramírez,380,
Hank Greenberg,379,249
Jorge Posada,379,
Sammy Sosa,379,
Vernon Wells,379,
Devon White,378,253
Jhonny Peralta,376,254
Dixie Walker,376,
Hanley Ramirez,375,256
Pinky Higgins,374,257
Amos Otis,374,
Alex Rios,374,
Jim Rice,373,260
Bill Terry,373,
Nelson Cruz,372,262
Gary Carter,371,263
Daniel Murphy,371,
Pie Traynor,371,
Edwin Encarnacion,370,266
Nomar Garciaparra,370,
Xander Bogaerts,369,268
Paul Hines,368,269
Bob Meusel,368,
Brandon Phillips,368,
Johnny Mize,367,272
Brian Roberts,367,
Randy Winn,367,
Don Baylor,366,275
Bret Boone,366,
Tino Martinez,365,277
Ron Santo,365,
Ken Griffey,364,279
Royce Clayton,363,280
Jermaine Dye,363,
Stan Hack,363,
Reggie Smith,363,
George Burns,362,284
Ichiro Suzuki,362,
Fred Clarke,361,286
Harry Davis,361,
Brian Downing,360,288
Aubrey Huff,360,
Larry Parrish,360,
Tony Phillips,360,
Felipe Alou,359,292
King Kelly,359,
Alvin Dark,358,294
Del Ennis,358,
Joe Kelley,358,
Duke Snider,358,
Alex Gordon,357,298
Harvey Kuenn,356,299
Ray Lankford,356,
Lyle Overbay,356,
Terry Pendleton,356,
Arky Vaughan,356,
Nellie Fox,355,304
Howie Kendrick,354,305
Eddie Mathews,354,
Jimmy Sheckard,354,
Mark Kotsay,353,308
Willie McCovey,353,
Buddy Myer,353,
Jimmy Collins,352,311
Dick Groat,352,
Willie McGee,350,313
Dale Murphy,350,
Vinny Castilla,349,315
Justin Morneau,349,
Justin Turner,349,
Justin Upton,349,
Ben Zobrist,349,
Michael Brantley,348,320
Ken Caminiti,348,
Willie Kamm,348,
Bill Madlock,348,
Placido Polanco,348,
Phil Cavarretta,347,325
Harry Stovey,347,
Sam West,347,
Curtis Granderson,346,328
Travis Fryman,345,329
Ed Konetchy,344,330
Greg Luzinski,344,
Mickey Mantle,344,
Mike Piazza,344,
Joe Torre,344,
Jeff Cirillo,343,335
Bill Dickey,343,
George Hendrick,343,
Ryan Klesko,343,
Herman Long,342,339
Chick Hafey,341,340
Reggie Sanders,341,
Jose Vidro,341,
Jose Canseco,340,343
Cliff Floyd,340,
Adam LaRoche,340,
Lee May,340,
Sam Thompson,340,
Shin-Soo Choo,339,348
Edd Roush,339,
Tim Salmon,339,
Brady Anderson,338,351
Matt Kemp,338,
Anthony Rizzo,338,
Robin Ventura,338,
Matt Williams,338,
High Pockets Kelly,337,356
Garry Maddox,337,
Eddie Yost,337,
Augie Galan,336,359
Adam Jones,336,
Minnie Minoso,336,
Joe Vosmik,335,362
Charlie Blackmon,334,363
Tony Cuccinello,334,
Adam Dunn,334,
Tony Lazzeri,334,
Frank McCormick,334,
Claudell Washington,334,
Jose Cardenal,333,369
Mickey Cochrane,333,
Michael Cuddyer,333,
Jack Clark,332,372
Alex Gonzalez,332,
Carney Lansford,332,
Hal Trosky,331,375
Matt Carpenter,330,376
Pee Wee Reese,330,
Darrell Evans,329,378
Tony Oliva,329,
Garry Templeton,329,
José Abreu,328,381
John Anderson,328,
Ronnie Belliard,328,
Ron Cey,328,
Baby Doll Jacobson,328,
