Name,Hits,Rank
Pete Rose,"4,256",1
Ty Cobb,"4,189",2
Hank Aaron,"3,771",3
Stan Musial,"3,630",4
Tris Speaker,"3,514",5
Derek Jeter,"3,465",6
Honus Wagner,"3,430",7
Carl Yastrzemski,"3,419",8
Albert Pujols,"3,384",9
Paul Molitor,"3,319",10
Eddie Collins,"3,314",11
Willie Mays,"3,283",12
Eddie Murray,"3,255",13
Nap Lajoie,"3,252",14
Cal Ripken Jr.,"3,184",15
Miguel Cabrera,"3,174",16
Adrián Beltré,"3,166",17
George Brett,"3,154",18
Paul Waner,"3,152",19
Robin Yount,"3,142",20
Tony Gwynn,"3,141",21
Alex Rodriguez,"3,115",22
Dave Winfield,"3,110",23
Ichiro Suzuki,"3,089",24
Craig Biggio,"3,060",25
Rickey Henderson,"3,055",26
Rod Carew,"3,053",27
Lou Brock,"3,023",28
Rafael Palmeiro,"3,020",29
Cap Anson,"3,011",30
Wade Boggs,"3,010",31
Al Kaline,"3,007",32
Roberto Clemente,"3,000",33
Sam Rice,"2,987",34
Sam Crawford,"2,961",35
Frank Robinson,"2,943",36
Barry Bonds,"2,935",37
Willie Keeler,"2,932",38
Jake Beckley,"2,930",39
Rogers Hornsby,"2,930",
Al Simmons,"2,927",41
Zack Wheat,"2,884",42
Frankie Frisch,"2,880",43
Omar Vizquel,"2,877",44
Mel Ott,"2,876",45
Babe Ruth,"2,873",46
Harold Baines,"2,866",47
Jesse Burkett,"2,850",48
Brooks Robinson,"2,848",49
Ivan Rodriguez,"2,844",50
Charlie Gehringer,"2,839",51
George Sisler,"2,812",52
"Ken Griffey, Jr.","2,781",53
Andre Dawson,"2,774",54
Johnny Damon,"2,769",55
Vada Pinson,"2,757",56
Luke Appling,"2,749",57
Al Oliver,"2,743",58
Goose Goslin,"2,735",59
Tony Perez,"2,732",60
Chipper Jones,"2,726",61
Carlos Beltran,"2,725",62
Roberto Alomar,"2,724",63
Lou Gehrig,"2,721",64
Rusty Staub,"2,716",65
Bill Buckner,"2,715",66
Dave Parker,"2,712",67
Billy Williams,"2,711",68
Doc Cramer,"2,705",69
Gary Sheffield,"2,689",70
Luis Aparicio,"2,677",71
Fred Clarke,"2,672",72
Max Carey,"2,665",73
Nellie Fox,"2,663",74
George Davis,"2,660",75
Harry Heilmann,"2,660",
Ted Williams,"2,654",77
Jimmie Foxx,"2,646",78
Lave Cross,"2,645",79
Robinson Cano,"2,639",80
Rabbit Maranville,"2,605",81
Tim Raines,"2,605",
Steve Garvey,"2,599",83
Ed Delahanty,"2,596",84
Luis Gonzalez,"2,591",85
Vladimir Guerrero,"2,590",86
Julio Franco,"2,586",87
Reggie Jackson,"2,584",88
Ernie Banks,"2,583",89
Richie Ashburn,"2,574",90
Manny Ramirez,"2,574",
Willie Davis,"2,561",92
Steve Finley,"2,548",93
George Van Haltren,"2,539",94
Garret Anderson,"2,529",95
Heinie Manush,"2,524",96
Todd Helton,"2,519",97
Joe Morgan,"2,517",98
Buddy Bell,"2,514",99
Jimmy Ryan,"2,512",100
Mickey Vernon,"2,495",101
Fred McGriff,"2,490",102
David Ortiz,"2,472",103
Ted Simmons,"2,472",
Joe Medwick,"2,471",105
Bobby Abreu,"2,470",106
Frank Thomas,"2,468",107
Harry Hooper,"2,466",108
Jeff Kent,"2,461",109
Ozzie Smith,"2,460",110
Lloyd Waner,"2,459",111
Bill Dahlen,"2,457",112
Jimmy Rollins,"2,455",113
Torii Hunter,"2,452",114
Jim Rice,"2,452",
Red Schoendienst,"2,449",116
Dwight Evans,"2,446",117
Mark Grace,"2,445",118
Kenny Lofton,"2,428",119
Pie Traynor,"2,416",120
Mickey Mantle,"2,415",121
Sammy Sosa,"2,408",122
Miguel Tejada,"2,407",123
Stuffy McInnis,"2,405",124
Roger Connor,"2,392",125
Nick Markakis,"2,388",126
Ryne Sandberg,"2,386",127
Enos Slaughter,"2,383",128
Chili Davis,"2,380",129
Edd Roush,"2,376",130
Brett Butler,"2,375",131
Michael Young,"2,375",
Lou Whitaker,"2,369",133
Alan Trammell,"2,365",134
Carlton Fisk,"2,356",135
Joe Judge,"2,352",136
Orlando Cepeda,"2,351",137
Freddie Freeman,"2,347",138
Billy Herman,"2,345",139
Joe Torre,"2,342",140
Paul Konerko,"2,340",141
Barry Larkin,"2,340",
Bernie Williams,"2,336",143
Andres Galarraga,"2,333",144
Jim Thome,"2,328",145
Edgar Renteria,"2,327",146
Dave Concepcion,"2,326",147
Jake Daubert,"2,326",
B.J. Surhoff,"2,326",
Eddie Mathews,"2,315",150
Jeff Bagwell,"2,314",151
Jim Bottomley,"2,313",152
Jose Altuve,"2,310",153
Bobby Wallace,"2,309",154
Kirby Puckett,"2,304",155
Aramis Ramirez,"2,303",156
Kiki Cuyler,"2,299",157
Charlie Grimm,"2,299",
Joe Cronin,"2,285",159
Hugh Duffy,"2,282",160
Gary Gaetti,"2,280",161
Tony Fernandez,"2,276",162
Carlos Lee,"2,273",163
Jim O'Rourke,"2,268",164
Jimmy Dykes,"2,256",165
Willie McGee,"2,254",166
Ron Santo,"2,254",
Patsy Donovan,"2,253",168
Tommy Corcoran,"2,252",169
Jose Cruz,"2,251",170
Marquis Grissom,"2,251",
Bid McPhee,"2,250",172
Bert Campaneris,"2,249",173
Edgar Martinez,"2,247",174
John Olerud,"2,239",175
Mike Schmidt,"2,234",176
Willie Stargell,"2,232",177
Fred Tenney,"2,231",178
Joe Sewell,"2,226",179
Dan Brouthers,"2,225",180
Graig Nettles,"2,225",
Darrell Evans,"2,223",182
Joe Kelley,"2,220",183
Juan Pierre,"2,217",184
Andrew McCutchen,"2,216",185
Joe DiMaggio,"2,214",186
Joe Kuhel,"2,212",187
Willie McCovey,"2,211",188
Willie Randolph,"2,210",189
Willie Wilson,"2,207",190
Jason Kendall,"2,195",191
Stan Hack,"2,193",192
Bill Terry,"2,193",
Cecil Cooper,"2,192",194
Larry Bowa,"2,191",195
Joe Carter,"2,184",196
Keith Hernandez,"2,182",197
Will Clark,"2,176",198
Pee Wee Reese,"2,170",199
Sherry Magee,"2,169",200
Yadier Molina,"2,168",201
Dick Bartell,"2,165",202
Larry Walker,"2,160",203
Hal Chase,"2,158",204
Billy Hamilton,"2,158",
Magglio Ordonez,"2,156",206
Victor Martinez,"2,153",207
