Name,OBP (Raw),Rank
Ted Williams,.482 (.4817),1
Babe Ruth,.474 (.4739),2
John McGraw,.465 (.4655),3
Billy Hamilton,.455 (.4552),4
Lou Gehrig,.447 (.4474),5
Barry Bonds,.444 (.4443),6
Rogers Hornsby,.434 (.4337),7
Ty Cobb,.433 (.4330),8
Jimmie Foxx,.428 (.4283),9
Tris Speaker,.428 (.4279),10
Eddie Collins,.424 (.4243),11
Ferris Fain,.424 (.4241),12
Joe Jackson,.423 (.4227),13
Max Bishop,.423 (.4227),
Mickey Mantle,.421 (.4205),15
Mickey Cochrane,.419 (.4192),16
Frank Thomas,.419 (.4191),17
Juan Soto,.419 (.4186),18
Dan Brouthers,.418 (.4179),19
Edgar Martinez,.418 (.4178),20
Stan Musial,.417 (.4167),21
Cupid Childs,.416 (.4158),22
Jesse Burkett,.415 (.4151),23
Wade Boggs,.415 (.4150),24
Todd Helton,.414 (.4143),25
Mel Ott,.414 (.4140),26
Roy Thomas,.413 (.4135),27
Hank Greenberg,.412 (.4118),28
Ed Delahanty,.411 (.4114),29
Manny Ramirez,.411 (.4106),30
Aaron Judge,.410 (.4105),31
Charlie Keller,.410 (.4099),32
Eddie Stanky,.410 (.4098),33
Harry Heilmann,.410 (.4095),34
Joey Votto,.409 (.4094),35
Jackie Robinson,.409 (.4089),36
Roy Cullenbine,.408 (.4082),37
Mike Trout,.408 (.4078),38
Jeff Bagwell,.408 (.4076),39
Denny Lyons,.407 (.4074),40
Riggs Stephenson,.407 (.4065),41
Lance Berkman,.406 (.4060),42
Arky Vaughan,.406 (.4058),43
Paul Waner,.404 (.4043),44
Charlie Gehringer,.404 (.4036),45
Joe Cunningham,.403 (.4035),46
Pete Browning,.403 (.4028),47
Lu Blue,.402 (.4022),48
Jim Thome,.402 (.4019),49
Joe Kelley,.402 (.4017),50
Rickey Henderson,.401 (.4012),51
Chipper Jones,.401 (.4012),
Larry Walker,.400 (.4002),53
Brian Giles,.400 (.3998),54
