Name,Outs,Rank
Pete Rose,"10,327",1
Hank Aaron,"9,136",2
Carl Yastrzemski,"9,126",3
Cal Ripken Jr.,"8,893",4
Albert Pujols,"8,630",5
Eddie Murray,"8,570",6
Rickey Henderson,"8,510",7
Omar Vizquel,"8,427",8
Dave Winfield,"8,422",9
Robin Yount,"8,415",10
Adrián Beltré,"8,340",11
Brooks Robinson,"8,340",
Craig Biggio,"8,272",13
Derek Jeter,"8,265",14
Luis Aparicio,"8,110",15
Rabbit Maranville,"8,107",16
Willie Mays,"8,056",17
Paul Molitor,"8,040",18
Ty Cobb,"7,940",19
Alex Rodriguez,"7,912",20
Rafael Palmeiro,"7,858",21
Lou Brock,"7,823",22
Stan Musial,"7,704",23
Miguel Cabrera,"7,675",24
George Brett,"7,673",25
Reggie Jackson,"7,659",26
Andre Dawson,"7,621",27
Al Kaline,"7,594",28
Frank Robinson,"7,528",29
Ozzie Smith,"7,528",
Rusty Staub,"7,509",31
Harold Baines,"7,482",32
Tony Perez,"7,462",33
Carlos Beltran,"7,420",34
"Ken Griffey, Jr.","7,398",35
Tris Speaker,"7,338",36
Eddie Collins,"7,320",37
Barry Bonds,"7,313",38
Vada Pinson,"7,304",39
Johnny Damon,"7,291",40
Steve Finley,"7,285",41
Honus Wagner,"7,267",42
Ernie Banks,"7,261",43
Ivan Rodriguez,"7,257",44
Max Carey,"7,234",45
Joe Morgan,"7,174",46
Jimmy Rollins,"7,170",47
Ichiro Suzuki,"7,152",48
Bill Buckner,"7,146",49
Gary Gaetti,"7,108",50
Graig Nettles,"7,096",51
Nellie Fox,"7,080",52
Darrell Evans,"7,075",53
Dave Parker,"7,055",54
Willie Davis,"7,051",55
Bert Campaneris,"6,999",56
Gary Sheffield,"6,987",57
Luis Gonzalez,"6,973",58
Billy Williams,"6,969",59
Dwight Evans,"6,965",60
Buddy Bell,"6,955",61
Dave Concepcion,"6,932",62
Roberto Alomar,"6,914",63
Sam Crawford,"6,880",64
Roberto Clemente,"6,877",65
Rod Carew,"6,857",66
Torii Hunter,"6,838",67
Sammy Sosa,"6,809",68
Doc Cramer,"6,787",69
Mel Ott,"6,771",70
Carlton Fisk,"6,767",71
Jake Beckley,"6,763",72
Bill Dahlen,"6,739",73
Chili Davis,"6,737",74
Al Oliver,"6,736",75
Tommy Corcoran,"6,709",76
Harry Hooper,"6,687",77
Steve Garvey,"6,672",78
Tim Raines,"6,670",79
Tony Gwynn,"6,662",80
Larry Bowa,"6,647",81
Chipper Jones,"6,640",82
Ted Simmons,"6,639",83
Sam Rice,"6,638",84
Julio Franco,"6,609",85
Mickey Vernon,"6,608",86
Paul Waner,"6,608",
Fred McGriff,"6,604",88
Lou Whitaker,"6,599",89
Frankie Frisch,"6,590",90
Lave Cross,"6,586",91
Nap Lajoie,"6,579",92
Wade Boggs,"6,566",93
George Davis,"6,555",94
Joe Carter,"6,551",95
Robinson Cano,"6,530",96
Don Baylor,"6,510",97
David Ortiz,"6,507",98
Mike Schmidt,"6,490",99
Bobby Wallace,"6,484",100
Eddie Mathews,"6,478",101
Garret Anderson,"6,455",102
Jeff Kent,"6,434",103
Zack Wheat,"6,434",
Miguel Tejada,"6,429",105
Paul Konerko,"6,426",106
Luke Appling,"6,418",107
Marquis Grissom,"6,411",108
Harmon Killebrew,"6,399",109
Bobby Abreu,"6,389",110
Alan Trammell,"6,388",111
Red Schoendienst,"6,386",112
B.J. Surhoff,"6,360",113
Tim Wallach,"6,355",114
Jim Thome,"6,354",115
Ryne Sandberg,"6,347",116
Edgar Renteria,"6,339",117
Brett Butler,"6,322",118
Ron Santo,"6,293",119
Pee Wee Reese,"6,285",120
Willie Randolph,"6,283",121
Charlie Gehringer,"6,278",122
Willie McCovey,"6,259",123
Ruben Sierra,"6,258",124
Frank White,"6,258",
Nick Markakis,"6,237",126
Gary Carter,"6,233",127
Jim Rice,"6,221",128
Andrew McCutchen,"6,204",129
Dale Murphy,"6,192",130
Goose Goslin,"6,172",131
Aramis Ramirez,"6,166",132
Elvis Andrus,"6,155",133
Brian Downing,"6,125",134
Cap Anson,"6,124",135
Fred Clarke,"6,121",136
Bill Mazeroski,"6,113",137
Don Kessinger,"6,109",138
Frank Thomas,"6,100",139
Kenny Lofton,"6,098",140
Bid McPhee,"6,097",141
Richie Ashburn,"6,096",142
Yadier Molina,"6,091",143
Andres Galarraga,"6,082",144
Tony Taylor,"6,080",145
Jimmy Dykes,"6,073",146
Carlos Santana,"6,072",147
Tommy Leach,"6,070",148
Tony Fernandez,"6,062",149
Carlos Lee,"6,058",150
Manny Ramirez,"6,038",151
Jose Cruz,"6,030",152
Al Simmons,"6,030",
Joe Kuhel,"6,028",154
Willie Keeler,"6,025",155
Garry Templeton,"6,024",156
Vladimir Guerrero,"6,000",157
Andruw Jones,"5,988",158
