Name,Plate Appearances,Rank
Pete Rose,"15,861",1
Carl Yastrzemski,"13,991",2
Hank Aaron,"13,940",3
Rickey Henderson,"13,346",4
Ty Cobb,"13,072",5
Albert Pujols,"13,041",6
Cal Ripken Jr.,"12,883",7
Eddie Murray,"12,817",8
Stan Musial,"12,712",9
Barry Bonds,"12,606",10
Derek Jeter,"12,602",11
Craig Biggio,"12,503",12
Willie Mays,"12,493",13
Dave Winfield,"12,358",14
Robin Yount,"12,249",15
Alex Rodriguez,"12,207",16
Paul Molitor,"12,160",17
Adrián Beltré,"12,130",18
Rafael Palmeiro,"12,046",19
Eddie Collins,"12,037",20
Omar Vizquel,"12,010",21
Tris Speaker,"11,988",22
Miguel Cabrera,"11,796",23
Brooks Robinson,"11,782",24
Frank Robinson,"11,743",25
Honus Wagner,"11,738",26
George Brett,"11,624",27
Al Kaline,"11,597",28
Reggie Jackson,"11,416",29
Mel Ott,"11,337",30
Joe Morgan,"11,329",31
"Ken Griffey, Jr.","11,304",32
Rabbit Maranville,"11,257",33
Lou Brock,"11,235",34
Luis Aparicio,"11,230",35
Rusty Staub,"11,229",36
Harold Baines,"11,092",37
Carlos Beltran,"11,031",38
Gary Sheffield,"10,947",39
Johnny Damon,"10,917",40
Tony Perez,"10,861",41
Ozzie Smith,"10,778",42
Max Carey,"10,770",43
Andre Dawson,"10,769",44
Paul Waner,"10,762",45
Wade Boggs,"10,740",46
Darrell Evans,"10,737",47
Ichiro Suzuki,"10,734",48
Babe Ruth,"10,617",49
Chipper Jones,"10,611",50
Sam Crawford,"10,594",51
Dwight Evans,"10,569",52
Rod Carew,"10,550",53
Luis Gonzalez,"10,531",54
Billy Williams,"10,519",55
Jake Beckley,"10,492",56
Steve Finley,"10,460",57
Nap Lajoie,"10,460",
Vada Pinson,"10,403",59
Roberto Alomar,"10,400",60
Bill Dahlen,"10,400",
Ernie Banks,"10,395",62
Tim Raines,"10,359",63
Nellie Fox,"10,349",64
Jim Thome,"10,313",65
Ivan Rodriguez,"10,270",66
Sam Rice,"10,246",67
Harry Hooper,"10,244",68
Luke Appling,"10,243",69
Charlie Gehringer,"10,237",70
Jimmy Rollins,"10,235",71
Tony Gwynn,"10,232",72
Graig Nettles,"10,226",73
Roberto Clemente,"10,212",74
Dave Parker,"10,184",75
Fred McGriff,"10,174",76
George Davis,"10,159",77
Cap Anson,"10,119",78
Eddie Mathews,"10,101",79
Frankie Frisch,"10,100",80
David Ortiz,"10,091",81
Bobby Abreu,"10,081",82
Frank Thomas,"10,074",83
Mike Schmidt,"10,062",84
Bill Buckner,"10,033",85
Buddy Bell,"10,009",86
Chili Davis,"9,996",87
Zack Wheat,"9,996",
Lou Whitaker,"9,967",89
Doc Cramer,"9,933",90
Mickey Mantle,"9,909",91
Sammy Sosa,"9,896",92
Carlton Fisk,"9,853",93
Mickey Vernon,"9,834",94
Harmon Killebrew,"9,831",95
Willie Davis,"9,822",96
Goose Goslin,"9,822",
Fred Clarke,"9,820",98
Gary Gaetti,"9,817",99
Ted Williams,"9,791",100
Al Oliver,"9,778",101
Manny Ramirez,"9,774",102
Richie Ashburn,"9,736",103
Julio Franco,"9,731",104
Lave Cross,"9,726",105
Torii Hunter,"9,688",106
Willie McCovey,"9,686",107
Ted Simmons,"9,685",108
Jimmie Foxx,"9,670",109
Lou Gehrig,"9,660",110
Dave Concepcion,"9,640",111
Bert Campaneris,"9,625",112
Jesse Burkett,"9,615",113
Bobby Wallace,"9,612",114
Willie Keeler,"9,610",115
Robinson Cano,"9,550",116
Brett Butler,"9,545",117
Jeff Kent,"9,537",118
Al Simmons,"9,515",119
Paul Konerko,"9,505",120
Rogers Hornsby,"9,475",121
Pee Wee Reese,"9,470",122
Steve Garvey,"9,466",123
Willie Randolph,"9,462",124
Todd Helton,"9,442",125
Jeff Bagwell,"9,431",126
Andrew McCutchen,"9,431",
Bid McPhee,"9,415",128
Don Baylor,"9,401",129
Ron Santo,"9,396",130
Tommy Corcoran,"9,378",131
Alan Trammell,"9,375",132
Jimmy Dykes,"9,347",133
Nick Markakis,"9,321",134
Brian Downing,"9,309",135
Mark Grace,"9,290",136
Ryne Sandberg,"9,282",137
Kenny Lofton,"9,234",138
Red Schoendienst,"9,222",139
Miguel Tejada,"9,199",140
Garret Anderson,"9,177",141
Eddie Yost,"9,175",142
Joe Judge,"9,171",143
Joe Carter,"9,154",144
Jimmy Sheckard,"9,118",145
Jimmy Ryan,"9,114",146
Tony Phillips,"9,110",147
B.J. Surhoff,"9,106",148
Larry Bowa,"9,103",149
Joe Kuhel,"9,095",150
Enos Slaughter,"9,084",151
Carlos Santana,"9,069",152
Edgar Renteria,"9,066",153
John Olerud,"9,063",154
Vladimir Guerrero,"9,059",155
Jim Rice,"9,058",156
Barry Larkin,"9,057",157
Bernie Williams,"9,053",158
Tommy Leach,"9,051",159
Dale Murphy,"9,040",160
Willie Stargell,"9,026",161
Gary Carter,"9,019",162
Freddie Freeman,"9,019",
George Sisler,"9,013",164
George Van Haltren,"8,992",165
Aramis Ramirez,"8,980",166
Harry Heilmann,"8,960",167
Marquis Grissom,"8,959",168
Jose Cruz,"8,931",169
Andres Galarraga,"8,916",170
Jason Giambi,"8,908",171
Tim Wallach,"8,908",
Joe Cronin,"8,838",173
Fred Tenney,"8,809",174
Joe Torre,"8,801",175
Tony Fernandez,"8,793",176
Ruben Sierra,"8,782",177
Carlos Lee,"8,780",178
Roger Connor,"8,768",179
Toby Harrah,"8,766",180
Joey Votto,"8,746",181
Charlie Grimm,"8,745",182
Dick Bartell,"8,743",183
Jake Daubert,"8,742",184
Donie Bush,"8,734",185
Jason Kendall,"8,701",186
Orlando Cepeda,"8,695",187
Edgar Martinez,"8,672",188
Johnny Bench,"8,669",189
Ed Konetchy,"8,664",190
Andruw Jones,"8,661",191
Carlos Delgado,"8,657",192
Todd Zeile,"8,649",193
Billy Herman,"8,641",194
Stuffy McInnis,"8,623",195
Michael Young,"8,604",196
Elvis Andrus,"8,602",197
Paul Goldschmidt,"8,575",198
Ken Singleton,"8,558",199
Keith Hernandez,"8,553",200
Yadier Molina,"8,553",
Sherry Magee,"8,546",202
Don Kessinger,"8,529",203
Jay Bell,"8,525",204
Scott Rolen,"8,515",205
Stan Hack,"8,506",206
Herman Long,"8,501",207
Tony Taylor,"8,501",
Frank White,"8,467",209
Ron Fairly,"8,437",210
Ray Durham,"8,423",211
Heinie Manush,"8,416",212
Alfonso Soriano,"8,395",213
Ed Delahanty,"8,394",214
Nelson Cruz,"8,387",215
Roger Peckinpaugh,"8,383",216
Bill Mazeroski,"8,379",217
Dummy Hoy,"8,371",218
Yogi Berra,"8,364",219
Jose Altuve,"8,361",220
Jim Bottomley,"8,355",221
Ron Cey,"8,344",222
Paul O'Neill,"8,329",223
Joe Sewell,"8,329",
Adam Dunn,"8,328",225
Lloyd Waner,"8,326",226
Jim Gilliam,"8,321",227
Willie Wilson,"8,317",228
Clyde Milan,"8,312",229
Curtis Granderson,"8,306",230
Chris Chambliss,"8,305",231
Maury Wills,"8,304",232
Ian Kinsler,"8,299",233
Pie Traynor,"8,293",234
Sal Bando,"8,288",235
Will Clark,"8,283",236
Raul Ibanez,"8,278",237
Robin Ventura,"8,271",238
George Scott,"8,269",239
Ken Boyer,"8,268",240
Bobby Bonilla,"8,255",241
Juan Pierre,"8,254",242
Wally Moses,"8,253",243
George Burns,"8,251",244
Orlando Cabrera,"8,251",
Amos Otis,"8,246",246
Dave Bancroft,"8,244",247
Jose Reyes,"8,240",248
Duke Snider,"8,237",249
Jack Clark,"8,225",250
Bobby Grich,"8,220",251
Lee May,"8,219",252
Garry Templeton,"8,208",253
Evan Longoria,"8,206",254
Kid Gleason,"8,202",255
Bob Elliott,"8,190",256
Gary Matthews,"8,189",257
Willie McGee,"8,188",258
Buddy Myer,"8,187",259
Dick Groat,"8,179",260
Tom Brown,"8,177",261
Ellis Burks,"8,176",262
Victor Martinez,"8,166",263
Royce Clayton,"8,164",264
Patsy Donovan,"8,159",265
Edd Roush,"8,156",266
Chris Speier,"8,155",267
Bob Boone,"8,148",268
Joe Medwick,"8,142",269
Joe Kelley,"8,139",270
Cesar Cedeno,"8,133",271
Jose Canseco,"8,129",272
Wally Joyner,"8,115",273
Edwin Encarnacion,"8,114",274
Gil Hodges,"8,104",275
Kiki Cuyler,"8,098",276
Bobby Bonds,"8,090",277
Devon White,"8,080",278
John Ward,"8,075",279
Hal McRae,"8,058",280
Willie Horton,"8,052",281
Reggie Smith,"8,050",282
Ken Griffey,"8,048",283
Bob Johnson,"8,048",
Tino Martinez,"8,044",285
Adrian Gonzalez,"8,043",286
Larry Walker,"8,030",287
Mark Teixeira,"8,029",288
Bobby Doerr,"8,028",289
Dusty Baker,"8,021",290
Bill Russell,"8,020",291
Jimmy Wynn,"8,010",292
Brandon Phillips,"7,991",293
Matt Holliday,"7,981",294
Jim Edmonds,"7,980",295
Derrek Lee,"7,963",296
Shawn Green,"7,962",297
Joe Mauer,"7,960",298
Del Ennis,"7,940",299
Hal Chase,"7,939",300
Cecil Cooper,"7,939",
Fred Lynn,"7,923",302
Jim O'Rourke,"7,916",303
Moises Alou,"7,913",304
Norm Cash,"7,910",305
Felipe Alou,"7,908",306
Carney Lansford,"7,905",307
Fielder Jones,"7,894",308
Mike Cameron,"7,884",309
Placido Polanco,"7,874",310
Chet Lemon,"7,872",311
Chase Utley,"7,863",312
Manny Machado,"7,843",313
Hugh Duffy,"7,837",314
Brian Giles,"7,835",315
Kirby Puckett,"7,831",316
Alvin Dark,"7,829",317
George Hendrick,"7,825",318
Wally Pipp,"7,820",319
Lance Berkman,"7,813",320
A.J. Pierzynski,"7,813",
George Foster,"7,812",322
Boog Powell,"7,810",323
Lance Parrish,"7,797",324
Jeff Conine,"7,781",325
Bobby Lowe,"7,750",326
Mike Piazza,"7,745",327
Magglio Ordonez,"7,742",328
Tommy Davis,"7,739",329
Brady Anderson,"7,737",330
Roy White,"7,735",331
Don Mattingly,"7,721",332
Arky Vaughan,"7,721",
Cy Williams,"7,720",334
Bobby Murcer,"7,718",335
Minnie Minoso,"7,710",336
Phil Cavarretta,"7,701",337
Jose Cardenal,"7,696",338
Larry Gardner,"7,685",339
