Name,Runs Produced,Rank
Ty Cobb,"4,072",1
Hank Aaron,"3,716",2
Babe Ruth,"3,673",3
Cap Anson,"3,501",4
Barry Bonds,"3,461",5
Albert Pujols,"3,429",6
Stan Musial,"3,425",7
Alex Rodriguez,"3,411",8
Lou Gehrig,"3,390",9
Honus Wagner,"3,367",10
Pete Rose,"3,319",11
Willie Mays,"3,305",12
Tris Speaker,"3,294",13
Mel Ott,"3,208",14
Carl Yastrzemski,"3,208",
Jimmie Foxx,"3,139",16
Ted Williams,"3,116",17
Rickey Henderson,"3,113",18
Jake Beckley,"3,089",19
Eddie Collins,"3,074",20
Frank Robinson,"3,055",21
Eddie Murray,"3,040",22
Dave Winfield,"3,037",23
Al Simmons,"3,027",24
Nap Lajoie,"3,021",25
Charlie Gehringer,"3,017",26
Derek Jeter,"2,974",27
Ed Delahanty,"2,962",28
Rafael Palmeiro,"2,928",29
Miguel Cabrera,"2,921",30
Cal Ripken Jr.,"2,911",31
George Davis,"2,903",32
"Ken Griffey, Jr.","2,868",33
Rogers Hornsby,"2,862",34
George Brett,"2,861",35
Paul Molitor,"2,855",36
Goose Goslin,"2,844",37
Paul Waner,"2,823",38
Manny Ramirez,"2,820",39
Sam Crawford,"2,819",40
Al Kaline,"2,806",41
Roger Connor,"2,804",42
Gary Sheffield,"2,803",43
Robin Yount,"2,787",44
Chipper Jones,"2,774",45
Adrián Beltré,"2,754",46
Hugh Duffy,"2,748",47
Bill Dahlen,"2,738",48
Carlos Beltran,"2,734",49
Craig Biggio,"2,728",50
Dan Brouthers,"2,713",51
Bid McPhee,"2,692",52
Reggie Jackson,"2,690",53
Frank Thomas,"2,677",54
Frankie Frisch,"2,671",55
Jim Thome,"2,670",56
Lave Cross,"2,657",57
Mickey Mantle,"2,650",58
Harry Heilmann,"2,647",59
David Ortiz,"2,646",60
Jimmy Ryan,"2,617",61
Jeff Bagwell,"2,597",62
Jesse Burkett,"2,597",
George Van Haltren,"2,584",64
Johnny Damon,"2,572",65
Fred Clarke,"2,567",66
Joe DiMaggio,"2,566",67
Sam Rice,"2,558",68
Mike Schmidt,"2,553",69
Joe Kelley,"2,550",70
Tony Perez,"2,545",71
Harold Baines,"2,543",72
Sammy Sosa,"2,533",73
Bobby Abreu,"2,528",74
Andre Dawson,"2,526",75
Joe Morgan,"2,515",76
Luis Gonzalez,"2,497",77
Willie Keeler,"2,496",78
Joe Cronin,"2,487",79
Roberto Clemente,"2,481",80
Dwight Evans,"2,469",81
Jeff Kent,"2,461",82
Billy Williams,"2,459",83
Eddie Mathews,"2,450",84
Todd Helton,"2,438",85
Roberto Alomar,"2,432",86
Ernie Banks,"2,429",87
Sam Thompson,"2,428",88
Dave Parker,"2,426",89
Herman Long,"2,419",90
Wade Boggs,"2,409",91
Fred McGriff,"2,406",92
Jim O'Rourke,"2,406",
Zack Wheat,"2,405",94
Pie Traynor,"2,398",95
Luke Appling,"2,390",96
Tony Gwynn,"2,386",97
Billy Hamilton,"2,386",
Enos Slaughter,"2,382",99
Tim Raines,"2,381",100
Jim Bottomley,"2,380",101
Joe Medwick,"2,376",102
Vladimir Guerrero,"2,375",103
Ivan Rodriguez,"2,375",
Rusty Staub,"2,363",105
Lou Brock,"2,361",106
Heinie Manush,"2,360",107
George Sisler,"2,357",108
Rod Carew,"2,347",109
Bernie Williams,"2,336",110
Mickey Vernon,"2,335",111
Torii Hunter,"2,334",112
Brooks Robinson,"2,321",113
Jim Rice,"2,318",114
Omar Vizquel,"2,316",115
Steve Finley,"2,306",116
Julio Franco,"2,306",
Al Oliver,"2,296",118
Harmon Killebrew,"2,294",119
Tommy Corcoran,"2,285",120
Ed McKean,"2,285",
Darrell Evans,"2,284",122
Larry Walker,"2,283",123
Carlos Delgado,"2,280",124
Vada Pinson,"2,280",
Harry Stovey,"2,278",126
Max Carey,"2,275",127
Willie McCovey,"2,263",128
Chili Davis,"2,262",129
Willie Stargell,"2,260",130
Freddie Freeman,"2,259",131
John Ward,"2,249",132
Yogi Berra,"2,247",133
Kiki Cuyler,"2,242",134
King Kelly,"2,238",135
Bob Johnson,"2,234",136
Robinson Cano,"2,233",137
Carlton Fisk,"2,230",138
Jason Giambi,"2,228",139
Lou Whitaker,"2,226",140
Miguel Tejada,"2,225",141
Andres Galarraga,"2,221",142
Joe Carter,"2,219",143
Ted Simmons,"2,215",144
Sherry Magee,"2,205",145
Tom Brown,"2,193",146
Duke Snider,"2,185",147
Scott Rolen,"2,182",148
Steve Garvey,"2,179",149
Kenny Lofton,"2,179",
Don Baylor,"2,174",151
Harry Hooper,"2,171",152
Edgar Martinez,"2,171",
Garret Anderson,"2,162",154
Doc Cramer,"2,162",
Joe Kuhel,"2,154",156
Mark Grace,"2,152",157
Earl Averill,"2,150",158
Joe Judge,"2,147",159
Joe Sewell,"2,147",
Bobby Wallace,"2,144",161
Paul Konerko,"2,135",162
Jose Canseco,"2,131",163
Carlos Lee,"2,130",164
Aramis Ramirez,"2,129",165
Ron Santo,"2,127",166
Jimmy Rollins,"2,126",167
Bobby Doerr,"2,118",168
Orlando Cepeda,"2,117",169
Graig Nettles,"2,117",
John Olerud,"2,114",171
Bill Buckner,"2,111",172
Gary Gaetti,"2,111",
Rabbit Maranville,"2,111",
Dummy Hoy,"2,108",175
Ellis Burks,"2,107",176
Will Clark,"2,107",
Tommy Leach,"2,102",178
Paul Goldschmidt,"2,101",179
Ruben Sierra,"2,100",180
Pee Wee Reese,"2,097",181
Ryne Sandberg,"2,097",
Johnny Mize,"2,096",183
Barry Larkin,"2,091",184
Bob Elliott,"2,089",185
Willie Davis,"2,088",186
Ichiro Suzuki,"2,083",187
Mike Griffin,"2,082",188
Johnny Bench,"2,078",189
Jimmy Dykes,"2,071",190
Chuck Klein,"2,069",191
Dale Murphy,"2,065",192
Moises Alou,"2,064",193
Matt Holliday,"2,061",194
Andruw Jones,"2,059",195
Andrew McCutchen,"2,059",
Mike Tiernan,"2,058",197
Jim Edmonds,"2,057",198
Buddy Bell,"2,056",199
Bobby Veach,"2,055",200
Jimmy Sheckard,"2,053",201
Alan Trammell,"2,049",202
Bobby Lowe,"2,044",203
Bill Terry,"2,044",
Luis Aparicio,"2,043",205
Patsy Donovan,"2,038",206
Nellie Fox,"2,034",207
Keith Hernandez,"2,033",208
Ben Chapman,"2,031",209
Juan Gonzalez,"2,031",
Paul O'Neill,"2,029",211
B.J. Surhoff,"2,027",212
Ozzie Smith,"2,022",213
Fred Pfeffer,"2,019",214
Magglio Ordonez,"2,018",215
Lance Berkman,"2,014",216
Arlie Latham,"2,014",
Edd Roush,"2,012",218
Gil Hodges,"2,009",219
Arky Vaughan,"2,003",220
Tony Lazzeri,"1,999",221
Mark McGwire,"1,998",222
Hank Greenberg,"1,996",223
Billy Nash,"1,989",224
Mark Teixeira,"1,988",225
Brian Downing,"1,986",226
Buddy Myer,"1,986",
