Name,Runs,Rank
Rickey Henderson,"2,295",1
Ty Cobb,"2,245",2
Barry Bonds,"2,227",3
Hank Aaron,"2,174",4
Babe Ruth,"2,174",
Pete Rose,"2,165",6
Willie Mays,"2,062",7
Alex Rodriguez,"2,021",8
Stan Musial,"1,949",9
Derek Jeter,"1,923",10
Albert Pujols,"1,914",11
Lou Gehrig,"1,888",12
Tris Speaker,"1,882",13
Mel Ott,"1,859",14
Craig Biggio,"1,844",15
Frank Robinson,"1,829",16
Eddie Collins,"1,821",17
Carl Yastrzemski,"1,816",18
Ted Williams,"1,798",19
Paul Molitor,"1,782",20
Charlie Gehringer,"1,774",21
Jimmie Foxx,"1,751",22
Honus Wagner,"1,736",23
Jesse Burkett,"1,720",24
Cap Anson,"1,719",25
Willie Keeler,"1,719",
Billy Hamilton,"1,690",27
Bid McPhee,"1,678",28
Mickey Mantle,"1,677",29
Dave Winfield,"1,669",30
Johnny Damon,"1,668",31
Rafael Palmeiro,"1,663",32
"Ken Griffey, Jr.","1,662",33
Joe Morgan,"1,650",34
Cal Ripken Jr.,"1,647",35
Jimmy Ryan,"1,642",36
George Van Haltren,"1,639",37
Gary Sheffield,"1,636",38
Robin Yount,"1,632",39
Eddie Murray,"1,627",40
Paul Waner,"1,627",
Al Kaline,"1,622",42
Roger Connor,"1,620",43
Fred Clarke,"1,619",44
Chipper Jones,"1,619",
Lou Brock,"1,610",46
Jake Beckley,"1,600",47
Ed Delahanty,"1,599",48
Bill Dahlen,"1,589",49
George Brett,"1,583",50
Jim Thome,"1,583",
Carlos Beltran,"1,582",52
Rogers Hornsby,"1,579",53
Tim Raines,"1,571",54
Hugh Duffy,"1,552",55
Miguel Cabrera,"1,551",56
Reggie Jackson,"1,551",
Max Carey,"1,545",58
Manny Ramirez,"1,544",59
George Davis,"1,539",60
Frankie Frisch,"1,532",61
Kenny Lofton,"1,528",62
Adrián Beltré,"1,524",63
Dan Brouthers,"1,523",64
Tom Brown,"1,521",65
Jeff Bagwell,"1,517",66
Sam Rice,"1,514",67
Wade Boggs,"1,513",68
Eddie Mathews,"1,509",69
Roberto Alomar,"1,508",70
Al Simmons,"1,507",71
Mike Schmidt,"1,506",72
Nap Lajoie,"1,504",73
Frank Thomas,"1,494",74
Harry Stovey,"1,492",75
Goose Goslin,"1,483",76
Arlie Latham,"1,478",77
Sammy Sosa,"1,475",78
Dwight Evans,"1,470",79
Herman Long,"1,455",80
Bobby Abreu,"1,453",81
Jim O'Rourke,"1,446",82
Omar Vizquel,"1,445",83
Steve Finley,"1,443",84
Harry Hooper,"1,429",85
Rod Carew,"1,424",86
Dummy Hoy,"1,424",
Joe Kelley,"1,421",88
Jimmy Rollins,"1,421",
Ichiro Suzuki,"1,420",90
David Ortiz,"1,419",91
Roberto Clemente,"1,416",92
Luis Gonzalez,"1,412",93
Billy Williams,"1,410",94
John Ward,"1,408",95
Mike Griffin,"1,405",96
Todd Helton,"1,401",97
Sam Crawford,"1,391",98
Joe DiMaggio,"1,390",99
Lou Whitaker,"1,386",100
Tony Gwynn,"1,383",101
Andre Dawson,"1,373",102
Vada Pinson,"1,366",103
Bernie Williams,"1,366",
Brett Butler,"1,359",105
Doc Cramer,"1,357",106
King Kelly,"1,357",
Tommy Leach,"1,355",108
Larry Walker,"1,355",
Ivan Rodriguez,"1,354",110
Fred McGriff,"1,349",111
Darrell Evans,"1,344",112
Freddie Freeman,"1,338",113
Pee Wee Reese,"1,338",
Luis Aparicio,"1,335",115
Lave Cross,"1,333",116
Barry Larkin,"1,329",117
Vladimir Guerrero,"1,328",118
George Gore,"1,327",119
Richie Ashburn,"1,322",120
Jeff Kent,"1,320",121
Luke Appling,"1,319",122
Patsy Donovan,"1,318",123
Ryne Sandberg,"1,318",
Mike Tiernan,"1,313",125
Ernie Banks,"1,305",126
Kiki Cuyler,"1,305",
Tony Phillips,"1,300",128
Harold Baines,"1,299",129
Torii Hunter,"1,296",130
Jimmy Sheckard,"1,296",
Harry Heilmann,"1,291",132
Zack Wheat,"1,289",133
Heinie Manush,"1,287",134
Julio Franco,"1,285",135
George Sisler,"1,284",136
Harmon Killebrew,"1,283",137
Donie Bush,"1,280",138
Nellie Fox,"1,279",139
Fred Tenney,"1,278",140
Carlton Fisk,"1,276",141
Dave Parker,"1,272",142
Tony Perez,"1,272",
Andrew McCutchen,"1,263",144
Robinson Cano,"1,262",145
Duke Snider,"1,259",146
Bobby Bonds,"1,258",147
Ozzie Smith,"1,257",148
Sam Thompson,"1,256",149
Rabbit Maranville,"1,255",150
Ellis Burks,"1,253",151
Paul Goldschmidt,"1,252",152
Jim Edmonds,"1,251",153
Ray Durham,"1,249",154
Jim Rice,"1,249",
Enos Slaughter,"1,247",156
Ian Kinsler,"1,243",157
Carlos Delgado,"1,241",158
Chili Davis,"1,240",159
Stan Hack,"1,239",160
Bob Johnson,"1,239",
Willie Randolph,"1,239",
Don Baylor,"1,236",163
Joe Kuhel,"1,236",
Joe Cronin,"1,233",165
Brooks Robinson,"1,232",166
Alan Trammell,"1,231",167
Miguel Tejada,"1,230",168
Willie McCovey,"1,229",169
Jason Giambi,"1,227",170
Ed McKean,"1,227",
Earl Averill,"1,224",172
Red Schoendienst,"1,223",173
Edgar Martinez,"1,219",174
Willie Davis,"1,217",175
Curtis Granderson,"1,217",
Eddie Yost,"1,215",177
Cupid Childs,"1,214",178
Scott Rolen,"1,211",179
Andruw Jones,"1,204",180
Lloyd Waner,"1,201",181
Edgar Renteria,"1,200",182
Joe Medwick,"1,198",183
Dale Murphy,"1,197",184
Mickey Vernon,"1,196",185
Andres Galarraga,"1,195",186
Willie Stargell,"1,195",
Graig Nettles,"1,193",188
Jose Altuve,"1,192",189
Al Oliver,"1,189",190
Rusty Staub,"1,189",
George Burns,"1,188",192
Brian Downing,"1,188",
Marquis Grissom,"1,187",194
Jose Canseco,"1,186",195
Will Clark,"1,186",
Earle Combs,"1,186",
Tommy Corcoran,"1,184",198
Joe Judge,"1,184",
Pie Traynor,"1,183",200
Bert Campaneris,"1,181",201
Fielder Jones,"1,180",202
Jose Reyes,"1,180",
Mark Grace,"1,179",204
Jim Bottomley,"1,177",205
Yogi Berra,"1,175",206
Buddy Myer,"1,174",207
Arky Vaughan,"1,173",208
Joey Votto,"1,171",209
Joe Carter,"1,170",210
Willie Wilson,"1,169",211
Chuck Klein,"1,168",212
Mark McGwire,"1,167",213
Jim Gilliam,"1,163",214
Jack Glasscock,"1,163",
Billy Herman,"1,163",
Paul Konerko,"1,162",217
Matt Holliday,"1,157",218
Alfonso Soriano,"1,152",219
Buddy Bell,"1,151",220
Lu Blue,"1,151",
Lance Berkman,"1,146",222
Mike Trout,"1,146",
Ben Chapman,"1,144",224
Steve Garvey,"1,143",225
Joe Sewell,"1,141",226
John Olerud,"1,139",227
Ron Santo,"1,138",228
Michael Young,"1,137",229
Minnie Minoso,"1,136",230
Chuck Knoblauch,"1,132",231
Orlando Cepeda,"1,131",232
Bobby Lowe,"1,131",
Dick Bartell,"1,130",234
Gary Gaetti,"1,130",
Buck Ewing,"1,129",236
Shawn Green,"1,129",
Ken Griffey,"1,129",
Carlos Lee,"1,125",239
Devon White,"1,125",
Keith Hernandez,"1,124",241
Wally Moses,"1,124",
Jay Bell,"1,123",243
Reggie Smith,"1,123",
Mookie Betts,"1,121",245
Brian Giles,"1,121",
Hardy Richardson,"1,120",247
Bill Terry,"1,120",
Nick Markakis,"1,119",249
Jack Clark,"1,118",250
Johnny Mize,"1,118",
Jake Daubert,"1,117",252
Toby Harrah,"1,115",253
Bryce Harper,"1,114",254
Sherry Magee,"1,112",255
Moises Alou,"1,109",256
Jimmy Dykes,"1,108",257
Gil Hodges,"1,105",258
Jimmy Wynn,"1,105",
Ken Boyer,"1,104",260
Chase Utley,"1,103",261
Dick Allen,"1,099",262
Edwin Encarnacion,"1,099",
Edd Roush,"1,099",
Mark Teixeira,"1,099",
Aramis Ramirez,"1,098",266
Adam Dunn,"1,097",267
Bobby Doerr,"1,094",268
Fred Pfeffer,"1,094",
Amos Otis,"1,092",270
Carlos Santana,"1,092",
Johnny Bench,"1,091",272
Nelson Cruz,"1,090",273
Garret Anderson,"1,084",274
Bobby Bonilla,"1,084",
Cesar Cedeno,"1,084",
Ruben Sierra,"1,084",
Tommy Tucker,"1,084",
Paul Hines,"1,083",279
Gary Matthews,"1,083",
Derrek Lee,"1,081",281
Ryan Braun,"1,080",282
Ron Gant,"1,080",
Bill Buckner,"1,077",284
Magglio Ordonez,"1,076",285
Juan Pierre,"1,075",286
Ted Simmons,"1,074",287
Billy Nash,"1,072",288
Kirby Puckett,"1,071",289
Harlond Clift,"1,070",290
Tommy McCarthy,"1,069",291
Maury Wills,"1,067",292
Mike Cameron,"1,064",293
Alvin Dark,"1,064",
Bob Elliott,"1,064",
Kip Selbach,"1,064",
Rafael Furcal,"1,063",297
Fred Lynn,"1,063",
Brady Anderson,"1,062",299
Charlie Jamieson,"1,062",
B.J. Surhoff,"1,062",
Juan Gonzalez,"1,061",302
Elvis Andrus,"1,058",303
Justin Upton,"1,058",
Tony Fernandez,"1,057",305
Bobby Wallace,"1,057",
Jimmy Collins,"1,055",307
Raul Ibanez,"1,055",
Hank Greenberg,"1,051",309
Hanley Ramirez,"1,049",310
Dave Bancroft,"1,048",311
Mike Piazza,"1,048",
Norm Cash,"1,046",313
Dom DiMaggio,"1,046",
Manny Machado,"1,042",315
Mickey Cochrane,"1,041",316
Paul O'Neill,"1,041",
Reggie Sanders,"1,037",318
Dixie Walker,"1,037",
Jose Cruz,"1,036",320
Bobby Grich,"1,033",321
Jason Kendall,"1,030",322
Gary Carter,"1,025",323
Tom Daly,"1,024",324
John McGraw,"1,024",
Cy Williams,"1,024",
Davey Lopes,"1,023",327
Jose Bautista,"1,022",328
Kid Gleason,"1,020",329
Joe Mauer,"1,018",330
Evan Longoria,"1,017",331
Greg Vaughn,"1,017",
Cecil Cooper,"1,012",333
Roy Thomas,"1,011",334
Willie McGee,"1,010",335
Placido Polanco,"1,009",336
Tino Martinez,"1,008",337
Marty McManus,"1,008",
Carney Lansford,"1,007",339
Don Mattingly,"1,007",
Frankie Crosetti,"1,006",341
Roger Peckinpaugh,"1,006",
Robin Ventura,"1,006",
Brandon Phillips,"1,005",344
Tony Taylor,"1,005",
Augie Galan,"1,004",346
Clyde Milan,"1,004",
Luis Castillo,"1,001",348
Harry Davis,"1,001",
Vern Stephens,"1,001",
Carl Crawford,998,351
Adrian Gonzalez,997,352
Matt Williams,997,
Charlie Blackmon,996,354
Joe Torre,996,
Eric Young,996,
Charlie Comiskey,994,357
Hughie Jennings,994,
Dave Concepcion,993,359
Billy Shindle,992,360
Phil Cavarretta,990,361
Larry Bowa,987,362
George Foster,986,363
Tony Lazzeri,986,
Tim Salmon,986,
Todd Zeile,986,
Felipe Alou,985,367
Orlando Cabrera,985,
Del Ennis,985,
Kirk Gibson,985,
Ken Singleton,985,
Jermaine Dye,984,372
Sal Bando,982,373
Christian Yelich,982,
Nolan Arenado,980,375
Hal Chase,980,
Ron Cey,977,377
Albert Belle,974,378
Wally Pipp,974,
Wally Joyner,973,380
Chet Lemon,973,
Tommy Harper,972,382
Ed Konetchy,972,
Bobby Murcer,972,
Rocky Colavito,971,385
Jack Doyle,971,
Ralph Kiner,971,
Ray Lankford,968,388
Max Bishop,966,389
George Wood,965,390
Dusty Baker,964,391
Roy White,964,
Adam Jones,963,393
Ryan Zimmerman,963,
Shin-Soo Choo,961,395
Larry Doby,960,396
Larry Doyle,960,
Lee May,959,398
George Scott,957,399
Ginger Beaumont,955,400
Pete Browning,954,401
Gee Walker,954,
Bobby Veach,953,403
Harvey Kuenn,951,404
Elmer Flick,950,405
Matt Kemp,950,
Rick Monday,950,
David Wright,949,408
Miller Huggins,948,409
Jackie Robinson,947,410
Mark Grudzielanek,946,411
Bing Miller,946,
Paul Radford,945,413
Roy Sievers,945,
J.D. Drew,944,415
Brett Gardner,943,416
Francisco Lindor,943,
Mark McLemore,943,
Red Rolfe,942,419
George Hendrick,941,420
José Ramírez,941,
Hal McRae,940,422
Eric Davis,938,423
Bill Bruton,937,424
Bill Hallman,937,
Dolph Camilli,936,426
Jose Cardenal,936,
Jack Tobin,936,
Royce Clayton,935,429
Marcus Semien,935,
Dante Bichette,934,431
Sam West,934,
Denny Lyons,932,433
Ron Fairly,931,434
Bill Dickey,930,435
Ned Hanlon,930,
Pinky Higgins,930,
Vernon Wells,930,
David Justice,929,439
Bret Boone,927,440
Nomar Garciaparra,927,
Johnny Callison,926,442
Claudell Washington,926,
Henry Larkin,925,444
Dustin Pedroia,922,445
Anthony Rizzo,922,
Bill Madlock,920,447
Johnny Evers,919,448
Xander Bogaerts,918,449
Heinie Groh,918,
Jeromy Burnitz,917,451
Curt Welch,915,452
Joe Gordon,914,453
Victor Martinez,914,
Darin Erstad,913,455
Steve Sax,913,
George Springer,913,
Chris Chambliss,912,458
George Grantham,912,
Elmer Smith,912,
Frank White,912,
Raul Mondesi,909,462
Lonnie Smith,909,
Charlie Grimm,908,464
Tim Wallach,908,
Germany Smith,907,466
Giancarlo Stanton,907,
Frank Schulte,906,468
Tommy Dowd,903,469
Kent Hrbek,903,
Bobby Thomson,903,
Vinny Castilla,902,472
George Burns,901,473
Tommy Henrich,901,
Dave Kingman,901,
Jorge Posada,900,476
Don Kessinger,899,477
John Reilly,898,478
Darryl Strawberry,898,
J.D. Martinez,897,480
Melky Cabrera,895,481
Pete Fox,895,
Travis Fryman,895,
Carl Furillo,895,
Freddie Lindstrom,895,
Ken Caminiti,894,486
Garry Templeton,893,487
DJ LeMahieu,892,488
Hunter Pence,891,489
Joe Quinn,891,
Troy Glaus,889,491
Boog Powell,889,
Dick McAuliffe,888,493
Home Run Baker,887,494
Steve Brodie,886,495
Asdrubal Cabrera,886,
Alex Rios,885,497
Hack Wilson,884,498
Ben Zobrist,884,
Ossie Bluege,883,500
Jayson Werth,883,
Babe Herman,882,502
George Kell,881,503
Greg Luzinski,880,504
Tip O'Neill,880,
Jason Heyward,879,506
Otis Nixon,878,507
Coco Crisp,877,508
Phil Rizzuto,877,
Pete Runnels,876,510
Rudy York,876,
Billy Werber,875,512
Eddie Joost,874,513
Ryan Klesko,874,
George Pinkney,874,
Willie Horton,873,516
Joe Jackson,873,
Juan Samuel,873,
Delino DeShields,872,519
Stuffy McInnis,872,
Jose Valentin,872,
John Anderson,870,522
Jeff Conine,870,
Tony Oliva,870,
Oyster Burns,869,525
Lloyd Moseby,869,
Dode Paskert,868,527
Alex Gordon,867,528
Gabby Hartnett,867,
Johnny Pesky,867,
Vic Wertz,867,
Larry Gardner,866,532
Gus Bell,865,533
Richie Hebner,865,
Frank Howard,864,535
Randy Winn,863,536
Prince Fielder,862,537
Lou Boudreau,861,538
Mo Vaughn,861,
Ken Williams,860,540
Starling Marte,859,541
Chick Stahl,858,542
Lance Parrish,856,543
Del Pratt,856,
Shannon Stewart,853,545
Curt Flood,851,546
Terry Pendleton,851,
Larry Parrish,850,548
Brian Roberts,850,
