Name,Sacrifice Flies,Rank
Eddie Murray,128,1
Cal Ripken Jr.,127,2
Albert Pujols,123,3
Robin Yount,123,
Hank Aaron,121,5
Frank Thomas,121,
George Brett,120,7
Ruben Sierra,120,
Rafael Palmeiro,119,9
Rusty Staub,119,
Andre Dawson,118,11
Don Baylor,115,12
Brooks Robinson,114,13
Alex Rodriguez,111,14
Gary Sheffield,111,
Carlos Beltran,110,16
Paul Molitor,109,17
Mike Schmidt,108,18
Tony Perez,106,19
Joe Carter,105,20
Carl Yastrzemski,105,
Gary Gaetti,104,22
Al Kaline,104,
B.J. Surhoff,104,
Adrián Beltré,103,25
Miguel Cabrera,103,
Jeff Conine,103,
Jeff Kent,103,
Amos Otis,103,
Jeff Bagwell,102,30
"Ken Griffey, Jr.",102,
Frank Robinson,102,
Will Clark,101,33
Ted Simmons,100,34
Harold Baines,99,35
Gary Carter,99,
Mark Grace,99,
Luis Gonzalez,98,38
Roberto Alomar,97,39
Bobby Bonilla,97,
Bill Buckner,97,
Evan Longoria,97,
Ernie Banks,96,43
Wade Boggs,96,
Willie Davis,96,
Don Mattingly,96,
Joe Morgan,96,
John Olerud,96,
Al Oliver,95,49
Dave Winfield,95,
Chili Davis,94,51
Chipper Jones,94,
Jim Rice,94,
Ron Santo,94,
Carlos Delgado,93,55
Jason Giambi,93,
Carlos Lee,92,57
David Ortiz,92,
Omar Vizquel,92,
Barry Bonds,91,60
Wally Joyner,91,
Willie Mays,91,
Lou Whitaker,91,
Johnny Bench,90,64
Orlando Cabrera,90,
Darrell Evans,90,
Steve Garvey,90,
Graig Nettles,90,
Paul O'Neill,90,
Manny Ramirez,90,
Scott Rolen,90,
Garret Anderson,87,72
Dave Concepcion,86,73
George Hendrick,86,
Paul Konerko,86,
Fred Lynn,86,
Victor Martinez,86,
Dave Parker,86,
Reggie Smith,86,
Bobby Abreu,85,80
Dusty Baker,85,
Tony Gwynn,85,
Todd Helton,85,
Hal McRae,85,
Mike Lowell,84,85
George Bell,83,86
Jack Clark,83,
Moises Alou,82,88
Ron Cey,82,
Jose Cruz,82,
Craig Biggio,81,91
Jose Canseco,81,
Bobby Murcer,81,
Aramis Ramirez,81,
Todd Zeile,81,
Buddy Bell,80,96
Julio Franco,80,
Tino Martinez,80,
Cecil Cooper,79,99
Carlton Fisk,79,
Greg Luzinski,79,
Pete Rose,79,
Nolan Arenado,78,103
Albert Belle,78,
Bob Boone,78,
Travis Fryman,78,
Juan Gonzalez,78,
Mark McGwire,78,
Vada Pinson,78,
Sammy Sosa,78,
Dwight Evans,77,111
Harmon Killebrew,77,
Carney Lansford,77,
Edgar Martinez,77,
Tim Wallach,77,
Luis Aparicio,76,116
Eric Karros,76,
Tim Raines,76,
Edgar Renteria,76,
Ivan Rodriguez,76,
Alan Trammell,76,
Robin Ventura,76,
Steve Finley,75,123
Dave Kingman,75,
Yadier Molina,75,
Willie Stargell,75,
Orlando Cepeda,74,127
Andrew McCutchen,74,
Justin Morneau,74,
Jim Thome,74,
Jimmy Wynn,74,
Dante Bichette,73,132
Bret Boone,73,
Adrian Gonzalez,73,
Pedro Guerrero,73,
Nick Markakis,73,
Billy Williams,73,
Tom Brunansky,72,138
Toby Harrah,72,
Matt Kemp,72,
Boog Powell,72,
Chase Utley,72,
Vinny Castilla,71,143
Cesar Cedeno,71,
Johnny Damon,71,
Keith Hernandez,71,
Jeff King,71,
Fred McGriff,71,
Ryne Sandberg,71,
Andre Thornton,71,
Brian Downing,70,151
Brian Giles,70,
Bill Mazeroski,70,
Willie McCovey,70,
Benito Santiago,70,
Miguel Tejada,70,
Frank Thomas,70,
Bill Madlock,69,158
Ben Oglivie,69,
Roy White,69,
Ryan Zimmerman,69,
Tommy Davis,68,162
Ray Durham,68,
George Foster,68,
Torii Hunter,68,
Reggie Jackson,68,
Andruw Jones,68,
Pete O'Brien,68,
Tim Salmon,68,
Ken Caminiti,67,170
Mike Hargrove,67,
Richie Hebner,67,
Rickey Henderson,67,
Barry Larkin,67,
Jorge Orta,67,
Terry Pendleton,67,
Joe Randa,67,
Ben Zobrist,67,
Carlos Baerga,66,179
Roberto Clemente,66,
Edwin Encarnacion,66,
Kent Hrbek,66,
Kevin McReynolds,66,
Kurt Suzuki,66,
Hubie Brooks,65,185
Dan Driessen,65,
Jermaine Dye,65,
Jim Edmonds,65,
Ron Fairly,65,
Kenny Lofton,65,
Lee May,65,
Denis Menke,65,
Willie Montanez,65,
Keith Moreland,65,
Magglio Ordonez,65,
Carlos Santana,65,
Larry Walker,65,
Bob Watson,65,
Frank White,65,
David Wright,65,
Bobby Bonds,64,201
Melky Cabrera,64,
Rod Carew,64,
Doug DeCinces,64,
Freddie Freeman,64,
Vladimir Guerrero,64,
Mark Loretta,64,
Tim McCarver,64,
Willie Randolph,64,
J.T. Snow,64,
Mark Teixeira,64,
Bernie Williams,64,
Michael Young,64,
Ken Boyer,63,214
Jeff Burroughs,63,
Nomar Garciaparra,63,
Raul Ibanez,63,
Jason Kendall,63,
Bengie Molina,63,
Jhonny Peralta,63,
Tony Phillips,63,
Darrell Porter,63,
Ozzie Smith,63,
Ellis Burks,62,224
Robinson Cano,62,
Royce Clayton,62,
Brandon Crawford,62,
Marquis Grissom,62,
Aubrey Huff,62,
Manny Machado,62,
Gary Matthews,62,
Brandon Phillips,62,
George Scott,62,
Justin Turner,62,
Matt Williams,62,
Jose Cardenal,61,236
Tony Fernandez,61,
Prince Fielder,61,
Deron Johnson,61,
Ray Knight,61,
Francisco Lindor,61,
J.D. Martinez,61,
Lou Piniella,61,
Alex Rios,61,
Andy Van Slyke,61,
Xander Bogaerts,60,246
Mike Cameron,60,
Bert Campaneris,60,
Rocky Colavito,60,
Nelson Cruz,60,
Ozzie Guillen,60,
Garry Maddox,60,
Joe Mauer,60,
Dale Murphy,60,
Ken Singleton,60,
Eugenio Suárez,60,
Jeff Cirillo,59,257
Phil Garner,59,
Bryce Harper,59,
Willie Horton,59,
Ian Kinsler,59,
Brian McCann,59,
Dustin Pedroia,59,
Cookie Rojas,59,
Mike Sweeney,59,
Justin Upton,59,
Vernon Wells,59,
Elvis Andrus,58,268
Jose Bautista,58,
Jay Bell,58,
Andres Galarraga,58,
Derek Jeter,58,
Ed Kranepool,58,
Adam LaRoche,58,
Jeffrey Leonard,58,
Eddie Mathews,58,
Thurman Munson,58,
Lance Parrish,58,
A.J. Pierzynski,58,
Kirby Puckett,58,
Mike Trout,58,
Sal Bando,57,282
Rube Bressler,57,
Asdrubal Cabrera,57,
Tim Foli,57,
Ron Gant,57,
Howard Johnson,57,
Brian Jordan,57,
Minnie Minoso,57,
Tony Oliva,57,
Rico Petrocelli,57,
Anthony Rendon,57,
Juan Uribe,57,
