Name,Sacrifice Hits,Rank
Eddie Collins,512,1
Jake Daubert,392,2
Stuffy McInnis,383,3
Willie Keeler,366,4
Donie Bush,337,5
Ray Chapman,334,6
Bill Wambsganss,323,7
Roger Peckinpaugh,314,8
Larry Gardner,311,9
Tris Speaker,309,10
Rabbit Maranville,300,11
Ty Cobb,295,12
Max Carey,290,13
Jimmy Sheckard,286,14
Joe Tinker,285,15
Jack Barry,284,16
Frank Schulte,279,17
Jimmy Austin,278,18
Harry Heilmann,277,19
Fred Tenney,277,
Everett Scott,275,21
Joe Sewell,275,
Wally Pipp,272,23
Bobby Veach,271,24
Dick Bartell,269,25
Terry Turner,268,26
George Cutshaw,266,27
Otto Knabe,265,28
Duffy Lewis,264,29
Howie Shanks,263,30
Sherry Magee,260,31
Ossie Vitt,259,32
Shano Collins,258,33
Joe Judge,257,34
Johnny Evers,256,35
Edd Roush,256,
Omar Vizquel,255,37
Fielder Jones,254,38
Bill Bradley,253,39
Ed Konetchy,253,
Bucky Harris,249,41
Harry Steinfeldt,248,42
Harry Hooper,247,43
Buck Weaver,242,44
Sam Crawford,241,45
Tommy Leach,240,46
Willie Kamm,238,47
Dots Miller,235,48
Milt Stock,234,49
Del Pratt,233,50
Hans Lobert,231,51
Pie Traynor,231,
Frankie Frisch,229,53
Jimmy Dykes,228,54
Mule Haas,227,55
George McBride,226,56
George Sisler,226,
Fred Clarke,225,58
Dode Paskert,224,59
Claude Ritchey,224,
Nap Lajoie,221,61
Honus Wagner,221,
Wally Gerber,219,63
Charlie Grimm,219,
Dick Hoblitzell,219,
Amos Strunk,219,
Ossie Bluege,218,67
Mickey Doolin,217,68
Hal Chase,216,69
Tom Glavine,216,
Buck Herzog,216,
Rogers Hornsby,216,
Ray Schalk,214,73
Ozzie Smith,214,
Sam Rice,213,75
Dave Bancroft,212,76
Kid Gleason,212,
Bing Miller,210,78
Nellie Fox,208,79
Tom Jones,205,80
Freddy Parent,203,81
Frank Isbell,202,82
Bert Campaneris,199,83
Marty McManus,198,84
Ivy Olson,198,
Danny Murphy,197,86
Monte Cross,195,87
Larry Doyle,195,
Lee Magee,194,89
Phil Rizzuto,193,90
Miller Huggins,192,91
Earl Sheely,189,92
Bibb Falk,188,93
Clyde Milan,188,
George Burns,187,95
Hughie Critz,187,
Hy Myers,187,
Harry Lord,186,98
Heinie Manush,186,
George Davis,184,100
Doc Johnston,184,
Mike Mowrey,184,
Solly Hofman,183,103
Ralph Young,183,
Heinie Groh,182,105
Doc Cramer,180,106
Greg Maddux,180,
Possum Whitted,180,
Jim Bottomley,177,109
Joe Dugan,177,
Hod Ford,177,
Kiki Cuyler,176,112
Germany Schaefer,175,113
Paul Waner,174,114
Bobby Wallace,173,115
Billy Herman,171,116
Travis Jackson,171,
Baby Doll Jacobson,171,
Al Bridwell,170,119
Dick Egan,170,
Walter Holke,170,
Curt Walker,170,
Art Devlin,169,123
Tim Foli,169,
Roy Hartzell,169,
George Stovall,169,
Lu Blue,168,127
Charlie Deal,168,
George Grantham,168,
Jake Beckley,167,130
Ginger Beaumont,166,131
Joe Cronin,166,
Dan McGann,166,
Roy Thomas,166,
Bill Dahlen,165,135
Johnny Rawlings,165,
Lou Boudreau,164,137
Cy Williams,164,
Chick Gandil,163,139
Bob Ganley,163,
Zack Wheat,163,
Goose Goslin,162,142
Luis Aparicio,161,143
Jack Tobin,161,
Ping Bodie,160,145
Bob Jones,160,
Wally Schang,160,
Ken Williams,160,
Jay Bell,159,149
Lave Cross,159,
High Pockets Kelly,158,151
Herman Long,158,
Tommy Corcoran,157,153
Jack McCarthy,157,
Bob Meusel,157,
Pee Wee Reese,157,
Red Smith,156,157
Heinie Zimmerman,156,
Mark Belanger,155,159
Rube Oldring,155,
Art Fletcher,154,161
Lee Tannehill,154,
Tilly Walker,154,
Home Run Baker,153,164
Charley O'Leary,153,
George Moriarty,152,166
Billy Southworth,152,
Aaron Ward,152,
Larry Bowa,151,169
Mickey Cochrane,151,
Wid Conroy,151,
Charlie Hollocher,151,
Marty Marion,151,
Buddy Myer,151,
Bones Ely,149,175
Jack Fournier,149,
George Kell,149,
Roberto Alomar,148,178
Brett Butler,147,179
Jimmy Collins,147,
Max Flack,147,
Jimmy Johnston,147,
Joe Niekro,147,
Freddie Lindstrom,146,184
Fred Merkle,146,
Charlie Jamieson,145,186
Babe Pinelli,145,
Luke Sewell,145,
Bobby Byrne,144,189
Tommy Griffith,144,
Juan Pierre,144,
John Titus,144,
Muddy Ruel,143,193
Bob Boone,142,194
Kitty Bransfield,142,
Harry Davis,142,
Bobby Lowe,142,
Charlie Gehringer,141,198
Ozzie Guillen,141,
Billy Jurges,141,
Doc Lavan,141,
Zeb Terry,141,
Joe Kelley,140,203
Roy McMillan,140,
Doc Casey,139,205
Bernie Friberg,139,
Sam Mertes,139,
Chief Wilson,139,
George Browne,138,209
Cy Seymour,138,
Jack Smith,138,
Hobe Ferris,137,212
Bill Terry,137,
Sparky Adams,136,214
Jimmy Callahan,136,
Alfredo Griffin,136,
Rebel Oakes,136,
John Smoltz,136,
Don Sutton,136,
Shad Barry,135,220
Rick Reuschel,135,
Pinky Whitney,135,
Bobby Avila,134,223
Cliff Heathcote,134,
Ski Melillo,134,
Tito Fuentes,133,226
Chick Galloway,133,
Les Mann,133,
Mike Mitchell,133,
Topper Rigney,133,
Johnny Bates,132,231
Ira Flagstead,132,
Joe Gedeon,132,
Don Kessinger,132,
Bill McKechnie,132,
Bill Russell,132,
Jimmy Slagle,132,
Billy Sullivan,132,
Joe Jackson,131,239
Dummy Hoy,130,240
George McQuinn,130,
Steve O'Neill,130,
Eddie Grant,129,243
Bill Hallman,129,
Phil Niekro,129,
Frank O'Rourke,129,
Rod Carew,128,247
Jim Delahanty,127,248
Patsy Donovan,127,
Gabby Hartnett,127,
Chick Stahl,126,251
Bill Sweeney,126,
Andy High,125,253
Johnny Logan,125,
Hank Severeid,125,
Taylor Douthit,124,256
Frank LaPorte,124,
Craig Reynolds,124,
Alan Trammell,124,
Luis Castillo,123,260
Bill Coughlin,123,
Woody English,123,
Livan Hernandez,123,
Irish Meusel,123,
Sam West,123,
Dick Groat,122,266
Joe Stripp,122,
Johnny Temple,122,
Rollie Zeider,122,
Bucky Dent,121,270
Elmer Flick,121,
Al Lopez,121,
Felix Millan,121,
Tom Seaver,121,
Jimmy Williams,121,
Bob Friend,120,276
Phil Todt,120,
Patsy Dougherty,119,278
Kid Elberfeld,119,
Jack Graney,119,
Hughie Jennings,119,
Mike Kreevich,119,
Freddie Patek,119,
Maury Wills,119,
Ross Youngs,119,
Gene DeMontreville,118,286
Sammy Hale,118,
Skeeter Newsome,118,
Jim Sundberg,118,
Burt Hooton,117,290
Jiggs Donahue,116,291
Tony Lazzeri,116,
Jerry Remy,116,
Arky Vaughan,116,
Bobby Doerr,115,295
Bob Forsch,115,
Freddie Maguire,115,
Homer Summa,115,
Steve Yerkes,115,
John Hummel,114,300
Royce Clayton,113,301
Pat Duncan,113,
Billy Gilbert,113,
Jackie Hayes,113,
Ducky Holmes,113,
Bris Lord,113,
Red Murray,113,
Gaylord Perry,113,
Babe Ruth,113,
Glenn Wright,113,
Richie Ashburn,112,311
Bill Bergen,112,
Roger Bresnahan,112,
George Burns,112,
Eddie Foster,112,
Frank Chance,111,316
Jim Davenport,111,
Scott Fletcher,111,
Lew Fonseca,111,
Herb Pennock,111,
Al Simmons,111,
Ethan Allen,110,322
Les Bell,110,
Clayton Kershaw,110,
Kip Selbach,110,
Ted Sizemore,110,
Carson Bigbee,109,327
Emmet Heidrick,109,
Nemo Leibold,109,
Eddie Mayo,109,
Mel Ott,109,
Dick Schofield,109,
Paul Blair,108,333
Robin Roberts,108,
Lloyd Waner,108,
Harry Bay,107,336
Pete Fox,107,
Bobby Grich,107,
Stan Hack,107,
Jose Vizcaino,107,
Rabbit Warstler,107,
David Eckstein,106,342
Jim Gantner,106,
Lou Gehrig,106,
Johnny Kling,106,
Val Picinich,106,
Fred Snodgrass,106,
Jimmy Welsh,106,
Gavvy Cravath,105,349
Lonny Frey,105,
George Harper,105,
Candy LaChance,105,
Mark McLemore,105,
Roy Oswalt,105,
Jake Stahl,105,
Casey Stengel,105,
Jackie Tavener,105,
Javier Vazquez,105,
Elvis Andrus,104,359
Hugh Duffy,104,
Joe Evans,104,
Red Faber,104,
Hal Janvrin,104,
Johnny Mostil,104,
Jim Piersall,104,
Jackie Robinson,104,
Whitey Witt,104,
Robin Yount,104,
Clyde Barnhart,103,369
Lena Blackburne,103,
Rick Ferrell,103,
Lefty Grove,103,
Fred Haney,103,
Ron Hunt,103,
Dave Shean,103,
Eddie Stanky,103,
Marty Barrett,102,377
George Gibson,102,
Ken Keltner,102,
Bill Killefer,102,
Malachi Kittridge,102,
Curt Schilling,102,
Hack Wilson,102,
Craig Biggio,101,384
Adam Comorosky,101,
Rollie Hemsley,101,
Orel Hershiser,101,
Eddie Joost,101,
Darren Lewis,101,
Rube Lutzke,101,
Brooks Robinson,101,
Steve Rogers,101,
Frank White,101,
Jack Wilson,101,
Jimmie Wilson,101,
Duff Cooley,100,396
Bob Feller,100,
Charlie Hemphill,100,
Ernie Johnson,100,
Jerry Koosman,100,
Billy Rogell,100,
Heinie Wagner,100,
Eddie Ainsmith,99,403
Dave Fultz,99,
Mark Koenig,99,
Neifi Perez,99,
Willie Randolph,99,
Edgar Renteria,99,
Jerry Reuss,99,
Harry Rice,99,
Heinie Sand,99,
Elmer Smith,99,
Tommy Thevenow,99,
Robby Thompson,99,
Max Bishop,98,415
Jim Gilliam,98,
Bobby Richardson,98,
Urban Shocker,98,
Roy Smalley,98,
Frank Snyder,98,
Oscar Stanage,98,
Frank Welch,98,
Eddie Yost,98,
Frank Bolling,97,424
Mike Bordick,97,
Leo Cardenas,97,
Derek Jeter,97,
Larry Kopf,97,
Red Kress,97,
Peanuts Lowrey,97,
Harry Lumley,97,
Gus Mancuso,97,
Gil McDougald,97,
Shane Reynolds,97,
Red Schoendienst,97,
Tony Cuccinello,96,436
Frank Demaree,96,
Mike Donlin,96,
Ron Fairly,96,
Felix Fermin,96,
Topsy Hartsel,96,
Bill Hinchman,96,
Fred Luderus,96,
Otto Miller,96,
Socks Seybold,96,
Joe Wood,96,
Andy Benes,95,447
Alvin Dark,95,
Joe Harris,95,
Manny Mota,95,
Cy Perkins,95,
Joe Sugden,95,
Ivey Wingo,95,
Steve Carlton,94,454
Bud Harrelson,94,
Davy Jones,94,
Spike Shannon,94,
Ed Abbaticchio,93,458
Jimmy Archer,93,
Danny Green,93,
Tommy John,93,
Rey Sanchez,93,
Fernando Valenzuela,93,
Dixie Walker,93,
Johnny Bassler,92,465
Ben Chapman,92,
Red Dooin,92,
Tom Downey,92,
Babe Herman,92,
Joe Kuhel,92,
Greasy Neale,92,
Pete Suder,92,
Steve Finley,91,473
Waite Hoyt,91,
Lyn Lary,91,
Riggs Stephenson,91,
Tony Taylor,91,
Jesse Burkett,90,478
Cupid Childs,90,
Frankie Crosetti,90,
Johnny Cueto,90,
Julian Javier,90,
Bob Knepper,90,
Roger Metzger,90,
Don Money,90,
Jason Schmidt,90,
George Stone,90,
Pedro Astacio,89,488
Phil Cavarretta,89,
Johnny Cooney,89,
Frank Ellerbe,89,
Greg Gagne,89,
Billy Goodman,89,
Buddy Kerr,89,
John Knight,89,
Danny O'Connell,89,
Jody Reed,89,
Walt Weiss,89,
Lou Whitaker,89,
Grover Alexander,88,500
Clyde Engle,88,
Bob Fothergill,88,
Ward Miller,88,
Manny Trillo,88,
Billy Werber,88,
Juan Beniquez,87,506
Steve Brodie,87,
Ivan DeJesus,87,
Alcides Escobar,87,
Bill Mazeroski,87,
Matty McIntyre,87,
Eppa Rixey,87,
Cookie Rojas,87,
Steve Trachsel,87,
Dan Wilson,87,
Miguel Cairo,86,516
Happy Felsch,86,
Pinky Higgins,86,
Bobo Newsom,86,
Kirk Rueter,86,
Rob Wilfong,86,
Bronson Arroyo,85,522
Eddie Brown,85,
Jim Bunning,85,
Lou Criger,85,
Dwight Gooden,85,
Sad Sam Jones,85,
Dutch Leonard,85,
Mickey Lolich,85,
Ed McFarland,85,
Morrie Rath,85,
Gus Suhr,85,
Doc White,85,
Dave Altizer,84,534
Rick Burleson,84,
Joey Cora,84,
Ryan Dempster,84,
Larry French,84,
Jerry Hairston,84,
Billy Maloney,84,
Eddie Miller,84,
Dwayne Murphy,84,
Ramon Santiago,84,
Eric Young,84,
Andy Ashby,83,545
Walter Barbare,83,
Rube Bressler,83,
Willie Davis,83,
Chuck Dressen,83,
Chick Hafey,83,
Enzo Hernandez,83,
Buddy Lewis,83,
Ted Lyons,83,
Bob O'Farrell,83,
