Name,Secondary Average,Rank
Barry Bonds,.606 (.60648),1
Babe Ruth,.594 (.59388),2
Ted Williams,.553 (.55256),3
Mark McGwire,.539 (.53887),4
Aaron Judge,.524 (.52364),5
Juan Soto,.492 (.49170),6
Mike Trout,.487 (.48718),7
Mickey Mantle,.487 (.48679),8
Jim Thome,.485 (.48504),9
Lou Gehrig,.481 (.48094),10
Ralph Kiner,.467 (.46724),11
Jimmie Foxx,.464 (.46435),12
Hank Greenberg,.462 (.46178),13
Frank Thomas,.458 (.45835),14
Mike Schmidt,.450 (.45007),15
Adam Dunn,.450 (.44966),16
Charlie Keller,.444 (.44406),17
Harmon Killebrew,.444 (.44397),18
Jeff Bagwell,.439 (.43914),19
Rickey Henderson,.437 (.43737),20
Manny Ramirez,.435 (.43498),21
Kyle Schwarber,.435 (.43479),22
Lance Berkman,.434 (.43429),23
Jason Giambi,.429 (.42893),24
Bryce Harper,.428 (.42834),25
Billy Hamilton,.423 (.42262),26
Darryl Strawberry,.420 (.41990),27
Carlos Delgado,.419 (.41920),28
Mel Ott,.419 (.41899),29
David Ortiz,.419 (.41898),30
Joe Morgan,.414 (.41360),31
Willie Mays,.412 (.41191),32
Joey Votto,.412 (.41189),33
Eddie Mathews,.411 (.41080),34
Gene Tenace,.410 (.41002),35
Willie McCovey,.410 (.40954),36
Mickey Tettleton,.409 (.40868),37
Larry Walker,.407 (.40698),38
Eric Davis,.406 (.40594),39
Alex Rodriguez,.406 (.40592),40
Chipper Jones,.406 (.40572),41
Jose Bautista,.404 (.40373),42
Dolph Camilli,.403 (.40295),43
Brian Giles,.403 (.40279),44
John McGraw,.401 (.40061),45
Giancarlo Stanton,.400 (.40040),46
"Ken Griffey, Jr.",.400 (.39965),47
Gary Sheffield,.398 (.39839),48
Troy Glaus,.398 (.39815),49
Frank Robinson,.397 (.39746),50
Carlos Pena,.397 (.39705),51
Dick Allen,.396 (.39577),52
Jack Clark,.396 (.39550),53
Russell Branyan,.394 (.39400),54
Jay Buhner,.394 (.39398),55
Albert Belle,.394 (.39364),56
Matt Olson,.394 (.39355),57
Jose Canseco,.393 (.39280),58
Todd Helton,.391 (.39136),59
Jim Edmonds,.391 (.39093),60
Bobby Abreu,.390 (.38962),61
Pat Burrell,.389 (.38942),62
Hack Wilson,.389 (.38929),63
Jimmy Wynn,.388 (.38840),64
J.D. Drew,.388 (.38798),65
Johnny Mize,.387 (.38693),66
Duke Snider,.387 (.38668),67
Edgar Martinez,.384 (.38444),68
Paul Goldschmidt,.383 (.38301),69
David Justice,.383 (.38276),70
Ryan Howard,.382 (.38216),71
Bob Allison,.381 (.38136),72
Tim Salmon,.381 (.38086),73
Greg Vaughn,.380 (.38047),74
Sammy Sosa,.380 (.38035),75
Reggie Jackson,.379 (.37895),76
Josh Donaldson,.379 (.37893),77
Stan Musial,.378 (.37824),78
Danny Tartabull,.378 (.37797),79
Fred McGriff,.378 (.37764),80
Hank Aaron,.376 (.37642),81
Ryan Klesko,.376 (.37605),82
Mark Teixeira,.376 (.37601),83
Roy Cullenbine,.376 (.37587),84
Mookie Betts,.375 (.37502),85
Mike Napoli,.374 (.37445),86
Norm Cash,.374 (.37435),87
Bobby Bonds,.374 (.37427),88
Albert Pujols,.374 (.37422),89
Rob Deer,.374 (.37387),90
Travis Hafner,.374 (.37365),91
Ray Lankford,.374 (.37359),92
Joe DiMaggio,.373 (.37311),93
Jason Bay,.373 (.37292),94
Gorman Thomas,.372 (.37203),95
Larry Doby,.372 (.37173),96
Edwin Encarnacion,.371 (.37102),97
José Ramírez,.371 (.37058),98
Prince Fielder,.370 (.36970),99
Bob Johnson,.370 (.36951),100
Al Rosen,.369 (.36886),101
Howard Johnson,.369 (.36862),102
Tommy Henrich,.368 (.36802),103
Earl Torgeson,.368 (.36788),104
Rocky Colavito,.368 (.36752),105
Darren Daulton,.366 (.36556),106
Andre Thornton,.366 (.36553),107
Richie Sexson,.365 (.36546),108
Willie Stargell,.365 (.36533),109
Darrell Evans,.365 (.36532),110
Carlos Santana,.364 (.36392),111
Harry Stovey,.364 (.36380),112
Mo Vaughn,.364 (.36352),113
Bernie Carbo,.363 (.36297),114
Gary Redus,.363 (.36294),115
Rafael Palmeiro,.361 (.36077),116
Joc Pederson,.361 (.36072),117
Andruw Jones,.361 (.36071),118
Cecil Fielder,.361 (.36067),119
Josh Willingham,.360 (.36043),120
Joe Ferguson,.360 (.36021),121
Jeromy Burnitz,.360 (.36007),122
Harlond Clift,.360 (.36003),123
Reggie Sanders,.359 (.35876),124
Curtis Granderson,.359 (.35862),125
Alex Bregman,.356 (.35599),126
Tim Raines,.356 (.35595),127
Dwight Evans,.355 (.35505),128
Kirk Gibson,.355 (.35478),129
Kevin Mitchell,.355 (.35462),130
Jorge Posada,.354 (.35440),131
Yasmani Grandal,.354 (.35379),132
Cody Bellinger,.354 (.35356),133
Gavvy Cravath,.353 (.35333),134
Mike Cameron,.353 (.35327),135
Matt Stairs,.353 (.35319),136
José Cruz,.353 (.35309),137
Ron Gant,.353 (.35292),138
Mike Tiernan,.353 (.35291),139
Freddie Freeman,.353 (.35276),140
Roy Campanella,.353 (.35268),141
Mark Reynolds,.353 (.35254),142
Gil Hodges,.352 (.35220),143
Ian Happ,.352 (.35210),144
Matt Carpenter,.351 (.35132),145
Max Bishop,.350 (.35047),146
Brady Anderson,.350 (.35036),147
Nick Swisher,.350 (.34997),148
Rogers Hornsby,.349 (.34944),149
Don Mincher,.349 (.34923),150
Brandon Belt,.348 (.34849),151
John Mayberry,.348 (.34845),152
Jackie Robinson,.348 (.34837),153
Hank Sauer,.348 (.34821),154
Ryan Braun,.348 (.34793),155
Jason Thompson,.348 (.34756),156
Jayson Werth,.347 (.34719),157
Christian Yelich,.347 (.34715),158
Matt Chapman,.347 (.34694),159
Derrek Lee,.347 (.34688),160
Mike Piazza,.347 (.34684),161
Bill Nicholson,.347 (.34674),162
Roger Maris,.347 (.34660),163
Boog Powell,.346 (.34561),164
Frank Howard,.346 (.34556),165
Carlos Beltran,.345 (.34531),166
Cliff Johnson,.345 (.34499),167
Andrew McCutchen,.345 (.34492),168
Mike Stanley,.345 (.34486),169
Kris Bryant,.345 (.34473),170
Rudy York,.345 (.34459),171
Nelson Cruz,.344 (.34449),172
Kevin Youkilis,.344 (.34436),173
Dan Brouthers,.344 (.34398),174
David Wright,.344 (.34361),175
Ellis Burks,.342 (.34209),176
George Springer,.342 (.34178),177
Jackie Jensen,.341 (.34072),178
Ferris Fain,.341 (.34071),179
Scott Rolen,.341 (.34050),180
Earl Averill,.340 (.33968),181
Dale Murphy,.339 (.33932),182
Charlie Maxwell,.339 (.33929),183
Roy Sievers,.339 (.33913),184
Jorge Soler,.339 (.33883),185
Justin Upton,.339 (.33879),186
Chris Davis,.339 (.33869),187
Dave Kingman,.338 (.33848),188
Eddie Yost,.338 (.33842),189
Dan Uggla,.338 (.33831),190
Tony Clark,.338 (.33804),191
Michael Conforto,.338 (.33795),192
Jeff Heath,.338 (.33765),193
Chris Iannetta,.338 (.33764),194
John Olerud,.338 (.33759),195
Ken Williams,.338 (.33752),196
Matt Joyce,.337 (.33728),197
Cliff Floyd,.337 (.33672),198
Dwayne Murphy,.337 (.33655),199
Juan Gonzalez,.336 (.33618),200
Rafael Devers,.336 (.33610),201
Vladimir Guerrero,.336 (.33599),202
Matt Holliday,.336 (.33571),203
Reggie Smith,.336 (.33556),204
Joe Gordon,.336 (.33555),205
Gary Roenicke,.335 (.33530),206
Kent Hrbek,.335 (.33527),207
Miguel Cabrera,.335 (.33517),208
Leon Durham,.335 (.33510),209
Carl Yastrzemski,.335 (.33509),210
Anthony Rizzo,.334 (.33397),211
Trot Nixon,.334 (.33361),212
J.D. Martinez,.333 (.33274),213
Greg Luzinski,.333 (.33267),214
Roger Connor,.333 (.33256),215
Jose Valentin,.332 (.33237),216
Shawn Green,.332 (.33225),217
Alex Avila,.332 (.33203),218
Shin-Soo Choo,.332 (.33202),219
Sid Gordon,.332 (.33193),220
Grady Sizemore,.332 (.33156),221
Rick Monday,.331 (.33083),222
Hanley Ramirez,.331 (.33076),223
Todd Hundley,.330 (.32980),224
Jesse Barfield,.330 (.32969),225
Eric Chavez,.329 (.32947),226
Alvin Davis,.329 (.32925),227
Denny Lyons,.329 (.32906),228
Jay Bruce,.328 (.32830),229
Johnny Briggs,.328 (.32815),230
Johnny Bench,.328 (.32802),231
Jeff Burroughs,.328 (.32785),232
Chuck Klein,.328 (.32778),233
Joe Kelley,.328 (.32758),234
Mickey Cochrane,.328 (.32753),235
Mike Griffin,.328 (.32753),
Dean Palmer,.327 (.32742),237
Fred Lynn,.327 (.32736),238
Ken Singleton,.327 (.32731),239
John Vander Wal,.327 (.32715),240
Moises Alou,.327 (.32699),241
Eugenio Suárez,.327 (.32693),242
Robin Ventura,.327 (.32687),243
Luis Gonzalez,.327 (.32653),244
Oscar Gamble,.327 (.32652),245
Will Clark,.327 (.32650),246
Corey Seager,.326 (.32641),247
Davey Lopes,.326 (.32625),248
Vic Wertz,.326 (.32612),249
Ed Bailey,.326 (.32589),250
Brian Dozier,.326 (.32576),251
Hal Trosky,.326 (.32571),252
Darrell Porter,.326 (.32569),253
Nate Colbert,.326 (.32554),254
Ron Cey,.325 (.32463),255
Merv Rettenmund,.324 (.32446),256
Francisco Lindor,.324 (.32440),257
Josh Hamilton,.324 (.32438),258
Bernie Williams,.324 (.32393),259
Mack Jones,.324 (.32384),260
Chris Young,.324 (.32378),261
Paul Sorrento,.323 (.32327),262
Andy Seminick,.323 (.32288),263
Tony Lazzeri,.323 (.32285),264
Justin Smoak,.323 (.32266),265
Bobby Higginson,.323 (.32261),266
Ron Santo,.323 (.32261),
Jonny Gomes,.322 (.32234),268
Carlos González,.322 (.32207),269
Dexter Fowler,.321 (.32123),270
Eddie Stanky,.321 (.32109),271
Lenny Dykstra,.321 (.32090),272
Milton Bradley,.320 (.32039),273
Alfonso Soriano,.320 (.32000),274
Chili Davis,.320 (.31961),275
Frank Chance,.320 (.31953),276
Brandon Moss,.320 (.31950),277
Willson Contreras,.319 (.31946),278
John Kruk,.319 (.31896),279
Bob Horner,.319 (.31877),280
Andy Van Slyke,.319 (.31868),281
Anthony Rendon,.319 (.31862),282
Adam LaRoche,.319 (.31861),283
Ed Delahanty,.319 (.31859),284
George Grantham,.319 (.31850),285
Bobby Grich,.318 (.31843),286
Topsy Hartsel,.318 (.31828),287
Billy Williams,.318 (.31807),288
Paul Konerko,.318 (.31800),289
Augie Galan,.318 (.31767),290
Bobby Bonilla,.318 (.31762),291
Rickie Weeks,.317 (.31718),292
Wayne Gross,.317 (.31712),293
Troy Tulowitzki,.317 (.31703),294
