Name,Slugging Average,Rank
Babe Ruth,.690 (.68972),1
Ted Williams,.634 (.63379),2
Lou Gehrig,.632 (.63242),3
Aaron Judge,.614 (.61351),4
Jimmie Foxx,.609 (.60929),5
Barry Bonds,.607 (.60689),6
Hank Greenberg,.605 (.60505),7
Mark McGwire,.588 (.58817),8
Manny Ramirez,.585 (.58540),9
Joe DiMaggio,.579 (.57880),10
Rogers Hornsby,.577 (.57653),11
Mike Trout,.576 (.57637),12
Larry Walker,.565 (.56522),13
Albert Belle,.564 (.56381),14
Johnny Mize,.562 (.56201),15
Juan Gonzalez,.561 (.56071),16
Stan Musial,.559 (.55906),17
Willie Mays,.557 (.55749),18
Mickey Mantle,.557 (.55678),19
Frank Thomas,.555 (.55495),20
Hank Aaron,.555 (.55451),21
Jim Thome,.554 (.55414),22
Vladimir Guerrero,.553 (.55254),23
David Ortiz,.551 (.55150),24
Alex Rodriguez,.550 (.55016),25
Ralph Kiner,.548 (.54793),26
Carlos Delgado,.546 (.54593),27
Mike Piazza,.545 (.54522),28
Hack Wilson,.545 (.54475),29
Albert Pujols,.544 (.54382),30
Chuck Klein,.543 (.54302),31
Jeff Bagwell,.540 (.54034),32
Duke Snider,.540 (.53973),33
Todd Helton,.539 (.53906),34
"Ken Griffey, Jr.",.538 (.53780),35
Frank Robinson,.537 (.53698),36
Lance Berkman,.537 (.53690),37
Al Simmons,.535 (.53488),38
Sammy Sosa,.534 (.53376),39
Dick Allen,.534 (.53364),40
Earl Averill,.534 (.53361),41
Mel Ott,.533 (.53310),42
Ryan Braun,.532 (.53232),43
Babe Herman,.532 (.53186),44
Ken Williams,.530 (.53044),45
Chipper Jones,.529 (.52927),46
Willie Stargell,.529 (.52857),47
Juan Soto,.528 (.52827),48
Mike Schmidt,.527 (.52730),49
Jim Edmonds,.527 (.52712),50
Chick Hafey,.526 (.52605),51
Giancarlo Stanton,.525 (.52482),52
Mo Vaughn,.523 (.52314),53
Wally Berger,.522 (.52160),54
Hal Trosky,.522 (.52160),55
Nomar Garciaparra,.521 (.52059),56
Harry Heilmann,.520 (.52048),57
Kevin Mitchell,.520 (.51984),58
Bryce Harper,.519 (.51895),59
Miguel Cabrera,.518 (.51835),60
Charlie Keller,.518 (.51768),61
Joe Jackson,.517 (.51737),62
Mookie Betts,.517 (.51724),63
Jason Giambi,.516 (.51644),64
Josh Hamilton,.516 (.51573),65
Moises Alou,.516 (.51570),66
J.D. Martinez,.516 (.51560),67
Edgar Martinez,.515 (.51546),68
Ryan Howard,.515 (.51516),69
Willie McCovey,.515 (.51470),70
Jose Canseco,.515 (.51452),71
Rafael Palmeiro,.515 (.51451),72
Dan Brouthers,.514 (.51401),73
Gary Sheffield,.514 (.51394),74
Nelson Cruz,.513 (.51286),75
Ty Cobb,.512 (.51198),76
Freddie Freeman,.512 (.51185),77
Joey Votto,.511 (.51103),78
Nolan Arenado,.511 (.51085),79
Ellis Burks,.510 (.51037),80
Matt Holliday,.510 (.51020),81
Eddie Mathews,.509 (.50943),82
Rafael Devers,.509 (.50940),83
Mark Teixeira,.509 (.50937),84
Matt Olson,.509 (.50915),85
Fred McGriff,.509 (.50908),86
Jeff Heath,.509 (.50881),87
Harmon Killebrew,.509 (.50853),88
Paul Goldschmidt,.508 (.50811),89
Richie Sexson,.507 (.50690),90
Corey Seager,.506 (.50640),91
Bob Johnson,.506 (.50592),92
Bill Terry,.506 (.50591),93
