Name,Strikeouts,Rank
Reggie Jackson,"2,597",1
Jim Thome,"2,548",2
Adam Dunn,"2,379",3
Sammy Sosa,"2,306",4
Alex Rodriguez,"2,287",5
Miguel Cabrera,"2,105",6
Andres Galarraga,"2,003",7
Justin Upton,"1,971",8
Giancarlo Stanton,"1,969",9
Jose Canseco,"1,942",10
Willie Stargell,"1,936",11
Paul Goldschmidt,"1,933",12
Mark Reynolds,"1,927",13
Nelson Cruz,"1,916",14
Curtis Granderson,"1,916",
Mike Cameron,"1,901",16
Mike Schmidt,"1,883",17
Fred McGriff,"1,882",18
Tony Perez,"1,867",19
Chris Davis,"1,852",20
Ryan Howard,"1,843",21
Bobby Abreu,"1,840",22
Derek Jeter,"1,840",
Andrew McCutchen,"1,831",24
Dave Kingman,"1,816",25
Manny Ramirez,"1,813",26
Alfonso Soriano,"1,803",27
Carlos Beltran,"1,795",28
"Ken Griffey, Jr.","1,779",29
Bobby Bonds,"1,757",30
Craig Biggio,"1,753",31
David Ortiz,"1,750",32
Andruw Jones,"1,748",33
Dale Murphy,"1,748",
Carlos Delgado,"1,745",35
Torii Hunter,"1,741",36
Adrián Beltré,"1,732",37
Lou Brock,"1,730",38
Jim Edmonds,"1,729",39
J.D. Martinez,"1,714",40
Mickey Mantle,"1,710",41
Eugenio Suárez,"1,700",42
Harmon Killebrew,"1,699",43
Chili Davis,"1,698",44
Dwight Evans,"1,697",45
Evan Longoria,"1,696",46
Rickey Henderson,"1,694",47
Freddie Freeman,"1,692",48
Dave Winfield,"1,686",49
Matt Kemp,"1,641",50
Joey Votto,"1,640",51
Derrek Lee,"1,622",52
Reggie Sanders,"1,614",53
Gary Gaetti,"1,602",54
Mark McGwire,"1,596",55
Bryce Harper,"1,580",56
Shin-Soo Choo,"1,579",57
Carlos Pena,"1,577",58
Jay Bruce,"1,572",59
Jason Giambi,"1,572",
Lee May,"1,570",61
Pat Burrell,"1,564",62
B.J. Upton,"1,561",63
Jeff Bagwell,"1,558",64
Dick Allen,"1,556",65
Ray Lankford,"1,550",66
Willie McCovey,"1,550",
Mike Trout,"1,545",68
Nick Castellanos,"1,543",69
Barry Bonds,"1,539",70
Dave Parker,"1,537",71
Alex Gordon,"1,535",72
Frank Robinson,"1,532",73
Lance Parrish,"1,527",74
Willie Mays,"1,526",75
Devon White,"1,526",
Jeff Kent,"1,522",77
Eddie Murray,"1,516",78
Rick Monday,"1,513",79
Greg Vaughn,"1,513",
Andre Dawson,"1,509",81
Carlos Santana,"1,500",82
Tony Phillips,"1,499",83
Greg Luzinski,"1,495",84
Eddie Mathews,"1,487",85
Ivan Rodriguez,"1,474",86
Mike Napoli,"1,468",87
Christian Yelich,"1,465",88
Frank Howard,"1,460",89
Jorge Posada,"1,453",90
Jhonny Peralta,"1,450",91
Jayson Werth,"1,450",
Jay Bell,"1,443",93
Juan Samuel,"1,442",94
Harold Baines,"1,441",95
Jack Clark,"1,441",
Mark Teixeira,"1,441",
Mo Vaughn,"1,429",98
Jimmy Wynn,"1,427",99
Edwin Encarnacion,"1,426",100
Jim Rice,"1,423",101
George Foster,"1,419",102
Marcell Ozuna,"1,418",103
Kyle Schwarber,"1,418",
George Scott,"1,418",
Royce Clayton,"1,415",106
Ron Gant,"1,411",107
Darrell Evans,"1,410",108
Scott Rolen,"1,410",
Rob Deer,"1,409",110
Chipper Jones,"1,409",
Adam LaRoche,"1,407",112
Jay Buhner,"1,406",113
Albert Pujols,"1,404",114
Ian Desmond,"1,402",115
Adrian Gonzalez,"1,401",116
Eric Davis,"1,398",117
Frank Thomas,"1,397",118
Adam Jones,"1,395",119
Jose Bautista,"1,394",120
Carl Yastrzemski,"1,393",121
Jose Hernandez,"1,391",122
Paul Konerko,"1,391",
Joe Carter,"1,387",124
Carlton Fisk,"1,386",125
Ryan Zimmerman,"1,384",126
Hank Aaron,"1,383",127
Troy Glaus,"1,377",128
Jeromy Burnitz,"1,376",129
Raul Ibanez,"1,374",130
Nick Swisher,"1,373",131
Travis Fryman,"1,369",132
Ryan Braun,"1,363",133
Matt Williams,"1,363",
Matt Holliday,"1,362",135
Danny Tartabull,"1,362",
Tim Salmon,"1,360",137
Larry Parrish,"1,359",138
Manny Machado,"1,355",139
Darryl Strawberry,"1,352",140
Robin Yount,"1,350",141
Rafael Palmeiro,"1,348",142
Brandon Belt,"1,346",143
Javier Báez,"1,345",144
Ron Santo,"1,343",145
Julio Franco,"1,341",146
Dan Uggla,"1,341",
Ellis Burks,"1,340",148
Gorman Thomas,"1,339",149
Hunter Pence,"1,335",150
Dean Palmer,"1,332",151
Asdrubal Cabrera,"1,330",152
Babe Ruth,"1,330",
Dexter Fowler,"1,326",154
Deron Johnson,"1,318",155
Cecil Fielder,"1,316",156
Shawn Green,"1,315",157
Willie Horton,"1,313",158
Richie Sexson,"1,313",
Jimmie Foxx,"1,311",160
Jermaine Dye,"1,308",161
Mickey Tettleton,"1,307",162
Tim Wallach,"1,307",
Brandon Inge,"1,306",164
Cal Ripken Jr.,"1,305",165
Lance Berkman,"1,300",166
Steve Finley,"1,299",167
Chase Headley,"1,298",168
Aaron Judge,"1,297",169
Bret Boone,"1,295",170
Brandon Crawford,"1,294",171
Jose Valentin,"1,294",
Joey Gallo,"1,292",173
David Wright,"1,292",
Kirk Gibson,"1,285",175
Todd Zeile,"1,279",176
Johnny Bench,"1,278",177
Bobby Grich,"1,278",
Pete Incaviglia,"1,277",179
Juan Gonzalez,"1,273",180
Benito Santiago,"1,270",181
Marcus Semien,"1,269",182
George Springer,"1,266",183
Claudell Washington,"1,266",
Jimmy Rollins,"1,264",185
Ryne Sandberg,"1,260",186
Carlos Gómez,"1,259",187
Johnny Damon,"1,257",188
José Abreu,"1,246",189
Ken Singleton,"1,246",
Brett Gardner,"1,245",191
Paul Molitor,"1,244",192
Salvador Perez,"1,243",193
Carlos González,"1,240",194
Marquis Grissom,"1,240",
Ruben Sierra,"1,239",196
Jason Heyward,"1,238",197
Willie McGee,"1,238",
Aramis Ramirez,"1,238",
Duke Snider,"1,237",200
Ernie Banks,"1,236",201
Ron Cey,"1,235",202
Eric Hosmer,"1,235",
Michael Young,"1,235",
Jesse Barfield,"1,234",205
Marlon Byrd,"1,234",
Hanley Ramirez,"1,234",
Larry Walker,"1,231",208
Roberto Clemente,"1,230",209
Nick Markakis,"1,230",
Rickie Weeks,"1,230",
Xander Bogaerts,"1,228",212
Starling Marte,"1,226",213
Boog Powell,"1,226",
Matt Carpenter,"1,225",215
Garret Anderson,"1,224",216
Juan Uribe,"1,224",
Josh Donaldson,"1,221",218
Luis Gonzalez,"1,218",219
Jason Bay,"1,216",220
Jason Varitek,"1,216",
Robinson Cano,"1,214",222
Bernie Williams,"1,212",223
Russell Martin,"1,211",224
Tony Clark,"1,209",225
Graig Nettles,"1,209",
Anthony Rizzo,"1,208",227
Elvis Andrus,"1,206",228
Bobby Bonilla,"1,204",229
Teoscar Hernández,"1,204",
Dansby Swanson,"1,204",
Edgar Martinez,"1,202",232
Tony Armas,"1,201",233
Ray Durham,"1,201",
Matt Chapman,"1,199",235
Vada Pinson,"1,196",236
Chase Utley,"1,193",237
Chris Young,"1,192",238
Brady Anderson,"1,190",239
Will Clark,"1,190",
Tom Brunansky,"1,187",241
Dave Concepcion,"1,186",242
Geoff Jenkins,"1,186",
Edgar Renteria,"1,182",244
Robin Ventura,"1,179",245
Todd Helton,"1,175",246
Gary Sheffield,"1,171",247
Orlando Cepeda,"1,169",248
Wil Myers,"1,169",
Trevor Story,"1,169",
Jeff Conine,"1,168",251
Alex Gonzalez,"1,168",
Eric Karros,"1,167",253
Paul O'Neill,"1,166",254
Alex Gonzalez,"1,165",255
Ken Caminiti,"1,163",256
Randal Grichuk,"1,158",257
Prince Fielder,"1,155",258
José Cruz,"1,147",259
Jorge Soler,"1,147",
Kelly Johnson,"1,145",261
Willie Wilson,"1,144",262
Pete Rose,"1,143",263
Charlie Blackmon,"1,142",264
Bert Campaneris,"1,142",
J.T. Snow,"1,142",
Roberto Alomar,"1,140",267
Donn Clendenon,"1,140",
J.D. Drew,"1,137",269
Gil Hodges,"1,137",
Matt Olson,"1,137",
Jeff Burroughs,"1,135",272
Leo Cardenas,"1,135",
Lloyd Moseby,"1,135",
Raul Mondesi,"1,130",275
Chris Taylor,"1,129",276
Brian Downing,"1,127",277
Bob Bailey,"1,126",278
Kole Calhoun,"1,126",
Gary Matthews,"1,125",280
Michael Bourn,"1,124",281
Yasmani Grandal,"1,124",
Justin Smoak,"1,122",283
Matt Stairs,"1,122",
Greg Gagne,"1,121",285
Austin Jackson,"1,120",286
Kyle Seager,"1,120",
Russell Branyan,"1,118",288
Alex Rios,"1,117",289
Fred Lynn,"1,116",290
Mike Piazza,"1,113",291
J.T. Realmuto,"1,110",292
Michael Taylor,"1,110",
Lyle Overbay,"1,108",294
Colby Rasmus,"1,106",295
Dave Henderson,"1,105",296
Starlin Castro,"1,103",297
Jose Guillen,"1,103",
Howie Kendrick,"1,102",299
Michael Cuddyer,"1,101",300
Lou Whitaker,"1,099",301
Jim Fregosi,"1,097",302
Mark Trumbo,"1,097",
Ian Happ,"1,096",304
Joe Torre,"1,094",305
Brandon Phillips,"1,092",306
Garry Templeton,"1,092",
Norm Cash,"1,091",308
Martín Maldonado,"1,090",309
Jonny Gomes,"1,088",310
Mike Zunino,"1,088",
Omar Vizquel,"1,087",312
Todd Frazier,"1,085",313
Preston Wilson,"1,085",
Tony Taylor,"1,083",315
Jose Altuve,"1,081",316
Jeff Francoeur,"1,080",317
Tommy Harper,"1,080",
Ichiro Suzuki,"1,080",
Eric Chavez,"1,079",320
Miguel Tejada,"1,079",
Dante Bichette,"1,078",322
Ryan McMahon,"1,078",
Miguel Sanó,"1,078",
Nolan Arenado,"1,077",325
Ryan Klesko,"1,077",
Tommy Pham,"1,075",327
Adam Duvall,"1,074",328
Don Baylor,"1,069",329
Vinny Castilla,"1,069",
Tino Martinez,"1,069",
Willy Adames,"1,068",332
Alex Avila,"1,068",
Carl Crawford,"1,067",334
Jackie Bradley Jr.,"1,066",335
Kris Bryant,"1,064",336
Johnny Callison,"1,064",
Cliff Floyd,"1,064",
Andy Van Slyke,"1,063",339
Delino DeShields,"1,061",340
Miguel Olivo,"1,060",341
Joe Adcock,"1,059",342
Doug Rader,"1,055",343
Brian McCann,"1,054",344
Howard Johnson,"1,053",345
Francisco Lindor,"1,051",346
Joc Pederson,"1,048",347
Ian Kinsler,"1,046",348
Billy Williams,"1,046",
Rougned Odor,"1,045",350
Jonathan Villar,"1,045",
Eduardo Escobar,"1,043",352
Avisaíl García,"1,038",353
Casey Blake,"1,037",354
DJ LeMahieu,"1,036",355
Josh Willingham,"1,036",
Frank White,"1,035",357
Brad Ausmus,"1,034",358
Joe Mauer,"1,034",
Bob Allison,"1,033",360
Jose Cruz,"1,031",361
Reggie Smith,"1,030",362
Jonathan Schoop,"1,029",363
Rod Carew,"1,028",364
Darrell Porter,"1,025",365
Chris Iannetta,"1,024",366
Chet Lemon,"1,024",
Carlos Correa,"1,023",368
Carl Everett,"1,021",369
Al Kaline,"1,020",370
Phil Nevin,"1,019",371
Ken Boyer,"1,017",372
Khris Davis,"1,017",
Kenny Lofton,"1,016",374
John Olerud,"1,016",
Joe Morgan,"1,015",376
Robbie Grossman,"1,014",377
George Hendrick,"1,013",378
Keith Hernandez,"1,012",379
Larry Doby,"1,011",380
Randy Winn,"1,010",381
Shohei Ohtani,"1,009",382
Amos Otis,"1,008",383
Hubie Brooks,"1,005",384
Steve Garvey,"1,003",385
Shawon Dunston,"1,000",386
Jeffrey Leonard,"1,000",
David Justice,999,388
Gene Tenace,998,389
Gary Carter,997,390
Michael Conforto,997,
Charles Johnson,997,
Justin Turner,995,393
Ben Zobrist,994,394
Cory Snyder,992,395
Brooks Robinson,990,396
Todd Hundley,988,397
Justin Morneau,988,
Chris Speier,988,
Robby Thompson,987,400
Vladimir Guerrero,985,401
Carlos Lee,984,402
Jarrod Saltalamacchia,984,
Mark McLemore,983,404
Tim Anderson,980,405
Terry Pendleton,979,406
Travis Hafner,978,407
Kendrys Morales,978,
Willie Davis,977,409
Rafael Devers,977,
Mitch Moreland,975,411
Trea Turner,975,
David Freese,974,413
Dick McAuliffe,974,
Brian Dozier,973,415
Drew Stubbs,972,416
Bill Hall,971,417
Jason Castro,970,418
Willson Contreras,969,419
Javy Lopez,969,
Brandon Moss,968,421
Mike Moustakas,968,
Tim Raines,966,423
Kirby Puckett,965,424
Jim Sundberg,963,425
Albert Belle,961,426
Dolph Camilli,961,
Vince Coleman,960,428
J.J. Hardy,960,
Michael Tucker,960,
John Buck,959,431
Yan Gomes,958,432
Gary Pettis,958,
Dick Stuart,957,434
Vernon Wells,956,435
Derek Bell,955,436
Mark Grudzielanek,954,437
Melvin Mora,953,438
Dwayne Murphy,953,
Pedro Alvarez,952,440
Grady Sizemore,952,
Chris Carter,951,442
Jason Kipnis,951,
Yoán Moncada,950,444
Max Muncy,950,
Eric Hinske,949,446
Jacque Jones,949,
Brad Wilkerson,947,448
