Name,Times on Base,Rank
Pete Rose,"5,929",1
Barry Bonds,"5,599",2
Ty Cobb,"5,532",3
Rickey Henderson,"5,343",4
Carl Yastrzemski,"5,304",5
Stan Musial,"5,282",6
Hank Aaron,"5,205",7
Tris Speaker,"4,998",8
Babe Ruth,"4,978",9
Eddie Collins,"4,890",10
Albert Pujols,"4,880",11
Willie Mays,"4,791",12
Derek Jeter,"4,717",13
Ted Williams,"4,714",14
Mel Ott,"4,648",15
Alex Rodriguez,"4,629",16
Eddie Murray,"4,606",17
Frank Robinson,"4,561",18
Honus Wagner,"4,517",19
Miguel Cabrera,"4,506",20
Craig Biggio,"4,505",21
Paul Molitor,"4,460",22
Rafael Palmeiro,"4,460",
Wade Boggs,"4,445",24
Joe Morgan,"4,422",25
Cal Ripken Jr.,"4,379",26
Dave Winfield,"4,351",27
Al Kaline,"4,339",28
Gary Sheffield,"4,299",29
George Brett,"4,283",30
Paul Waner,"4,281",31
Lou Gehrig,"4,274",32
Chipper Jones,"4,256",33
Frank Thomas,"4,222",34
"Ken Griffey, Jr.","4,174",35
Mickey Mantle,"4,161",36
Robin Yount,"4,156",37
Jim Thome,"4,144",38
Adrián Beltré,"4,111",39
Jimmie Foxx,"4,111",
Rod Carew,"4,096",41
Charlie Gehringer,"4,075",42
Luke Appling,"4,062",43
Reggie Jackson,"4,055",44
Rusty Staub,"4,050",45
Rogers Hornsby,"4,016",46
Manny Ramirez,"4,012",47
Cap Anson,"3,995",48
Bobby Abreu,"3,979",49
Tim Raines,"3,977",50
Tony Gwynn,"3,955",51
Jesse Burkett,"3,954",52
Omar Vizquel,"3,954",
Harold Baines,"3,942",54
Todd Helton,"3,911",55
Nap Lajoie,"3,902",56
Dwight Evans,"3,890",57
Darrell Evans,"3,863",58
Carlos Beltran,"3,860",59
Luis Gonzalez,"3,857",60
Jeff Bagwell,"3,843",61
Fred McGriff,"3,834",62
Lou Brock,"3,833",63
David Ortiz,"3,829",64
Johnny Damon,"3,822",65
Mike Schmidt,"3,820",66
Richie Ashburn,"3,815",67
Roberto Alomar,"3,806",68
Billy Williams,"3,799",69
Ichiro Suzuki,"3,791",70
Eddie Mathews,"3,785",71
Max Carey,"3,782",72
Brooks Robinson,"3,761",73
Sam Rice,"3,751",74
Sam Crawford,"3,744",75
Goose Goslin,"3,739",76
Jake Beckley,"3,729",77
Tony Perez,"3,700",78
Fred Clarke,"3,699",79
Harmon Killebrew,"3,693",80
Harry Hooper,"3,678",81
Bill Dahlen,"3,661",82
Roberto Clemente,"3,656",83
Frankie Frisch,"3,639",84
Willie McCovey,"3,625",85
Edgar Martinez,"3,619",86
Zack Wheat,"3,611",87
George Davis,"3,604",88
John Olerud,"3,602",89
Chili Davis,"3,589",90
Lou Whitaker,"3,586",91
Willie Keeler,"3,585",92
Joey Votto,"3,581",93
Eddie Yost,"3,576",94
Al Simmons,"3,572",95
Ozzie Smith,"3,565",96
Jason Giambi,"3,556",97
Harry Heilmann,"3,556",
Mark Grace,"3,554",99
Brett Butler,"3,542",100
Julio Franco,"3,541",101
Nellie Fox,"3,524",102
Mickey Vernon,"3,499",103
Freddie Freeman,"3,495",104
Willie Randolph,"3,491",105
Rabbit Maranville,"3,483",106
Andre Dawson,"3,474",107
Andrew McCutchen,"3,455",108
Dave Parker,"3,451",109
Steve Finley,"3,445",110
George Van Haltren,"3,445",
Bernie Williams,"3,444",112
Luis Aparicio,"3,440",113
Enos Slaughter,"3,438",114
Billy Hamilton,"3,434",115
Roger Connor,"3,432",116
Ed Delahanty,"3,431",117
Vladimir Guerrero,"3,430",118
Brian Downing,"3,425",119
Ernie Banks,"3,416",120
Ivan Rodriguez,"3,415",121
Pee Wee Reese,"3,406",122
Kenny Lofton,"3,405",123
Ron Santo,"3,400",124
Jimmy Ryan,"3,398",125
Sammy Sosa,"3,396",126
Buddy Bell,"3,388",127
Jeff Kent,"3,387",128
Vada Pinson,"3,385",129
Tony Phillips,"3,384",130
Joe Cronin,"3,378",131
Joe Judge,"3,368",132
Ted Simmons,"3,366",133
Paul Konerko,"3,365",134
Graig Nettles,"3,363",135
Al Oliver,"3,360",136
Carlton Fisk,"3,348",137
Robinson Cano,"3,344",138
Barry Larkin,"3,334",139
George Sisler,"3,332",140
Nick Markakis,"3,330",141
Jimmy Dykes,"3,329",142
Carlos Delgado,"3,319",143
Doc Cramer,"3,318",144
Bid McPhee,"3,318",
Jimmy Sheckard,"3,311",146
Ken Singleton,"3,309",147
