Name,Total Bases,Rank
Hank Aaron,"6,856",1
Albert Pujols,"6,211",2
Stan Musial,"6,134",3
Willie Mays,"6,066",4
Barry Bonds,"5,976",5
Ty Cobb,"5,854",6
Alex Rodriguez,"5,813",7
Babe Ruth,"5,793",8
Pete Rose,"5,752",9
Carl Yastrzemski,"5,539",10
Eddie Murray,"5,397",11
Rafael Palmeiro,"5,388",12
Frank Robinson,"5,373",13
Miguel Cabrera,"5,368",14
Adrián Beltré,"5,309",15
"Ken Griffey, Jr.","5,271",16
Dave Winfield,"5,221",17
Cal Ripken Jr.,"5,168",18
Tris Speaker,"5,101",19
Lou Gehrig,"5,060",20
George Brett,"5,044",21
Mel Ott,"5,041",22
Jimmie Foxx,"4,956",23
Derek Jeter,"4,921",24
Ted Williams,"4,884",25
Honus Wagner,"4,877",26
Paul Molitor,"4,854",27
Al Kaline,"4,852",28
Reggie Jackson,"4,834",29
Manny Ramirez,"4,826",30
Andre Dawson,"4,787",31
David Ortiz,"4,765",32
Chipper Jones,"4,755",33
Carlos Beltran,"4,751",34
Gary Sheffield,"4,737",35
Robin Yount,"4,730",36
Rogers Hornsby,"4,712",37
Craig Biggio,"4,711",38
Ernie Banks,"4,706",39
Sammy Sosa,"4,704",40
Al Simmons,"4,685",41
Jim Thome,"4,667",42
Harold Baines,"4,604",43
Billy Williams,"4,599",44
Rickey Henderson,"4,588",45
Frank Thomas,"4,550",46
Tony Perez,"4,532",47
Mickey Mantle,"4,511",48
Vladimir Guerrero,"4,506",49
Roberto Clemente,"4,492",50
Nap Lajoie,"4,481",51
Paul Waner,"4,478",52
Fred McGriff,"4,458",53
Ivan Rodriguez,"4,451",54
Dave Parker,"4,405",55
Mike Schmidt,"4,404",56
Luis Gonzalez,"4,385",57
Eddie Mathews,"4,349",58
Sam Crawford,"4,328",59
Goose Goslin,"4,325",60
Todd Helton,"4,292",61
Robinson Cano,"4,282",62
Brooks Robinson,"4,270",63
Eddie Collins,"4,267",64
Vada Pinson,"4,264",65
Tony Gwynn,"4,259",66
Charlie Gehringer,"4,257",67
Jeff Kent,"4,246",68
Lou Brock,"4,238",69
Dwight Evans,"4,230",70
Willie McCovey,"4,219",71
Johnny Damon,"4,214",72
Jeff Bagwell,"4,213",73
Willie Stargell,"4,190",74
Rusty Staub,"4,185",75
Steve Finley,"4,157",76
Jake Beckley,"4,147",77
Harmon Killebrew,"4,143",78
Jim Rice,"4,129",79
Zack Wheat,"4,100",80
Torii Hunter,"4,087",81
Paul Konerko,"4,083",82
Al Oliver,"4,083",
Cap Anson,"4,078",84
Wade Boggs,"4,064",85
Harry Heilmann,"4,053",86
Andres Galarraga,"4,038",87
Bobby Abreu,"4,026",88
Roberto Alomar,"4,018",89
Aramis Ramirez,"4,004",90
Carlton Fisk,"3,999",91
Rod Carew,"3,998",92
Freddie Freeman,"3,996",93
Ichiro Suzuki,"3,994",94
Garret Anderson,"3,984",95
Carlos Delgado,"3,976",96
Joe Morgan,"3,962",97
Orlando Cepeda,"3,959",98
Sam Rice,"3,955",99
Joe DiMaggio,"3,948",100
Steve Garvey,"3,941",101
Frankie Frisch,"3,937",102
Chili Davis,"3,914",103
Joe Carter,"3,910",104
Larry Walker,"3,904",105
Jimmy Rollins,"3,889",106
Gary Gaetti,"3,881",107
Alfonso Soriano,"3,874",108
George Sisler,"3,871",109
Darrell Evans,"3,866",110
Duke Snider,"3,865",111
Carlos Lee,"3,854",112
Joe Medwick,"3,852",113
Nelson Cruz,"3,847",114
Miguel Tejada,"3,842",115
Bill Buckner,"3,833",116
Ted Simmons,"3,793",117
Ed Delahanty,"3,791",118
Ryne Sandberg,"3,787",119
Graig Nettles,"3,779",120
Ron Santo,"3,779",
Willie Davis,"3,778",122
Tim Raines,"3,771",123
Mike Piazza,"3,768",124
Jesse Burkett,"3,759",125
Paul Goldschmidt,"3,757",126
Bernie Williams,"3,756",127
Jason Giambi,"3,753",128
Mickey Vernon,"3,741",129
Andrew McCutchen,"3,739",130
Jim Bottomley,"3,737",131
Dale Murphy,"3,733",132
Omar Vizquel,"3,727",133
Edgar Martinez,"3,718",134
Roger Connor,"3,713",135
Joey Votto,"3,706",136
Ellis Burks,"3,691",137
Andruw Jones,"3,690",138
Juan Gonzalez,"3,676",139
Fred Clarke,"3,674",140
Heinie Manush,"3,665",141
George Davis,"3,656",142
Buddy Bell,"3,654",143
Lou Whitaker,"3,651",144
Johnny Bench,"3,644",145
Yogi Berra,"3,643",146
Mark McGwire,"3,639",147
Jose Canseco,"3,631",148
Jimmy Ryan,"3,631",
Moises Alou,"3,629",150
Scott Rolen,"3,628",151
Johnny Mize,"3,621",152
Julio Franco,"3,620",153
Ruben Sierra,"3,616",154
Jim Edmonds,"3,615",155
Max Carey,"3,612",156
Enos Slaughter,"3,599",157
Matt Holliday,"3,576",158
Don Baylor,"3,571",159
Mark Grace,"3,565",160
Will Clark,"3,562",161
Willie Keeler,"3,562",
Joe Torre,"3,560",163
Joe Cronin,"3,546",164
Jose Altuve,"3,536",165
Mark Teixeira,"3,533",166
John Olerud,"3,530",167
Luke Appling,"3,528",168
Barry Larkin,"3,527",169
Ryan Braun,"3,525",170
Chuck Klein,"3,522",171
Nick Markakis,"3,513",172
Magglio Ordonez,"3,506",173
Luis Aparicio,"3,504",174
Shawn Green,"3,502",175
Bob Johnson,"3,501",176
Gary Carter,"3,497",177
Lee May,"3,495",178
Edwin Encarnacion,"3,494",179
Michael Young,"3,491",180
Lance Berkman,"3,485",181
Raul Ibanez,"3,475",182
Manny Machado,"3,470",183
Lave Cross,"3,467",184
Adrian Gonzalez,"3,462",185
Kirby Puckett,"3,453",186
Bill Dahlen,"3,448",187
Derrek Lee,"3,444",188
Ken Boyer,"3,443",189
Alan Trammell,"3,442",190
Paul O'Neill,"3,441",191
Evan Longoria,"3,439",192
Reggie Smith,"3,439",
Kenny Lofton,"3,433",194
Doc Cramer,"3,430",195
Marquis Grissom,"3,430",
Cecil Cooper,"3,424",197
Del Ennis,"3,423",198
Rabbit Maranville,"3,423",
Gil Hodges,"3,422",200
Matt Williams,"3,420",201
B.J. Surhoff,"3,414",202
Nolan Arenado,"3,413",203
Dan Brouthers,"3,413",
Bobby Bonilla,"3,401",205
Harry Hooper,"3,400",206
Kiki Cuyler,"3,391",207
Earl Averill,"3,390",208
Dick Allen,"3,379",209
Adam Dunn,"3,371",210
George Foster,"3,370",211
Tim Wallach,"3,369",212
Curtis Granderson,"3,368",213
George Van Haltren,"3,353",214
Fred Lynn,"3,352",215
Tino Martinez,"3,349",216
Nellie Fox,"3,347",217
Brian Downing,"3,340",218
Willie Horton,"3,332",219
Jose Cruz,"3,325",220
Victor Martinez,"3,320",221
Bobby Bonds,"3,316",222
Joe Judge,"3,316",
Don Mattingly,"3,301",224
Albert Belle,"3,300",225
Pie Traynor,"3,289",226
Red Schoendienst,"3,284",227
Edd Roush,"3,283",228
Mike Trout,"3,283",
Hal McRae,"3,280",230
Brian Giles,"3,279",231
Carlos Santana,"3,277",232
Norm Cash,"3,274",233
Bobby Doerr,"3,270",234
Ian Kinsler,"3,268",235
Jack Clark,"3,256",236
Bill Terry,"3,252",237
Vinny Castilla,"3,249",238
Edgar Renteria,"3,241",239
Cesar Cedeno,"3,240",240
Joe Kuhel,"3,239",241
Frank Howard,"3,235",242
George Scott,"3,231",243
Ray Durham,"3,228",244
Jose Reyes,"3,222",245
Keith Hernandez,"3,214",246
Jimmy Dykes,"3,213",247
Todd Zeile,"3,206",248
Joe Adcock,"3,205",249
Richie Ashburn,"3,196",250
Dave Kingman,"3,191",251
Bryce Harper,"3,190",252
Chase Utley,"3,189",253
Cy Williams,"3,188",254
Ron Cey,"3,186",255
Dante Bichette,"3,183",256
Adam Jones,"3,179",257
George Hendrick,"3,178",258
Rocky Colavito,"3,177",259
Felipe Alou,"3,176",260
Sherry Magee,"3,175",261
J.D. Martinez,"3,172",262
Giancarlo Stanton,"3,172",
Jermaine Dye,"3,165",264
Hugh Duffy,"3,163",265
Joe Kelley,"3,161",266
Ryan Zimmerman,"3,159",267
Tony Fernandez,"3,156",268
Justin Upton,"3,154",269
