Name,Triples,Rank
Sam Crawford,309,1
Ty Cobb,295,2
Honus Wagner,252,3
Jake Beckley,243,4
Roger Connor,233,5
Tris Speaker,222,6
Fred Clarke,220,7
Dan Brouthers,205,8
Joe Kelley,194,9
Paul Waner,191,10
Bid McPhee,188,11
Eddie Collins,187,12
Ed Delahanty,185,13
Sam Rice,184,14
Jesse Burkett,182,15
Edd Roush,182,
Ed Konetchy,181,17
Buck Ewing,178,18
Rabbit Maranville,177,19
Stan Musial,177,
Harry Stovey,174,21
Goose Goslin,173,22
Tommy Leach,172,23
Zack Wheat,172,
Rogers Hornsby,169,25
Joe Jackson,168,26
Roberto Clemente,166,27
Sherry Magee,166,
Jake Daubert,165,29
Elmer Flick,164,30
George Sisler,164,
Pie Traynor,164,
Bill Dahlen,163,33
George Davis,163,
Lou Gehrig,163,
Nap Lajoie,163,
Mike Tiernan,162,37
George Van Haltren,161,38
Harry Hooper,160,39
Heinie Manush,160,
Sam Thompson,160,
Max Carey,159,42
Joe Judge,159,
Ed McKean,158,44
Kiki Cuyler,157,45
Jimmy Ryan,157,
Tommy Corcoran,155,47
Earle Combs,154,48
Jim Bottomley,151,49
Harry Heilmann,151,
Kip Selbach,149,51
Al Simmons,149,
Wally Pipp,148,53
Enos Slaughter,148,
Bobby Veach,147,55
Willie Wilson,147,
Charlie Gehringer,146,57
Harry Davis,145,58
Willie Keeler,145,
Bobby Wallace,143,60
Lou Brock,141,61
Willie Mays,140,62
John Reilly,139,63
Tom Brown,138,64
Willie Davis,138,
Frankie Frisch,138,
Jimmy Williams,138,
George Brett,137,68
Babe Ruth,136,69
Jimmy Sheckard,136,
Elmer Smith,136,
Lave Cross,135,72
Pete Rose,135,
Shano Collins,133,74
Jim O'Rourke,132,75
George Wood,132,
Brett Butler,131,77
Joe DiMaggio,131,
Buck Freeman,131,
Jose Reyes,131,
Buddy Myer,130,81
Oyster Burns,129,82
Larry Gardner,129,
Earl Averill,128,84
Arky Vaughan,128,
Vada Pinson,127,86
Hardy Richardson,126,87
Robin Yount,126,
Jimmie Foxx,125,89
John Anderson,124,90
Cap Anson,124,
Hal Chase,124,
Steve Finley,124,
Frank Schulte,124,
Carl Crawford,123,95
Larry Doyle,123,
Duke Farrell,123,
Dummy Hoy,121,98
Mickey Vernon,120,99
Hugh Duffy,119,100
Fred Pfeffer,119,
Joe Cronin,118,102
Chick Stahl,118,
Lloyd Waner,118,
Lance Johnson,117,105
Del Pratt,117,
Curt Walker,117,
Jimmy Collins,116,108
Kenny Lofton,116,
Bill Kuehne,115,110
Tony Lazzeri,115,
Jimmy Rollins,115,
Henry Larkin,114,113
Paul Molitor,114,
Gus Suhr,114,
Joe Tinker,114,
Chief Wilson,114,
Jack Fournier,113,118
Joe Medwick,113,
Tim Raines,113,
Rod Carew,112,121
Nellie Fox,112,
Bill Terry,112,
Sam Wise,112,
Joe Kuhel,111,125
Babe Herman,110,126
Wally Moses,110,
Richie Ashburn,109,128
Lu Blue,109,
Doc Cramer,109,
Johnny Damon,109,
Jimmy Wolf,109,
George Burns,108,133
Mike Griffin,108,
Charlie Grimm,108,
Sam Mertes,108,
Dots Miller,108,
Dave Orr,108,
Ben Chapman,107,139
Carl Reynolds,107,
Bill Joyce,106,141
Les Mann,106,
Garry Templeton,106,
Clyde Milan,105,144
John Stone,105,
Heinie Zimmerman,105,
Mike Mitchell,104,147
Home Run Baker,103,148
Tom Daly,103,
Luke Appling,102,150
Bill Bruton,102,
Duff Cooley,102,
Jeff Heath,102,
King Kelly,102,
Danny Murphy,102,
Juan Samuel,102,
Stuffy McInnis,101,157
Sam West,101,
Cupid Childs,100,159
Dan McGann,100,
Hy Myers,100,
Larry Bowa,99,162
Phil Cavarretta,99,
Jack Tobin,99,
Hank Aaron,98,165
Andre Dawson,98,
Jack Glasscock,98,
Charley Jones,98,
Bill Phillips,98,
Mike Donlin,97,170
Herman Long,97,
Billy Shindle,97,
Bing Miller,96,173
Joe Morgan,96,
Red Murray,96,
Cy Seymour,96,
Howie Shanks,96,
Amos Strunk,96,
Ichiro Suzuki,96,
Dixie Walker,96,
John Ward,96,
Lou Bierbauer,95,182
Hughie Critz,95,
Curtis Granderson,95,
Bob Johnson,95,
Bob Meusel,95,
Jose Cruz,94,187
Bob Elliott,94,
George Gore,94,
Billy Hamilton,94,
Baby Doll Jacobson,94,
Willie McGee,94,
Juan Pierre,94,
Germany Smith,94,
George Grantham,93,195
Buddy Lewis,93,
Irish Meusel,93,
Ross Youngs,93,
Luis Aparicio,92,199
Tony Fernandez,92,
Topsy Hartsel,92,
Tip O'Neill,92,
Joe Vosmik,92,
Walt Wilmot,92,
Dave Foutz,91,205
Charlie Hickman,91,
Billy Southworth,91,
Andy Van Slyke,91,
Ernie Banks,90,209
Jimmy Dykes,90,
Joe Hornung,90,
Wally Schang,90,
Harry Steinfeldt,90,
Steve Brodie,89,214
Johnny Callison,89,
Vince Coleman,89,
George Cutshaw,89,
Bobby Doerr,89,
Hobe Ferris,89,
Cristian Guzman,89,
Casey Stengel,89,
Tommy Dowd,88,222
Dick Hoblitzell,88,
Hughie Jennings,88,
Marty McManus,88,
Jack Rowe,88,
Billy Williams,88,
Dave Winfield,88,
Rube Bressler,87,229
Bruce Campbell,87,
Heinie Groh,87,
Omar Moreno,87,
Billy Nash,87,
Pop Smith,87,
Jake Stahl,87,
Perry Werden,87,
Dolph Camilli,86,237
Bert Campaneris,86,
Travis Jackson,86,
Candy LaChance,86,
Tony Taylor,86,
Pete Browning,85,242
Lou Finney,85,
Ival Goodman,85,
Tony Gwynn,85,
Willie Kamm,85,
Arlie Latham,85,
Bobby Lowe,85,
Duke Snider,85,
Tommy Tucker,85,
Ned Williamson,85,
Bill Bradley,84,252
Paul Hines,84,
John Hummel,84,
Gavvy Cravath,83,255
Roy Johnson,83,
Minnie Minoso,83,
Johnny Mize,83,
Ginger Beaumont,82,259
Wid Conroy,82,
Frank Fennelly,82,
Dexter Fowler,82,
Phil Garner,82,
Billy Herman,82,
Hans Lobert,82,
Fred Merkle,82,
Johnny Mostil,82,
Ray Chapman,81,268
Abner Dalrymple,81,
Mickey Doolin,81,
Stan Hack,81,
Bill Hallman,81,
Freddie Lindstrom,81,
Bill Virdon,81,
Ivey Wingo,81,
Roberto Alomar,80,276
Pop Corkhill,80,
Kid Gleason,80,
Charlie Jamieson,80,
Don Kessinger,80,
Bill Lange,80,
John Morrill,80,
Pee Wee Reese,80,
Dick Allen,79,284
Frank Chance,79,
Ray Durham,79,
Jack Graney,79,
Ned Hanlon,79,
Frank LaPorte,79,
Deacon McGuire,79,
Tony Perez,79,
Jim Rice,79,
Frank Shugart,79,
Carlos Beltran,78,294
Patsy Dougherty,78,
Jim Fregosi,78,
Chick Gandil,78,
Alfredo Griffin,78,
Red Schoendienst,78,
Cecil Travis,78,
Dave Bancroft,77,301
Barry Bonds,77,
Art Fletcher,77,
Ken Griffey,77,
Al Oliver,77,
Dode Paskert,77,
Fred Tenney,77,
Terry Turner,77,
Omar Vizquel,77,
Ken Williams,77,
