Name,Strikeouts,Rank
Nolan Ryan,"5,714",1
Randy Johnson,"4,875",2
Roger Clemens,"4,672",3
Steve Carlton,"4,136",4
Bert Blyleven,"3,701",5
Tom Seaver,"3,640",6
Don Sutton,"3,574",7
Gaylord Perry,"3,534",8
Walter Johnson,"3,508",9
Justin Verlander,"3,463",10
Max Scherzer,"3,408",11
Greg Maddux,"3,371",12
Phil Niekro,"3,342",13
Fergie Jenkins,"3,192",14
Pedro Martinez,"3,154",15
Bob Gibson,"3,117",16
Curt Schilling,"3,116",17
CC Sabathia,"3,093",18
John Smoltz,"3,084",19
Clayton Kershaw,"2,992",20
Zack Greinke,"2,979",21
Jim Bunning,"2,855",22
Mickey Lolich,"2,832",23
Mike Mussina,"2,813",24
Cy Young,"2,803",25
Frank Tanana,"2,773",26
David Cone,"2,668",27
Chuck Finley,"2,610",28
Tom Glavine,"2,607",29
Warren Spahn,"2,583",30
Bob Feller,"2,581",31
Tim Keefe,"2,564",32
Cole Hamels,"2,560",33
Jerry Koosman,"2,556",34
Javier Vazquez,"2,536",35
Bartolo Colon,"2,535",36
Chris Sale,"2,528",37
Felix Hernández,"2,524",38
A.J. Burnett,"2,513",39
Christy Mathewson,"2,502",40
Jon Lester,"2,488",41
Don Drysdale,"2,486",42
Jack Morris,"2,478",43
Mark Langston,"2,464",44
Jim Kaat,"2,461",45
Sam McDowell,"2,453",46
Andy Pettitte,"2,448",47
Jamie Moyer,"2,441",48
Luis Tiant,"2,416",49
Dennis Eckersley,"2,401",50
Kevin Brown,"2,397",51
Sandy Koufax,"2,396",52
Charlie Hough,"2,362",53
Robin Roberts,"2,357",54
Early Wynn,"2,334",55
Rube Waddell,"2,316",56
Juan Marichal,"2,303",57
John Lackey,"2,294",58
Dwight Gooden,"2,293",59
Lefty Grove,"2,266",60
Gerrit Cole,"2,251",61
Eddie Plank,"2,246",62
Tommy John,"2,245",63
James Shields,"2,234",64
Jim Palmer,"2,212",65
Jake Peavy,"2,207",66
Adam Wainwright,"2,202",67
David Wells,"2,201",68
Grover Alexander,"2,198",69
Vida Blue,"2,175",70
Camilo Pascual,"2,167",71
Tim Wakefield,"2,156",72
Dennis Martinez,"2,149",73
Charlie Morton,"2,121",74
Roy Halladay,"2,117",75
Kevin Millwood,"2,083",76
Bobo Newsom,"2,082",77
Tim Hudson,"2,080",78
David Price,"2,076",79
Ryan Dempster,"2,075",80
Fernando Valenzuela,"2,074",81
Madison Bumgarner,"2,070",82
Dazzy Vance,"2,045",83
Lance Lynn,"2,015",84
Rick Reuschel,"2,015",
Orel Hershiser,"2,014",86
Dan Haren,"2,013",87
Catfish Hunter,"2,012",88
Yu Darvish,"2,007",89
Andy Benes,"2,000",90
Billy Pierce,"1,999",91
Kevin Appier,"1,994",92
Johan Santana,"1,988",93
Red Ruffing,"1,987",94
John Clarkson,"1,978",95
Ervin Santana,"1,978",
Livan Hernandez,"1,976",97
Al Leiter,"1,974",98
Bob Welch,"1,969",99
Kenny Rogers,"1,968",100
Whitey Ford,"1,956",101
Bobby Witt,"1,955",102
Amos Rusie,"1,950",103
Danny Darwin,"1,942",104
Tom Gordon,"1,928",105
Hideo Nomo,"1,918",106
Jerry Reuss,"1,907",107
Josh Beckett,"1,901",108
Barry Zito,"1,885",109
Mark Buehrle,"1,870",110
Kid Nichols,"1,868",111
Gio Gonzalez,"1,860",112
Johnny Cueto,"1,857",113
Roy Oswalt,"1,852",114
Mickey Welch,"1,850",115
Kevin Gausman,"1,849",116
Frank Viola,"1,844",117
Aaron Harang,"1,842",118
Aaron Nola,"1,831",119
Old Hoss Radbourn,"1,830",120
Cliff Lee,"1,824",121
Francisco Liriano,"1,815",122
Sonny Gray,"1,814",123
Randy Wolf,"1,814",
