Name,Games,Rank
Cy Young,316,1
Pud Galvin,308,2
Nolan Ryan,292,3
Walter Johnson,279,4
Phil Niekro,274,5
Gaylord Perry,265,6
Don Sutton,256,7
Jack Powell,254,8
Eppa Rixey,251,9
Bert Blyleven,250,10
Robin Roberts,245,11
Warren Spahn,245,
Steve Carlton,244,13
Early Wynn,244,
Jim Kaat,237,15
Frank Tanana,236,16
Gus Weyhing,232,17
Tommy John,231,18
Bob Friend,230,19
Ted Lyons,230,
Greg Maddux,227,21
Fergie Jenkins,226,22
Tim Keefe,225,23
Red Ruffing,225,
Bobo Newsom,222,25
Tony Mullane,220,26
Jack Quinn,218,27
Sad Sam Jones,217,28
Charlie Hough,216,29
Jim McCormick,214,30
Red Faber,213,31
Paul Derringer,212,32
Chick Fraser,212,
Burleigh Grimes,212,
Mickey Welch,210,35
Jerry Koosman,209,36
Jamie Moyer,209,
Grover Alexander,208,38
Kid Nichols,208,
Tom Seaver,205,40
Vic Willis,205,
Joe Niekro,204,42
Jim Whitney,204,
Tom Glavine,203,44
George Mullin,196,45
Adonis Terry,196,
Claude Osteen,195,47
Old Hoss Radbourn,195,
Eddie Plank,194,49
Dennis Martinez,193,50
Mickey Lolich,191,51
Rick Reuschel,191,
Jerry Reuss,191,
Tom Zachary,191,
Al Orth,189,55
Bartolo Colon,188,56
Christy Mathewson,188,
Mel Harder,186,58
Mike Morgan,186,
Jack Morris,186,
Earl Whitehill,185,61
Jim Bunning,184,62
Roger Clemens,184,
Bullet Joe Bush,183,64
Larry Jackson,183,
Curt Simmons,183,
Danny Darwin,182,67
Hooks Dauss,182,
Waite Hoyt,182,
Murry Dickson,181,70
Dutch Leonard,181,
Rick Wise,181,
Lee Meadows,180,73
Tim Wakefield,180,
Pink Hawley,179,75
Dolf Luque,179,
John Clarkson,178,77
Wilbur Cooper,178,
Bill Dinneen,177,79
Livan Hernandez,177,
Rube Marquard,177,
Mike Moore,176,82
Red Donahue,175,83
Tom Hughes,175,
Doyle Alexander,174,85
Bob Gibson,174,
Jim Perry,174,
Amos Rusie,174,
Chuck Finley,173,89
Luis Tiant,172,90
Dennis Eckersley,171,91
Larry French,171,
Theodore Breitenstein,170,93
Camilo Pascual,170,
Billy Pierce,169,95
Red Ames,167,96
Jim Clancy,167,
Bert Cunningham,167,
Red Ehret,167,
Don Drysdale,166,100
Howard Ehmke,166,
Catfish Hunter,166,
Randy Johnson,166,
George Uhle,166,
Will White,166,
Mark Baldwin,165,106
Bump Hadley,165,
Si Johnson,165,
