Name,HBP,Rank
Gus Weyhing,277,1
Chick Fraser,219,2
Pink Hawley,210,3
Walter Johnson,205,4
Eddie Plank,196,5
Charlie Morton,191,6
Randy Johnson,190,7
Tim Wakefield,186,8
Joe McGinnity,182,9
Charlie Hough,174,10
Jim Bunning,160,11
Roger Clemens,159,12
Nolan Ryan,158,13
Cy Young,157,14
Vic Willis,156,15
Bert Blyleven,155,16
Jamey Wright,155,
Don Drysdale,154,18
Silver King,154,
Jamie Moyer,146,20
A.J. Burnett,143,21
Ed Doheny,141,22
Pedro Martinez,141,
Kevin Brown,139,24
Chan Ho Park,138,25
Howard Ehmke,137,26
Greg Maddux,137,
Phil Knell,136,28
John Lackey,133,29
Kid Nichols,133,
George Mullin,131,31
Jesse Tannehill,130,32
Dave Stieb,129,33
Frank Tanana,129,
Kenny Rogers,127,35
Chris Sale,126,36
Tim Hudson,124,37
Jeff Weaver,124,
Mark Baldwin,123,39
Phil Niekro,123,
CC Sabathia,123,
Jim Kaat,122,42
Dennis Martinez,122,
Hooks Dauss,121,44
Johnny Cueto,120,45
Doc White,119,46
Orel Hershiser,117,47
Darryl Kile,117,
Al Leiter,117,
Rube Waddell,117,
Justin Verlander,116,51
Jack Warhop,114,52
Jack Chesbro,113,53
George Uhle,113,
Amos Rusie,112,55
Max Scherzer,112,
Aaron Sele,112,
Pedro Astacio,111,58
Vicente Padilla,109,59
Gaylord Perry,108,60
Barney Pelty,107,61
Ed Reulbach,107,
David Cone,106,63
Earl Moore,106,
Jack Powell,106,
Ed Willett,106,
Bronson Arroyo,105,67
Felix Hernández,105,
Jim Lonborg,105,
Jeff Pfeffer,105,
Tom Hughes,104,71
Ervin Santana,104,
Scott Erickson,103,73
Red Faber,103,
Randy Wolf,103,
Chief Bender,102,76
Bob Gibson,102,
Clark Griffith,102,
Carlos Zambrano,102,
Earl Whitehill,101,80
Wilbur Cooper,100,81
Cole Hamels,100,
Kerry Wood,99,83
Jack Billingham,98,84
Don Cardwell,98,
Tommy John,98,
Burleigh Grimes,97,87
Harry Howell,97,
Frank Lary,97,
James Shields,97,
Barry Zito,97,
Tim Keefe,96,92
Harry McIntire,96,
Darren Oliver,96,
Togie Pittinger,96,
Julian Tavarez,96,
Rube Benton,95,97
José Berríos,95,
Cy Morgan,95,
Matt Clement,94,100
Jack Quinn,94,
Jeff Suppan,94,
Justin Masterson,93,103
Mickey Lolich,92,104
Win Mercer,92,
Jack Taylor,92,
Ryan Dempster,91,107
Bill Donovan,91,
John Burkett,90,109
Joe Coleman,90,
R.A. Dickey,90,
Sam Leever,90,
Jon Lester,90,
Lee Meadows,90,
Chris Bassitt,89,115
Madison Bumgarner,89,
Lance Lynn,89,
Carl Mays,89,
Jack Coombs,88,119
Jeremy Guthrie,88,
Jason Marquis,88,
Jakie May,88,
Oliver Pérez,88,
Rick Reuschel,88,
Tully Sparks,88,
Javier Vazquez,88,
Mike Boddicker,87,127
Kyle Lohse,87,
Jimmy Callahan,86,129
Tommy Byrne,85,130
Tom Candiotti,85,
Lefty Leifield,85,
Hippo Vaughn,85,
Bill Duggleby,84,134
Fergie Jenkins,84,
Ian Kennedy,84,
Carl Pavano,84,
Rick Porcello,84,
Cy Seymour,84,
Otto Hess,83,140
Todd Stottlemyre,83,
David Wells,83,
Roberto Hernandez,82,143
Frank Kitson,82,
Tony Mullane,82,
Don Sutton,82,
Danny Darwin,81,147
Roy Halladay,81,
Rich Hill,81,
Mike Pelfrey,81,
Adam Wainwright,81,
Dave Bush,80,152
Byung-Hyun Kim,80,
Omar Olivares,80,
Roy Oswalt,80,
Jim Perry,80,
Wiley Piatt,80,
Willie Sudhoff,80,
Kevin Appier,79,159
Miguel Batista,79,
Mark Buehrle,79,
Red Donahue,79,
Zack Greinke,79,
Kevin Gross,79,
Al Orth,79,
Charlie Root,79,
Bob Welch,79,
Dwight Gooden,78,168
Livan Hernandez,78,
Ubaldo Jimenez,78,
Derek Lowe,78,
Jake Peavy,78,
Yu Darvish,77,173
Bill Dinneen,77,
Paul Maholm,77,
Joe Musgrove,77,
Hank O'Day,77,
Dazzy Vance,77,
Josh Beckett,76,179
Rip Collins,76,
Chuck Finley,76,
George Mogridge,76,
Eppa Rixey,76,
Tom Seaver,76,
Edinson Volquez,76,
C.J. Wilson,76,
Dennis Eckersley,75,187
Mark Leiter,75,
Esteban Loaiza,75,
Willie Mitchell,75,
Case Patten,75,
Kevin Millwood,74,192
Matt Morris,74,
Milt Wilcox,74,
Mike Morgan,73,195
Nap Rucker,73,
Mike Smithson,73,
Jake Weimer,73,
Alex Wood,73,
Chris Carpenter,72,200
Doug Fister,72,
Ed Killian,72,
Dave McNally,72,
Milt Pappas,72,
Dummy Taylor,72,
Woody Williams,72,
Bill Carrick,71,207
Ned Garvin,71,
Jason Hammel,71,
Guy Hecker,71,
Jerry Koosman,71,
Bob Purkey,71,
Julio Teheran,71,
Stan Williams,71,
Grover Alexander,70,215
Ray Culp,70,
Earl Hamilton,70,
Johnny Klippstein,70,
Terry Mulholland,70,
Joe Nuxhall,70,
Kip Wells,70,
Zack Wheeler,70,
Cy Falkenberg,69,223
Ivan Nova,69,
Ramon Ortiz,69,
Woodie Fryman,68,226
Kyle Gibson,68,
Steve Gromek,68,
Kyle Hendricks,68,
Larry Jackson,68,
Sad Sam Jones,68,
Scott Kazmir,68,
Bruce Kison,68,
Mike Leake,68,
Dutch Leonard,68,
Doc Newton,68,
Pedro Ramos,68,
Ron Villone,68,
Jake Westbrook,68,
Will White,68,
Rolando Arrojo,67,241
Freddy Garcia,67,
Dan Haren,67,
Orlando Hernandez,67,
Jordan Lyles,67,
Jaime Navarro,67,
Joe Oeschger,67,
Lefty Tyler,67,
Trevor Bauer,66,249
Shawn Chacon,66,
Bert Cunningham,66,
Pete Dowling,66,
Gavin Floyd,66,
Tom Glavine,66,
Bump Hadley,66,
Andrew Heaney,66,
Ramon Martinez,66,
