Name,Innings Pitched,Rank
Cy Young,"7,356.0",1
Pud Galvin,"5,941.1",2
Walter Johnson,"5,914.1",3
Phil Niekro,"5,404.1",4
Nolan Ryan,"5,386.0",5
Gaylord Perry,"5,350.1",6
Don Sutton,"5,282.1",7
Warren Spahn,"5,243.2",8
Steve Carlton,"5,217.1",9
Grover Alexander,"5,190.0",10
Kid Nichols,"5,056.1",11
Tim Keefe,"5,049.2",12
Greg Maddux,"5,008.1",13
Bert Blyleven,"4,970.0",14
Roger Clemens,"4,916.2",15
Mickey Welch,"4,802.0",16
Tom Seaver,"4,782.2",17
Christy Mathewson,"4,780.2",18
Tommy John,"4,710.1",19
Robin Roberts,"4,688.2",20
Early Wynn,"4,564.0",21
John Clarkson,"4,536.1",22
Old Hoss Radbourn,"4,535.1",23
Tony Mullane,"4,531.1",24
Jim Kaat,"4,530.1",25
Fergie Jenkins,"4,500.2",26
Eddie Plank,"4,495.2",27
Eppa Rixey,"4,494.2",28
Tom Glavine,"4,413.1",29
Jack Powell,"4,389.0",30
Red Ruffing,"4,344.0",31
Gus Weyhing,"4,324.1",32
Jim McCormick,"4,275.2",33
Frank Tanana,"4,188.1",34
Burleigh Grimes,"4,179.2",35
Ted Lyons,"4,161.0",36
Randy Johnson,"4,135.1",37
Red Faber,"4,086.2",38
Jamie Moyer,"4,074.0",39
Dennis Martinez,"3,999.2",40
Vic Willis,"3,996.0",41
Jim Palmer,"3,948.0",42
Lefty Grove,"3,940.2",43
Jack Quinn,"3,920.1",44
Bob Gibson,"3,884.1",45
Sad Sam Jones,"3,883.0",46
Jerry Koosman,"3,839.1",47
Bob Feller,"3,827.0",48
Jack Morris,"3,824.0",49
Charlie Hough,"3,801.1",50
Amos Rusie,"3,778.2",51
Waite Hoyt,"3,762.1",52
Jim Bunning,"3,760.1",53
Bobo Newsom,"3,759.1",54
George Mullin,"3,686.2",55
Jerry Reuss,"3,669.2",56
Paul Derringer,"3,645.0",57
Mickey Lolich,"3,638.1",58
Bob Friend,"3,611.0",59
Carl Hubbell,"3,590.1",60
Joe Niekro,"3,584.0",61
CC Sabathia,"3,577.1",62
Herb Pennock,"3,571.2",63
Earl Whitehill,"3,564.2",64
Mike Mussina,"3,562.2",65
Rick Reuschel,"3,548.1",66
Will White,"3,542.2",67
Adonis Terry,"3,514.1",68
Juan Marichal,"3,507.1",69
Jim Whitney,"3,496.1",70
Luis Tiant,"3,486.1",71
Wilbur Cooper,"3,480.0",72
John Smoltz,"3,473.0",73
Justin Verlander,"3,472.1",74
Bartolo Colon,"3,461.2",75
Claude Osteen,"3,460.1",76
Catfish Hunter,"3,449.1",77
Joe McGinnity,"3,441.1",78
David Wells,"3,439.0",79
Don Drysdale,"3,432.0",80
Mel Harder,"3,426.1",81
Charlie Buffinton,"3,404.0",82
Hooks Dauss,"3,390.2",83
Zack Greinke,"3,389.1",84
Clark Griffith,"3,385.2",85
Doyle Alexander,"3,367.2",86
Chick Fraser,"3,356.0",87
Al Orth,"3,354.2",88
Curt Simmons,"3,348.1",89
Vida Blue,"3,343.1",90
Andy Pettitte,"3,316.0",91
Rube Marquard,"3,306.2",92
Billy Pierce,"3,306.2",
Kenny Rogers,"3,302.2",94
Dennis Eckersley,"3,285.2",95
Jim Perry,"3,285.2",
Mark Buehrle,"3,283.1",97
Larry Jackson,"3,262.2",98
Curt Schilling,"3,261.0",99
Kevin Brown,"3,256.1",100
Tim Wakefield,"3,226.2",101
Freddie Fitzsimmons,"3,223.2",102
Eddie Cicotte,"3,223.1",103
Dolf Luque,"3,220.1",104
Dutch Leonard,"3,218.1",105
Jesse Haines,"3,208.2",106
Red Ames,"3,198.0",107
Chuck Finley,"3,197.1",108
Charlie Root,"3,197.1",
Livan Hernandez,"3,189.0",110
Milt Pappas,"3,186.0",111
Silver King,"3,181.2",112
Mordecai Brown,"3,172.1",113
Whitey Ford,"3,170.1",114
Lee Meadows,"3,160.2",115
Larry French,"3,152.0",116
Orel Hershiser,"3,130.1",117
Rick Wise,"3,127.0",118
Tim Hudson,"3,126.2",119
Tom Zachary,"3,126.1",120
George Uhle,"3,119.2",121
Bucky Walters,"3,104.2",122
Bob Welch,"3,092.0",123
Bullet Joe Bush,"3,087.1",124
Stan Coveleski,"3,082.0",125
Bill Hutchison,"3,078.0",126
Bill Dinneen,"3,074.2",127
Lew Burdette,"3,067.1",128
Murry Dickson,"3,052.1",129
Mike Torrez,"3,044.0",130
Doc White,"3,041.0",131
Carl Mays,"3,021.1",132
Brickyard Kennedy,"3,021.0",133
Chief Bender,"3,017.0",134
Danny Darwin,"3,016.2",135
Pink Hawley,"3,012.2",136
Babe Adams,"2,995.1",137
Hal Newhouser,"2,993.0",138
Red Donahue,"2,975.1",139
Dazzy Vance,"2,966.2",140
Bill Donovan,"2,964.2",141
Theodore Breitenstein,"2,964.1",142
Ed Walsh,"2,964.1",
Mark Langston,"2,962.2",144
Rube Waddell,"2,961.1",145
Bump Hadley,"2,945.2",146
Bob Shawkey,"2,937.0",147
Camilo Pascual,"2,930.2",148
Fernando Valenzuela,"2,930.0",149
Guy Hecker,"2,924.0",150
David Cone,"2,898.2",151
Jack Chesbro,"2,896.2",152
Dave Stieb,"2,895.1",153
Jack Stivetts,"2,887.2",154
Max Scherzer,"2,881.0",155
Ken Holtzman,"2,867.1",156
Bill Lee,"2,864.0",157
Bob Lemon,"2,850.0",158
John Lackey,"2,840.1",159
Javier Vazquez,"2,840.0",160
Steve Rogers,"2,837.2",161
Frank Viola,"2,836.1",162
Mike Moore,"2,831.2",163
Bob Caruthers,"2,828.2",164
Pedro Martinez,"2,827.1",165
Tommy Bridges,"2,826.1",166
Slim Sallee,"2,821.2",167
Howard Ehmke,"2,820.2",168
Frank Dwyer,"2,810.0",169
Mike Cuellar,"2,808.0",170
Mark Baldwin,"2,802.1",171
Dwight Gooden,"2,800.2",172
Bob Forsch,"2,794.2",173
Bill Doak,"2,782.2",174
Lon Warneke,"2,782.1",175
Tommy Bond,"2,779.2",176
Earl Moore,"2,776.0",177
Clayton Kershaw,"2,775.1",178
Mike Morgan,"2,772.1",179
Mike Flanagan,"2,770.0",180
Red Ehret,"2,754.1",181
Jesse Tannehill,"2,750.1",182
Roy Halladay,"2,749.1",183
Jon Lester,"2,740.0",184
Bobby Mathews,"2,734.1",185
A.J. Burnett,"2,731.1",186
Dave McNally,"2,730.0",187
Hippo Vaughn,"2,730.0",
Felix Hernández,"2,729.2",189
Bert Cunningham,"2,726.2",190
Dizzy Trout,"2,725.2",191
Tom Candiotti,"2,725.0",192
Guy Bush,"2,722.0",193
Kevin Millwood,"2,720.1",194
Claude Passeau,"2,719.2",195
Bill Sherdel,"2,709.1",196
Bob Knepper,"2,708.0",197
Art Nehf,"2,707.2",198
Danny MacFayden,"2,706.0",199
Cole Hamels,"2,698.0",200
Rick Sutcliffe,"2,697.2",201
Wilbur Wood,"2,684.0",202
Jim Slaton,"2,683.2",203
Virgil Trucks,"2,682.1",204
Urban Shocker,"2,681.2",205
Ed Morris,"2,678.0",206
Vern Law,"2,672.0",207
Derek Lowe,"2,671.1",208
Adam Wainwright,"2,668.1",209
Mel Stottlemyre,"2,661.1",210
Sam Leever,"2,660.2",211
Burt Hooton,"2,652.0",212
John Burkett,"2,648.1",213
Tom Hughes,"2,644.0",214
Rube Walberg,"2,644.0",
Sadie McMahon,"2,634.0",216
Ed Reulbach,"2,632.1",217
Dave Stewart,"2,629.2",218
Wes Ferrell,"2,623.0",219
Rudy May,"2,622.0",220
Jack Taylor,"2,617.0",221
James Shields,"2,616.0",222
Willis Hudlin,"2,613.1",223
