Name,WP (Raw),Rank
Spud Chandler,0.717 (0.71711),1
Clayton Kershaw,0.696 (0.69579),2
Dave Foutz,0.690 (0.69014),3
Whitey Ford,0.690 (0.69006),4
Bob Caruthers,0.688 (0.68770),5
Pedro Martinez,0.687 (0.68652),6
Don Gullett,0.686 (0.68553),7
Lefty Grove,0.680 (0.68027),8
Babe Ruth,0.671 (0.67143),9
Joe Wood,0.671 (0.67052),10
Jay Hughes,0.669 (0.66935),11
Bill Hoffer,0.667 (0.66667),12
Vic Raschi,0.667 (0.66667),
Larry Corcoran,0.665 (0.66541),14
Christy Mathewson,0.665 (0.66488),15
Sam Leever,0.660 (0.65986),16
Roy Halladay,0.659 (0.65909),17
Max Scherzer,0.659 (0.65854),18
Roger Clemens,0.658 (0.65799),19
Sal Maglie,0.657 (0.65746),20
David Price,0.657 (0.65690),21
Gerrit Cole,0.657 (0.65665),22
Sandy Koufax,0.655 (0.65476),23
Johnny Allen,0.654 (0.65438),24
Ron Guidry,0.651 (0.65134),25
Lefty Gomez,0.649 (0.64948),26
John Clarkson,0.648 (0.64822),27
Mordecai Brown,0.648 (0.64770),28
Randy Johnson,0.646 (0.64606),29
Stephen Strasburg,0.646 (0.64571),30
Dizzy Dean,0.644 (0.64378),31
Grover Alexander,0.642 (0.64200),32
Johan Santana,0.641 (0.64055),33
Lady Baldwin,0.640 (0.64035),34
Tex Hughson,0.640 (0.64000),35
Pedro Borbon,0.639 (0.63889),36
Mike Mussina,0.638 (0.63830),37
Jim Palmer,0.638 (0.63810),38
Johnny Murphy,0.637 (0.63699),39
Kid Nichols,0.634 (0.63445),40
Justin Verlander,0.634 (0.63438),41
Deacon Phillippe,0.634 (0.63423),42
Joe McGinnity,0.634 (0.63402),43
Dwight Gooden,0.634 (0.63399),44
Ed Reulbach,0.632 (0.63194),45
Mark Mulder,0.632 (0.63190),46
Juan Marichal,0.631 (0.63117),47
Jon Lester,0.631 (0.63091),48
Lefty Williams,0.631 (0.63077),49
Mort Cooper,0.631 (0.63054),50
Allie Reynolds,0.630 (0.62976),51
Jesse Tannehill,0.629 (0.62939),52
Masahiro Tanaka,0.629 (0.62903),53
Ray Kremer,0.627 (0.62719),54
Firpo Marberry,0.627 (0.62712),55
Eddie Plank,0.627 (0.62692),56
Tommy Bond,0.627 (0.62662),57
Andy Pettitte,0.626 (0.62592),58
Chief Bender,0.625 (0.62537),59
Tim Hudson,0.625 (0.62535),60
Don Newcombe,0.623 (0.62343),61
Carl Lundgren,0.623 (0.62329),62
Nig Cuppy,0.623 (0.62308),63
