Name,Runs Allowed,Rank
Cy Young,"2,994",1
Gus Weyhing,"2,788",2
Pud Galvin,"2,589",3
Mickey Welch,"2,556",4
Kid Nichols,"2,477",5
Tim Keefe,"2,469",6
John Clarkson,"2,376",7
Phil Niekro,"2,337",8
Tony Mullane,"2,311",9
Old Hoss Radbourn,"2,275",10
Nolan Ryan,"2,178",11
Steve Carlton,"2,130",12
Gaylord Perry,"2,128",13
Red Ruffing,"2,117",14
Adonis Terry,"2,109",15
Don Sutton,"2,104",16
Jamie Moyer,"2,076",17
Amos Rusie,"2,068",18
Ted Lyons,"2,056",19
Burleigh Grimes,"2,048",20
Jim Kaat,"2,038",21
Early Wynn,"2,037",22
Bert Blyleven,"2,029",23
Jim Whitney,"2,026",24
Earl Whitehill,"2,018",25
Tommy John,"2,017",26
Warren Spahn,"2,016",27
Sad Sam Jones,"2,007",28
Chick Fraser,"1,995",29
Eppa Rixey,"1,986",30
Greg Maddux,"1,981",31
Robin Roberts,"1,962",32
Pink Hawley,"1,927",33
Frank Tanana,"1,910",34
Bobo Newsom,"1,908",35
Walter Johnson,"1,902",36
Tom Glavine,"1,900",37
Roger Clemens,"1,885",38
Jim McCormick,"1,878",39
Bill Hutchison,"1,872",40
Brickyard Kennedy,"1,859",41
Fergie Jenkins,"1,853",42
Clark Griffith,"1,852",43
Grover Alexander,"1,851",44
Will White,"1,844",45
Jack Stivetts,"1,836",46
Dennis Martinez,"1,835",47
Jack Quinn,"1,835",
Charlie Buffinton,"1,824",49
Mark Baldwin,"1,816",50
Jack Morris,"1,815",51
Red Faber,"1,813",52
Charlie Hough,"1,807",53
Silver King,"1,805",54
Jack Powell,"1,794",55
Tim Wakefield,"1,791",56
Waite Hoyt,"1,780",57
Bobby Mathews,"1,758",58
Bert Cunningham,"1,757",59
Win Mercer,"1,744",60
Kenny Rogers,"1,739",61
Guy Hecker,"1,726",62
Frank Dwyer,"1,724",63
Bartolo Colon,"1,719",64
Mel Harder,"1,714",65
Jouett Meekin,"1,704",66
Al Orth,"1,704",
Randy Johnson,"1,703",68
David Wells,"1,702",69
Jerry Reuss,"1,700",70
Herb Pennock,"1,692",71
Livan Hernandez,"1,686",72
Tom Seaver,"1,674",73
Red Ehret,"1,658",74
Paul Derringer,"1,652",75
Bob Friend,"1,652",
George Mullin,"1,636",77
George Uhle,"1,635",78
Vic Willis,"1,628",79
CC Sabathia,"1,623",80
Joe Niekro,"1,620",81
Christy Mathewson,"1,616",82
Bump Hadley,"1,609",83
Jerry Koosman,"1,608",84
Hooks Dauss,"1,599",85
Lefty Grove,"1,594",86
Andy Pettitte,"1,572",87
Frank Killen,"1,571",88
Eddie Plank,"1,569",89
Mike Mussina,"1,559",90
Bob Feller,"1,557",91
Jesse Haines,"1,556",92
Tom Zachary,"1,552",93
Curt Simmons,"1,551",94
Mark Buehrle,"1,542",95
Doyle Alexander,"1,541",96
Matt Kilroy,"1,539",97
Mickey Lolich,"1,537",98
George Wiedman,"1,536",99
Kid Carsey,"1,529",100
Jim Bunning,"1,527",101
Mike Moore,"1,516",102
Chuck Finley,"1,512",103
Freddie Fitzsimmons,"1,505",104
Mike Torrez,"1,501",105
Rick Reuschel,"1,494",106
Willis Hudlin,"1,491",107
Lee Meadows,"1,491",
Charlie Getzien,"1,468",109
Charlie Root,"1,467",110
Rick Wise,"1,455",111
Jeff Suppan,"1,451",112
Bobby Witt,"1,449",113
Bullet Joe Bush,"1,443",114
Rube Marquard,"1,443",
Larry French,"1,440",116
Mark Langston,"1,438",117
Joe McGinnity,"1,438",
Claude Osteen,"1,435",119
Dutch Leonard,"1,432",120
Danny Darwin,"1,431",121
Murry Dickson,"1,431",
Mike Morgan,"1,431",
Javier Vazquez,"1,431",
Howard Ehmke,"1,425",125
Rube Walberg,"1,423",126
Bob Gibson,"1,420",127
Dolf Luque,"1,412",128
Bill Dinneen,"1,411",129
Zack Greinke,"1,410",130
Jim Perry,"1,407",131
Wilbur Cooper,"1,406",132
Larry Jackson,"1,405",133
Lew Burdette,"1,400",134
Luis Tiant,"1,400",
Terry Mulholland,"1,396",136
Danny MacFayden,"1,395",137
Jim Palmer,"1,395",
George Bradley,"1,392",139
John Smoltz,"1,391",140
Justin Verlander,"1,385",141
Dennis Eckersley,"1,382",142
Wes Ferrell,"1,382",
Carl Hubbell,"1,380",144
Catfish Hunter,"1,380",
John Burkett,"1,374",146
Toad Ramsey,"1,373",147
Guy Bush,"1,369",148
Orel Hershiser,"1,366",149
Vida Blue,"1,357",150
Kevin Brown,"1,357",
Kevin Millwood,"1,357",
John Lackey,"1,347",153
