Name,Games,Rank
Mariano Rivera,652,1
Trevor Hoffman,601,2
Lee Smith,478,3
Kenley Jansen,462,4
Craig Kimbrel,440,5
Francisco Rodriguez,437,6
John Franco,424,7
Billy Wagner,422,8
Dennis Eckersley,390,9
Joe Nathan,377,10
Jonathan Papelbon,368,11
Jeff Reardon,367,12
Troy Percival,358,13
Aroldis Chapman,349,14
Randy Myers,347,15
Rollie Fingers,341,16
John Wetteland,330,17
Francisco Cordero,329,18
Fernando Rodney,327,19
Roberto Hernandez,326,20
Huston Street,324,21
Jose Mesa,321,22
Todd Jones,319,23
Rick Aguilera,318,24
Robb Nen,314,25
Tom Henke,311,26
Rich Gossage,310,27
Jeff Montgomery,304,28
Doug Jones,303,29
Jason Isringhausen,300,30
Bruce Sutter,300,
Armando Benitez,289,32
Jose Valverde,288,33
Rod Beck,286,34
Bob Wickman,267,35
Mark Melancon,262,36
Todd Worrell,256,37
Dave Righetti,252,38
Dan Quisenberry,244,39
Edwin Díaz,240,40
Sparky Lyle,238,41
Ugueth Urbina,237,42
Raisel Iglesias,232,43
Joakim Soria,229,44
Hoyt Wilhelm,227,45
Brad Lidge,225,46
Greg Holland,220,47
Gene Garber,218,48
Josh Hader,218,
Gregg Olson,217,50
Dave Smith,216,51
Rafael Soriano,207,52
Brian Fuentes,204,53
Jeff Shaw,203,54
Bobby Thigpen,201,55
Roy Face,193,56
Mike Henneman,193,
Mitch Williams,192,58
Keith Foulke,191,59
J.J. Putz,189,60
Mike Marshall,188,61
Eric Gagne,187,62
Eddie Guardado,187,
Jeff Russell,186,64
Steve Bedrosian,184,65
Kent Tekulve,184,
Danny Graves,182,67
Tug McGraw,180,68
Ron Perranoski,179,69
Jim Johnson,178,70
Kevin Gregg,177,71
Bryan Harvey,177,
David Robertson,177,
Emmanuel Clase,176,74
Jeff Brantley,172,75
Bobby Jenks,172,
Lindy McDaniel,172,
Brian Wilson,172,
Heath Bell,168,79
Billy Koch,163,80
Alex Colomé,159,81
Roger McDowell,159,
Tom Gordon,158,83
Dan Plesac,158,
Jay Howell,155,85
Roberto Osuna,155,
Zack Britton,154,87
Stu Miller,154,
John Smoltz,154,
Cody Allen,153,90
Don McMahon,153,
Greg Minton,150,92
Ted Abernathy,148,93
Willie Hernandez,147,94
Dave Giusti,145,95
John Axford,144,96
Santiago Casilla,144,
Jesse Orosco,144,
Mike Williams,144,
Clay Carroll,143,100
Darold Knowles,143,
Michael Jackson,142,102
Wade Davis,141,103
Mike Timlin,141,
Matt Capps,138,105
Sergio Romo,137,106
Gary Lavelle,136,107
Steve Cishek,133,108
Chris Perez,133,
Jim Brewer,132,110
Steve Farr,132,
Brad Hand,132,
Trevor Rosenthal,132,
Bob Stanley,132,
Joe Borowski,131,115
Ron Davis,130,116
Antonio Alfonseca,129,117
Kazuhiro Sasaki,129,
Chad Cordero,128,119
Jeurys Familia,127,120
Terry Forster,127,
LaTroy Hawkins,127,
Bill Campbell,126,123
Dave LaRoche,126,
Mel Rojas,126,
John Hiller,125,126
Addison Reed,125,
Jack Aker,123,128
Dick Radatz,122,129
Duane Ward,121,130
Glen Perkins,120,131
Mark Wohlers,119,132
Jonathan Broxton,118,133
Carlos Marmol,117,134
Ryan Pressly,117,
B.J. Ryan,117,
Ricky Bottalico,116,137
Liam Hendriks,116,
Ken Giles,115,139
Tippy Martinez,115,
Danys Baez,114,141
Will Smith,114,
Jordan Romano,113,143
Sean Doolittle,111,144
Frank Linzy,111,
Jose Jimenez,110,146
Al Worthington,110,
Octavio Dotel,109,148
Fred Gladding,109,
Wayne Granger,108,150
Ron Kline,108,
Neftalí Feliz,107,152
Johnny Murphy,107,
Héctor Neris,107,
Bill Caudill,106,155
Kyle Finnegan,106,
Brad Ziegler,105,157
Camilo Doval,104,158
Carlos Estévez,104,
Braden Looper,103,160
Ron Reed,103,
John Wyatt,103,
Tom Burgmeier,102,163
Tim Burke,102,
Ellis Kinder,102,
Craig Lefferts,101,166
Firpo Marberry,101,
Mike Fetters,100,168
Joel Hanrahan,100,
Billy Taylor,100,
Joe Hoerner,99,171
Jorge Julio,99,
AJ Ramos,99,
Drew Storen,99,
Ryan Helsley,98,175
Mike Schooler,98,
Heathcliff Slocumb,98,
Norm Charlton,97,178
Al Hrabosky,97,
Tom Niedenfuer,97,
Kirby Yates,97,
Mark Davis,96,182
Clem Labine,96,
Randy Moffitt,96,
Andrew Bailey,95,185
Bob Locker,95,
Koji Uehara,95,
Dave Veres,95,
David Bednar,94,189
Aurelio Lopez,93,190
Matt Mantei,93,
Juan Oviedo,93,
Tom Hume,92,193
Phil Regan,92,
Hector Rondon,92,
Jim Gott,91,196
Steve Howe,91,
Ryan Madson,91,
Bill Henry,90,199
Casey Janssen,90,
Rob Dibble,89,201
Donnie Moore,89,
Felipe Vázquez,89,
Jim Kern,88,204
John Rocker,88,
Ryan Dempster,87,206
Byung-Hyun Kim,86,207
Derek Lowe,86,
Ken Sanders,86,
Cecil Upshaw,86,
Paul Sewald,85,211
Grant Balfour,84,212
Brad Boxberger,84,
Ryan Franklin,84,
Takashi Saito,84,
Joe Sambito,84,
Mike Stanton,84,
Mark Clear,83,218
Turk Farrell,83,
Claude Raymond,83,
Taylor Rogers,83,
Elias Sosa,83,
Don Aase,82,223
Doug Henry,82,
Larry Sherry,82,
Blake Treinen,82,
Doug Bair,81,227
Eddie Fisher,81,
Pedro Borbon,80,229
Eddie Watt,80,
Stan Belinda,79,231
Jason Grilli,79,
Grant Jackson,79,
Brandon Lyon,79,
Jake McGee,79,
Al Holland,78,236
Devin Williams,78,
Pete Fairbanks,76,238
Joe Page,76,
Tim Stoddard,76,
Neil Allen,75,241
Rafael Betancourt,75,
Alexis Díaz,75,
Ed Farmer,75,
David Weathers,75,
Tyler Clippard,74,246
Clay Holmes,74,
Jim Konstanty,74,
Brandon League,74,
Alejandro Pena,74,
Chad Qualls,74,
Frank Francisco,73,252
Ernesto Frieri,73,
Bob James,73,
Dan Kolb,73,
Turk Lown,73,
Corey Knebel,72,257
Ron Taylor,72,
Mike MacDougal,71,259
Diego Segui,71,
Tim Worrell,71,
Ted Power,70,262
Tanner Scott,70,
David Aardsma,69,264
Jhoan Duran,68,265
Rawly Eastwick,68,
Dick Hall,68,
Skip Lockwood,68,
Tom Wilhelmsen,68,
Jim Brosnan,67,270
Daniel Bard,66,271
Al Benton,66,
Doug Corbett,66,
Luke Gregerson,66,
Bob Howry,66,
Ian Kennedy,66,
Johnny Klippstein,66,
Derrick Turnbow,65,278
Félix Bautista,64,279
Clint Brown,64,
Paul Lindblad,64,
Tom Morgan,64,
Don Stanhouse,64,
Don Elston,63,284
Joe Heving,63,
Bob Lee,63,
Gary Lucas,63,
Al McBean,63,
Andrew Miller,63,
Bruce Ruffin,63,
Kerry Wood,63,
Jon Rauch,62,292
Ed Roebuck,62,
Kelvin Herrera,61,294
Charlie Hough,61,
Brandon Kintzler,61,
Gerry Staley,61,
