Name,Games,Rank
Walter Johnson,110,1
Grover Alexander,90,2
Christy Mathewson,79,3
Cy Young,76,4
Eddie Plank,69,5
Warren Spahn,63,6
Nolan Ryan,61,7
Tom Seaver,61,
Bert Blyleven,60,9
Don Sutton,58,10
Pud Galvin,57,11
Ed Walsh,57,
Bob Gibson,56,13
Mordecai Brown,55,14
Steve Carlton,55,
Jim Palmer,53,16
Gaylord Perry,53,
Juan Marichal,52,18
Rube Waddell,50,19
Vic Willis,50,
Don Drysdale,49,21
Fergie Jenkins,49,
Luis Tiant,49,
Early Wynn,49,
Kid Nichols,48,25
Roger Clemens,46,26
Tommy John,46,
Jack Powell,46,
Whitey Ford,45,29
Addie Joss,45,
Phil Niekro,45,
Robin Roberts,45,
Red Ruffing,45,
Doc White,45,
Babe Adams,44,35
Bob Feller,44,
Milt Pappas,43,37
Catfish Hunter,42,38
Bucky Walters,42,
Mickey Lolich,41,40
Hippo Vaughn,41,
Mickey Welch,41,
Chief Bender,40,43
Jim Bunning,40,
Larry French,40,
Sandy Koufax,40,
Claude Osteen,40,
Ed Reulbach,40,
Mel Stottlemyre,40,
Tim Keefe,39,50
Sam Leever,39,
Jerry Reuss,39,
Stan Coveleski,38,53
Billy Pierce,38,
Nap Rucker,38,
Vida Blue,37,56
John Clarkson,37,
Larry Jackson,37,
Randy Johnson,37,
Eppa Rixey,37,
Steve Rogers,37,
Mike Cuellar,36,62
Bob Friend,36,
Carl Hubbell,36,
Sad Sam Jones,36,
Camilo Pascual,36,
Allie Reynolds,36,
Curt Simmons,36,
Will White,36,
Tommy Bond,35,70
Bullet Joe Bush,35,
Jack Chesbro,35,
Eddie Cicotte,35,
Jack Coombs,35,
Wilbur Cooper,35,
Bill Donovan,35,
Burleigh Grimes,35,
Lefty Grove,35,
Greg Maddux,35,
George Mullin,35,
Herb Pennock,35,
Old Hoss Radbourn,35,
Bill Doak,34,83
Earl Moore,34,
Frank Tanana,34,
Jesse Tannehill,34,
Tommy Bridges,33,87
Lew Burdette,33,
Dean Chance,33,
Mort Cooper,33,
Jerry Koosman,33,
Lefty Leifield,33,
Dutch Leonard,33,
Jim McCormick,33,
Dave McNally,33,
Hal Newhouser,33,
Bob Shawkey,33,
Virgil Trucks,33,
Paul Derringer,32,99
Joe McGinnity,32,
Jim Perry,32,
Ken Holtzman,31,102
Jim Kaat,31,
Bob Lemon,31,
Bobo Newsom,31,
Al Orth,31,
Ken Raffensberger,31,
Fernando Valenzuela,31,
Charlie Buffinton,30,109
Bob Knepper,30,
Dutch Leonard,30,
Jim Maloney,30,
Rube Marquard,30,
Dennis Martinez,30,
Jon Matlack,30,
Tony Mullane,30,
Orval Overall,30,
Amos Rusie,30,
Dave Stieb,30,
Lefty Tyler,30,
Lon Warneke,30,
Rick Wise,30,
Red Faber,29,123
Freddie Fitzsimmons,29,
Burt Hooton,29,
Bill Lee,29,
Carl Mays,29,
Denny McLain,29,
Ed Morris,29,
Joe Niekro,29,
Dazzy Vance,29,
Johnny Vander Meer,29,
George Bradley,28,133
Lefty Gomez,28,
Vern Law,28,
Jack Morris,28,
Art Nehf,28,
Jeff Pfeffer,28,
Jack Quinn,28,
Urban Shocker,28,
Fred Toney,28,
Dizzy Trout,28,
Bob Welch,28,
Gus Weyhing,28,
Joe Wood,28,
Jack Billingham,27,146
Murry Dickson,27,
Cy Falkenberg,27,
Woodie Fryman,27,
Mike Garcia,27,
Claude Hendrix,27,
Ed Lopat,27,
Ted Lyons,27,
Andy Messersmith,27,
Deacon Phillippe,27,
Dick Rudolph,27,
Hal Schumacher,27,
Frank Smith,27,
Jeff Tesreau,27,
Hooks Wiltse,27,
Red Ames,26,161
Jesse Barnes,26,
Spud Chandler,26,
Dizzy Dean,26,
Ron Guidry,26,
Waite Hoyt,26,
Dolf Luque,26,
Claude Passeau,26,
Vic Raschi,26,
Rick Reuschel,26,
Jim Scott,26,
Jim Whitney,26,
Johnny Antonelli,25,173
Harry Brecheen,25,
Larry Dierker,25,
Red Donahue,25,
Dick Donovan,25,
Tom Glavine,25,
Noodles Hahn,25,
Mel Harder,25,
Orel Hershiser,25,
Tom Hughes,25,
Sal Maglie,25,
Lee Meadows,25,
Howie Pollet,25,
Slim Sallee,25,
Rube Benton,24,187
Bob Caruthers,24,
Curt Davis,24,
Al Downing,24,
Dwight Gooden,24,
Jesse Haines,24,
Rudy May,24,
Don Newcombe,24,
Johnny Podres,24,
Reb Russell,24,
Chris Short,24,
Bill Singer,24,
Bob Turley,24,
John Ward,24,
Wilbur Wood,24,
Tom Zachary,24,
Mike Caldwell,23,203
Bill Dinneen,23,
Bruce Hurst,23,
Dennis Leonard,23,
Mike McCormick,23,
Sam McDowell,23,
Scott McGregor,23,
Mike Mussina,23,
Barney Pelty,23,
Pol Perritt,23,
Gary Peters,23,
Togie Pittinger,23,
Bob Porterfield,23,
David Cone,22,216
Larry Corcoran,22,
Ray Culp,22,
Hooks Dauss,22,
Joe Dobson,22,
Chick Fraser,22,
Clark Griffith,22,
Bob Groom,22,
Ed Killian,22,
Red Lucas,22,
Schoolboy Rowe,22,
Mike Scott,22,
Jim Slaton,22,
Steve Barber,21,229
Tiny Bonham,21,
Ray Caldwell,21,
Doug Drabek,21,
Bill Hutchison,21,
Max Lanier,21,
Frank Lary,21,
Bob Rhoads,21,
Charlie Root,21,
Sonny Siebert,21,
Dummy Taylor,21,
George Uhle,21,
Jake Weimer,21,
Irv Young,21,
Jim Barr,20,243
Bob Buhl,20,
Howie Camnitz,20,
Larry Cheney,20,
Phil Douglas,20,
Dennis Eckersley,20,
