Name,Base on Balls,Rank
Nolan Ryan,"2,795",1
Steve Carlton,"1,833",2
Phil Niekro,"1,809",3
Early Wynn,"1,775",4
Bob Feller,"1,764",5
Bobo Newsom,"1,732",6
Amos Rusie,"1,707",7
Charlie Hough,"1,665",8
Roger Clemens,"1,580",9
Gus Weyhing,"1,566",10
Red Ruffing,"1,541",11
Tom Glavine,"1,500",12
Randy Johnson,"1,497",13
Bump Hadley,"1,442",14
Warren Spahn,"1,434",15
Earl Whitehill,"1,431",16
Tony Mullane,"1,408",17
Sad Sam Jones,"1,396",18
Jack Morris,"1,390",19
Tom Seaver,"1,390",
Gaylord Perry,"1,379",21
Bobby Witt,"1,375",22
Mike Torrez,"1,371",23
Walter Johnson,"1,363",24
Don Sutton,"1,343",25
Bob Gibson,"1,336",26
Chuck Finley,"1,332",27
Chick Fraser,"1,332",
Bert Blyleven,"1,322",29
Sam McDowell,"1,312",30
Jim Palmer,"1,311",31
Mark Baldwin,"1,307",32
Adonis Terry,"1,298",33
Mickey Welch,"1,297",34
Burleigh Grimes,"1,295",35
Mark Langston,"1,289",36
Kid Nichols,"1,268",37
Bullet Joe Bush,"1,263",38
Joe Niekro,"1,262",39
Allie Reynolds,"1,261",40
Tommy John,"1,259",41
Frank Tanana,"1,255",42
Bob Lemon,"1,251",43
Hal Newhouser,"1,249",44
George Mullin,"1,238",45
Tim Keefe,"1,233",46
Cy Young,"1,217",47
Red Faber,"1,213",48
Vic Willis,"1,212",49
Tim Wakefield,"1,205",50
Theodore Breitenstein,"1,203",51
Brickyard Kennedy,"1,201",52
Jerry Koosman,"1,198",53
Tommy Bridges,"1,192",54
John Clarkson,"1,191",55
Lefty Grove,"1,187",56
Vida Blue,"1,185",57
Billy Pierce,"1,178",58
Kenny Rogers,"1,175",59
Dennis Martinez,"1,165",60
Al Leiter,"1,163",61
Mike Moore,"1,156",62
Jamie Moyer,"1,155",63
Jack Stivetts,"1,155",
Fernando Valenzuela,"1,151",65
David Cone,"1,137",66
Bill Hutchison,"1,132",67
Johnny Vander Meer,"1,132",
Jerry Reuss,"1,127",69
Ted Lyons,"1,121",70
Bucky Walters,"1,121",
Mel Harder,"1,118",72
Earl Moore,"1,108",73
Bob Buhl,"1,105",74
Luis Tiant,"1,104",75
A.J. Burnett,"1,100",76
Mickey Lolich,"1,099",77
CC Sabathia,"1,099",
Lefty Gomez,"1,095",79
Virgil Trucks,"1,088",80
Whitey Ford,"1,086",81
Jim Kaat,"1,083",82
Eppa Rixey,"1,082",83
Rick Sutcliffe,"1,081",84
Eddie Plank,"1,072",85
Ryan Dempster,"1,071",86
Camilo Pascual,"1,069",87
Bob Turley,"1,068",88
Hooks Dauss,"1,067",89
Livan Hernandez,"1,066",90
Ice Box Chamberlain,"1,065",91
Bert Cunningham,"1,064",92
Barry Zito,"1,064",
Curt Simmons,"1,063",94
Bill Donovan,"1,059",95
Murry Dickson,"1,058",96
Jouett Meekin,"1,058",
Vern Kennedy,"1,049",98
Dizzy Trout,"1,046",99
Howard Ehmke,"1,042",100
Wes Ferrell,"1,040",101
Tommy Byrne,"1,037",102
Red Ames,"1,034",103
Dave Stewart,"1,034",
Dave Stieb,"1,034",
Bob Welch,"1,034",
Andy Pettitte,"1,031",107
Rube Walberg,"1,031",
Jack Powell,"1,021",109
Bob Shawkey,"1,018",110
Steve Renko,"1,010",111
John Smoltz,"1,010",
Orel Hershiser,"1,007",113
Jim Slaton,"1,004",114
Joe Coleman,"1,003",115
Waite Hoyt,"1,003",
Jim Bunning,"1,000",117
Greg Maddux,999,118
Jim Perry,998,119
Fergie Jenkins,997,120
Kevin Gross,986,121
Kirby Higbe,979,122
Doyle Alexander,978,123
Johnny Klippstein,978,
Jamey Wright,978,
Tom Gordon,977,126
Pink Hawley,974,127
Justin Verlander,974,
Silver King,967,129
George Uhle,966,130
Rudy May,958,131
Lee Meadows,956,132
Dwight Gooden,954,133
Catfish Hunter,954,
Jimmy Ring,953,135
Grover Alexander,951,136
Steve Barber,950,137
Bartolo Colon,948,138
Jim Clancy,947,139
Sadie McMahon,945,140
Steve Trachsel,943,141
Claude Osteen,940,142
Mike Morgan,938,143
Rick Reuschel,935,144
Kevin Appier,933,145
Al Downing,933,
Stan Bahnsen,924,147
Ray Sadecki,922,148
Darryl Kile,918,149
Dolf Luque,918,
Tim Hudson,917,151
Herb Pennock,916,152
Tom Zachary,914,153
Ken Holtzman,910,154
Chan Ho Park,910,
Andy Benes,909,156
Hideo Nomo,908,157
Ron Darling,906,158
Kid Gleason,906,
Robin Roberts,902,160
Hal Schumacher,902,
Kevin Brown,901,162
Mike Hampton,900,163
Miguel Batista,899,164
Carlos Zambrano,898,165
Bob Friend,894,166
Bill Lee,893,167
Jon Lester,892,168
Ed Reulbach,892,
Bill Dietrich,890,170
Mike Flanagan,890,
Woodie Fryman,890,
Charlie Root,889,173
Juan Pizarro,888,174
Ed Crane,887,175
Walt Masterson,886,176
Tom Candiotti,883,177
Ned Garver,881,178
Steve Rogers,876,179
Old Hoss Radbourn,875,180
Danny Darwin,874,181
Danny MacFayden,872,182
Jesse Haines,871,183
Jeff Suppan,871,
Van Mungo,868,185
Scott Erickson,865,186
Frank Viola,864,187
Tim Belcher,860,188
Russ Ortiz,860,
Jack Quinn,860,
Guy Bush,859,191
Shawn Estes,858,192
Rube Marquard,858,
Milt Pappas,858,
Bob Veale,858,
Bob Knepper,857,196
Charlie Buffinton,856,197
Don Drysdale,855,198
Wilbur Cooper,853,199
Tom Hughes,853,
Ken Hill,852,201
Dan Petry,852,
Herm Wehmeier,852,
Bill Doak,851,204
Joe Dobson,851,
Mudcat Grant,849,206
Ubaldo Jimenez,848,207
Floyd Bannister,846,208
Freddie Fitzsimmons,846,
Willis Hudlin,846,
Christy Mathewson,844,211
Kevin Millwood,843,212
Gary Bell,842,213
Jack Coombs,841,214
Jose DeLeon,841,
Red Ehret,841,
Dazzy Vance,840,217
Thornton Lee,838,218
Mickey McDermott,838,
Milt Gaston,836,220
Sid Hudson,835,221
Fritz Ostermueller,835,
Bob Forsch,832,223
Andy Messersmith,831,224
Randy Wolf,831,
Bill Dinneen,829,226
Lefty Tyler,829,
Eddie Cicotte,827,228
Dave McNally,826,229
Larry Jackson,824,230
Jim Lonborg,823,231
Mike Cuellar,822,232
Sam Jones,822,
Frank Killen,822,
Larry French,819,235
Charlie Morton,819,
Sandy Koufax,817,237
Hippo Vaughn,817,
Danny Jackson,816,239
Francisco Liriano,816,
Todd Stottlemyre,816,
Gio Gonzalez,815,242
John Lackey,815,
Fred Norman,815,
Joe McGinnity,812,245
Jim Maloney,810,246
George Earnshaw,809,247
Mel Stottlemyre,809,
Chris Short,806,249
Wilson Alvarez,805,250
Felix Hernández,805,
Rick Wise,804,252
Rube Waddell,803,253
Stan Coveleski,802,254
Rick Rhoden,801,255
Alvin Crowder,800,256
Burt Hooton,799,257
Tony Cloninger,798,258
Aaron Sele,798,
Kid Carsey,796,260
Earl Wilson,796,
Ramon Martinez,795,262
Mike McCormick,795,
Derek Lowe,794,264
Jason Schmidt,792,265
Bob Rush,789,266
Blue Moon Odom,788,267
Mark Gubicza,786,268
Diego Segui,786,
Mike Mussina,785,270
Doug Davis,783,271
Bob Groom,783,
Bill Singer,781,273
Paul Splittorff,780,274
Bill Hallahan,779,275
Edwin Jackson,779,
Ed Brandt,778,277
John Denny,778,
Hoyt Wilhelm,778,
Joe Nuxhall,776,280
Ervin Santana,776,
Pat Hentgen,775,282
Clark Griffith,774,283
J.R. Richard,770,284
Milt Wilcox,770,
Tom Griffin,769,286
Earl Hamilton,769,
Jason Marquis,769,
Cole Hamels,767,289
Mike Krukow,767,
Dick Ruthven,767,
Ray Burris,764,292
Frank Dwyer,764,
Javier Vazquez,763,294
Dave Burba,762,295
Zack Greinke,762,
Bob Harmon,762,
Oliver Pérez,762,
Paul Derringer,761,299
Pedro Martinez,760,300
Mel Parnell,758,301
Johnny Schmitz,757,302
Max Scherzer,756,303
Matt Kilroy,754,304
Win Mercer,754,
Ray Culp,752,306
Jack Billingham,750,307
Jim McCormick,749,308
Rip Sewell,748,309
Walt Terrell,748,
Stan Williams,748,
Alex Kellner,747,312
James Shields,746,313
Howie Pollet,745,314
Pud Galvin,744,315
Johnny Podres,743,316
Sheriff Blake,740,317
Richard Dotson,740,
Bruce Hurst,740,
Monte Pearson,740,
Dean Chance,739,321
Dutch Ruether,739,
Eddie Smith,739,
Lon Warneke,739,
Johnny Allen,738,325
Ray Caldwell,738,
Dennis Eckersley,738,
Dutch Leonard,737,328
Jack Sanford,737,
Adam Wainwright,736,330
Denny Galehouse,735,331
Chuck Stobbs,735,
Edinson Volquez,735,
Mark Buehrle,734,334
Carl Mays,734,
Togie Pittinger,734,
Shane Rawley,734,
Al Benton,733,338
Larry Cheney,733,
Rich Gossage,732,340
Ed Stein,732,
Joaquin Andujar,731,342
Ron Kline,731,
Claude Passeau,728,344
Vic Raschi,727,345
Pedro Astacio,726,346
Carl Hubbell,725,347
Mike LaCoss,725,
Don Larsen,725,
Jeff Fassero,724,350
Pedro Ramos,724,
Eddie Rommel,724,
Wilbur Wood,724,
Jim Bibby,723,354
Jon Garland,723,
Mike Boddicker,721,356
Harry Gumbert,721,
Darren Oliver,720,358
Mike Garcia,719,359
David Wells,719,
Pete Harnisch,716,361
Steve Stone,716,
Sid Fernandez,715,363
George Haddock,714,364
Bill Wight,714,
Clay Kirby,713,366
Mike Witt,713,
Chief Bender,712,368
Rube Benton,712,
Aaron Harang,712,
Tommy Thomas,712,
Matt Cain,711,372
Larry Dierker,711,
Curt Schilling,711,
Woody Williams,711,
Yovani Gallardo,710,376
Juan Marichal,709,377
Freddy Garcia,708,378
Jake Peavy,708,
Elden Auker,706,380
Gary Peters,706,
Vic Sorrell,706,
Phil Knell,705,383
Pat Malone,705,
Doug Drabek,704,385
Bill Hart,704,
Lance Lynn,704,
Jim Rooker,703,388
Moe Drabowsky,702,389
Fred Frankhouse,701,390
Willie McGill,701,
Nap Rucker,701,
John Burkett,700,393
Elam Vangilder,699,394
Ed Whitson,698,395
Claude Hendrix,697,396
Ken Chase,694,397
Kyle Lohse,694,
Sonny Siebert,692,399
Larry Benton,691,400
George Hemming,691,
Jack Chesbro,690,402
Red Donahue,690,
Cy Falkenberg,690,
Clayton Kershaw,690,
Jaime Navarro,690,
Dixie Davis,688,407
Jorge De La Rosa,688,
Jim Shaw,688,
Johnny Antonelli,687,410
