Name,At-Bats,Rank
Pete Rose,14053,1
Hank Aaron,12364,2
Carl Yastrzemski,11988,3
Cal Ripken Jr.,11551,4
Ty Cobb,11434,5
Albert Pujols,11421,6
Eddie Murray,11336,7
Derek Jeter,11195,8
Adrián Beltré,11068,9
Robin Yount,11008,10
Dave Winfield,11003,11
Stan Musial,10972,12
Rickey Henderson,10961,13
Willie Mays,10881,14
Craig Biggio,10876,15
Paul Molitor,10835,16
Brooks Robinson,10654,17
Omar Vizquel,10586,18
Alex Rodriguez,10566,19
Rafael Palmeiro,10472,20
Honus Wagner,10430,21
Miguel Cabrera,10356,22
George Brett,10349,23
Lou Brock,10332,24
Luis Aparicio,10230,25
Tris Speaker,10195,26
Al Kaline,10116,27
Rabbit Maranville,10078,28
Frank Robinson,10006,29
Eddie Collins,9949,30
Ichiro Suzuki,9934,31
Andre Dawson,9927,32
Harold Baines,9908,33
Reggie Jackson,9864,34
Barry Bonds,9847,35
Ken Griffey Jr.,9801,36
Tony Perez,9778,37
Carlos Beltran,9768,38
Johnny Damon,9736,39
Rusty Staub,9720,40
Vada Pinson,9645,41
Ivan Rodriguez,9592,42
Nap Lajoie,9589,43
Sam Crawford,9570,44
Jake Beckley,9526,45
Paul Waner,9459,46
Mel Ott,9456,47
Roberto Clemente,9454,48
Ernie Banks,9421,49
Bill Buckner,9397,50
Steve Finley,9397,51
Ozzie Smith,9396,52
Max Carey,9363,53
Dave Parker,9358,54
Billy Williams,9350,55
Rod Carew,9315,56
Jimmy Rollins,9294,57
Tony Gwynn,9288,58
Joe Morgan,9277,59
Sam Rice,9269,60
Nellie Fox,9232,61
Gary Sheffield,9217,62
Wade Boggs,9180,63
Willie Davis,9174,64
Luis Gonzalez,9157,65
Doc Cramer,9140,66
Frankie Frisch,9112,67
Zack Wheat,9106,68
Cap Anson,9101,69
Roberto Alomar,9073,70
Lave Cross,9072,71
Al Oliver,9049,72
Bill Dahlen,9031,73
George Davis,9031,74
Dwight Evans,8996,75
Buddy Bell,8995,76
Graig Nettles,8986,77
Chipper Jones,8984,78
Darrell Evans,8973,79
Gary Gaetti,8951,80
Tim Raines,8872,81
Charlie Gehringer,8860,82
Torii Hunter,8857,83
Luke Appling,8856,84
Steve Garvey,8835,85
Sammy Sosa,8813,86
Tommy Corcoran,8804,87
Harry Hooper,8785,88
Robinson Cano,8773,89
Al Simmons,8759,90
Fred McGriff,8757,91
Carlton Fisk,8756,92
Mickey Vernon,8731,93
Dave Concepcion,8723,94
Bert Campaneris,8684,95
Ted Simmons,8680,96
Julio Franco,8677,97
Chili Davis,8673,98
Goose Goslin,8656,99
Garret Anderson,8640,100
David Ortiz,8640,101
Bobby Wallace,8618,102
Willie Keeler,8591,103
Lou Whitaker,8570,104
Fred Clarke,8568,105
Eddie Mathews,8537,106
Jeff Kent,8498,107
Bobby Abreu,8480,108
Red Schoendienst,8479,109
Miguel Tejada,8434,110
Joe Carter,8422,111
Jim Thome,8422,112
Jesse Burkett,8421,113
Larry Bowa,8418,114
Babe Ruth,8399,115
Paul Konerko,8393,116
Ryne Sandberg,8385,117
Richie Ashburn,8365,118
Mike Schmidt,8352,119
Nick Markakis,8302,120
Bid McPhee,8291,121
Alan Trammell,8288,122
Marquis Grissom,8275,123
George Sisler,8267,124
B.J. Surhoff,8258,125
Manny Ramirez,8244,126
Jim Rice,8225,127
Frank Thomas,8199,128
Don Baylor,8198,129
Willie McCovey,8197,130
Brett Butler,8180,131
Rogers Hornsby,8173,132
Jimmy Ryan,8164,133
Vladimir Guerrero,8155,134
Harmon Killebrew,8147,135
Ron Santo,8143,136
Edgar Renteria,8142,137
Aramis Ramirez,8136,138
Jimmie Foxx,8134,139
Kenny Lofton,8120,140
Andrew McCutchen,8115,141
Mickey Mantle,8102,142
Tim Wallach,8099,143
Andres Galarraga,8096,144
Mark Grace,8065,145
Pee Wee Reese,8058,146
Jimmy Dykes,8046,147
Ruben Sierra,8044,148
George Van Haltren,8021,149
Willie Randolph,8018,150
Lou Gehrig,8001,151
Joe Kuhel,7984,152
Carlos Lee,7983,153
Gary Carter,7971,154
Todd Helton,7962,155
Dale Murphy,7960,156
Tommy Leach,7959,157
Enos Slaughter,7946,158
Barry Larkin,7937,159
Orlando Cepeda,7927,160
Willie Stargell,7927,161
Michael Young,7918,162
Jose Cruz,7917,163
Charlie Grimm,7917,164
Tony Fernandez,7911,165
Joe Judge,7898,166
Joe Torre,7874,167
Bernie Williams,7869,168
Frank White,7859,169
Brian Downing,7853,170
Stuffy McInnis,7822,171
Yadier Molina,7817,172
Freddie Freeman,7807,173
Jeff Bagwell,7797,174
Harry Heilmann,7787,175
Elvis Andrus,7772,176
Lloyd Waner,7772,177
Bill Mazeroski,7755,178
Alfonso Soriano,7750,179
Willie Wilson,7731,180
Garry Templeton,7721,181
Roger Connor,7719,182
Billy Herman,7707,183
Ted Williams,7706,184
Tony Taylor,7680,185
Herman Long,7674,186
Jake Daubert,7673,187
Johnny Bench,7658,188
Heinie Manush,7654,189
Don Kessinger,7651,190
Carlos Santana,7650,191
Ed Konetchy,7649,192
Willie McGee,7649,193
Joe Medwick,7635,194
Dick Bartell,7629,195
Jason Kendall,7627,196
John Ward,7618,197
Tony Phillips,7617,198
Lee May,7609,199
Jimmy Sheckard,7605,200
Andruw Jones,7599,201
Fred Tenney,7595,202
John Olerud,7592,203
Maury Wills,7588,204
Jose Altuve,7583,205
Joe Cronin,7579,206
Todd Zeile,7573,207
Chris Chambliss,7571,208
Pie Traynor,7559,209
Orlando Cabrera,7558,210
Yogi Berra,7555,211
Jose Reyes,7552,212
Juan Pierre,7525,213
Ed Delahanty,7505,214
Nelson Cruz,7501,215
Patsy Donovan,7496,216
Dick Groat,7484,217
Jim Bottomley,7471,218
Raul Ibanez,7471,219
Ken Boyer,7455,220
Kid Gleason,7452,221
Sherry Magee,7441,222
George Scott,7433,223
Ian Kinsler,7423,224
Hal Chase,7417,225
Ray Durham,7408,226
Toby Harrah,7402,227
Jim O'Rourke,7399,228
Jay Bell,7398,229
Scott Rolen,7398,230
Paul Goldschmidt,7394,231
Royce Clayton,7379,232
Brandon Phillips,7378,233
Keith Hernandez,7370,234
Edd Roush,7363,235
Clyde Milan,7359,236
Wally Moses,7356,237
Cecil Cooper,7349,238
Eddie Yost,7346,239
Tom Brown,7344,240
Devon White,7344,241
Felipe Alou,7339,242
Paul O'Neill,7318,243
Bill Russell,7318,244
Cesar Cedeno,7310,245
Evan Longoria,7306,246
Amos Otis,7299,247
Willie Horton,7298,248
Victor Martinez,7297,249
A.J. Pierzynski,7290,250
Carlos Delgado,7283,251
Stan Hack,7278,252
Jason Giambi,7267,253
Del Ennis,7254,254
Joey Votto,7252,255
Bob Boone,7245,256
Kirby Puckett,7244,257
George Burns,7241,258
Curtis Granderson,7236,259
Roger Peckinpaugh,7233,260
Ellis Burks,7232,261
Ken Griffey,7229,262
Tommy Davis,7223,263
Alvin Dark,7219,264
Hal McRae,7218,265
Placido Polanco,7214,266
Bobby Bonilla,7213,267
