Name,Base on Balls,Rank
Barry Bonds,2558,1
Rickey Henderson,2190,2
Babe Ruth,2062,3
Ted Williams,2021,4
Joe Morgan,1865,5
Carl Yastrzemski,1845,6
Jim Thome,1747,7
Mickey Mantle,1733,8
Mel Ott,1708,9
Frank Thomas,1667,10
Eddie Yost,1614,11
Darrell Evans,1605,12
Stan Musial,1599,13
Pete Rose,1566,14
Harmon Killebrew,1559,15
Chipper Jones,1512,16
Lou Gehrig,1508,17
Mike Schmidt,1507,18
Eddie Collins,1499,19
Bobby Abreu,1476,20
Gary Sheffield,1475,21
Willie Mays,1464,22
Jimmie Foxx,1452,23
Eddie Mathews,1444,24
Frank Robinson,1420,25
Wade Boggs,1412,26
Hank Aaron,1402,27
Jeff Bagwell,1401,28
Dwight Evans,1391,29
Tris Speaker,1381,30
Reggie Jackson,1375,31
Albert Pujols,1373,32
Jason Giambi,1366,33
Joey Votto,1365,34
Rafael Palmeiro,1353,35
Willie McCovey,1345,36
Alex Rodriguez,1338,37
Todd Helton,1335,38
Eddie Murray,1333,39
Tim Raines,1330,40
Manny Ramirez,1329,41
David Ortiz,1319,42
Tony Phillips,1319,43
Adam Dunn,1317,44
Mark McGwire,1317,45
Ken Griffey Jr.,1312,46
Carlos Santana,1311,47
Fred McGriff,1305,48
Luke Appling,1302,49
Edgar Martinez,1283,50
Al Kaline,1277,51
John Olerud,1275,52
Ken Singleton,1263,53
Jack Clark,1262,54
Miguel Cabrera,1258,55
Rusty Staub,1255,56
Ty Cobb,1249,57
Willie Randolph,1243,58
Jimmy Wynn,1224,59
Dave Winfield,1216,60
Pee Wee Reese,1210,61
Lance Berkman,1201,62
Richie Ashburn,1198,63
Brian Downing,1197,64
Lou Whitaker,1197,65
Chili Davis,1194,66
Billy Hamilton,1187,67
Charlie Gehringer,1186,68
Brian Giles,1183,69
Craig Biggio,1160,70
Donie Bush,1158,71
Luis Gonzalez,1155,72
Max Bishop,1153,73
Toby Harrah,1153,74
Andrew McCutchen,1145,75
Harry Hooper,1136,76
Jimmy Sheckard,1135,77
Brett Butler,1129,78
Cal Ripken Jr.,1129,79
Carlos Delgado,1109,80
Ron Santo,1108,81
George Brett,1096,82
Paul Molitor,1094,83
Lu Blue,1092,84
Stan Hack,1092,85
Paul Waner,1091,86
Graig Nettles,1088,87
Bobby Grich,1087,88
Carlos Beltran,1084,89
Derek Jeter,1082,90
Mark Grace,1075,91
Bob Johnson,1075,92
Robin Ventura,1075,93
Paul Goldschmidt,1074,94
Ozzie Smith,1072,95
Harlond Clift,1070,96
Bryce Harper,1070,97
Keith Hernandez,1070,98
Bernie Williams,1069,99
Bill Dahlen,1064,100
Harold Baines,1062,101
Joe Cronin,1059,102
Ron Fairly,1052,103
Billy Williams,1045,104
Norm Cash,1043,105
Eddie Joost,1043,106
Roy Thomas,1042,107
Max Carey,1040,108
Freddie Freeman,1038,109
Rogers Hornsby,1038,110
Jim Gilliam,1036,111
Roberto Alomar,1032,112
Jose Bautista,1032,113
Sal Bando,1031,114
Jesse Burkett,1029,115
Omar Vizquel,1028,116
Rod Carew,1018,117
Enos Slaughter,1018,118
Ron Cey,1012,119
Ralph Kiner,1011,120
Mike Trout,1006,121
Dummy Hoy,1004,122
Johnny Damon,1003,123
Miller Huggins,1003,124
Roger Connor,1002,125
Boog Powell,1001,126
Jim Edmonds,998,127
Eddie Stanky,996,128
Cupid Childs,991,129
Dale Murphy,986,130
Gene Tenace,984,131
Bid McPhee,981,132
Joe Kuhel,980,133
Earl Torgeson,980,134
Augie Galan,979,135
Duke Snider,971,136
Tim Salmon,970,137
Bob Elliott,967,138
Robin Yount,966,139
Mike Hargrove,965,140
Joe Judge,965,141
Buddy Myer,965,142
Honus Wagner,963,143
Brady Anderson,960,144
Jimmy Dykes,958,145
Mickey Vernon,955,146
Cap Anson,952,147
Rocky Colavito,951,148
Goose Goslin,949,149
Mickey Tettleton,949,150
Dolph Camilli,947,151
Kenny Lofton,945,152
Todd Zeile,945,153
Gil Hodges,943,154
Elmer Valo,942,155
Gary Matthews,940,156
Barry Larkin,939,157
Joe Mauer,939,158
Will Clark,937,159
Willie Stargell,937,160
Arky Vaughan,937,161
Jorge Posada,936,162
Roy White,934,163
Pat Burrell,932,164
Rick Ferrell,931,165
Sammy Sosa,929,166
Tony Perez,925,167
Curtis Granderson,924,168
Rick Monday,924,169
Paul Konerko,921,170
Gene Woodling,921,171
Mark Teixeira,918,172
Julio Franco,917,173
Bobby Bonds,914,174
