Name,Batting Average,Raw,Rank
Ty Cobb,0.366,0.36636,1
Rogers Hornsby,0.358,0.3585,2
Joe Jackson,0.356,0.35575,3
Ed Delahanty,0.346,0.3459,4
Tris Speaker,0.345,0.34468,5
Ted Williams,0.344,0.34441,6
Billy Hamilton,0.344,0.34429,7
Babe Ruth,0.342,0.34206,8
Harry Heilmann,0.342,0.34159,9
Pete Browning,0.341,0.34149,10
Willie Keeler,0.341,0.34129,11
Bill Terry,0.341,0.34116,12
George Sisler,0.34,0.34015,13
Lou Gehrig,0.34,0.34008,14
Nap Lajoie,0.339,0.33914,15
Jesse Burkett,0.338,0.33844,16
Tony Gwynn,0.338,0.33818,17
Riggs Stephenson,0.336,0.33607,18
Dan Brouthers,0.335,0.33509,19
Al Simmons,0.334,0.33417,20
John McGraw,0.334,0.33359,21
Paul Waner,0.333,0.33323,22
Eddie Collins,0.333,0.3331,23
Mike Donlin,0.333,0.33264,24
Cap Anson,0.331,0.33084,25
Stan Musial,0.331,0.33084,26
Heinie Manush,0.33,0.32976,27
Honus Wagner,0.329,0.32886,28
Wade Boggs,0.328,0.32789,29
Rod Carew,0.328,0.32775,30
Sam Thompson,0.327,0.32712,31
Tip O'Neill,0.326,0.32573,32
Bob Fothergill,0.325,0.32548,33
Jimmie Foxx,0.325,0.3253,34
Earle Combs,0.325,0.32475,35
Joe DiMaggio,0.325,0.32459,36
Babe Herman,0.324,0.32447,37
Hugh Duffy,0.324,0.32406,38
Joe Medwick,0.324,0.32364,39
Edd Roush,0.323,0.32269,40
Sam Rice,0.322,0.32226,41
Ross Youngs,0.322,0.32224,42
Kiki Cuyler,0.321,0.32104,43
Charlie Gehringer,0.32,0.32043,44
Chuck Klein,0.32,0.32007,45
Pie Traynor,0.32,0.31962,46
Mickey Cochrane,0.32,0.3196,47
Ken Williams,0.319,0.31921,48
Kirby Puckett,0.318,0.31806,49
Earl Averill,0.318,0.3178,50
Vladimir Guerrero,0.318,0.3176,51
Arky Vaughan,0.318,0.31758,52
Roberto Clemente,0.317,0.31733,53
Chick Hafey,0.317,0.31697,54
Joe Kelley,0.317,0.31687,55
Zack Wheat,0.317,0.31671,56
George Van Haltren,0.317,0.31654,57
Lloyd Waner,0.316,0.31639,58
Todd Helton,0.316,0.31638,59
Frankie Frisch,0.316,0.31607,60
Goose Goslin,0.316,0.31597,61
Bibb Falk,0.314,0.31449,62
Cecil Travis,0.314,0.3142,63
Hank Greenberg,0.313,0.3135,64
Jack Fournier,0.313,0.31317,65
Elmer Flick,0.313,0.31302,66
Nomar Garciaparra,0.313,0.31275,67
Larry Walker,0.313,0.31273,68
Bill Dickey,0.313,0.31254,69
Dale Mitchell,0.312,0.31225,70
Manny Ramirez,0.312,0.31223,71
Johnny Mize,0.312,0.31212,72
Joe Sewell,0.312,0.31211,73
Fred Clarke,0.312,0.31186,74
Barney McCosky,0.312,0.31184,75
Edgar Martinez,0.312,0.31152,76
Hughie Jennings,0.311,0.31138,77
Freddie Lindstrom,0.311,0.31135,78
Bing Miller,0.311,0.31133,79
Jackie Robinson,0.311,0.31126,80
Baby Doll Jacobson,0.311,0.31124,81
Taffy Wright,0.311,0.31119,82
