Name,Caught Stealing,Rank
Rickey Henderson,335,1
Ty Cobb,318,2
Lou Brock,307,3
Brett Butler,257,4
Max Carey,246,5
Tris Speaker,239,6
Maury Wills,208,7
Juan Pierre,203,8
Bert Campaneris,199,9
Rod Carew,187,10
Otis Nixon,186,11
Omar Moreno,182,12
Cesar Cedeno,179,13
Steve Sax,178,14
Vince Coleman,177,15
Eddie Collins,173,16
Bobby Bonds,169,17
Eric Young,168,18
Omar Vizquel,167,19
Rabbit Maranville,163,20
Joe Morgan,162,21
Bill North,162,22
Kenny Lofton,160,23
Stan Hack,153,24
Pete Rose,149,25
Ozzie Smith,148,26
Delino DeShields,147,27
Tim Raines,146,28
Luis Polonia,145,29
Sam Rice,143,30
Juan Samuel,143,31
Luis Castillo,142,32
Ron LeFlore,142,33
Barry Bonds,141,34
Lonnie Smith,140,35
George Burns,139,36
Jose Cardenal,139,37
Dave Collins,139,38
Tony Fernandez,138,39
Harold Reynolds,138,40
Luis Aparicio,136,41
Jose Cruz,136,42
Ben Chapman,135,43
Wally Pipp,135,44
Alfredo Griffin,134,45
Claudell Washington,134,46
Willie Wilson,134,47
Willie Davis,131,48
Paul Molitor,131,49
Freddie Patek,131,50
Cy Williams,131,51
Minnie Minoso,130,52
Garry Templeton,129,53
Bobby Abreu,128,54
Jose Reyes,127,55
George Sisler,127,56
Tony Gwynn,125,57
Sparky Adams,124,58
Craig Biggio,124,59
Enos Cabell,124,60
Vada Pinson,122,61
Harry Hooper,121,62
Willie McGee,121,63
Don Baylor,120,64
Chone Figgins,119,65
Mark McLemore,119,66
Steve Finley,118,67
Tom Goodwin,118,68
Pat Kelly,118,69
Chuck Knoblauch,117,70
Ray Lankford,117,71
Babe Ruth,117,72
Ichiro Suzuki,117,73
Roy White,117,74
Marquis Grissom,116,75
Tommy Harper,116,76
Carl Yastrzemski,116,77
Elvis Andrus,115,78
Reggie Jackson,115,79
Reggie Sanders,115,80
Roberto Alomar,114,81
Davey Lopes,114,82
Tony Phillips,114,83
Dave Parker,113,84
Lenny Randle,112,85
Ray Chapman,111,86
Jim Gilliam,111,87
Tony Taylor,111,88
Charlie Jamieson,110,89
George Case,109,90
Dave Concepcion,109,91
Carl Crawford,109,92
Andre Dawson,109,93
Buddy Myer,109,94
Alan Trammell,109,95
Luke Appling,108,96
Rajai Davis,108,97
Ozzie Guillen,108,98
Del Pratt,108,99
Edgar Renteria,108,100
Cesar Tovar,108,101
Julio Franco,107,102
Darren Lewis,107,103
Ryne Sandberg,107,104
Sammy Sosa,107,105
Frank Taveras,106,106
Ken Williams,106,107
Larry Bowa,105,108
Don Buford,105,109
Phil Garner,105,110
Lance Johnson,105,111
Bob Meusel,105,112
Johnny Mostil,105,113
Jimmy Rollins,105,114
Robin Yount,105,115
Carney Lansford,104,116
Gary Pettis,104,117
Scott Podsednik,104,118
Gary Sheffield,104,119
Johnny Damon,103,120
Willie Mays,103,121
Fred Merkle,103,122
Ron Gant,102,123
Dee Strange-Gordon,102,124
Lou Gehrig,101,125
Jimmy Wynn,101,126
Brady Anderson,100,127
Royce Clayton,100,128
Starling Marte,100,129
Jose Offerman,100,130
Bobby Tolan,100,131
Rogers Hornsby,99,132
Torii Hunter,99,133
Terry Puhl,99,134
Jerry Remy,99,135
Darryl Strawberry,99,136
Chad Curtis,98,137
Chili Davis,98,138
Devon White,98,139
Mookie Wilson,98,140
George Brett,97,141
Ray Durham,97,142
Von Hayes,97,143
Derek Jeter,97,144
Greg Gagne,96,145
Dave Winfield,96,146
Jose Altuve,95,147
Bip Roberts,95,148
Jerry Royster,95,149
Michael Bourn,94,150
Jack Fournier,94,151
Rafael Furcal,94,152
Vladimir Guerrero,94,153
Toby Harrah,94,154
Dave Martinez,94,155
Willie Randolph,94,156
Paul Blair,93,157
Bill Doran,93,158
Dan Gladden,93,159
Amos Otis,93,160
Hanley Ramirez,93,161
Burt Shotton,93,162
Richie Ashburn,92,163
Al Bumbry,92,164
Joe Judge,92,165
Garry Maddox,92,166
Raul Mondesi,92,167
Lloyd Moseby,92,168
Edd Roush,92,169
Mike Schmidt,92,170
Everett Scott,92,171
Derrel Thomas,92,172
B.J. Upton,92,173
Bucky Harris,91,174
Marty McManus,91,175
Rick Monday,91,176
Damaso Garcia,90,177
Joe Kuhel,90,178
Bill Madlock,90,179
Lee Mazzilli,90,180
Mickey Rivers,90,181
Arky Vaughan,90,182
Mickey Vernon,90,183
Bill Bruton,89,184
Charlie Gehringer,89,185
Goose Goslin,89,186
Jason Kendall,89,187
Andrew McCutchen,89,188
Gene Richards,89,189
Jose Canseco,88,190
Ivan DeJesus,88,191
Gee Walker,88,192
Ossie Bluege,87,193
Luis Gonzalez,87,194
Billy Hatcher,87,195
Bernie Williams,87,196
Jimmy Austin,86,197
Lee Lacy,86,198
Brian McRae,86,199
Reggie Smith,86,200
Amos Strunk,86,201
Lu Blue,85,202
Don Kessinger,85,203
Billy Southworth,85,204
Ellis Burks,84,205
Pat Duncan,84,206
Ruppert Jones,84,207
Willie Kamm,84,208
Roberto Kelly,84,209
Brandon Phillips,84,210
Alfonso Soriano,84,211
B.J. Surhoff,84,212
Bobby Veach,84,213
Randy Winn,84,214
Bob Bailey,83,215
Mike Cameron,83,216
Shano Collins,83,217
Ralph Garr,83,218
Bobby Grich,83,219
Ken Griffey,83,220
Jimmy Johnston,83,221
Gary Redus,83,222
Quilvio Veras,83,223
Frank White,83,224
Ross Youngs,83,225
Shawon Dunston,82,226
Tony Lazzeri,82,227
Bing Miller,82,228
Tommie Agee,81,229
Pete Fox,81,230
Andres Galarraga,81,231
Wally Moses,81,232
Sandy Alomar,80,233
Matty Alou,80,234
Orlando Cepeda,80,235
Nellie Fox,80,236
Charlie Hollocher,80,237
Roy Johnson,80,238
Jerry Mumphrey,80,239
Babe Pinelli,80,240
Buddy Bell,79,241
Coco Crisp,79,242
Elmer Valo,79,243
Jeff Bagwell,78,244
Julio Cruz,78,245
Jake Daubert,78,246
Miguel Dilone,78,247
Jim Gantner,78,248
Kirk Gibson,78,249
John Lowenstein,78,250
Rick Manning,78,251
Hal McRae,78,252
Clyde Milan,78,253
Ken Boyer,77,254
Howard Johnson,77,255
Barry Larkin,77,256
Alex Rios,77,257
Frank Robinson,77,258
Juan Beniquez,76,259
Ernie Johnson,76,260
Chet Lemon,76,261
Kirby Puckett,76,262
Alex Rodriguez,76,263
Larry Walker,76,264
Dave Bancroft,75,265
Mark Belanger,75,266
Donie Bush,75,267
Cliff Heathcote,75,268
Bobby Murcer,75,269
Gerald Perry,75,270
Rafael Ramirez,75,271
Milt Stock,75,272
Lou Whitaker,75,273
Dave Cash,74,274
Al Cowens,74,275
Frankie Frisch,74,276
Carlos Gómez,74,277
Ian Kinsler,74,278
Gary Matthews,74,279
Bill Wambsganss,74,280
Tony Womack,74,281
Hank Aaron,73,282
Dusty Baker,73,283
Kevin Bass,73,284
Dante Bichette,73,285
Bill Buckner,73,286
Doc Cramer,73,287
Curt Flood,73,288
Darryl Hamilton,73,289
Dave Nelson,73,290
Paul O'Neill,73,291
Brian Roberts,73,292
Jean Segura,73,293
Mitch Webster,73,294
Gerald Young,73,295
Lenny Dykstra,72,296
Jimmie Foxx,72,297
Don Gutteridge,72,298
Billy Hamilton,72,299
Billy Herman,72,300
Eddie Milner,72,301
Joe Sewell,72,302
Whitey Witt,72,303
Earle Combs,71,304
Joe Cronin,71,305
Jacoby Ellsbury,71,306
Max Flack,71,307
Chick Galloway,71,308
Bernard Gilkey,71,309
Duane Kuiper,71,310
Shannon Stewart,71,311
Tom Brunansky,70,312
Ben Oglivie,70,313
Roger Peckinpaugh,70,314
Jim Rivera,70,315
Buck Weaver,70,316
Ken Griffey Jr.,69,317
Julio Lugo,69,318
Bill Russell,69,319
Benito Santiago,69,320
Ray Schalk,69,321
Tony Scott,69,322
Carson Bigbee,68,323
Rick Burleson,68,324
George Cutshaw,68,325
Darrell Evans,68,326
Dexter Fowler,68,327
Larry Gardner,68,328
Cristian Guzman,68,329
Jerry Hairston,68,330
Tommy McCraw,68,331
Wally Moon,68,332
Dale Murphy,68,333
Frank O'Rourke,68,334
Cookie Rojas,68,335
Billy Werber,68,336
Bill White,68,337
Alan Wiggins,68,338
Jim Wohlford,68,339
Felipe Alou,67,340
Jack Smith,67,341
Fernando Vina,67,342
Joe Carter,66,343
Eric Davis,66,344
Heinie Groh,66,345
Matt Lawton,66,346
Milt Thompson,66,347
Jonathan Villar,66,348
Tim Wallach,66,349
Eddie Yost,66,350
Gary Gaetti,65,351
Al Kaline,65,352
Rudy Law,65,353
Al Martin,65,354
Ski Melillo,65,355
Rick Miller,65,356
Bump Wills,65,357
David Wright,65,358
Bobby Doerr,64,359
Brett Gardner,64,360
Harry Heilmann,64,361
Tom Herr,64,362
Bob Johnson,64,363
Mark Kotsay,64,364
Al Oliver,64,365
Corey Patterson,64,366
Alexei Ramirez,64,367
Ivan Rodriguez,64,368
Howie Shanks,64,369
Al Simmons,64,370
George Burns,63,371
Roger Cedeno,63,372
Bill Cissell,63,373
Bob Dernier,63,374
Dan Driessen,63,375
Keith Hernandez,63,376
Julian Javier,63,377
Gregg Jefferies,63,378
Alex Johnson,63,379
Matt Kemp,63,380
Heinie Manush,63,381
Bake McBride,63,382
Greasy Neale,63,383
Tony Pena,63,384
Dave Philley,63,385
Deion Sanders,63,386
Bill Terry,63,387
Dickie Thon,63,388
Erick Aybar,62,389
Phil Bradley,62,390
Frankie Crosetti,62,391
David DeJesus,62,392
Dom DiMaggio,62,393
Steve Garvey,62,394
Adam Kennedy,62,395
Spike Owen,62,396
Billy Rogell,62,397
Rodney Scott,62,398
Robby Thompson,62,399
Jack Tobin,62,400
Jose Vizcaino,62,401
John Cangelosi,61,402
Jack Clark,61,403
Leon Durham,61,404
Tony Gonzalez,61,405
Larry Hisle,61,406
Brian Hunter,61,407
Joe Jackson,61,408
Jeffrey Leonard,61,409
Dwayne Murphy,61,410
Bill Almon,60,411
Jay Bell,60,412
Don Blasingame,60,413
Ryan Braun,60,414
Tom Brookens,60,415
Joey Cora,60,416
Bernie Friberg,60,417
Joe Gordon,60,418
Bud Harrelson,60,419
Jeff Kent,60,420
Ken Landreaux,60,421
Nemo Leibold,60,422
Joe Orsulak,60,423
Jorge Orta,60,424
José Ramírez,60,425
Red Schoendienst,60,426
Del Unser,60,427
Charlie Blackmon,59,428
Sam Bohne,59,429
Alex Cole,59,430
Tommy Davis,59,431
Juan Encarnacion,59,432
Dwight Evans,59,433
Pinky Higgins,59,434
Andruw Jones,59,435
Buddy Lewis,59,436
Dick McAuliffe,59,437
Stuffy McInnis,59,438
Terry Pendleton,59,439
Muddy Ruel,59,440
Denard Span,59,441
Jim Tabor,59,442
Willie Upshaw,59,443
Justin Upton,59,444
Andy Van Slyke,59,445
Greg Vaughn,59,446
Ralph Young,59,447
Mike Bordick,58,448
Jeromy Burnitz,58,449
Horace Clarke,58,450
Vic Davalillo,58,451
Darin Erstad,58,452
Carlton Fisk,58,453
Ira Flagstead,58,454
Scott Fletcher,58,455
Frankie Gustine,58,456
Steve Henderson,58,457
Felipe Lopez,58,458
Jo-Jo Moore,58,459
Phil Rizzuto,58,460
Dave Roberts,58,461
Alex Sanchez,58,462
Fred Schulte,58,463
