Name,Games,Rank
Pete Rose,3562,1
Carl Yastrzemski,3308,2
Hank Aaron,3298,3
Rickey Henderson,3081,4
Albert Pujols,3080,5
Ty Cobb,3035,6
Eddie Murray,3026,7
Stan Musial,3026,8
Cal Ripken Jr.,3001,9
Willie Mays,2992,10
Barry Bonds,2986,11
Dave Winfield,2973,12
Omar Vizquel,2968,13
Rusty Staub,2951,14
Adrián Beltré,2933,15
Brooks Robinson,2896,16
Robin Yount,2856,17
Craig Biggio,2850,18
Al Kaline,2834,19
Rafael Palmeiro,2831,20
Harold Baines,2830,21
Eddie Collins,2825,22
Reggie Jackson,2820,23
Frank Robinson,2808,24
Miguel Cabrera,2797,25
Honus Wagner,2792,26
Tris Speaker,2789,27
Alex Rodriguez,2784,28
Tony Perez,2777,29
Derek Jeter,2747,30
Mel Ott,2730,31
George Brett,2707,32
Graig Nettles,2700,33
Darrell Evans,2687,34
Paul Molitor,2683,35
Ken Griffey Jr.,2671,36
Rabbit Maranville,2670,37
Ichiro Suzuki,2653,38
Joe Morgan,2649,39
Andre Dawson,2627,40
Lou Brock,2616,41
Dwight Evans,2606,42
Luis Aparicio,2599,43
Luis Gonzalez,2591,44
Willie McCovey,2588,45
Carlos Beltran,2586,46
Steve Finley,2583,47
Gary Sheffield,2576,48
Ozzie Smith,2573,49
Paul Waner,2549,50
Ivan Rodriguez,2543,51
Jim Thome,2543,52
Ernie Banks,2528,53
Julio Franco,2527,54
Bill Buckner,2517,55
Sam Crawford,2517,56
Gary Gaetti,2507,57
Babe Ruth,2503,58
Tim Raines,2502,59
Carlton Fisk,2499,60
Chipper Jones,2499,61
Johnny Damon,2490,62
Dave Concepcion,2488,63
Billy Williams,2488,64
Nap Lajoie,2480,65
Max Carey,2476,66
Rod Carew,2469,67
Vada Pinson,2469,68
Dave Parker,2466,69
Fred McGriff,2460,70
Ted Simmons,2456,71
Bill Dahlen,2443,72
Ron Fairly,2442,73
Wade Boggs,2440,74
Tony Gwynn,2440,75
Chili Davis,2436,76
Harmon Killebrew,2435,77
Roberto Clemente,2433,78
Willie Davis,2429,79
Bobby Abreu,2425,80
Luke Appling,2422,81
Zack Wheat,2410,82
Mickey Vernon,2409,83
David Ortiz,2408,84
Buddy Bell,2405,85
Sam Rice,2404,86
Mike Schmidt,2404,87
Mickey Mantle,2401,88
Eddie Mathews,2391,89
Lou Whitaker,2390,90
Jake Beckley,2386,91
Bobby Wallace,2383,92
Enos Slaughter,2380,93
Roberto Alomar,2379,94
Torii Hunter,2372,95
George Davis,2368,96
Al Oliver,2368,97
Nellie Fox,2367,98
Willie Stargell,2360,99
Sammy Sosa,2354,100
Jose Cruz,2353,101
Paul Konerko,2349,102
Brian Downing,2344,103
Steve Garvey,2332,104
Bert Campaneris,2328,105
Frank White,2324,106
Charlie Gehringer,2323,107
Frank Thomas,2322,108
Jimmie Foxx,2317,109
B.J. Surhoff,2313,110
Frankie Frisch,2311,111
Harry Hooper,2309,112
Manny Ramirez,2302,113
Jeff Kent,2298,114
Gary Carter,2296,115
Alan Trammell,2293,116
Don Baylor,2292,117
Ted Williams,2292,118
Goose Goslin,2287,119
Jimmy Dykes,2282,120
Cap Anson,2276,121
Jimmy Rollins,2276,122
Lave Cross,2275,123
Robinson Cano,2267,124
Bob Boone,2264,125
Jason Giambi,2260,126
Chris Speier,2260,127
Rogers Hornsby,2259,128
Andres Galarraga,2257,129
Larry Bowa,2247,130
Todd Helton,2247,131
Mark Grace,2245,132
Ron Santo,2243,133
Fred Clarke,2242,134
Doc Cramer,2239,135
John Olerud,2234,136
Garret Anderson,2228,137
Yadier Molina,2226,138
Red Schoendienst,2216,139
Al Simmons,2215,140
Brett Butler,2213,141
Tim Wallach,2212,142
Joe Torre,2209,143
Willie Randolph,2202,144
Willie McGee,2201,145
Tommy Corcoran,2200,146
Andruw Jones,2196,147
Andrew McCutchen,2196,148
Tony Taylor,2195,149
Aramis Ramirez,2194,150
Richie Ashburn,2189,151
Joe Carter,2189,152
Ruben Sierra,2186,153
Bill Russell,2181,154
Barry Larkin,2180,155
Dale Murphy,2180,156
Chris Chambliss,2175,157
Joe Judge,2171,158
Miguel Tejada,2171,159
Charlie Grimm,2166,160
Pee Wee Reese,2166,161
Marquis Grissom,2165,162
Lou Gehrig,2164,163
Ryne Sandberg,2164,164
Bill Mazeroski,2163,165
Raul Ibanez,2161,166
Tony Phillips,2161,167
Johnny Bench,2158,168
Tony Fernandez,2158,169
Todd Zeile,2158,170
Tommy Leach,2156,171
Toby Harrah,2155,172
Nick Markakis,2154,173
Willie Wilson,2154,174
Edgar Renteria,2152,175
Carlos Santana,2151,176
Jeff Bagwell,2150,177
Vladimir Guerrero,2147,178
Harry Heilmann,2147,179
Duke Snider,2143,180
Bid McPhee,2135,181
Stuffy McInnis,2128,182
Orlando Cepeda,2124,183
Joe Cronin,2124,184
Willie Keeler,2123,185
Jimmy Sheckard,2122,186
Yogi Berra,2120,187
Bobby Bonilla,2113,188
Eddie Yost,2109,189
Royce Clayton,2108,190
Joe Kuhel,2104,191
Kenny Lofton,2103,192
Freddie Freeman,2099,193
Carlos Lee,2099,194
Ken Griffey,2097,195
Roy McMillan,2093,196
Norm Cash,2089,197
Jim Rice,2089,198
Keith Hernandez,2088,199
Sherry Magee,2087,200
Jason Kendall,2085,201
Ed Konetchy,2085,202
Hal McRae,2084,203
Felipe Alou,2082,204
Ken Singleton,2082,205
Garry Templeton,2079,206
Robin Ventura,2079,207
Don Kessinger,2078,208
Bernie Williams,2076,209
Ron Cey,2073,210
