Name,GIDP,Rank
Albert Pujols,426,1
Miguel Cabrera,364,2
Cal Ripken Jr.,350,3
Ivan Rodriguez,338,4
Hank Aaron,328,5
Carl Yastrzemski,323,6
Dave Winfield,319,7
Eddie Murray,316,8
Jim Rice,315,9
Julio Franco,312,10
Harold Baines,298,11
Brooks Robinson,297,12
Rusty Staub,297,13
Yadier Molina,287,14
Ted Simmons,287,15
Robinson Cano,286,16
Joe Torre,284,17
Derek Jeter,283,18
Ernie Lombardi,283,19
Paul Konerko,282,20
AdriÃ¡n BeltrÃ©,279,21
Vladimir Guerrero,277,22
George Scott,277,23
Roberto Clemente,275,24
Miguel Tejada,274,25
Al Kaline,271,26
Frank Robinson,269,27
Tony Perez,268,28
Dave Concepcion,266,29
Victor Martinez,264,30
Torii Hunter,261,31
Tony Gwynn,260,32
Alex Rodriguez,258,33
Ron Santo,256,34
Buddy Bell,255,35
Al Oliver,254,36
Steve Garvey,251,37
Willie Mays,251,38
Ken Singleton,248,39
Bill Buckner,247,40
Pete Rose,246,41
Harmon Killebrew,243,42
Stan Musial,243,43
Manny Ramirez,243,44
Magglio Ordonez,242,45
A.J. Pierzynski,241,46
Edgar Renteria,241,47
Chipper Jones,239,48
Wade Boggs,236,49
Gary Gaetti,236,50
David Ortiz,236,51
George Brett,235,52
Gary Sheffield,235,53
Tony Pena,234,54
Chili Davis,232,55
John Olerud,232,56
Rafael Palmeiro,232,57
Aramis Ramirez,231,58
Ernie Banks,229,59
Mike Piazza,229,60
Dwight Evans,227,61
Fred McGriff,226,62
Frank Thomas,225,63
Vinny Castilla,224,64
Jeff Kent,224,65
Brandon Phillips,224,66
Joe Adcock,223,67
Bernie Williams,223,68
Todd Zeile,223,69
Jeff Bagwell,221,70
Paul O'Neill,221,71
Dick Groat,220,72
Matt Holliday,220,73
Tommy Davis,219,74
Frank Howard,219,75
Lee May,219,76
Orlando Cepeda,218,77
Royce Clayton,218,78
Willie Randolph,218,79
Andre Dawson,217,80
Manny Machado,217,81
Robin Yount,217,82
Rod Carew,216,83
Nick Markakis,214,84
Del Ennis,212,85
Luis Gonzalez,212,86
Michael Young,212,87
Ryan Zimmerman,212,88
George Hendrick,211,89
Billy Herman,211,90
Paul Molitor,209,91
Dale Murphy,209,92
Dave Parker,209,93
Lou Piniella,209,94
Joe Mauer,208,95
