Name,Hit by Pitch,Rank
Hughie Jennings,287,1
Craig Biggio,285,2
Tommy Tucker,272,3
Don Baylor,267,4
Jason Kendall,254,5
Ron Hunt,243,6
Dan McGann,230,7
Anthony Rizzo,222,8
Chase Utley,204,9
Frank Robinson,198,10
Minnie Minoso,192,11
Jake Beckley,183,12
Jason Giambi,180,13
Andres Galarraga,178,14
Alex Rodriguez,176,15
Curt Welch,173,16
Carlos Delgado,172,17
Derek Jeter,170,18
Kid Elberfeld,165,19
Starling Marte,165,20
Fernando Vina,157,21
Brady Anderson,154,22
Fred Clarke,153,23
Shin-Soo Choo,152,24
Chet Lemon,151,25
Jose Guillen,145,26
David Eckstein,143,27
Carlton Fisk,143,28
Nellie Fox,142,29
Mark Canha,141,30
Art Fletcher,141,31
Bill Dahlen,140,32
Chuck Knoblauch,139,33
Larry Walker,138,34
Frank Chance,137,35
Justin Turner,136,36
Gary Sheffield,135,37
Reed Johnson,134,38
Nap Lajoie,134,39
Rickie Weeks,134,40
Dummy Hoy,133,41
Steve Brodie,132,42
Damion Easley,132,43
John McGraw,132,44
Brian Downing,129,45
Willie Keeler,129,46
A.J. Pierzynski,129,47
Jeff Bagwell,128,48
Carlos Quentin,127,49
Aramis Ramirez,127,50
Scott Rolen,127,51
Aaron Rowand,126,52
José Abreu,125,53
Jeff Kent,125,54
Prince Fielder,124,55
Matt Holliday,124,56
Honus Wagner,124,57
Derek Dietrich,123,58
Albert Pujols,123,59
Miguel Tejada,122,60
Alex Gordon,121,61
Buck Herzog,120,62
Kurt Suzuki,119,63
Willson Contreras,118,64
Ty France,118,65
Melvin Mora,117,66
Jimmy Dykes,115,67
Sherm Lollar,115,68
Frankie Crosetti,114,69
Bill Freehan,114,70
Carlos Gómez,112,71
Josh Willingham,112,72
Andre Dawson,111,73
Steve Evans,111,74
Luis Gonzalez,111,75
Mark Teixeira,111,76
Charlie Blackmon,110,77
George Burns,110,78
Freddie Freeman,110,79
Jon Jay,110,80
Sherry Magee,109,81
Manny Ramirez,109,82
David DeJesus,108,83
Bill Joyce,108,84
Mo Vaughn,108,85
Jason LaRue,107,86
Russell Martin,107,87
Pete Rose,107,88
Wally Schang,107,89
Barry Bonds,106,90
Dan Brouthers,105,91
Edwin Encarnacion,105,92
Mark Grudzielanek,105,93
Paul Konerko,104,94
Kevin Youkilis,104,95
Kris Bryant,103,96
Vladimir Guerrero,103,97
Adam Jones,103,98
Tris Speaker,103,99
Kolten Wong,103,100
Orlando Cepeda,102,101
Juan Pierre,102,102
Mike Trout,102,103
Placido Polanco,101,104
Henry Larkin,100,105
Elmer Flick,99,106
Bucky Harris,99,107
Eddie Yost,99,108
Josh Harrison,98,109
Rickey Henderson,98,110
Dick Bartell,97,111
Adrián Beltré,97,112
Torii Hunter,97,113
Andruw Jones,97,114
Mike Macfarlane,97,115
Dick Padden,97,116
Eugenio Suárez,97,117
Gary Gaetti,96,118
Reggie Jackson,96,119
Geoff Jenkins,96,120
Pete Alonso,95,121
Ty Cobb,94,122
Ed Delahanty,94,123
Matt Lawton,94,124
Andrew McCutchen,94,125
John Reilly,94,126
Jake Stahl,94,127
John Titus,94,128
Marlon Byrd,93,129
Jim Delahanty,92,130
Doc Gessler,92,131
Ian Kinsler,92,132
Brandon Phillips,92,133
Jimmy Sheckard,92,134
Lonnie Smith,92,135
Jeff Blauser,91,136
Cliff Floyd,91,137
Ed Sprague,91,138
Gene Tenace,91,139
John Warner,91,140
Chief Zimmer,91,141
Joe Carter,90,142
Norm Cash,90,143
Alex Cora,90,144
Travis Hafner,90,145
Craig Wilson,90,146
Jack Fournier,89,147
Billy Hamilton,89,148
Mike Lieberthal,89,149
Edgar Martinez,89,150
Eric Young,89,151
John Olerud,88,152
Cesar Tovar,88,153
Rondell White,88,154
Mike Cameron,87,155
Carl Everett,87,156
Bid McPhee,87,157
Rafael Palmeiro,87,158
Joc Pederson,87,159
Salvador Perez,87,160
Frank Thomas,87,161
Devon White,87,162
Nelson Cruz,86,163
Adam Dunn,86,164
Bobby Grich,86,165
Alfonso Soriano,86,166
Cy Williams,86,167
Robinson Cano,85,168
Boileryard Clarke,85,169
Kiki Cuyler,85,170
Brandon Guyer,85,171
Arlie Latham,85,172
Joe Torre,85,173
Randy Arozarena,84,174
Jose Canseco,84,175
Jimmy Collins,84,176
Art Devlin,84,177
Jerry Hairston,84,178
Greg Luzinski,84,179
Deacon McGuire,84,180
Patsy Donovan,83,181
Jonny Gomes,83,182
Heinie Groh,83,183
Jimmy Ryan,83,184
F.P. Santangelo,83,185
Monte Cross,82,186
Joe Kelley,82,187
Denny Lyons,82,188
Brandon Nimmo,82,189
Al Oliver,82,190
Andrés Gimenez,81,191
Ken Griffey Jr.,81,192
Shane Victorino,81,193
Joey Votto,81,194
Aaron Boone,80,195
Shawn Green,80,196
Clyde Milan,80,197
Bing Miller,80,198
Joe Sewell,80,199
Jose Bautista,79,200
Alex Gonzalez,79,201
Jeff McNeil,79,202
Hal McRae,79,203
Victor Robles,79,204
Mike Schmidt,79,205
George Springer,79,206
Rusty Staub,79,207
Harry Steinfeldt,79,208
Jeromy Burnitz,78,209
Frank Catalanotto,78,210
Danny Espinosa,78,211
Dick Harley,78,212
Kevin Millar,78,213
Carlos Ruiz,78,214
Willie Stargell,78,215
Tony Taylor,78,216
Justin Upton,78,217
Jose Altuve,77,218
Ryan Braun,77,219
Max Carey,77,220
Eddie Collins,77,221
Todd Frazier,77,222
Mike Griffin,77,223
Mack Jones,77,224
Tim Wallach,77,225
