Name,Percent,Raw,Rank
Mark McGwire,9.42,9.423,1
Aaron Judge,8.88,8.8831,2
Babe Ruth,8.5,8.501,3
Barry Bonds,7.74,7.7384,4
Kyle Schwarber,7.29,7.2899,5
Jim Thome,7.27,7.2667,6
Giancarlo Stanton,7.1,7.0979,7
Ralph Kiner,7.09,7.0893,8
Harmon Killebrew,7.03,7.0333,9
Sammy Sosa,6.91,6.9102,10
Mike Trout,6.85,6.8469,11
Ted Williams,6.76,6.761,12
Manny Ramirez,6.73,6.7322,13
Adam Dunn,6.71,6.7122,14
Ryan Howard,6.69,6.6935,15
Juan Gonzalez,6.62,6.6199,16
Dave Kingman,6.62,6.6197,17
Mickey Mantle,6.62,6.6156,18
Russell Branyan,6.61,6.6121,19
Matt Olson,6.6,6.5992,20
Alex Rodriguez,6.59,6.5872,21
Jimmie Foxx,6.57,6.565,22
Mike Schmidt,6.56,6.5613,23
Jose Canseco,6.55,6.5467,24
Albert Belle,6.51,6.5095,25
Carlos Delgado,6.49,6.4946,26
Ken Griffey Jr.,6.43,6.4279,27
Hank Greenberg,6.37,6.374,28
Willie McCovey,6.36,6.356,29
Frank Thomas,6.35,6.3544,30
David Ortiz,6.26,6.2616,31
Richie Sexson,6.21,6.2094,32
Nelson Cruz,6.19,6.1858,33
Cecil Fielder,6.19,6.1858,34
Jay Buhner,6.18,6.1839,35
Darryl Strawberry,6.18,6.1831,36
Mike Piazza,6.18,6.1786,37
Lou Gehrig,6.16,6.1617,38
Albert Pujols,6.16,6.1553,39
Hank Aaron,6.11,6.1064,40
Juan Soto,6.1,6.1041,41
Willie Mays,6.07,6.0656,42
Jason Giambi,6.05,6.0548,43
Edwin Encarnacion,6.02,6.0227,44
Hank Sauer,6.01,6.005,45
Eddie Mathews,6.0,5.9974,46
Willie Stargell,5.99,5.9922,47
Mo Vaughn,5.93,5.9291,48
Rob Deer,5.93,5.9263,49
Chris Davis,5.93,5.9261,50
Troy Glaus,5.91,5.915,51
Mark Teixeira,5.9,5.8968,52
Frank Howard,5.89,5.8878,53
Frank Robinson,5.86,5.8565,54
Mike Napoli,5.84,5.8399,55
Greg Vaughn,5.82,5.8168,56
Carlos Pena,5.78,5.7789,57
Bob Horner,5.77,5.7718,58
Jeff Bagwell,5.76,5.7586,59
Roy Campanella,5.76,5.7551,60
Rocky Colavito,5.75,5.7512,61
Adam Duvall,5.75,5.7471,62
Gus Zernial,5.74,5.7371,63
Jim Edmonds,5.73,5.7305,64
Gorman Thomas,5.73,5.7302,65
Andruw Jones,5.71,5.7113,66
Reggie Jackson,5.71,5.7076,67
Dick Stuart,5.7,5.7043,68
Jose Bautista,5.69,5.685,69
Duke Snider,5.68,5.6836,70
Kevin Mitchell,5.66,5.6604,71
Lance Berkman,5.64,5.6386,72
Fred McGriff,5.63,5.6298,73
Norm Cash,5.62,5.6227,74
Bryce Harper,5.61,5.6125,75
Dean Palmer,5.61,5.61,76
Johnny Mize,5.57,5.5719,77
Josh Donaldson,5.56,5.5556,78
Larry Walker,5.55,5.5451,79
Dick Allen,5.54,5.5433,80
Joc Pederson,5.54,5.5395,81
Tony Clark,5.54,5.5384,82
Gary Sheffield,5.52,5.5224,83
Jeromy Burnitz,5.52,5.5166,84
Vladimir Guerrero,5.51,5.5058,85
Mark Reynolds,5.49,5.486,86
Prince Fielder,5.48,5.4802,87
Eugenio Suárez,5.46,5.4578,88
Teoscar Hernández,5.45,5.4541,89
Ernie Banks,5.43,5.4347,90
Rafael Palmeiro,5.43,5.4335,91
