Name,Isolated Power,Raw,Rank
Babe Ruth,0.348,0.34766,1
Mark McGwire,0.325,0.32536,2
Aaron Judge,0.32,0.31974,3
Barry Bonds,0.309,0.30883,4
Lou Gehrig,0.292,0.29234,5
Hank Greenberg,0.292,0.29155,6
Ted Williams,0.289,0.28938,7
Jimmie Foxx,0.284,0.28399,8
Mike Trout,0.28,0.27967,9
Jim Thome,0.278,0.27773,10
Manny Ramirez,0.273,0.27317,11
Ralph Kiner,0.269,0.26916,12
Albert Belle,0.269,0.26892,13
Giancarlo Stanton,0.267,0.26721,14
Carlos Delgado,0.266,0.2661,15
Juan Gonzalez,0.265,0.26541,16
David Ortiz,0.265,0.26539,17
Kyle Schwarber,0.263,0.26296,18
Sammy Sosa,0.261,0.26052,19
Mike Schmidt,0.26,0.25982,20
Mickey Mantle,0.259,0.2587,21
Ryan Howard,0.257,0.2567,22
Willie Mays,0.256,0.25577,23
Alex Rodriguez,0.255,0.25535,24
Matt Olson,0.255,0.25506,25
Joe DiMaggio,0.254,0.25421,26
Ken Griffey Jr.,0.254,0.25406,27
Frank Thomas,0.254,0.25393,28
Adam Dunn,0.253,0.2528,29
Russell Branyan,0.253,0.25256,30
Larry Walker,0.253,0.2525,31
Harmon Killebrew,0.252,0.25249,32
Johnny Mize,0.25,0.24988,33
Hank Aaron,0.25,0.24951,34
Jose Canseco,0.249,0.24855,35
Albert Pujols,0.248,0.24753,36
Willie Stargell,0.247,0.247,37
Darryl Strawberry,0.247,0.24677,38
Richie Sexson,0.246,0.24594,39
Juan Soto,0.246,0.24585,40
Willie McCovey,0.245,0.24497,41
Duke Snider,0.244,0.24424,42
Jeff Bagwell,0.244,0.24356,43
Lance Berkman,0.243,0.24341,44
Jim Edmonds,0.243,0.24293,45
Frank Robinson,0.243,0.24285,46
Dave Kingman,0.242,0.24202,47
Dick Allen,0.242,0.24179,48
Mark Teixeira,0.241,0.24092,49
Jason Giambi,0.24,0.23985,50
Jay Buhner,0.24,0.23958,51
Nelson Cruz,0.239,0.23917,52
Bryce Harper,0.238,0.23833,53
Eddie Mathews,0.238,0.23826,54
Hack Wilson,0.238,0.23782,55
Mike Piazza,0.237,0.23745,56
Kevin Mitchell,0.236,0.23609,57
Edwin Encarnacion,0.236,0.23608,58
Ryan Braun,0.236,0.23588,59
Troy Glaus,0.235,0.2353,60
Vladimir Guerrero,0.235,0.23495,61
J.D. Martinez,0.233,0.23261,62
Adam Duvall,0.232,0.23165,63
Charlie Keller,0.231,0.2314,64
Andruw Jones,0.231,0.23121,65
Rafael Devers,0.231,0.2309,66
Carlos Pena,0.231,0.23055,67
Mo Vaughn,0.23,0.2303,68
Hank Sauer,0.23,0.22977,69
Alfonso Soriano,0.23,0.22955,70
Mike Napoli,0.229,0.229,71
Mel Ott,0.229,0.22896,72
Josh Donaldson,0.229,0.22859,73
Greg Vaughn,0.229,0.22858,74
Stan Musial,0.228,0.22822,75
Reggie Jackson,0.228,0.2281,76
Jeromy Burnitz,0.228,0.22785,77
Nolan Arenado,0.227,0.22736,78
Cecil Fielder,0.227,0.22707,79
Jose Bautista,0.227,0.2269,80
Rafael Palmeiro,0.226,0.22613,81
Teoscar Hernández,0.226,0.22611,82
Chipper Jones,0.226,0.22585,83
Josh Hamilton,0.226,0.22563,84
Chris Davis,0.226,0.22559,85
Dick Stuart,0.225,0.22542,86
Travis Hafner,0.225,0.22537,87
Ernie Banks,0.225,0.22535,88
Mookie Betts,0.225,0.22519,89
Frank Howard,0.225,0.22518,90
Fred McGriff,0.225,0.22473,91
Joc Pederson,0.224,0.22421,92
José Ramírez,0.224,0.22383,93
Roy Campanella,0.224,0.22354,94
Jay Bruce,0.224,0.22351,95
Danny Tartabull,0.223,0.22331,96
Prince Fielder,0.223,0.22299,97
Chuck Klein,0.223,0.22294,98
Gorman Thomas,0.223,0.22279,99
Todd Helton,0.223,0.22268,100
Rob Deer,0.223,0.22262,101
Rocky Colavito,0.223,0.22251,102
Tony Clark,0.222,0.22242,103
Cody Bellinger,0.222,0.22222,104
Gary Sheffield,0.222,0.2222,105
Bob Horner,0.222,0.22213,106
Dean Palmer,0.222,0.22154,107
Ryan Klesko,0.222,0.22153,108
Wally Berger,0.221,0.22138,109
Gus Zernial,0.221,0.22125,110
David Justice,0.221,0.22098,111
Reggie Sanders,0.22,0.22048,112
Matt Williams,0.22,0.22029,113
Matt Chapman,0.22,0.21963,114
Wally Post,0.22,0.21962,115
Pat Burrell,0.219,0.21933,116
Hal Trosky,0.219,0.21914,117
Ellis Burks,0.219,0.21903,118
Paul Goldschmidt,0.219,0.21896,119
Corey Seager,0.218,0.21841,120
Rogers Hornsby,0.218,0.21803,121
Norm Cash,0.217,0.21685,122
Curtis Granderson,0.217,0.21669,123
Joey Votto,0.217,0.21663,124
Bob Allison,0.217,0.21661,125
Roger Maris,0.216,0.21643,126
Tim Salmon,0.216,0.21638,127
Mark Reynolds,0.216,0.21631,128
Randal Grichuk,0.216,0.21607,129
Jorge Soler,0.216,0.21596,130
Earl Averill,0.216,0.2158,131
Jeff Heath,0.216,0.21572,132
Carlos González,0.215,0.21538,133
Geoff Jenkins,0.215,0.21489,134
Dolph Camilli,0.215,0.21483,135
Brandon Moss,0.215,0.21481,136
Jason Bay,0.214,0.21443,137
Eugenio Suárez,0.214,0.21432,138
Matt Stairs,0.214,0.21426,139
Jermaine Dye,0.214,0.21407,140
Eric Davis,0.214,0.21368,141
Gil Hodges,0.214,0.21351,142
Derrek Lee,0.213,0.2133,143
Moises Alou,0.212,0.21245,144
Josh Willingham,0.212,0.21242,145
Alex Bregman,0.212,0.21222,146
Miguel Cabrera,0.212,0.21186,147
Glenallen Hill,0.212,0.21184,148
Brian Giles,0.212,0.21174,149
J.D. Drew,0.212,0.21168,150
Ron Gant,0.212,0.21166,151
Shawn Green,0.212,0.21166,152
Raul Mondesi,0.212,0.21156,153
Ken Williams,0.211,0.21123,154
Freddie Freeman,0.211,0.21122,155
C.J. Cron,0.211,0.21117,156
Matt Holliday,0.211,0.21116,157
Andres Galarraga,0.211,0.2106,158
Jeff Kent,0.21,0.21005,159
Mark Trumbo,0.21,0.21004,160
Kris Bryant,0.21,0.21,161
Jesse Barfield,0.21,0.20992,162
Al Rosen,0.21,0.20966,163
Scott Rolen,0.21,0.20965,164
Bob Johnson,0.21,0.20954,165
Tommy Henrich,0.209,0.20943,166
Chick Hafey,0.209,0.20908,167
Aramis Ramirez,0.209,0.20907,168
Jack Clark,0.209,0.20885,169
Todd Hundley,0.209,0.20881,170
Manny Machado,0.209,0.20856,171
Johnny Bench,0.208,0.20841,172
Justin Upton,0.208,0.2083,173
Roy Sievers,0.208,0.20824,174
Rudy York,0.208,0.20811,175
Mickey Tettleton,0.208,0.20796,176
Glenn Davis,0.208,0.20785,177
Joe Adcock,0.208,0.20784,178
Nomar Garciaparra,0.208,0.20784,179
Eric Chavez,0.208,0.20768,180
Paul Konerko,0.208,0.20767,181
Nate Colbert,0.207,0.20748,182
Carlos Beltran,0.207,0.20741,183
Babe Herman,0.207,0.20739,184
Corey Hart,0.207,0.20729,185
George Springer,0.207,0.20718,186
Larry Doby,0.207,0.20681,187
Evan Longoria,0.207,0.20654,188
George Foster,0.206,0.20575,189
Dan Uggla,0.206,0.20572,190
Troy Tulowitzki,0.205,0.20545,191
Anthony Rizzo,0.205,0.20531,192
José Abreu,0.205,0.20528,193
Ray Lankford,0.205,0.20498,194
Joe Carter,0.205,0.20494,195
Preston Wilson,0.205,0.20485,196
Jose Valentin,0.204,0.20419,197
Todd Frazier,0.204,0.20401,198
Cliff Floyd,0.204,0.20399,199
Javy Lopez,0.204,0.20399,200
Edgar Martinez,0.204,0.20394,201
Jim Rice,0.204,0.20389,202
Dale Murphy,0.204,0.20377,203
Bobby Bonds,0.203,0.20304,204
Orlando Cepeda,0.203,0.20285,205
Andre Dawson,0.203,0.20278,206
Francisco Lindor,0.202,0.20223,207
Adam LaRoche,0.202,0.20222,208
Tony Batista,0.202,0.20206,209
Billy Williams,0.202,0.20193,210
Greg Luzinski,0.202,0.20184,211
Cliff Johnson,0.202,0.20177,212
Phil Nevin,0.202,0.20177,213
Reggie Smith,0.202,0.20176,214
Pete Incaviglia,0.202,0.20175,215
Marcell Ozuna,0.201,0.20124,216
Fred Lynn,0.201,0.20101,217
Ian Happ,0.201,0.20096,218
