Name,Grand Slams,Rank
Alex Rodriguez,25,1
Lou Gehrig,23,2
Manny Ramirez,21,3
Eddie Murray,19,4
Willie McCovey,18,5
Robin Ventura,18,6
Jimmie Foxx,17,7
Carlos Lee,17,8
Ted Williams,17,9
Hank Aaron,16,10
Dave Kingman,16,11
Albert Pujols,16,12
Babe Ruth,16,13
Ken Griffey Jr.,15,14
Ryan Howard,15,15
Richie Sexson,15,16
Jason Giambi,14,17
Gil Hodges,14,18
Mark McGwire,14,19
Mike Piazza,14,20
Harold Baines,13,21
Albert Belle,13,22
Carlos Delgado,13,23
Joe DiMaggio,13,24
George Foster,13,25
Jeff Kent,13,26
Ralph Kiner,13,27
Gary Sheffield,13,28
Ernie Banks,12,29
Don Baylor,12,30
Adam Dunn,12,31
Edwin Encarnacion,12,32
Travis Hafner,12,33
Rogers Hornsby,12,34
Derrek Lee,12,35
Manny Machado,12,36
Rafael Palmeiro,12,37
Joe Rudi,12,38
Matt Stairs,12,39
Mark Teixeira,12,40
Miguel Tejada,12,41
Matt Williams,12,42
Rudy York,12,43
Carlos Beltran,11,44
Johnny Bench,11,45
Barry Bonds,11,46
Gary Carter,11,47
Eric Davis,11,48
Cecil Fielder,11,49
Gary Gaetti,11,50
Hank Greenberg,11,51
Raul Ibanez,11,52
Reggie Jackson,11,53
Harmon Killebrew,11,54
Tino Martinez,11,55
Lee May,11,56
Brian McCann,11,57
David Ortiz,11,58
Giancarlo Stanton,11,59
Willie Stargell,11,60
Danny Tartabull,11,61
Frank Thomas,11,62
Devon White,11,63
Bernie Williams,11,64
Dave Winfield,11,65
Joe Adcock,10,66
George Bell,10,67
Adrián Beltré,10,68
Jay Buhner,10,69
Ellis Burks,10,70
Jeff Burroughs,10,71
Robinson Cano,10,72
Joe Carter,10,73
Darrell Evans,10,74
Steve Finley,10,75
Andres Galarraga,10,76
Curtis Granderson,10,77
Torii Hunter,10,78
Ryan Klesko,10,79
Paul Konerko,10,80
J.D. Martinez,10,81
John Milner,10,82
Jorge Posada,10,83
Aramis Ramirez,10,84
Roy Sievers,10,85
Al Simmons,10,86
Vern Stephens,10,87
Mo Vaughn,10,88
Vic Wertz,10,89
Bobby Abreu,9,90
Javier Báez,9,91
Tony Batista,9,92
Cody Bellinger,9,93
Yogi Berra,9,94
Dante Bichette,9,95
