Name,Hits,Rank
Pete Rose,4256,1
Ty Cobb,4189,2
Hank Aaron,3771,3
Stan Musial,3630,4
Tris Speaker,3514,5
Derek Jeter,3465,6
Honus Wagner,3430,7
Carl Yastrzemski,3419,8
Albert Pujols,3384,9
Paul Molitor,3319,10
Eddie Collins,3314,11
Willie Mays,3283,12
Eddie Murray,3255,13
Nap Lajoie,3252,14
Cal Ripken Jr.,3184,15
Miguel Cabrera,3174,16
Adrián Beltré,3166,17
George Brett,3154,18
Paul Waner,3152,19
Robin Yount,3142,20
Tony Gwynn,3141,21
Alex Rodriguez,3115,22
Dave Winfield,3110,23
Ichiro Suzuki,3089,24
Craig Biggio,3060,25
Rickey Henderson,3055,26
Rod Carew,3053,27
Lou Brock,3023,28
Rafael Palmeiro,3020,29
Cap Anson,3011,30
Wade Boggs,3010,31
Al Kaline,3007,32
Roberto Clemente,3000,33
Sam Rice,2987,34
Sam Crawford,2961,35
Frank Robinson,2943,36
Barry Bonds,2935,37
Willie Keeler,2932,38
Jake Beckley,2930,39
Rogers Hornsby,2930,40
Al Simmons,2927,41
Zack Wheat,2884,42
Frankie Frisch,2880,43
Omar Vizquel,2877,44
Mel Ott,2876,45
Babe Ruth,2873,46
Harold Baines,2866,47
Jesse Burkett,2850,48
Brooks Robinson,2848,49
Ivan Rodriguez,2844,50
Charlie Gehringer,2839,51
George Sisler,2812,52
Ken Griffey Jr.,2781,53
Andre Dawson,2774,54
Johnny Damon,2769,55
Vada Pinson,2757,56
Luke Appling,2749,57
Al Oliver,2743,58
Goose Goslin,2735,59
Tony Perez,2732,60
Chipper Jones,2726,61
Carlos Beltran,2725,62
Roberto Alomar,2724,63
Lou Gehrig,2721,64
Rusty Staub,2716,65
Bill Buckner,2715,66
Dave Parker,2712,67
Billy Williams,2711,68
Doc Cramer,2705,69
Gary Sheffield,2689,70
Luis Aparicio,2677,71
Fred Clarke,2672,72
Max Carey,2665,73
Nellie Fox,2663,74
George Davis,2660,75
Harry Heilmann,2660,76
Ted Williams,2654,77
Jimmie Foxx,2646,78
Lave Cross,2645,79
Robinson Cano,2639,80
Rabbit Maranville,2605,81
Tim Raines,2605,82
Steve Garvey,2599,83
Ed Delahanty,2596,84
Luis Gonzalez,2591,85
Vladimir Guerrero,2590,86
Julio Franco,2586,87
Reggie Jackson,2584,88
Ernie Banks,2583,89
Richie Ashburn,2574,90
Manny Ramirez,2574,91
Willie Davis,2561,92
Steve Finley,2548,93
George Van Haltren,2539,94
Garret Anderson,2529,95
Heinie Manush,2524,96
Todd Helton,2519,97
Joe Morgan,2517,98
Buddy Bell,2514,99
Jimmy Ryan,2512,100
Mickey Vernon,2495,101
Fred McGriff,2490,102
David Ortiz,2472,103
Ted Simmons,2472,104
Joe Medwick,2471,105
Bobby Abreu,2470,106
Frank Thomas,2468,107
Harry Hooper,2466,108
Jeff Kent,2461,109
Ozzie Smith,2460,110
Lloyd Waner,2459,111
Bill Dahlen,2457,112
Jimmy Rollins,2455,113
Torii Hunter,2452,114
Jim Rice,2452,115
Red Schoendienst,2449,116
Dwight Evans,2446,117
Mark Grace,2445,118
Kenny Lofton,2428,119
Pie Traynor,2416,120
Mickey Mantle,2415,121
Sammy Sosa,2408,122
Miguel Tejada,2407,123
Stuffy McInnis,2405,124
Roger Connor,2392,125
Nick Markakis,2388,126
Ryne Sandberg,2386,127
Enos Slaughter,2383,128
Chili Davis,2380,129
Edd Roush,2376,130
Brett Butler,2375,131
Michael Young,2375,132
Lou Whitaker,2369,133
Alan Trammell,2365,134
Carlton Fisk,2356,135
Joe Judge,2352,136
Orlando Cepeda,2351,137
Freddie Freeman,2347,138
Billy Herman,2345,139
Joe Torre,2342,140
Paul Konerko,2340,141
Barry Larkin,2340,142
Bernie Williams,2336,143
Andres Galarraga,2333,144
Jim Thome,2328,145
Edgar Renteria,2327,146
Dave Concepcion,2326,147
Jake Daubert,2326,148
B.J. Surhoff,2326,149
Eddie Mathews,2315,150
Jeff Bagwell,2314,151
Jim Bottomley,2313,152
Jose Altuve,2310,153
Bobby Wallace,2309,154
Kirby Puckett,2304,155
Aramis Ramirez,2303,156
Kiki Cuyler,2299,157
Charlie Grimm,2299,158
Joe Cronin,2285,159
Hugh Duffy,2282,160
Gary Gaetti,2280,161
Tony Fernandez,2276,162
Carlos Lee,2273,163
Jim O'Rourke,2268,164
Jimmy Dykes,2256,165
Willie McGee,2254,166
Ron Santo,2254,167
Patsy Donovan,2253,168
Tommy Corcoran,2252,169
Jose Cruz,2251,170
Marquis Grissom,2251,171
Bid McPhee,2250,172
Bert Campaneris,2249,173
Edgar Martinez,2247,174
John Olerud,2239,175
Mike Schmidt,2234,176
Willie Stargell,2232,177
Fred Tenney,2231,178
Joe Sewell,2226,179
Dan Brouthers,2225,180
Graig Nettles,2225,181
Darrell Evans,2223,182
Joe Kelley,2220,183
Juan Pierre,2217,184
Andrew McCutchen,2216,185
Joe DiMaggio,2214,186
Joe Kuhel,2212,187
Willie McCovey,2211,188
Willie Randolph,2210,189
Willie Wilson,2207,190
Jason Kendall,2195,191
Stan Hack,2193,192
Bill Terry,2193,193
Cecil Cooper,2192,194
Larry Bowa,2191,195
Joe Carter,2184,196
Keith Hernandez,2182,197
Will Clark,2176,198
Pee Wee Reese,2170,199
Sherry Magee,2169,200
Yadier Molina,2168,201
Dick Bartell,2165,202
Larry Walker,2160,203
Hal Chase,2158,204
Billy Hamilton,2158,205
Magglio Ordonez,2156,206
Victor Martinez,2153,207
Don Mattingly,2153,208
Ruben Sierra,2152,209
Yogi Berra,2150,210
Ed Konetchy,2150,211
Ken Boyer,2143,212
Ken Griffey,2143,213
Tommy Leach,2143,214
Placido Polanco,2142,215
Paul Goldschmidt,2138,216
Dick Groat,2138,217
Wally Moses,2138,218
Jose Reyes,2138,219
Don Baylor,2135,220
Joey Votto,2135,221
Moises Alou,2134,222
Maury Wills,2134,223
Buddy Myer,2131,224
Herman Long,2127,225
Mike Piazza,2127,226
Joe Mauer,2123,227
Tommy Davis,2121,228
Duke Snider,2116,229
Dale Murphy,2111,230
Chris Chambliss,2109,231
Ellis Burks,2107,232
Paul O'Neill,2105,233
Arky Vaughan,2103,234
Felipe Alou,2101,235
Clyde Milan,2100,236
Brian Downing,2099,237
