Name,Home Runs,Rank
Barry Bonds,762,1
Hank Aaron,755,2
Babe Ruth,714,3
Albert Pujols,703,4
Alex Rodriguez,696,5
Willie Mays,660,6
Ken Griffey Jr.,630,7
Jim Thome,612,8
Sammy Sosa,609,9
Frank Robinson,586,10
Mark McGwire,583,11
Harmon Killebrew,573,12
Rafael Palmeiro,569,13
Reggie Jackson,563,14
Manny Ramirez,555,15
Mike Schmidt,548,16
David Ortiz,541,17
Mickey Mantle,536,18
Jimmie Foxx,534,19
Willie McCovey,521,20
Frank Thomas,521,21
Ted Williams,521,22
Ernie Banks,512,23
Eddie Mathews,512,24
Miguel Cabrera,511,25
Mel Ott,511,26
Gary Sheffield,509,27
Eddie Murray,504,28
Lou Gehrig,493,29
Fred McGriff,493,30
Adrián Beltré,477,31
Stan Musial,475,32
Willie Stargell,475,33
Carlos Delgado,473,34
Chipper Jones,468,35
Dave Winfield,465,36
Nelson Cruz,464,37
Jose Canseco,462,38
Adam Dunn,462,39
Carl Yastrzemski,452,40
Jeff Bagwell,449,41
Vladimir Guerrero,449,42
Dave Kingman,442,43
Jason Giambi,440,44
Paul Konerko,439,45
Andre Dawson,438,46
Carlos Beltran,435,47
Juan Gonzalez,434,48
Andruw Jones,434,49
Cal Ripken Jr.,431,50
Giancarlo Stanton,429,51
Mike Piazza,427,52
Billy Williams,426,53
Edwin Encarnacion,424,54
Darrell Evans,414,55
Alfonso Soriano,412,56
Mark Teixeira,409,57
Duke Snider,407,58
Andres Galarraga,399,59
Al Kaline,399,60
Dale Murphy,398,61
Joe Carter,396,62
Jim Edmonds,393,63
Graig Nettles,390,64
Mike Trout,390,65
Johnny Bench,389,66
Aramis Ramirez,386,67
Dwight Evans,385,68
Harold Baines,384,69
Larry Walker,383,70
Frank Howard,382,71
Ryan Howard,382,72
Jim Rice,382,73
Albert Belle,381,74
Orlando Cepeda,379,75
Tony Perez,379,76
Matt Williams,378,77
Norm Cash,377,78
Jeff Kent,377,79
Carlton Fisk,376,80
Rocky Colavito,374,81
Paul Goldschmidt,370,82
Gil Hodges,370,83
Todd Helton,369,84
Ralph Kiner,369,85
Lance Berkman,366,86
