Name,OBP,Raw,Rank
Ted Williams,0.482,0.4817,1
Babe Ruth,0.474,0.4739,2
John McGraw,0.465,0.4655,3
Billy Hamilton,0.455,0.4552,4
Lou Gehrig,0.447,0.4474,5
Barry Bonds,0.444,0.4443,6
Rogers Hornsby,0.434,0.4337,7
Ty Cobb,0.433,0.433,8
Jimmie Foxx,0.428,0.4283,9
Tris Speaker,0.428,0.4279,10
Eddie Collins,0.424,0.4243,11
Ferris Fain,0.424,0.4241,12
Joe Jackson,0.423,0.4227,13
Max Bishop,0.423,0.4227,14
Mickey Mantle,0.421,0.4205,15
Mickey Cochrane,0.419,0.4192,16
Frank Thomas,0.419,0.4191,17
Juan Soto,0.419,0.4186,18
Dan Brouthers,0.418,0.4179,19
Edgar Martinez,0.418,0.4178,20
Stan Musial,0.417,0.4167,21
Cupid Childs,0.416,0.4158,22
Jesse Burkett,0.415,0.4151,23
Wade Boggs,0.415,0.415,24
Todd Helton,0.414,0.4143,25
Mel Ott,0.414,0.414,26
Roy Thomas,0.413,0.4135,27
Hank Greenberg,0.412,0.4118,28
Ed Delahanty,0.411,0.4114,29
Manny Ramirez,0.411,0.4106,30
Aaron Judge,0.41,0.4105,31
Charlie Keller,0.41,0.4099,32
Eddie Stanky,0.41,0.4098,33
Harry Heilmann,0.41,0.4095,34
Joey Votto,0.409,0.4094,35
Jackie Robinson,0.409,0.4089,36
Roy Cullenbine,0.408,0.4082,37
Mike Trout,0.408,0.4078,38
Jeff Bagwell,0.408,0.4076,39
Denny Lyons,0.407,0.4074,40
Riggs Stephenson,0.407,0.4065,41
Lance Berkman,0.406,0.406,42
Arky Vaughan,0.406,0.4058,43
Paul Waner,0.404,0.4043,44
Charlie Gehringer,0.404,0.4036,45
Joe Cunningham,0.403,0.4035,46
Pete Browning,0.403,0.4028,47
Lu Blue,0.402,0.4022,48
Jim Thome,0.402,0.4019,49
Joe Kelley,0.402,0.4017,50
Rickey Henderson,0.401,0.4012,51
Chipper Jones,0.401,0.4012,52
Larry Walker,0.4,0.4002,53
Brian Giles,0.4,0.3998,54
Luke Appling,0.399,0.3994,55
Jason Giambi,0.399,0.3993,56
Ross Youngs,0.399,0.3985,57
Joe DiMaggio,0.398,0.3983,58
Elmer Valo,0.398,0.3983,59
John Olerud,0.398,0.398,60
Ralph Kiner,0.398,0.398,61
Elmer Smith,0.398,0.3976,62
Johnny Mize,0.397,0.3971,63
