Name,OPS,Raw,Rank
Babe Ruth,1.164,1.1636,1
Ted Williams,1.115,1.1155,2
Lou Gehrig,1.08,1.0798,3
Barry Bonds,1.051,1.0512,4
Jimmie Foxx,1.038,1.0376,5
Aaron Judge,1.024,1.024,6
Hank Greenberg,1.017,1.0169,7
Rogers Hornsby,1.01,1.0103,8
Manny Ramirez,0.996,0.99596,9
Mike Trout,0.984,0.98412,10
Mark McGwire,0.982,0.98232,11
Mickey Mantle,0.977,0.97729,12
Joe DiMaggio,0.977,0.97713,13
Stan Musial,0.976,0.97572,14
Frank Thomas,0.974,0.97404,15
Larry Walker,0.965,0.96545,16
Johnny Mize,0.959,0.95909,17
Jim Thome,0.956,0.95601,18
Todd Helton,0.953,0.95341,19
Jeff Bagwell,0.948,0.94795,20
Mel Ott,0.947,0.94707,21
Juan Soto,0.947,0.94687,22
Ralph Kiner,0.946,0.94589,23
Ty Cobb,0.945,0.94495,24
Lance Berkman,0.943,0.94294,25
Willie Mays,0.941,0.94138,26
Joe Jackson,0.94,0.9401,27
Hack Wilson,0.94,0.93987,28
Albert Belle,0.933,0.93328,29
Edgar Martinez,0.933,0.93326,30
Dan Brouthers,0.932,0.93194,31
Vladimir Guerrero,0.931,0.93117,32
David Ortiz,0.931,0.93103,33
Chipper Jones,0.93,0.93048,34
Harry Heilmann,0.93,0.93002,35
Alex Rodriguez,0.93,0.92987,36
Carlos Delgado,0.929,0.92932,37
Hank Aaron,0.928,0.92846,38
Earl Averill,0.928,0.9283,39
Tris Speaker,0.928,0.92829,40
Charlie Keller,0.928,0.92758,41
Frank Robinson,0.926,0.92594,42
Ken Williams,0.924,0.92377,43
Chuck Klein,0.922,0.9218,44
Mike Piazza,0.922,0.92172,45
Joey Votto,0.92,0.92048,46
Duke Snider,0.919,0.91945,47
Albert Pujols,0.918,0.91806,48
Ed Delahanty,0.917,0.91652,49
Jason Giambi,0.916,0.91573,50
Babe Herman,0.915,0.91481,51
Al Simmons,0.915,0.91472,52
Dick Allen,0.912,0.91171,53
Mike Schmidt,0.908,0.90755,54
Ken Griffey Jr.,0.907,0.90731,55
Bryce Harper,0.907,0.90721,56
Gary Sheffield,0.907,0.90698,57
Mo Vaughn,0.906,0.90582,58
Juan Gonzalez,0.904,0.90392,59
Jim Edmonds,0.903,0.90303,60
Brian Giles,0.902,0.9022,61
Miguel Cabrera,0.9,0.9005,62
Freddie Freeman,0.899,0.89936,63
Bob Johnson,0.899,0.89869,64
Bill Terry,0.899,0.89866,65
Chick Hafey,0.898,0.89795,66
Mickey Cochrane,0.897,0.89701,67
Hal Trosky,0.892,0.89232,68
Ryan Braun,0.891,0.89062,69
Willie McCovey,0.889,0.88915,70
Matt Holliday,0.889,0.8889,71
Willie Stargell,0.889,0.88867,72
Paul Goldschmidt,0.889,0.88864,73
Mookie Betts,0.889,0.88863,74
Prince Fielder,0.887,0.88731,75
Billy Hamilton,0.887,0.88723,76
Goose Goslin,0.887,0.88671,77
Fred McGriff,0.886,0.886,78
Eddie Mathews,0.885,0.88549,79
Rafael Palmeiro,0.885,0.88522,80
Moises Alou,0.885,0.88501,81
Harmon Killebrew,0.884,0.88418,82
Charlie Gehringer,0.884,0.8841,83
Tim Salmon,0.884,0.88362,84
Jackie Robinson,0.883,0.88257,85
Sam Thompson,0.883,0.88253,86
Nomar Garciaparra,0.882,0.88207,87
Wally Berger,0.881,0.88054,88
Will Clark,0.88,0.88014,89
Kevin Mitchell,0.88,0.88008,90
Dolph Camilli,0.88,0.87996,91
Riggs Stephenson,0.88,0.87966,92
Al Rosen,0.879,0.87923,93
Jeff Heath,0.879,0.87885,94
David Justice,0.878,0.87784,95
Paul Waner,0.878,0.87774,96
Sammy Sosa,0.878,0.87752,97
Larry Doby,0.876,0.87595,98
John McGraw,0.875,0.87549,99
Jack Fournier,0.875,0.87538,100
Travis Hafner,0.874,0.87402,101
Ellis Burks,0.874,0.87369,102
J.D. Drew,0.873,0.87323,103
Tommy Henrich,0.873,0.87314,104
Roger Connor,0.873,0.87285,105
Magglio Ordonez,0.871,0.87096,106
Ryan Klesko,0.87,0.87035,107
Giancarlo Stanton,0.87,0.8702,108
Bobby Abreu,0.87,0.86974,109
Jim Bottomley,0.869,0.86948,110
Mark Teixeira,0.869,0.86944,111
Pete Browning,0.869,0.86942,112
Bill Dickey,0.868,0.86811,113
Jose Canseco,0.867,0.86726,114
David Wright,0.867,0.86713,115
Joe Medwick,0.867,0.86683,116
Corey Seager,0.865,0.86516,117
Josh Hamilton,0.865,0.86501,118
Rusty Greer,0.865,0.86492,119
Danny Tartabull,0.864,0.86423,120
J.D. Martinez,0.863,0.86314,121
John Olerud,0.863,0.86293,122
Norm Cash,0.862,0.86242,123
Darryl Strawberry,0.862,0.86187,124
Jesse Burkett,0.862,0.8615,125
Kevin Youkilis,0.861,0.86067,126
Roy Campanella,0.86,0.85986,127
Kiki Cuyler,0.86,0.8598,128
Honus Wagner,0.86,0.8598,129
Derrek Lee,0.859,0.85934,130
Earle Combs,0.859,0.85927,131
Arky Vaughan,0.859,0.85927,132
José Ramírez,0.859,0.85877,133
Ryan Howard,0.859,0.85865,134
Gabby Hartnett,0.858,0.8584,135
Matt Olson,0.858,0.85837,136
Rafael Devers,0.858,0.85833,137
Bernie Williams,0.858,0.85825,138
Wade Boggs,0.858,0.8577,139
Gavvy Cravath,0.858,0.85762,140
Joe Cronin,0.857,0.8574,141
George Brett,0.857,0.85668,142
Nelson Cruz,0.856,0.85598,143
Troy Tulowitzki,0.856,0.8556,144
Heinie Manush,0.856,0.85551,145
Al Kaline,0.855,0.85524,146
Jeff Kent,0.855,0.85516,147
Reggie Smith,0.855,0.85493,148
Scott Rolen,0.855,0.85486,149
Jack Clark,0.854,0.85431,150
Adam Dunn,0.854,0.85416,151
Jim Rice,0.854,0.85393,152
Mike Donlin,0.854,0.85392,153
George Grantham,0.854,0.8536,154
Billy Williams,0.853,0.8533,155
Eddie Collins,0.853,0.85318,156
Joe Kelley,0.853,0.85286,157
Bob Meusel,0.852,0.85244,158
Alex Bregman,0.852,0.85218,159
Ripper Collins,0.852,0.85212,160
Jay Buhner,0.852,0.8521,161
Mike Sweeney,0.851,0.8513,162
Nolan Arenado,0.851,0.8511,163
Frank Howard,0.851,0.85105,164
Richie Sexson,0.851,0.85058,165
Ted Kluszewski,0.85,0.85044,166
Kris Bryant,0.85,0.85018,167
Denny Lyons,0.85,0.85016,168
Tip O'Neill,0.85,0.84998,169
Pedro Guerrero,0.85,0.84993,170
Shawn Green,0.85,0.84969,171
Orlando Cepeda,0.849,0.84933,172
Mike Tiernan,0.848,0.84842,173
Nap Lajoie,0.848,0.8484,174
Jorge Posada,0.848,0.8481,175
Minnie Minoso,0.848,0.848,176
Rocky Colavito,0.848,0.84782,177
Kent Hrbek,0.848,0.84751,178
Troy Glaus,0.847,0.84745,179
George Sisler,0.847,0.84744,180
Josh Donaldson,0.847,0.84716,181
Bob Nieman,0.847,0.84708,182
Tony Gwynn,0.847,0.84679,183
Hanley Ramirez,0.847,0.84652,184
Tony Lazzeri,0.846,0.84637,185
Edwin Encarnacion,0.846,0.84632,186
Andres Galarraga,0.846,0.84582,187
Gil Hodges,0.846,0.84574,188
Reggie Jackson,0.846,0.84567,189
Rudy York,0.845,0.84549,190
Luis Gonzalez,0.845,0.84547,191
Fred Lynn,0.845,0.84451,192
Cap Anson,0.844,0.84422,193
Carlos González,0.843,0.84297,194
Adrian Gonzalez,0.843,0.84282,195
John Stone,0.843,0.84282,196
Hank Sauer,0.843,0.84278,197
Sid Gordon,0.843,0.84273,198
John Kruk,0.842,0.84237,199
Carl Yastrzemski,0.842,0.8415,200
Jason Bay,0.841,0.84132,201
Eric Davis,0.841,0.84099,202
Paul Konerko,0.841,0.84054,203
Ray Lankford,0.84,0.84049,204
Cliff Floyd,0.84,0.84036,205
Greg Luzinski,0.84,0.84036,206
Christian Yelich,0.84,0.84012,207
Dwight Evans,0.84,0.84009,208
Roy Cullenbine,0.84,0.83999,209
Kyle Schwarber,0.84,0.83989,210
Bob Horner,0.839,0.83932,211
Ross Youngs,0.839,0.83922,212
Robinson Cano,0.839,0.83861,213
Carlos Beltran,0.837,0.83688,214
Kirby Puckett,0.837,0.83656,215
George Harper,0.836,0.8357,216
Eddie Murray,0.836,0.83552,217
Jose Bautista,0.835,0.83522,218
Cy Williams,0.835,0.83508,219
Dante Bichette,0.835,0.83488,220
Enos Slaughter,0.834,0.83447,221
Roberto Clemente,0.834,0.83442,222
Elmer Flick,0.834,0.83424,223
Geoff Jenkins,0.834,0.83412,224
Pat Burrell,0.834,0.83382,225
Hugh Duffy,0.834,0.83362,226
Vic Wertz,0.833,0.83343,227
Aramis Ramirez,0.833,0.83334,228
Rico Carty,0.833,0.83325,229
José Abreu,0.833,0.83301,230
Paul O'Neill,0.833,0.83298,231
Charlie Blackmon,0.832,0.83247,232
Matt Stairs,0.832,0.83235,233
Elmer Smith,0.832,0.83164,234
Buster Posey,0.831,0.83132,235
Mike Greenwell,0.831,0.83093,236
Leon Durham,0.831,0.83089,237
Harlond Clift,0.831,0.83081,238
Bill Nicholson,0.83,0.83049,239
Reggie Sanders,0.83,0.83043,240
Alvin Davis,0.83,0.83003,241
Yogi Berra,0.83,0.83001,242
Don Mattingly,0.83,0.8297,243
Ernie Banks,0.83,0.82957,244
Tony Oliva,0.83,0.82953,245
Bobby Bonilla,0.829,0.82909,246
Bob Allison,0.829,0.82905,247
Jackie Jensen,0.829,0.829,248
Roy Sievers,0.829,0.8287,249
Anthony Rendon,0.829,0.82863,250
Justin Morneau,0.828,0.82823,251
Javy Lopez,0.828,0.82803,252
Trot Nixon,0.828,0.82798,253
Trea Turner,0.828,0.82793,254
Manny Machado,0.828,0.82779,255
Jose Altuve,0.828,0.82767,256
Anthony Rizzo,0.828,0.82759,257
Bob Fothergill,0.828,0.82754,258
Mike Stanley,0.827,0.82736,259
Andrew McCutchen,0.827,0.82721,260
Dave Winfield,0.827,0.82713,261
Joe Mauer,0.827,0.82678,262
Cecil Fielder,0.827,0.82668,263
Ron Santo,0.826,0.82644,264
Jermaine Dye,0.826,0.82617,265
Jeromy Burnitz,0.826,0.82586,266
Dmitri Young,0.826,0.82553,267
Mark Grace,0.825,0.8253,268
Bobby Bonds,0.824,0.82418,269
Ken Singleton,0.824,0.82391,270
Shin-Soo Choo,0.824,0.8237,271
Tony Clark,0.824,0.82362,272
Ketel Marte,0.823,0.82339,273
Josh Willingham,0.823,0.82331,274
Chase Utley,0.823,0.8231,275
Andruw Jones,0.823,0.82308,276
Ben Chapman,0.823,0.82293,277
Bobby Doerr,0.823,0.8227,278
Joe Gordon,0.822,0.82235,279
Boog Powell,0.822,0.82229,280
Rod Carew,0.822,0.82221,281
Harry Stovey,0.822,0.82219,282
Bruce Campbell,0.822,0.82217,283
Joe Adcock,0.822,0.82204,284
Andre Ethier,0.822,0.82194,285
Hideki Matsui,0.822,0.8219,286
Carlos Lee,0.822,0.82173,287
Roger Maris,0.822,0.82157,288
Mike Napoli,0.821,0.82123,289
Matt Kemp,0.821,0.82097,290
Bibb Falk,0.821,0.82059,291
Keith Hernandez,0.821,0.8205,292
Harold Baines,0.82,0.82035,293
Jimmy Ryan,0.82,0.82023,294
Joe Cunningham,0.82,0.82019,295
Ferris Fain,0.82,0.82,296
Bing Miller,0.82,0.81998,297
Rickey Henderson,0.82,0.81982,298
Dixie Walker,0.82,0.81978,299
Henry Larkin,0.819,0.81947,300
Joe Morgan,0.819,0.81917,301
Alfonso Soriano,0.819,0.81909,302
Adrián Beltré,0.819,0.81897,303
Richie Zisk,0.818,0.81847,304
Carlos Correa,0.818,0.81835,305
George Foster,0.818,0.81831,306
Ernie Lombardi,0.818,0.81819,307
Francisco Lindor,0.818,0.81784,308
Mickey Tettleton,0.818,0.81771,309
Eric Chavez,0.818,0.81757,310
Johnny Bench,0.817,0.81749,311
Zack Wheat,0.817,0.81749,312
Brandon Belt,0.817,0.81731,313
George Springer,0.817,0.81714,314
Paul Molitor,0.817,0.81705,315
Gene Woodling,0.817,0.81705,316
Joe Torre,0.817,0.81694,317
Wally Moon,0.817,0.81684,318
Derek Jeter,0.817,0.81678,319
Gene Tenace,0.817,0.8166,320
Justin Turner,0.816,0.81624,321
Ryan Zimmerman,0.816,0.8157,322
Jayson Werth,0.816,0.81556,323
Raul Mondesi,0.815,0.81548,324
Vern Stephens,0.815,0.81536,325
Tino Martinez,0.815,0.81517,326
Gus Zernial,0.815,0.81493,327
Barry Larkin,0.815,0.8149,328
Dale Murphy,0.815,0.81489,329
Kirk Gibson,0.815,0.81484,330
Cliff Johnson,0.815,0.81461,331
Edd Roush,0.815,0.81461,332
Bob Elliott,0.815,0.81455,333
Victor Martinez,0.815,0.81452,334
Matt Carpenter,0.815,0.81451,335
Phil Nevin,0.814,0.81438,336
Fred Clarke,0.814,0.81432,337
Sean Casey,0.814,0.81425,338
Bernie Carbo,0.814,0.81412,339
Roberto Alomar,0.814,0.8141,340
John Valentin,0.814,0.81398,341
Oyster Burns,0.814,0.81389,342
Sam Crawford,0.814,0.81388,343
Cody Bellinger,0.814,0.81357,344
Russell Branyan,0.814,0.81352,345
Curt Walker,0.813,0.81344,346
Carl Furillo,0.813,0.81301,347
Bobby Higginson,0.813,0.81279,348
Irish Meusel,0.813,0.81272,349
Jim Ray Hart,0.813,0.81267,350
Justin Upton,0.812,0.81168,351
Del Ennis,0.812,0.81165,352
Bobby Veach,0.812,0.81162,353
Andre Thornton,0.811,0.81129,354
Chili Davis,0.811,0.81105,355
Bob Watson,0.811,0.81092,356
Charlie Maxwell,0.811,0.81086,357
Oscar Gamble,0.811,0.81066,358
Tim Raines,0.81,0.81041,359
Ken Boyer,0.81,0.8104,360
Kevin Millar,0.81,0.81014,361
Augie Galan,0.81,0.80984,362
Marcell Ozuna,0.81,0.80973,363
Dave Parker,0.81,0.80962,364
Carlos Pena,0.809,0.80854,365
Willson Contreras,0.808,0.80839,366
Wally Post,0.808,0.80769,367
Teoscar Hernández,0.808,0.80767,368
Buck Freeman,0.808,0.80752,369
Baby Doll Jacobson,0.807,0.80738,370
Bill Madlock,0.807,0.80722,371
Smoky Burgess,0.807,0.80714,372
Greg Vaughn,0.807,0.80699,373
Joe Vosmik,0.807,0.80693,374
Corey Hart,0.807,0.80673,375
Roy Johnson,0.806,0.80642,376
Bill White,0.806,0.80631,377
Stan Spence,0.806,0.80623,378
Grady Sizemore,0.806,0.80616,379
Aubrey Huff,0.806,0.80576,380
Dick Stuart,0.806,0.80564,381
Robin Ventura,0.806,0.80562,382
Andre Dawson,0.806,0.80553,383
Hal McRae,0.805,0.80535,384
Mike Lowell,0.805,0.80533,385
Matt Williams,0.805,0.80521,386
Home Run Baker,0.805,0.80519,387
Michael Cuddyer,0.805,0.80505,388
Dale Long,0.805,0.80498,389
Cupid Childs,0.805,0.8047,390
Dustin Pedroia,0.805,0.8046,391
Tony Perez,0.804,0.80444,392
Milton Bradley,0.804,0.80429,393
Jason Thompson,0.804,0.80414,394
Jose Vidro,0.804,0.80404,395
George Van Haltren,0.804,0.80394,396
Joe Sewell,0.804,0.80379,397
Rick Monday,0.804,0.8037,398
Evan Longoria,0.804,0.80368,399
Carl Reynolds,0.804,0.80368,400
Mike Easler,0.804,0.80365,401
Glenallen Hill,0.804,0.80363,402
Ron Gant,0.803,0.80333,403
Lu Blue,0.803,0.80276,404
Curtis Granderson,0.803,0.80269,405
Cecil Cooper,0.803,0.80254,406
Wes Covington,0.803,0.80254,407
Earl Torgeson,0.802,0.80248,408
Willie Keeler,0.802,0.80244,409
Carl Everett,0.802,0.80234,410
Gary Matthews,0.802,0.80228,411
Dom DiMaggio,0.802,0.80225,412
Bobby Murcer,0.802,0.802,413
Wally Joyner,0.802,0.80194,414
David Segui,0.802,0.80166,415
Jimmy Wynn,0.802,0.80155,416
Frank Catalanotto,0.802,0.80151,417
Jesse Barfield,0.801,0.8015,418
Ron Northey,0.801,0.80137,419
Barney McCosky,0.801,0.80084,420
Joc Pederson,0.801,0.80084,421
Buck Ewing,0.801,0.80075,422
Frankie Frisch,0.801,0.80072,423
Pepper Martin,0.801,0.80068,424
Raul Ibanez,0.801,0.80056,425
