Name,Outs,Rank
Pete Rose,10327,1
Hank Aaron,9136,2
Carl Yastrzemski,9126,3
Cal Ripken Jr.,8893,4
Albert Pujols,8630,5
Eddie Murray,8570,6
Rickey Henderson,8510,7
Omar Vizquel,8427,8
Dave Winfield,8422,9
Robin Yount,8415,10
Adrián Beltré,8340,11
Brooks Robinson,8340,12
Craig Biggio,8272,13
Derek Jeter,8265,14
Luis Aparicio,8110,15
Rabbit Maranville,8107,16
Willie Mays,8056,17
Paul Molitor,8040,18
Ty Cobb,7940,19
Alex Rodriguez,7912,20
Rafael Palmeiro,7858,21
Lou Brock,7823,22
Stan Musial,7704,23
Miguel Cabrera,7675,24
George Brett,7673,25
Reggie Jackson,7659,26
Andre Dawson,7621,27
Al Kaline,7594,28
Frank Robinson,7528,29
Ozzie Smith,7528,30
Rusty Staub,7509,31
Harold Baines,7482,32
Tony Perez,7462,33
Carlos Beltran,7420,34
Ken Griffey Jr.,7398,35
Tris Speaker,7338,36
Eddie Collins,7320,37
Barry Bonds,7313,38
Vada Pinson,7304,39
Johnny Damon,7291,40
Steve Finley,7285,41
Honus Wagner,7267,42
Ernie Banks,7261,43
Ivan Rodriguez,7257,44
Max Carey,7234,45
Joe Morgan,7174,46
Jimmy Rollins,7170,47
Ichiro Suzuki,7152,48
Bill Buckner,7146,49
Gary Gaetti,7108,50
Graig Nettles,7096,51
Nellie Fox,7080,52
Darrell Evans,7075,53
Dave Parker,7055,54
Willie Davis,7051,55
Bert Campaneris,6999,56
Gary Sheffield,6987,57
Luis Gonzalez,6973,58
Billy Williams,6969,59
Dwight Evans,6965,60
Buddy Bell,6955,61
Dave Concepcion,6932,62
Roberto Alomar,6914,63
Sam Crawford,6880,64
Roberto Clemente,6877,65
Rod Carew,6857,66
Torii Hunter,6838,67
Sammy Sosa,6809,68
Doc Cramer,6787,69
Mel Ott,6771,70
Carlton Fisk,6767,71
Jake Beckley,6763,72
Bill Dahlen,6739,73
Chili Davis,6737,74
Al Oliver,6736,75
Tommy Corcoran,6709,76
Harry Hooper,6687,77
Steve Garvey,6672,78
Tim Raines,6670,79
Tony Gwynn,6662,80
Larry Bowa,6647,81
Chipper Jones,6640,82
Ted Simmons,6639,83
Sam Rice,6638,84
Julio Franco,6609,85
Mickey Vernon,6608,86
Paul Waner,6608,87
Fred McGriff,6604,88
Lou Whitaker,6599,89
Frankie Frisch,6590,90
Lave Cross,6586,91
Nap Lajoie,6579,92
Wade Boggs,6566,93
George Davis,6555,94
Joe Carter,6551,95
Robinson Cano,6530,96
Don Baylor,6510,97
David Ortiz,6507,98
Mike Schmidt,6490,99
Bobby Wallace,6484,100
Eddie Mathews,6478,101
Garret Anderson,6455,102
Jeff Kent,6434,103
Zack Wheat,6434,104
Miguel Tejada,6429,105
Paul Konerko,6426,106
Luke Appling,6418,107
Marquis Grissom,6411,108
Harmon Killebrew,6399,109
Bobby Abreu,6389,110
Alan Trammell,6388,111
Red Schoendienst,6386,112
B.J. Surhoff,6360,113
Tim Wallach,6355,114
Jim Thome,6354,115
Ryne Sandberg,6347,116
Edgar Renteria,6339,117
Brett Butler,6322,118
Ron Santo,6293,119
Pee Wee Reese,6285,120
Willie Randolph,6283,121
Charlie Gehringer,6278,122
Willie McCovey,6259,123
Ruben Sierra,6258,124
Frank White,6258,125
Nick Markakis,6237,126
Gary Carter,6233,127
Jim Rice,6221,128
Andrew McCutchen,6204,129
Dale Murphy,6192,130
Goose Goslin,6172,131
Aramis Ramirez,6166,132
Elvis Andrus,6155,133
Brian Downing,6125,134
Cap Anson,6124,135
Fred Clarke,6121,136
Bill Mazeroski,6113,137
Don Kessinger,6109,138
Frank Thomas,6100,139
Kenny Lofton,6098,140
Bid McPhee,6097,141
Richie Ashburn,6096,142
Yadier Molina,6091,143
Andres Galarraga,6082,144
Tony Taylor,6080,145
Jimmy Dykes,6073,146
Carlos Santana,6072,147
Tommy Leach,6070,148
Tony Fernandez,6062,149
Carlos Lee,6058,150
Manny Ramirez,6038,151
Jose Cruz,6030,152
Al Simmons,6030,153
Joe Kuhel,6028,154
Willie Keeler,6025,155
Garry Templeton,6024,156
Vladimir Guerrero,6000,157
Andruw Jones,5988,158
Barry Larkin,5978,159
Mark Grace,5975,160
Royce Clayton,5968,161
Tony Phillips,5967,162
Johnny Bench,5955,163
Orlando Cepeda,5952,164
Willie Stargell,5938,165
Todd Zeile,5932,166
Alfonso Soriano,5924,167
Bernie Williams,5919,168
Charlie Grimm,5911,169
Joe Torre,5908,170
Lee May,5906,171
Maury Wills,5902,172
Mickey Mantle,5899,173
Joe Judge,5898,174
Orlando Cabrera,5896,175
Jeff Bagwell,5887,176
Jay Bell,5877,177
Michael Young,5874,178
Bob Boone,5868,179
Stuffy McInnis,5859,180
George Scott,5859,181
Willie Wilson,5847,182
