Name,Plate Appearances,Rank
Pete Rose,15861,1
Carl Yastrzemski,13991,2
Hank Aaron,13940,3
Rickey Henderson,13346,4
Ty Cobb,13072,5
Albert Pujols,13041,6
Cal Ripken Jr.,12883,7
Eddie Murray,12817,8
Stan Musial,12712,9
Barry Bonds,12606,10
Derek Jeter,12602,11
Craig Biggio,12503,12
Willie Mays,12493,13
Dave Winfield,12358,14
Robin Yount,12249,15
Alex Rodriguez,12207,16
Paul Molitor,12160,17
Adrián Beltré,12130,18
Rafael Palmeiro,12046,19
Eddie Collins,12037,20
Omar Vizquel,12010,21
Tris Speaker,11988,22
Miguel Cabrera,11796,23
Brooks Robinson,11782,24
Frank Robinson,11743,25
Honus Wagner,11738,26
George Brett,11624,27
Al Kaline,11597,28
Reggie Jackson,11416,29
Mel Ott,11337,30
Joe Morgan,11329,31
Ken Griffey Jr.,11304,32
Rabbit Maranville,11257,33
Lou Brock,11235,34
Luis Aparicio,11230,35
Rusty Staub,11229,36
Harold Baines,11092,37
Carlos Beltran,11031,38
Gary Sheffield,10947,39
Johnny Damon,10917,40
Tony Perez,10861,41
Ozzie Smith,10778,42
Max Carey,10770,43
Andre Dawson,10769,44
Paul Waner,10762,45
Wade Boggs,10740,46
Darrell Evans,10737,47
Ichiro Suzuki,10734,48
Babe Ruth,10617,49
Chipper Jones,10611,50
Sam Crawford,10594,51
Dwight Evans,10569,52
Rod Carew,10550,53
Luis Gonzalez,10531,54
Billy Williams,10519,55
Jake Beckley,10492,56
Steve Finley,10460,57
Nap Lajoie,10460,58
Vada Pinson,10403,59
Roberto Alomar,10400,60
Bill Dahlen,10400,61
Ernie Banks,10395,62
Tim Raines,10359,63
Nellie Fox,10349,64
Jim Thome,10313,65
Ivan Rodriguez,10270,66
Sam Rice,10246,67
Harry Hooper,10244,68
Luke Appling,10243,69
Charlie Gehringer,10237,70
Jimmy Rollins,10235,71
Tony Gwynn,10232,72
Graig Nettles,10226,73
Roberto Clemente,10212,74
Dave Parker,10184,75
Fred McGriff,10174,76
George Davis,10159,77
Cap Anson,10119,78
Eddie Mathews,10101,79
Frankie Frisch,10100,80
David Ortiz,10091,81
Bobby Abreu,10081,82
Frank Thomas,10074,83
Mike Schmidt,10062,84
Bill Buckner,10033,85
Buddy Bell,10009,86
Chili Davis,9996,87
Zack Wheat,9996,88
Lou Whitaker,9967,89
Doc Cramer,9933,90
Mickey Mantle,9909,91
Sammy Sosa,9896,92
Carlton Fisk,9853,93
Mickey Vernon,9834,94
Harmon Killebrew,9831,95
Willie Davis,9822,96
Goose Goslin,9822,97
Fred Clarke,9820,98
Gary Gaetti,9817,99
Ted Williams,9791,100
Al Oliver,9778,101
Manny Ramirez,9774,102
Richie Ashburn,9736,103
Julio Franco,9731,104
Lave Cross,9726,105
Torii Hunter,9688,106
Willie McCovey,9686,107
Ted Simmons,9685,108
Jimmie Foxx,9670,109
Lou Gehrig,9660,110
Dave Concepcion,9640,111
Bert Campaneris,9625,112
Jesse Burkett,9615,113
Bobby Wallace,9612,114
Willie Keeler,9610,115
Robinson Cano,9550,116
Brett Butler,9545,117
Jeff Kent,9537,118
Al Simmons,9515,119
Paul Konerko,9505,120
Rogers Hornsby,9475,121
Pee Wee Reese,9470,122
Steve Garvey,9466,123
Willie Randolph,9462,124
Todd Helton,9442,125
Jeff Bagwell,9431,126
Andrew McCutchen,9431,127
Bid McPhee,9415,128
Don Baylor,9401,129
Ron Santo,9396,130
Tommy Corcoran,9378,131
Alan Trammell,9375,132
Jimmy Dykes,9347,133
Nick Markakis,9321,134
Brian Downing,9309,135
Mark Grace,9290,136
Ryne Sandberg,9282,137
Kenny Lofton,9234,138
Red Schoendienst,9222,139
Miguel Tejada,9199,140
Garret Anderson,9177,141
Eddie Yost,9175,142
Joe Judge,9171,143
Joe Carter,9154,144
Jimmy Sheckard,9118,145
Jimmy Ryan,9114,146
Tony Phillips,9110,147
B.J. Surhoff,9106,148
Larry Bowa,9103,149
Joe Kuhel,9095,150
Enos Slaughter,9084,151
Carlos Santana,9069,152
Edgar Renteria,9066,153
John Olerud,9063,154
Vladimir Guerrero,9059,155
Jim Rice,9058,156
Barry Larkin,9057,157
Bernie Williams,9053,158
Tommy Leach,9051,159
Dale Murphy,9040,160
Willie Stargell,9026,161
Gary Carter,9019,162
Freddie Freeman,9019,163
George Sisler,9013,164
George Van Haltren,8992,165
Aramis Ramirez,8980,166
Harry Heilmann,8960,167
Marquis Grissom,8959,168
Jose Cruz,8931,169
Andres Galarraga,8916,170
Jason Giambi,8908,171
Tim Wallach,8908,172
Joe Cronin,8838,173
Fred Tenney,8809,174
Joe Torre,8801,175
Tony Fernandez,8793,176
Ruben Sierra,8782,177
Carlos Lee,8780,178
Roger Connor,8768,179
Toby Harrah,8766,180
Joey Votto,8746,181
Charlie Grimm,8745,182
Dick Bartell,8743,183
Jake Daubert,8742,184
Donie Bush,8734,185
Jason Kendall,8701,186
Orlando Cepeda,8695,187
Edgar Martinez,8672,188
Johnny Bench,8669,189
Ed Konetchy,8664,190
Andruw Jones,8661,191
Carlos Delgado,8657,192
Todd Zeile,8649,193
Billy Herman,8641,194
Stuffy McInnis,8623,195
Michael Young,8604,196
Elvis Andrus,8602,197
Paul Goldschmidt,8575,198
Ken Singleton,8558,199
Keith Hernandez,8553,200
Yadier Molina,8553,201
Sherry Magee,8546,202
Don Kessinger,8529,203
Jay Bell,8525,204
Scott Rolen,8515,205
Stan Hack,8506,206
Herman Long,8501,207
Tony Taylor,8501,208
Frank White,8467,209
Ron Fairly,8437,210
Ray Durham,8423,211
Heinie Manush,8416,212
Alfonso Soriano,8395,213
Ed Delahanty,8394,214
Nelson Cruz,8387,215
Roger Peckinpaugh,8383,216
Bill Mazeroski,8379,217
Dummy Hoy,8371,218
Yogi Berra,8364,219
Jose Altuve,8361,220
Jim Bottomley,8355,221
Ron Cey,8344,222
Paul O'Neill,8329,223
Joe Sewell,8329,224
Adam Dunn,8328,225
Lloyd Waner,8326,226
Jim Gilliam,8321,227
Willie Wilson,8317,228
Clyde Milan,8312,229
Curtis Granderson,8306,230
Chris Chambliss,8305,231
Maury Wills,8304,232
Ian Kinsler,8299,233
Pie Traynor,8293,234
Sal Bando,8288,235
Will Clark,8283,236
Raul Ibanez,8278,237
Robin Ventura,8271,238
George Scott,8269,239
Ken Boyer,8268,240
Bobby Bonilla,8255,241
Juan Pierre,8254,242
Wally Moses,8253,243
George Burns,8251,244
Orlando Cabrera,8251,245
Amos Otis,8246,246
Dave Bancroft,8244,247
Jose Reyes,8240,248
Duke Snider,8237,249
Jack Clark,8225,250
Bobby Grich,8220,251
Lee May,8219,252
Garry Templeton,8208,253
Evan Longoria,8206,254
Kid Gleason,8202,255
Bob Elliott,8190,256
Gary Matthews,8189,257
Willie McGee,8188,258
Buddy Myer,8187,259
Dick Groat,8179,260
Tom Brown,8177,261
Ellis Burks,8176,262
Victor Martinez,8166,263
Royce Clayton,8164,264
Patsy Donovan,8159,265
Edd Roush,8156,266
Chris Speier,8155,267
Bob Boone,8148,268
Joe Medwick,8142,269
Joe Kelley,8139,270
Cesar Cedeno,8133,271
Jose Canseco,8129,272
Wally Joyner,8115,273
Edwin Encarnacion,8114,274
Gil Hodges,8104,275
Kiki Cuyler,8098,276
Bobby Bonds,8090,277
Devon White,8080,278
John Ward,8075,279
Hal McRae,8058,280
Willie Horton,8052,281
Reggie Smith,8050,282
Ken Griffey,8048,283
Bob Johnson,8048,284
Tino Martinez,8044,285
Adrian Gonzalez,8043,286
Larry Walker,8030,287
Mark Teixeira,8029,288
Bobby Doerr,8028,289
Dusty Baker,8021,290
Bill Russell,8020,291
Jimmy Wynn,8010,292
Brandon Phillips,7991,293
Matt Holliday,7981,294
Jim Edmonds,7980,295
Derrek Lee,7963,296
Shawn Green,7962,297
Joe Mauer,7960,298
Del Ennis,7940,299
Hal Chase,7939,300
Cecil Cooper,7939,301
Fred Lynn,7923,302
Jim O'Rourke,7916,303
Moises Alou,7913,304
Norm Cash,7910,305
Felipe Alou,7908,306
Carney Lansford,7905,307
Fielder Jones,7894,308
Mike Cameron,7884,309
Placido Polanco,7874,310
Chet Lemon,7872,311
Chase Utley,7863,312
Manny Machado,7843,313
Hugh Duffy,7837,314
Brian Giles,7835,315
Kirby Puckett,7831,316
Alvin Dark,7829,317
George Hendrick,7825,318
Wally Pipp,7820,319
Lance Berkman,7813,320
A.J. Pierzynski,7813,321
George Foster,7812,322
Boog Powell,7810,323
Lance Parrish,7797,324
Jeff Conine,7781,325
Bobby Lowe,7750,326
Mike Piazza,7745,327
Magglio Ordonez,7742,328
Tommy Davis,7739,329
Brady Anderson,7737,330
Roy White,7735,331
Don Mattingly,7721,332
Arky Vaughan,7721,333
Cy Williams,7720,334
Bobby Murcer,7718,335
Minnie Minoso,7710,336
Phil Cavarretta,7701,337
Jose Cardenal,7696,338
Larry Gardner,7685,339
Joe DiMaggio,7671,340
Dixie Walker,7666,341
Mark McGwire,7660,342
Roy McMillan,7653,343
Justin Upton,7646,344
Terry Pendleton,7637,345
Steve Sax,7632,346
Ed McKean,7621,347
Harvey Kuenn,7618,348
Del Pratt,7609,349
Dan Brouthers,7605,350
Mark Grudzielanek,7603,351
Matt Williams,7595,352
Billy Hamilton,7591,353
Marty McManus,7563,354
Rocky Colavito,7559,355
Bobby Veach,7557,356
Pinky Higgins,7554,357
George Kell,7528,358
Melky Cabrera,7527,359
Adam Jones,7515,360
Benito Santiago,7515,361
Greg Luzinski,7514,362
Jack Glasscock,7507,363
Charlie Jamieson,7488,364
Luis Castillo,7471,365
Arlie Latham,7468,366
Ossie Bluege,7452,367
Jimmy Collins,7452,368
Larry Parrish,7450,369
Johnny Callison,7437,370
Bret Boone,7432,371
Dave Kingman,7429,372
Ben Chapman,7421,373
Frank Schulte,7413,374
Leo Cardenas,7402,375
Jim Fregosi,7402,376
Ryan Zimmerman,7401,377
Asdrubal Cabrera,7397,378
Chuck Knoblauch,7385,379
Vinny Castilla,7384,380
Larry Doyle,7382,381
Nolan Arenado,7379,382
Harry Davis,7379,383
Bill Madlock,7372,384
Johnny Mize,7371,385
Claudell Washington,7367,386
Frank Howard,7353,387
Roy Sievers,7349,388
Joe Quinn,7347,389
