Name,Runs Produced,Rank
Ty Cobb,4072,1
Hank Aaron,3716,2
Babe Ruth,3673,3
Cap Anson,3501,4
Barry Bonds,3461,5
Albert Pujols,3429,6
Stan Musial,3425,7
Alex Rodriguez,3411,8
Lou Gehrig,3390,9
Honus Wagner,3367,10
Pete Rose,3319,11
Willie Mays,3305,12
Tris Speaker,3294,13
Mel Ott,3208,14
Carl Yastrzemski,3208,15
Jimmie Foxx,3139,16
Ted Williams,3116,17
Rickey Henderson,3113,18
Jake Beckley,3089,19
Eddie Collins,3074,20
Frank Robinson,3055,21
Eddie Murray,3040,22
Dave Winfield,3037,23
Al Simmons,3027,24
Nap Lajoie,3021,25
Charlie Gehringer,3017,26
Derek Jeter,2974,27
Ed Delahanty,2962,28
Rafael Palmeiro,2928,29
Miguel Cabrera,2921,30
Cal Ripken Jr.,2911,31
George Davis,2903,32
Ken Griffey Jr.,2868,33
Rogers Hornsby,2862,34
George Brett,2861,35
Paul Molitor,2855,36
Goose Goslin,2844,37
Paul Waner,2823,38
Manny Ramirez,2820,39
Sam Crawford,2819,40
Al Kaline,2806,41
Roger Connor,2804,42
Gary Sheffield,2803,43
Robin Yount,2787,44
Chipper Jones,2774,45
Adrián Beltré,2754,46
Hugh Duffy,2748,47
Bill Dahlen,2738,48
Carlos Beltran,2734,49
Craig Biggio,2728,50
Dan Brouthers,2713,51
Bid McPhee,2692,52
Reggie Jackson,2690,53
Frank Thomas,2677,54
Frankie Frisch,2671,55
Jim Thome,2670,56
Lave Cross,2657,57
Mickey Mantle,2650,58
Harry Heilmann,2647,59
David Ortiz,2646,60
Jimmy Ryan,2617,61
Jeff Bagwell,2597,62
Jesse Burkett,2597,63
George Van Haltren,2584,64
Johnny Damon,2572,65
Fred Clarke,2567,66
Joe DiMaggio,2566,67
Sam Rice,2558,68
Mike Schmidt,2553,69
Joe Kelley,2550,70
Tony Perez,2545,71
Harold Baines,2543,72
Sammy Sosa,2533,73
Bobby Abreu,2528,74
Andre Dawson,2526,75
Joe Morgan,2515,76
Luis Gonzalez,2497,77
Willie Keeler,2496,78
Joe Cronin,2487,79
Roberto Clemente,2481,80
Dwight Evans,2469,81
Jeff Kent,2461,82
Billy Williams,2459,83
Eddie Mathews,2450,84
Todd Helton,2438,85
Roberto Alomar,2432,86
Ernie Banks,2429,87
Sam Thompson,2428,88
Dave Parker,2426,89
Herman Long,2419,90
Wade Boggs,2409,91
Fred McGriff,2406,92
Jim O'Rourke,2406,93
Zack Wheat,2405,94
Pie Traynor,2398,95
Luke Appling,2390,96
Tony Gwynn,2386,97
Billy Hamilton,2386,98
Enos Slaughter,2382,99
Tim Raines,2381,100
Jim Bottomley,2380,101
Joe Medwick,2376,102
Vladimir Guerrero,2375,103
Ivan Rodriguez,2375,104
Rusty Staub,2363,105
Lou Brock,2361,106
Heinie Manush,2360,107
George Sisler,2357,108
Rod Carew,2347,109
Bernie Williams,2336,110
Mickey Vernon,2335,111
Torii Hunter,2334,112
Brooks Robinson,2321,113
Jim Rice,2318,114
Omar Vizquel,2316,115
Steve Finley,2306,116
Julio Franco,2306,117
Al Oliver,2296,118
Harmon Killebrew,2294,119
Tommy Corcoran,2285,120
Ed McKean,2285,121
Darrell Evans,2284,122
Larry Walker,2283,123
Carlos Delgado,2280,124
Vada Pinson,2280,125
Harry Stovey,2278,126
Max Carey,2275,127
Willie McCovey,2263,128
Chili Davis,2262,129
Willie Stargell,2260,130
Freddie Freeman,2259,131
John Ward,2249,132
Yogi Berra,2247,133
Kiki Cuyler,2242,134
King Kelly,2238,135
Bob Johnson,2234,136
Robinson Cano,2233,137
Carlton Fisk,2230,138
Jason Giambi,2228,139
Lou Whitaker,2226,140
Miguel Tejada,2225,141
Andres Galarraga,2221,142
Joe Carter,2219,143
Ted Simmons,2215,144
Sherry Magee,2205,145
Tom Brown,2193,146
Duke Snider,2185,147
Scott Rolen,2182,148
Steve Garvey,2179,149
Kenny Lofton,2179,150
Don Baylor,2174,151
Harry Hooper,2171,152
Edgar Martinez,2171,153
Garret Anderson,2162,154
Doc Cramer,2162,155
Joe Kuhel,2154,156
Mark Grace,2152,157
Earl Averill,2150,158
Joe Judge,2147,159
Joe Sewell,2147,160
Bobby Wallace,2144,161
Paul Konerko,2135,162
Jose Canseco,2131,163
Carlos Lee,2130,164
Aramis Ramirez,2129,165
Ron Santo,2127,166
Jimmy Rollins,2126,167
Bobby Doerr,2118,168
Orlando Cepeda,2117,169
Graig Nettles,2117,170
John Olerud,2114,171
Bill Buckner,2111,172
Gary Gaetti,2111,173
Rabbit Maranville,2111,174
Dummy Hoy,2108,175
Ellis Burks,2107,176
Will Clark,2107,177
Tommy Leach,2102,178
Paul Goldschmidt,2101,179
Ruben Sierra,2100,180
Pee Wee Reese,2097,181
Ryne Sandberg,2097,182
Johnny Mize,2096,183
Barry Larkin,2091,184
Bob Elliott,2089,185
Willie Davis,2088,186
Ichiro Suzuki,2083,187
Mike Griffin,2082,188
Johnny Bench,2078,189
Jimmy Dykes,2071,190
Chuck Klein,2069,191
Dale Murphy,2065,192
Moises Alou,2064,193
Matt Holliday,2061,194
Andruw Jones,2059,195
Andrew McCutchen,2059,196
Mike Tiernan,2058,197
Jim Edmonds,2057,198
Buddy Bell,2056,199
Bobby Veach,2055,200
Jimmy Sheckard,2053,201
Alan Trammell,2049,202
Bobby Lowe,2044,203
Bill Terry,2044,204
Luis Aparicio,2043,205
Patsy Donovan,2038,206
Nellie Fox,2034,207
Keith Hernandez,2033,208
Ben Chapman,2031,209
Juan Gonzalez,2031,210
Paul O'Neill,2029,211
B.J. Surhoff,2027,212
Ozzie Smith,2022,213
Fred Pfeffer,2019,214
Magglio Ordonez,2018,215
Lance Berkman,2014,216
Arlie Latham,2014,217
Edd Roush,2012,218
Gil Hodges,2009,219
Arky Vaughan,2003,220
Tony Lazzeri,1999,221
Mark McGwire,1998,222
Hank Greenberg,1996,223
Billy Nash,1989,224
Mark Teixeira,1988,225
Brian Downing,1986,226
Buddy Myer,1986,227
Edgar Renteria,1983,228
Michael Young,1982,229
Del Ennis,1981,230
Nick Markakis,1976,231
Tommy Tucker,1974,232
Jimmy Collins,1973,233
Minnie Minoso,1973,234
Bobby Bonilla,1970,235
Ken Boyer,1963,236
Jack Glasscock,1961,237
Tony Phillips,1959,238
Joey Votto,1959,239
Jack Clark,1958,240
Raul Ibanez,1957,241
Mike Piazza,1956,242
Billy Herman,1955,243
Dixie Walker,1955,244
Nelson Cruz,1951,245
Bobby Bonds,1950,246
Kirby Puckett,1949,247
Jose Cruz,1948,248
Fred Tenney,1944,249
Buck Ewing,1941,250
Tino Martinez,1940,251
Cupid Childs,1937,252
Bill Dickey,1937,253
Edwin Encarnacion,1936,254
Ray Durham,1932,255
Joe Torre,1929,256
Vern Stephens,1928,257
Marquis Grissom,1927,258
Gary Carter,1926,259
Jack Doyle,1914,260
