Name,Runs,Rank
Rickey Henderson,2295,1
Ty Cobb,2245,2
Barry Bonds,2227,3
Hank Aaron,2174,4
Babe Ruth,2174,5
Pete Rose,2165,6
Willie Mays,2062,7
Alex Rodriguez,2021,8
Stan Musial,1949,9
Derek Jeter,1923,10
Albert Pujols,1914,11
Lou Gehrig,1888,12
Tris Speaker,1882,13
Mel Ott,1859,14
Craig Biggio,1844,15
Frank Robinson,1829,16
Eddie Collins,1821,17
Carl Yastrzemski,1816,18
Ted Williams,1798,19
Paul Molitor,1782,20
Charlie Gehringer,1774,21
Jimmie Foxx,1751,22
Honus Wagner,1736,23
Jesse Burkett,1720,24
Cap Anson,1719,25
Willie Keeler,1719,26
Billy Hamilton,1690,27
Bid McPhee,1678,28
Mickey Mantle,1677,29
Dave Winfield,1669,30
Johnny Damon,1668,31
Rafael Palmeiro,1663,32
Ken Griffey Jr.,1662,33
Joe Morgan,1650,34
Cal Ripken Jr.,1647,35
Jimmy Ryan,1642,36
George Van Haltren,1639,37
Gary Sheffield,1636,38
Robin Yount,1632,39
Eddie Murray,1627,40
Paul Waner,1627,41
Al Kaline,1622,42
Roger Connor,1620,43
Fred Clarke,1619,44
Chipper Jones,1619,45
Lou Brock,1610,46
Jake Beckley,1600,47
Ed Delahanty,1599,48
Bill Dahlen,1589,49
George Brett,1583,50
Jim Thome,1583,51
Carlos Beltran,1582,52
Rogers Hornsby,1579,53
Tim Raines,1571,54
Hugh Duffy,1552,55
Miguel Cabrera,1551,56
Reggie Jackson,1551,57
Max Carey,1545,58
Manny Ramirez,1544,59
George Davis,1539,60
Frankie Frisch,1532,61
Kenny Lofton,1528,62
Adrián Beltré,1524,63
Dan Brouthers,1523,64
Tom Brown,1521,65
Jeff Bagwell,1517,66
Sam Rice,1514,67
Wade Boggs,1513,68
Eddie Mathews,1509,69
Roberto Alomar,1508,70
Al Simmons,1507,71
Mike Schmidt,1506,72
Nap Lajoie,1504,73
Frank Thomas,1494,74
Harry Stovey,1492,75
Goose Goslin,1483,76
Arlie Latham,1478,77
Sammy Sosa,1475,78
Dwight Evans,1470,79
Herman Long,1455,80
Bobby Abreu,1453,81
Jim O'Rourke,1446,82
Omar Vizquel,1445,83
Steve Finley,1443,84
Harry Hooper,1429,85
Rod Carew,1424,86
Dummy Hoy,1424,87
Joe Kelley,1421,88
Jimmy Rollins,1421,89
Ichiro Suzuki,1420,90
David Ortiz,1419,91
Roberto Clemente,1416,92
Luis Gonzalez,1412,93
Billy Williams,1410,94
John Ward,1408,95
Mike Griffin,1405,96
Todd Helton,1401,97
Sam Crawford,1391,98
Joe DiMaggio,1390,99
Lou Whitaker,1386,100
Tony Gwynn,1383,101
Andre Dawson,1373,102
Vada Pinson,1366,103
Bernie Williams,1366,104
Brett Butler,1359,105
Doc Cramer,1357,106
King Kelly,1357,107
Tommy Leach,1355,108
Larry Walker,1355,109
Ivan Rodriguez,1354,110
Fred McGriff,1349,111
Darrell Evans,1344,112
Freddie Freeman,1338,113
Pee Wee Reese,1338,114
Luis Aparicio,1335,115
Lave Cross,1333,116
Barry Larkin,1329,117
Vladimir Guerrero,1328,118
George Gore,1327,119
Richie Ashburn,1322,120
Jeff Kent,1320,121
Luke Appling,1319,122
Patsy Donovan,1318,123
Ryne Sandberg,1318,124
Mike Tiernan,1313,125
Ernie Banks,1305,126
Kiki Cuyler,1305,127
Tony Phillips,1300,128
Harold Baines,1299,129
Torii Hunter,1296,130
Jimmy Sheckard,1296,131
Harry Heilmann,1291,132
Zack Wheat,1289,133
Heinie Manush,1287,134
Julio Franco,1285,135
George Sisler,1284,136
Harmon Killebrew,1283,137
Donie Bush,1280,138
Nellie Fox,1279,139
Fred Tenney,1278,140
Carlton Fisk,1276,141
Dave Parker,1272,142
Tony Perez,1272,143
Andrew McCutchen,1263,144
Robinson Cano,1262,145
Duke Snider,1259,146
Bobby Bonds,1258,147
Ozzie Smith,1257,148
Sam Thompson,1256,149
Rabbit Maranville,1255,150
Ellis Burks,1253,151
Paul Goldschmidt,1252,152
Jim Edmonds,1251,153
Ray Durham,1249,154
Jim Rice,1249,155
Enos Slaughter,1247,156
Ian Kinsler,1243,157
Carlos Delgado,1241,158
Chili Davis,1240,159
Stan Hack,1239,160
Bob Johnson,1239,161
Willie Randolph,1239,162
Don Baylor,1236,163
Joe Kuhel,1236,164
Joe Cronin,1233,165
Brooks Robinson,1232,166
Alan Trammell,1231,167
Miguel Tejada,1230,168
Willie McCovey,1229,169
Jason Giambi,1227,170
Ed McKean,1227,171
Earl Averill,1224,172
Red Schoendienst,1223,173
Edgar Martinez,1219,174
Willie Davis,1217,175
Curtis Granderson,1217,176
Eddie Yost,1215,177
Cupid Childs,1214,178
Scott Rolen,1211,179
Andruw Jones,1204,180
Lloyd Waner,1201,181
Edgar Renteria,1200,182
Joe Medwick,1198,183
Dale Murphy,1197,184
Mickey Vernon,1196,185
Andres Galarraga,1195,186
Willie Stargell,1195,187
Graig Nettles,1193,188
Jose Altuve,1192,189
Al Oliver,1189,190
Rusty Staub,1189,191
George Burns,1188,192
Brian Downing,1188,193
Marquis Grissom,1187,194
Jose Canseco,1186,195
Will Clark,1186,196
Earle Combs,1186,197
Tommy Corcoran,1184,198
Joe Judge,1184,199
Pie Traynor,1183,200
Bert Campaneris,1181,201
Fielder Jones,1180,202
Jose Reyes,1180,203
Mark Grace,1179,204
Jim Bottomley,1177,205
Yogi Berra,1175,206
Buddy Myer,1174,207
Arky Vaughan,1173,208
Joey Votto,1171,209
Joe Carter,1170,210
Willie Wilson,1169,211
Chuck Klein,1168,212
Mark McGwire,1167,213
Jim Gilliam,1163,214
Jack Glasscock,1163,215
Billy Herman,1163,216
Paul Konerko,1162,217
Matt Holliday,1157,218
Alfonso Soriano,1152,219
Buddy Bell,1151,220
Lu Blue,1151,221
Lance Berkman,1146,222
Mike Trout,1146,223
Ben Chapman,1144,224
Steve Garvey,1143,225
Joe Sewell,1141,226
John Olerud,1139,227
Ron Santo,1138,228
Michael Young,1137,229
Minnie Minoso,1136,230
Chuck Knoblauch,1132,231
Orlando Cepeda,1131,232
Bobby Lowe,1131,233
Dick Bartell,1130,234
Gary Gaetti,1130,235
Buck Ewing,1129,236
Shawn Green,1129,237
Ken Griffey,1129,238
Carlos Lee,1125,239
Devon White,1125,240
Keith Hernandez,1124,241
Wally Moses,1124,242
Jay Bell,1123,243
Reggie Smith,1123,244
Mookie Betts,1121,245
Brian Giles,1121,246
Hardy Richardson,1120,247
Bill Terry,1120,248
Nick Markakis,1119,249
Jack Clark,1118,250
Johnny Mize,1118,251
Jake Daubert,1117,252
Toby Harrah,1115,253
Bryce Harper,1114,254
Sherry Magee,1112,255
Moises Alou,1109,256
Jimmy Dykes,1108,257
Gil Hodges,1105,258
Jimmy Wynn,1105,259
Ken Boyer,1104,260
Chase Utley,1103,261
Dick Allen,1099,262
Edwin Encarnacion,1099,263
Edd Roush,1099,264
Mark Teixeira,1099,265
Aramis Ramirez,1098,266
Adam Dunn,1097,267
Bobby Doerr,1094,268
Fred Pfeffer,1094,269
Amos Otis,1092,270
Carlos Santana,1092,271
Johnny Bench,1091,272
Nelson Cruz,1090,273
Garret Anderson,1084,274
Bobby Bonilla,1084,275
Cesar Cedeno,1084,276
Ruben Sierra,1084,277
Tommy Tucker,1084,278
Paul Hines,1083,279
Gary Matthews,1083,280
Derrek Lee,1081,281
Ryan Braun,1080,282
Ron Gant,1080,283
Bill Buckner,1077,284
Magglio Ordonez,1076,285
Juan Pierre,1075,286
Ted Simmons,1074,287
Billy Nash,1072,288
Kirby Puckett,1071,289
Harlond Clift,1070,290
Tommy McCarthy,1069,291
Maury Wills,1067,292
Mike Cameron,1064,293
Alvin Dark,1064,294
Bob Elliott,1064,295
Kip Selbach,1064,296
Rafael Furcal,1063,297
Fred Lynn,1063,298
Brady Anderson,1062,299
Charlie Jamieson,1062,300
B.J. Surhoff,1062,301
Juan Gonzalez,1061,302
Elvis Andrus,1058,303
Justin Upton,1058,304
Tony Fernandez,1057,305
Bobby Wallace,1057,306
Jimmy Collins,1055,307
Raul Ibanez,1055,308
Hank Greenberg,1051,309
Hanley Ramirez,1049,310
Dave Bancroft,1048,311
Mike Piazza,1048,312
Norm Cash,1046,313
Dom DiMaggio,1046,314
Manny Machado,1042,315
Mickey Cochrane,1041,316
Paul O'Neill,1041,317
Reggie Sanders,1037,318
Dixie Walker,1037,319
Jose Cruz,1036,320
Bobby Grich,1033,321
Jason Kendall,1030,322
Gary Carter,1025,323
Tom Daly,1024,324
John McGraw,1024,325
Cy Williams,1024,326
Davey Lopes,1023,327
Jose Bautista,1022,328
Kid Gleason,1020,329
Joe Mauer,1018,330
Evan Longoria,1017,331
Greg Vaughn,1017,332
Cecil Cooper,1012,333
Roy Thomas,1011,334
Willie McGee,1010,335
Placido Polanco,1009,336
Tino Martinez,1008,337
Marty McManus,1008,338
Carney Lansford,1007,339
Don Mattingly,1007,340
Frankie Crosetti,1006,341
Roger Peckinpaugh,1006,342
Robin Ventura,1006,343
Brandon Phillips,1005,344
Tony Taylor,1005,345
Augie Galan,1004,346
Clyde Milan,1004,347
Luis Castillo,1001,348
Harry Davis,1001,349
Vern Stephens,1001,350
Carl Crawford,998,351
Adrian Gonzalez,997,352
Matt Williams,997,353
Charlie Blackmon,996,354
Joe Torre,996,355
Eric Young,996,356
Charlie Comiskey,994,357
Hughie Jennings,994,358
Dave Concepcion,993,359
Billy Shindle,992,360
Phil Cavarretta,990,361
Larry Bowa,987,362
George Foster,986,363
Tony Lazzeri,986,364
Tim Salmon,986,365
Todd Zeile,986,366
Felipe Alou,985,367
Orlando Cabrera,985,368
Del Ennis,985,369
Kirk Gibson,985,370
Ken Singleton,985,371
Jermaine Dye,984,372
Sal Bando,982,373
Christian Yelich,982,374
Nolan Arenado,980,375
Hal Chase,980,376
Ron Cey,977,377
Albert Belle,974,378
Wally Pipp,974,379
Wally Joyner,973,380
Chet Lemon,973,381
Tommy Harper,972,382
Ed Konetchy,972,383
Bobby Murcer,972,384
Rocky Colavito,971,385
Jack Doyle,971,386
Ralph Kiner,971,387
Ray Lankford,968,388
Max Bishop,966,389
George Wood,965,390
Dusty Baker,964,391
Roy White,964,392
Adam Jones,963,393
Ryan Zimmerman,963,394
Shin-Soo Choo,961,395
Larry Doby,960,396
Larry Doyle,960,397
Lee May,959,398
George Scott,957,399
Ginger Beaumont,955,400
Pete Browning,954,401
Gee Walker,954,402
Bobby Veach,953,403
Harvey Kuenn,951,404
Elmer Flick,950,405
Matt Kemp,950,406
Rick Monday,950,407
David Wright,949,408
Miller Huggins,948,409
Jackie Robinson,947,410
Mark Grudzielanek,946,411
Bing Miller,946,412
Paul Radford,945,413
Roy Sievers,945,414
J.D. Drew,944,415
Brett Gardner,943,416
Francisco Lindor,943,417
Mark McLemore,943,418
Red Rolfe,942,419
George Hendrick,941,420
José Ramírez,941,421
Hal McRae,940,422
Eric Davis,938,423
Bill Bruton,937,424
Bill Hallman,937,425
Dolph Camilli,936,426
Jose Cardenal,936,427
Jack Tobin,936,428
Royce Clayton,935,429
Marcus Semien,935,430
Dante Bichette,934,431
Sam West,934,432
Denny Lyons,932,433
Ron Fairly,931,434
Bill Dickey,930,435
Ned Hanlon,930,436
Pinky Higgins,930,437
Vernon Wells,930,438
David Justice,929,439
Bret Boone,927,440
Nomar Garciaparra,927,441
Johnny Callison,926,442
Claudell Washington,926,443
Henry Larkin,925,444
Dustin Pedroia,922,445
Anthony Rizzo,922,446
Bill Madlock,920,447
Johnny Evers,919,448
Xander Bogaerts,918,449
Heinie Groh,918,450
Jeromy Burnitz,917,451
Curt Welch,915,452
Joe Gordon,914,453
Victor Martinez,914,454
Darin Erstad,913,455
Steve Sax,913,456
George Springer,913,457
Chris Chambliss,912,458
George Grantham,912,459
Elmer Smith,912,460
Frank White,912,461
Raul Mondesi,909,462
Lonnie Smith,909,463
Charlie Grimm,908,464
Tim Wallach,908,465
Germany Smith,907,466
Giancarlo Stanton,907,467
Frank Schulte,906,468
Tommy Dowd,903,469
Kent Hrbek,903,470
Bobby Thomson,903,471
Vinny Castilla,902,472
George Burns,901,473
Tommy Henrich,901,474
Dave Kingman,901,475
Jorge Posada,900,476
Don Kessinger,899,477
John Reilly,898,478
Darryl Strawberry,898,479
J.D. Martinez,897,480
Melky Cabrera,895,481
Pete Fox,895,482
Travis Fryman,895,483
Carl Furillo,895,484
Freddie Lindstrom,895,485
Ken Caminiti,894,486
Garry Templeton,893,487
DJ LeMahieu,892,488
Hunter Pence,891,489
Joe Quinn,891,490
Troy Glaus,889,491
Boog Powell,889,492
Dick McAuliffe,888,493
Home Run Baker,887,494
Steve Brodie,886,495
Asdrubal Cabrera,886,496
Alex Rios,885,497
Hack Wilson,884,498
Ben Zobrist,884,499
Ossie Bluege,883,500
Jayson Werth,883,501
Babe Herman,882,502
George Kell,881,503
Greg Luzinski,880,504
Tip O'Neill,880,505
Jason Heyward,879,506
Otis Nixon,878,507
Coco Crisp,877,508
Phil Rizzuto,877,509
Pete Runnels,876,510
Rudy York,876,511
Billy Werber,875,512
Eddie Joost,874,513
Ryan Klesko,874,514
George Pinkney,874,515
Willie Horton,873,516
Joe Jackson,873,517
Juan Samuel,873,518
Delino DeShields,872,519
Stuffy McInnis,872,520
Jose Valentin,872,521
John Anderson,870,522
Jeff Conine,870,523
Tony Oliva,870,524
Oyster Burns,869,525
Lloyd Moseby,869,526
Dode Paskert,868,527
Alex Gordon,867,528
Gabby Hartnett,867,529
Johnny Pesky,867,530
Vic Wertz,867,531
Larry Gardner,866,532
Gus Bell,865,533
Richie Hebner,865,534
Frank Howard,864,535
Randy Winn,863,536
Prince Fielder,862,537
Lou Boudreau,861,538
Mo Vaughn,861,539
Ken Williams,860,540
Starling Marte,859,541
Chick Stahl,858,542
Lance Parrish,856,543
Del Pratt,856,544
Shannon Stewart,853,545
Curt Flood,851,546
Terry Pendleton,851,547
Larry Parrish,850,548
Brian Roberts,850,549
Vince Coleman,849,550
Deacon White,849,551
Lonny Frey,848,552
Ryan Howard,848,553
Ted Kluszewski,848,554
Earl Torgeson,848,555
Duff Cooley,847,556
Sparky Adams,844,557
Jim Fregosi,844,558
Andy Pafko,844,559
Al Smith,843,560
Bill White,843,561
Dan McGann,842,562
Jhonny Peralta,841,563
Jose Offerman,840,564
Jay Bruce,839,565
Doggie Miller,839,566
Milt Stock,839,567
Bill Nicholson,837,568
Whitey Lockman,836,569
Hal Trosky,835,570
Andy Van Slyke,835,571
Cesar Tovar,834,572
Sam Wise,834,573
Hank Bauer,833,574
Travis Jackson,833,575
Hughie Critz,832,576
George McQuinn,832,577
Buddy Lewis,830,578
Trea Turner,830,579
Gene Woodling,830,580
Dick Groat,829,581
Duke Farrell,826,582
Topsy Hartsel,826,583
Roger Maris,826,584
Bob Meusel,826,585
Cliff Floyd,824,586
Joe Adcock,823,587
Jack Fournier,822,588
Carlos González,821,589
John Morrill,821,590
Bill Joyce,820,591
Lou Bierbauer,819,592
High Pockets Kelly,819,593
