Name,Sacrifice Flies,Rank
Eddie Murray,128,1
Cal Ripken Jr.,127,2
Albert Pujols,123,3
Robin Yount,123,4
Hank Aaron,121,5
Frank Thomas,121,6
George Brett,120,7
Ruben Sierra,120,8
Rafael Palmeiro,119,9
Rusty Staub,119,10
Andre Dawson,118,11
Don Baylor,115,12
Brooks Robinson,114,13
Alex Rodriguez,111,14
Gary Sheffield,111,15
Carlos Beltran,110,16
Paul Molitor,109,17
Mike Schmidt,108,18
Tony Perez,106,19
Joe Carter,105,20
Carl Yastrzemski,105,21
Gary Gaetti,104,22
Al Kaline,104,23
B.J. Surhoff,104,24
Adrián Beltré,103,25
Miguel Cabrera,103,26
Jeff Conine,103,27
Jeff Kent,103,28
Amos Otis,103,29
Jeff Bagwell,102,30
Ken Griffey Jr.,102,31
Frank Robinson,102,32
Will Clark,101,33
Ted Simmons,100,34
Harold Baines,99,35
Gary Carter,99,36
Mark Grace,99,37
Luis Gonzalez,98,38
Roberto Alomar,97,39
Bobby Bonilla,97,40
Bill Buckner,97,41
Evan Longoria,97,42
Ernie Banks,96,43
Wade Boggs,96,44
Willie Davis,96,45
Don Mattingly,96,46
Joe Morgan,96,47
John Olerud,96,48
Al Oliver,95,49
Dave Winfield,95,50
Chili Davis,94,51
Chipper Jones,94,52
Jim Rice,94,53
Ron Santo,94,54
Carlos Delgado,93,55
Jason Giambi,93,56
Carlos Lee,92,57
David Ortiz,92,58
Omar Vizquel,92,59
Barry Bonds,91,60
Wally Joyner,91,61
Willie Mays,91,62
Lou Whitaker,91,63
Johnny Bench,90,64
Orlando Cabrera,90,65
Darrell Evans,90,66
Steve Garvey,90,67
Graig Nettles,90,68
Paul O'Neill,90,69
Manny Ramirez,90,70
Scott Rolen,90,71
Garret Anderson,87,72
Dave Concepcion,86,73
George Hendrick,86,74
Paul Konerko,86,75
Fred Lynn,86,76
Victor Martinez,86,77
Dave Parker,86,78
Reggie Smith,86,79
Bobby Abreu,85,80
Dusty Baker,85,81
Tony Gwynn,85,82
Todd Helton,85,83
Hal McRae,85,84
Mike Lowell,84,85
George Bell,83,86
Jack Clark,83,87
Moises Alou,82,88
Ron Cey,82,89
Jose Cruz,82,90
Craig Biggio,81,91
Jose Canseco,81,92
Bobby Murcer,81,93
Aramis Ramirez,81,94
Todd Zeile,81,95
Buddy Bell,80,96
Julio Franco,80,97
Tino Martinez,80,98
Cecil Cooper,79,99
Carlton Fisk,79,100
Greg Luzinski,79,101
Pete Rose,79,102
Nolan Arenado,78,103
Albert Belle,78,104
Bob Boone,78,105
Travis Fryman,78,106
Juan Gonzalez,78,107
Mark McGwire,78,108
Vada Pinson,78,109
Sammy Sosa,78,110
Dwight Evans,77,111
Harmon Killebrew,77,112
Carney Lansford,77,113
Edgar Martinez,77,114
Tim Wallach,77,115
Luis Aparicio,76,116
Eric Karros,76,117
Tim Raines,76,118
Edgar Renteria,76,119
Ivan Rodriguez,76,120
Alan Trammell,76,121
Robin Ventura,76,122
Steve Finley,75,123
Dave Kingman,75,124
Yadier Molina,75,125
Willie Stargell,75,126
Orlando Cepeda,74,127
Andrew McCutchen,74,128
Justin Morneau,74,129
Jim Thome,74,130
Jimmy Wynn,74,131
Dante Bichette,73,132
Bret Boone,73,133
Adrian Gonzalez,73,134
Pedro Guerrero,73,135
Nick Markakis,73,136
Billy Williams,73,137
Tom Brunansky,72,138
Toby Harrah,72,139
Matt Kemp,72,140
Boog Powell,72,141
Chase Utley,72,142
Vinny Castilla,71,143
Cesar Cedeno,71,144
Johnny Damon,71,145
Keith Hernandez,71,146
Jeff King,71,147
Fred McGriff,71,148
Ryne Sandberg,71,149
Andre Thornton,71,150
Brian Downing,70,151
Brian Giles,70,152
Bill Mazeroski,70,153
Willie McCovey,70,154
Benito Santiago,70,155
Miguel Tejada,70,156
Frank Thomas,70,157
Bill Madlock,69,158
Ben Oglivie,69,159
Roy White,69,160
Ryan Zimmerman,69,161
Tommy Davis,68,162
Ray Durham,68,163
George Foster,68,164
Torii Hunter,68,165
Reggie Jackson,68,166
Andruw Jones,68,167
Pete O'Brien,68,168
Tim Salmon,68,169
Ken Caminiti,67,170
Mike Hargrove,67,171
Richie Hebner,67,172
Rickey Henderson,67,173
Barry Larkin,67,174
Jorge Orta,67,175
Terry Pendleton,67,176
Joe Randa,67,177
Ben Zobrist,67,178
Carlos Baerga,66,179
Roberto Clemente,66,180
Edwin Encarnacion,66,181
Kent Hrbek,66,182
Kevin McReynolds,66,183
Kurt Suzuki,66,184
Hubie Brooks,65,185
Dan Driessen,65,186
Jermaine Dye,65,187
Jim Edmonds,65,188
Ron Fairly,65,189
Kenny Lofton,65,190
Lee May,65,191
Denis Menke,65,192
Willie Montanez,65,193
Keith Moreland,65,194
Magglio Ordonez,65,195
Carlos Santana,65,196
Larry Walker,65,197
Bob Watson,65,198
Frank White,65,199
David Wright,65,200
Bobby Bonds,64,201
Melky Cabrera,64,202
Rod Carew,64,203
Doug DeCinces,64,204
Freddie Freeman,64,205
Vladimir Guerrero,64,206
Mark Loretta,64,207
Tim McCarver,64,208
Willie Randolph,64,209
J.T. Snow,64,210
Mark Teixeira,64,211
Bernie Williams,64,212
Michael Young,64,213
Ken Boyer,63,214
Jeff Burroughs,63,215
Nomar Garciaparra,63,216
Raul Ibanez,63,217
Jason Kendall,63,218
Bengie Molina,63,219
Jhonny Peralta,63,220
Tony Phillips,63,221
Darrell Porter,63,222
Ozzie Smith,63,223
Ellis Burks,62,224
Robinson Cano,62,225
Royce Clayton,62,226
Brandon Crawford,62,227
Marquis Grissom,62,228
Aubrey Huff,62,229
Manny Machado,62,230
Gary Matthews,62,231
Brandon Phillips,62,232
George Scott,62,233
Justin Turner,62,234
Matt Williams,62,235
Jose Cardenal,61,236
Tony Fernandez,61,237
Prince Fielder,61,238
Deron Johnson,61,239
Ray Knight,61,240
Francisco Lindor,61,241
J.D. Martinez,61,242
Lou Piniella,61,243
Alex Rios,61,244
Andy Van Slyke,61,245
Xander Bogaerts,60,246
Mike Cameron,60,247
Bert Campaneris,60,248
Rocky Colavito,60,249
Nelson Cruz,60,250
Ozzie Guillen,60,251
Garry Maddox,60,252
Joe Mauer,60,253
Dale Murphy,60,254
Ken Singleton,60,255
Eugenio Suárez,60,256
Jeff Cirillo,59,257
Phil Garner,59,258
Bryce Harper,59,259
Willie Horton,59,260
Ian Kinsler,59,261
Brian McCann,59,262
Dustin Pedroia,59,263
Cookie Rojas,59,264
Mike Sweeney,59,265
Justin Upton,59,266
Vernon Wells,59,267
Elvis Andrus,58,268
Jose Bautista,58,269
Jay Bell,58,270
Andres Galarraga,58,271
Derek Jeter,58,272
Ed Kranepool,58,273
Adam LaRoche,58,274
