Name,Secondary Average,Raw,Rank
Barry Bonds,0.606,0.60648,1
Babe Ruth,0.594,0.59388,2
Ted Williams,0.553,0.55256,3
Mark McGwire,0.539,0.53887,4
Aaron Judge,0.524,0.52364,5
Juan Soto,0.492,0.4917,6
Mike Trout,0.487,0.48718,7
Mickey Mantle,0.487,0.48679,8
Jim Thome,0.485,0.48504,9
Lou Gehrig,0.481,0.48094,10
Ralph Kiner,0.467,0.46724,11
Jimmie Foxx,0.464,0.46435,12
Hank Greenberg,0.462,0.46178,13
Frank Thomas,0.458,0.45835,14
Mike Schmidt,0.45,0.45007,15
Adam Dunn,0.45,0.44966,16
Charlie Keller,0.444,0.44406,17
Harmon Killebrew,0.444,0.44397,18
Jeff Bagwell,0.439,0.43914,19
Rickey Henderson,0.437,0.43737,20
Manny Ramirez,0.435,0.43498,21
Kyle Schwarber,0.435,0.43479,22
Lance Berkman,0.434,0.43429,23
Jason Giambi,0.429,0.42893,24
Bryce Harper,0.428,0.42834,25
Billy Hamilton,0.423,0.42262,26
Darryl Strawberry,0.42,0.4199,27
Carlos Delgado,0.419,0.4192,28
Mel Ott,0.419,0.41899,29
David Ortiz,0.419,0.41898,30
Joe Morgan,0.414,0.4136,31
Willie Mays,0.412,0.41191,32
Joey Votto,0.412,0.41189,33
Eddie Mathews,0.411,0.4108,34
Gene Tenace,0.41,0.41002,35
Willie McCovey,0.41,0.40954,36
Mickey Tettleton,0.409,0.40868,37
Larry Walker,0.407,0.40698,38
Eric Davis,0.406,0.40594,39
Alex Rodriguez,0.406,0.40592,40
Chipper Jones,0.406,0.40572,41
Jose Bautista,0.404,0.40373,42
Dolph Camilli,0.403,0.40295,43
Brian Giles,0.403,0.40279,44
John McGraw,0.401,0.40061,45
Giancarlo Stanton,0.4,0.4004,46
Ken Griffey Jr.,0.4,0.39965,47
Gary Sheffield,0.398,0.39839,48
Troy Glaus,0.398,0.39815,49
Frank Robinson,0.397,0.39746,50
Carlos Pena,0.397,0.39705,51
Dick Allen,0.396,0.39577,52
Jack Clark,0.396,0.3955,53
Russell Branyan,0.394,0.394,54
Jay Buhner,0.394,0.39398,55
Albert Belle,0.394,0.39364,56
Matt Olson,0.394,0.39355,57
Jose Canseco,0.393,0.3928,58
Todd Helton,0.391,0.39136,59
Jim Edmonds,0.391,0.39093,60
Bobby Abreu,0.39,0.38962,61
Pat Burrell,0.389,0.38942,62
Hack Wilson,0.389,0.38929,63
Jimmy Wynn,0.388,0.3884,64
J.D. Drew,0.388,0.38798,65
Johnny Mize,0.387,0.38693,66
Duke Snider,0.387,0.38668,67
Edgar Martinez,0.384,0.38444,68
Paul Goldschmidt,0.383,0.38301,69
David Justice,0.383,0.38276,70
Ryan Howard,0.382,0.38216,71
Bob Allison,0.381,0.38136,72
Tim Salmon,0.381,0.38086,73
Greg Vaughn,0.38,0.38047,74
Sammy Sosa,0.38,0.38035,75
Reggie Jackson,0.379,0.37895,76
Josh Donaldson,0.379,0.37893,77
Stan Musial,0.378,0.37824,78
Danny Tartabull,0.378,0.37797,79
Fred McGriff,0.378,0.37764,80
Hank Aaron,0.376,0.37642,81
Ryan Klesko,0.376,0.37605,82
Mark Teixeira,0.376,0.37601,83
Roy Cullenbine,0.376,0.37587,84
Mookie Betts,0.375,0.37502,85
Mike Napoli,0.374,0.37445,86
Norm Cash,0.374,0.37435,87
Bobby Bonds,0.374,0.37427,88
Albert Pujols,0.374,0.37422,89
Rob Deer,0.374,0.37387,90
Travis Hafner,0.374,0.37365,91
Ray Lankford,0.374,0.37359,92
Joe DiMaggio,0.373,0.37311,93
Jason Bay,0.373,0.37292,94
Gorman Thomas,0.372,0.37203,95
Larry Doby,0.372,0.37173,96
Edwin Encarnacion,0.371,0.37102,97
José Ramírez,0.371,0.37058,98
Prince Fielder,0.37,0.3697,99
Bob Johnson,0.37,0.36951,100
Al Rosen,0.369,0.36886,101
Howard Johnson,0.369,0.36862,102
Tommy Henrich,0.368,0.36802,103
Earl Torgeson,0.368,0.36788,104
Rocky Colavito,0.368,0.36752,105
Darren Daulton,0.366,0.36556,106
Andre Thornton,0.366,0.36553,107
Richie Sexson,0.365,0.36546,108
Willie Stargell,0.365,0.36533,109
Darrell Evans,0.365,0.36532,110
Carlos Santana,0.364,0.36392,111
Harry Stovey,0.364,0.3638,112
Mo Vaughn,0.364,0.36352,113
Bernie Carbo,0.363,0.36297,114
Gary Redus,0.363,0.36294,115
Rafael Palmeiro,0.361,0.36077,116
Joc Pederson,0.361,0.36072,117
Andruw Jones,0.361,0.36071,118
Cecil Fielder,0.361,0.36067,119
Josh Willingham,0.36,0.36043,120
Joe Ferguson,0.36,0.36021,121
Jeromy Burnitz,0.36,0.36007,122
Harlond Clift,0.36,0.36003,123
Reggie Sanders,0.359,0.35876,124
Curtis Granderson,0.359,0.35862,125
Alex Bregman,0.356,0.35599,126
Tim Raines,0.356,0.35595,127
Dwight Evans,0.355,0.35505,128
Kirk Gibson,0.355,0.35478,129
Kevin Mitchell,0.355,0.35462,130
Jorge Posada,0.354,0.3544,131
Yasmani Grandal,0.354,0.35379,132
Cody Bellinger,0.354,0.35356,133
Gavvy Cravath,0.353,0.35333,134
Mike Cameron,0.353,0.35327,135
Matt Stairs,0.353,0.35319,136
José Cruz,0.353,0.35309,137
Ron Gant,0.353,0.35292,138
Mike Tiernan,0.353,0.35291,139
Freddie Freeman,0.353,0.35276,140
Roy Campanella,0.353,0.35268,141
Mark Reynolds,0.353,0.35254,142
Gil Hodges,0.352,0.3522,143
Ian Happ,0.352,0.3521,144
Matt Carpenter,0.351,0.35132,145
Max Bishop,0.35,0.35047,146
Brady Anderson,0.35,0.35036,147
Nick Swisher,0.35,0.34997,148
Rogers Hornsby,0.349,0.34944,149
Don Mincher,0.349,0.34923,150
Brandon Belt,0.348,0.34849,151
