Name,Slugging Average,Raw,Rank
Babe Ruth,0.69,0.68972,1
Ted Williams,0.634,0.63379,2
Lou Gehrig,0.632,0.63242,3
Aaron Judge,0.614,0.61351,4
Jimmie Foxx,0.609,0.60929,5
Barry Bonds,0.607,0.60689,6
Hank Greenberg,0.605,0.60505,7
Mark McGwire,0.588,0.58817,8
Manny Ramirez,0.585,0.5854,9
Joe DiMaggio,0.579,0.5788,10
Rogers Hornsby,0.577,0.57653,11
Mike Trout,0.576,0.57637,12
Larry Walker,0.565,0.56522,13
Albert Belle,0.564,0.56381,14
Johnny Mize,0.562,0.56201,15
Juan Gonzalez,0.561,0.56071,16
Stan Musial,0.559,0.55906,17
Willie Mays,0.557,0.55749,18
Mickey Mantle,0.557,0.55678,19
Frank Thomas,0.555,0.55495,20
Hank Aaron,0.555,0.55451,21
Jim Thome,0.554,0.55414,22
Vladimir Guerrero,0.553,0.55254,23
David Ortiz,0.551,0.5515,24
Alex Rodriguez,0.55,0.55016,25
Ralph Kiner,0.548,0.54793,26
Carlos Delgado,0.546,0.54593,27
Mike Piazza,0.545,0.54522,28
Hack Wilson,0.545,0.54475,29
Albert Pujols,0.544,0.54382,30
Chuck Klein,0.543,0.54302,31
Jeff Bagwell,0.54,0.54034,32
Duke Snider,0.54,0.53973,33
Todd Helton,0.539,0.53906,34
Ken Griffey Jr.,0.538,0.5378,35
Frank Robinson,0.537,0.53698,36
Lance Berkman,0.537,0.5369,37
Al Simmons,0.535,0.53488,38
Sammy Sosa,0.534,0.53376,39
Dick Allen,0.534,0.53364,40
Earl Averill,0.534,0.53361,41
Mel Ott,0.533,0.5331,42
Ryan Braun,0.532,0.53232,43
Babe Herman,0.532,0.53186,44
Ken Williams,0.53,0.53044,45
Chipper Jones,0.529,0.52927,46
Willie Stargell,0.529,0.52857,47
Juan Soto,0.528,0.52827,48
Mike Schmidt,0.527,0.5273,49
Jim Edmonds,0.527,0.52712,50
Chick Hafey,0.526,0.52605,51
Giancarlo Stanton,0.525,0.52482,52
Mo Vaughn,0.523,0.52314,53
Wally Berger,0.522,0.5216,54
Hal Trosky,0.522,0.5216,55
Nomar Garciaparra,0.521,0.52059,56
Harry Heilmann,0.52,0.52048,57
Kevin Mitchell,0.52,0.51984,58
Bryce Harper,0.519,0.51895,59
Miguel Cabrera,0.518,0.51835,60
Charlie Keller,0.518,0.51768,61
Joe Jackson,0.517,0.51737,62
Mookie Betts,0.517,0.51724,63
Jason Giambi,0.516,0.51644,64
Josh Hamilton,0.516,0.51573,65
Moises Alou,0.516,0.5157,66
J.D. Martinez,0.516,0.5156,67
Edgar Martinez,0.515,0.51546,68
Ryan Howard,0.515,0.51516,69
Willie McCovey,0.515,0.5147,70
Jose Canseco,0.515,0.51452,71
Rafael Palmeiro,0.515,0.51451,72
Dan Brouthers,0.514,0.51401,73
Gary Sheffield,0.514,0.51394,74
Nelson Cruz,0.513,0.51286,75
Ty Cobb,0.512,0.51198,76
Freddie Freeman,0.512,0.51185,77
Joey Votto,0.511,0.51103,78
Nolan Arenado,0.511,0.51085,79
Ellis Burks,0.51,0.51037,80
Matt Holliday,0.51,0.5102,81
Eddie Mathews,0.509,0.50943,82
Rafael Devers,0.509,0.5094,83
Mark Teixeira,0.509,0.50937,84
Matt Olson,0.509,0.50915,85
Fred McGriff,0.509,0.50908,86
Jeff Heath,0.509,0.50881,87
Harmon Killebrew,0.509,0.50853,88
Paul Goldschmidt,0.508,0.50811,89
Richie Sexson,0.507,0.5069,90
Corey Seager,0.506,0.5064,91
Bob Johnson,0.506,0.50592,92
Bill Terry,0.506,0.50591,93
Prince Fielder,0.506,0.50558,94
Darryl Strawberry,0.505,0.50535,95
Ed Delahanty,0.505,0.50513,96
José Ramírez,0.505,0.50495,97
Joe Medwick,0.505,0.50452,98
Magglio Ordonez,0.502,0.50244,99
Brian Giles,0.502,0.50237,100
Sam Thompson,0.502,0.50202,101
Jim Rice,0.502,0.50201,102
Tris Speaker,0.5,0.50034,103
David Justice,0.5,0.50027,104
Ryan Klesko,0.5,0.50027,105
Jim Bottomley,0.5,0.5002,106
Carlos González,0.5,0.4999,107
Alfonso Soriano,0.5,0.49987,108
Goose Goslin,0.5,0.49965,109
Jeff Kent,0.5,0.49965,110
Roy Campanella,0.5,0.49964,111
Ernie Banks,0.5,0.49952,112
Orlando Cepeda,0.499,0.49943,113
Bob Horner,0.499,0.49934,114
Dante Bichette,0.499,0.49882,115
Andres Galarraga,0.499,0.49876,116
Frank Howard,0.499,0.49861,117
Tim Salmon,0.498,0.49848,118
Travis Hafner,0.498,0.49803,119
Ted Kluszewski,0.498,0.49772,120
Bob Meusel,0.497,0.49662,121
Will Clark,0.497,0.49658,122
Edwin Encarnacion,0.496,0.49631,123
Hank Sauer,0.496,0.49625,124
Danny Tartabull,0.496,0.49591,125
Al Rosen,0.495,0.49503,126
Troy Tulowitzki,0.495,0.495,127
Derrek Lee,0.495,0.49469,128
Shawn Green,0.494,0.49449,129
Kyle Schwarber,0.494,0.49396,130
Jay Buhner,0.494,0.49352,131
Aramis Ramirez,0.492,0.49213,132
Billy Williams,0.492,0.49187,133
Ripper Collins,0.492,0.49181,134
Dolph Camilli,0.492,0.49169,135
Tommy Henrich,0.491,0.4912,136
Javy Lopez,0.491,0.49107,137
David Wright,0.491,0.491,138
Scott Rolen,0.49,0.4904,139
Larry Doby,0.49,0.49009,140
Reggie Jackson,0.49,0.49006,141
Geoff Jenkins,0.49,0.49,142
Adam Dunn,0.49,0.48976,143
J.D. Drew,0.489,0.48946,144
Troy Glaus,0.489,0.48946,145
Josh Donaldson,0.489,0.48945,146
Dick Stuart,0.489,0.48937,147
Reggie Smith,0.489,0.48898,148
