Name,Percent,Raw,Rank
Joe Sewell,1.6,1.5984,1
Lloyd Waner,2.2,2.2259,2
Nellie Fox,2.3,2.3397,3
Tommy Holmes,2.4,2.4439,4
Andy High,3.0,2.9545,5
Sam Rice,3.0,2.9669,6
Frankie Frisch,3.0,2.9851,7
Dale Mitchell,3.0,2.9869,8
Frank McCormick,3.3,3.3025,9
Don Mueller,3.3,3.3456,10
Billy Southworth,3.4,3.3953,11
Rip Radcliff,3.5,3.461,12
Edd Roush,3.5,3.5312,13
Pie Traynor,3.7,3.6777,14
Doc Cramer,3.8,3.7746,15
Carson Bigbee,3.8,3.8406,16
George Sisler,4.0,3.9555,17
Paul Waner,4.0,3.975,18
Sparky Adams,4.0,4.013,19
Lou Finney,4.0,4.0164,20
Irish Meusel,4.1,4.0612,21
Red Schoendienst,4.1,4.0807,22
Vic Power,4.1,4.0853,23
Arky Vaughan,4.2,4.1679,24
Felix Millan,4.2,4.1789,25
Mickey Cochrane,4.2,4.1981,26
Charlie Gehringer,4.2,4.1986,27
George Kell,4.3,4.2823,28
Jack Tobin,4.3,4.3246,29
Taffy Wright,4.3,4.326,30
Hughie Critz,4.3,4.3339,31
Mark Koenig,4.4,4.4486,32
Ernie Lombardi,4.5,4.4748,33
Heinie Manush,4.5,4.5074,34
Bobby Richardson,4.5,4.5117,35
Jo-Jo Moore,4.6,4.5513,36
Earl Sheely,4.6,4.5851,37
Bill Dickey,4.6,4.5873,38
Johnny Pesky,4.6,4.5943,39
Rick Ferrell,4.6,4.5952,40
Glenn Beckert,4.7,4.6659,41
Tony Gwynn,4.7,4.6727,42
Dick Siebert,4.7,4.723,43
Eddie Waitkus,4.8,4.7955,44
Max Flack,4.8,4.8172,45
Bill Buckner,4.8,4.8207,46
Dixie Walker,4.8,4.822,47
Everett Scott,4.8,4.8312,48
Earle Combs,4.8,4.8381,49
Freddie Lindstrom,4.9,4.9189,50
Mickey Owen,5.0,4.9603,51
Joe Vosmik,5.0,4.9708,52
Lou Boudreau,5.1,5.1252,53
