Name,Strikeouts,Rank
Reggie Jackson,2597,1
Jim Thome,2548,2
Adam Dunn,2379,3
Sammy Sosa,2306,4
Alex Rodriguez,2287,5
Miguel Cabrera,2105,6
Andres Galarraga,2003,7
Justin Upton,1971,8
Giancarlo Stanton,1969,9
Jose Canseco,1942,10
Willie Stargell,1936,11
Paul Goldschmidt,1933,12
Mark Reynolds,1927,13
Nelson Cruz,1916,14
Curtis Granderson,1916,15
Mike Cameron,1901,16
Mike Schmidt,1883,17
Fred McGriff,1882,18
Tony Perez,1867,19
Chris Davis,1852,20
Ryan Howard,1843,21
Bobby Abreu,1840,22
Derek Jeter,1840,23
Andrew McCutchen,1831,24
Dave Kingman,1816,25
Manny Ramirez,1813,26
Alfonso Soriano,1803,27
Carlos Beltran,1795,28
Ken Griffey Jr.,1779,29
Bobby Bonds,1757,30
Craig Biggio,1753,31
David Ortiz,1750,32
Andruw Jones,1748,33
Dale Murphy,1748,34
Carlos Delgado,1745,35
Torii Hunter,1741,36
Adrián Beltré,1732,37
Lou Brock,1730,38
Jim Edmonds,1729,39
J.D. Martinez,1714,40
Mickey Mantle,1710,41
Eugenio Suárez,1700,42
Harmon Killebrew,1699,43
Chili Davis,1698,44
Dwight Evans,1697,45
Evan Longoria,1696,46
Rickey Henderson,1694,47
Freddie Freeman,1692,48
Dave Winfield,1686,49
Matt Kemp,1641,50
Joey Votto,1640,51
Derrek Lee,1622,52
Reggie Sanders,1614,53
Gary Gaetti,1602,54
Mark McGwire,1596,55
Bryce Harper,1580,56
Shin-Soo Choo,1579,57
Carlos Pena,1577,58
Jay Bruce,1572,59
Jason Giambi,1572,60
Lee May,1570,61
Pat Burrell,1564,62
B.J. Upton,1561,63
Jeff Bagwell,1558,64
Dick Allen,1556,65
Ray Lankford,1550,66
Willie McCovey,1550,67
Mike Trout,1545,68
Nick Castellanos,1543,69
Barry Bonds,1539,70
Dave Parker,1537,71
Alex Gordon,1535,72
Frank Robinson,1532,73
Lance Parrish,1527,74
Willie Mays,1526,75
Devon White,1526,76
Jeff Kent,1522,77
Eddie Murray,1516,78
Rick Monday,1513,79
Greg Vaughn,1513,80
Andre Dawson,1509,81
Carlos Santana,1500,82
Tony Phillips,1499,83
Greg Luzinski,1495,84
Eddie Mathews,1487,85
Ivan Rodriguez,1474,86
Mike Napoli,1468,87
Christian Yelich,1465,88
Frank Howard,1460,89
Jorge Posada,1453,90
Jhonny Peralta,1450,91
Jayson Werth,1450,92
Jay Bell,1443,93
Juan Samuel,1442,94
Harold Baines,1441,95
Jack Clark,1441,96
Mark Teixeira,1441,97
Mo Vaughn,1429,98
Jimmy Wynn,1427,99
Edwin Encarnacion,1426,100
Jim Rice,1423,101
George Foster,1419,102
Marcell Ozuna,1418,103
Kyle Schwarber,1418,104
George Scott,1418,105
Royce Clayton,1415,106
Ron Gant,1411,107
Darrell Evans,1410,108
Scott Rolen,1410,109
Rob Deer,1409,110
Chipper Jones,1409,111
Adam LaRoche,1407,112
Jay Buhner,1406,113
Albert Pujols,1404,114
Ian Desmond,1402,115
Adrian Gonzalez,1401,116
Eric Davis,1398,117
Frank Thomas,1397,118
Adam Jones,1395,119
Jose Bautista,1394,120
Carl Yastrzemski,1393,121
Jose Hernandez,1391,122
Paul Konerko,1391,123
Joe Carter,1387,124
Carlton Fisk,1386,125
Ryan Zimmerman,1384,126
Hank Aaron,1383,127
Troy Glaus,1377,128
Jeromy Burnitz,1376,129
Raul Ibanez,1374,130
Nick Swisher,1373,131
Travis Fryman,1369,132
Ryan Braun,1363,133
Matt Williams,1363,134
Matt Holliday,1362,135
Danny Tartabull,1362,136
Tim Salmon,1360,137
Larry Parrish,1359,138
Manny Machado,1355,139
Darryl Strawberry,1352,140
Robin Yount,1350,141
Rafael Palmeiro,1348,142
Brandon Belt,1346,143
Javier Báez,1345,144
Ron Santo,1343,145
Julio Franco,1341,146
Dan Uggla,1341,147
Ellis Burks,1340,148
Gorman Thomas,1339,149
Hunter Pence,1335,150
Dean Palmer,1332,151
Asdrubal Cabrera,1330,152
Babe Ruth,1330,153
Dexter Fowler,1326,154
Deron Johnson,1318,155
Cecil Fielder,1316,156
Shawn Green,1315,157
Willie Horton,1313,158
Richie Sexson,1313,159
Jimmie Foxx,1311,160
Jermaine Dye,1308,161
Mickey Tettleton,1307,162
Tim Wallach,1307,163
Brandon Inge,1306,164
Cal Ripken Jr.,1305,165
Lance Berkman,1300,166
Steve Finley,1299,167
Chase Headley,1298,168
Aaron Judge,1297,169
Bret Boone,1295,170
Brandon Crawford,1294,171
Jose Valentin,1294,172
Joey Gallo,1292,173
David Wright,1292,174
Kirk Gibson,1285,175
Todd Zeile,1279,176
Johnny Bench,1278,177
Bobby Grich,1278,178
Pete Incaviglia,1277,179
Juan Gonzalez,1273,180
Benito Santiago,1270,181
Marcus Semien,1269,182
George Springer,1266,183
Claudell Washington,1266,184
Jimmy Rollins,1264,185
Ryne Sandberg,1260,186
Carlos Gómez,1259,187
Johnny Damon,1257,188
José Abreu,1246,189
Ken Singleton,1246,190
Brett Gardner,1245,191
Paul Molitor,1244,192
Salvador Perez,1243,193
Carlos González,1240,194
Marquis Grissom,1240,195
Ruben Sierra,1239,196
Jason Heyward,1238,197
Willie McGee,1238,198
Aramis Ramirez,1238,199
Duke Snider,1237,200
Ernie Banks,1236,201
Ron Cey,1235,202
Eric Hosmer,1235,203
Michael Young,1235,204
Jesse Barfield,1234,205
Marlon Byrd,1234,206
Hanley Ramirez,1234,207
Larry Walker,1231,208
Roberto Clemente,1230,209
Nick Markakis,1230,210
Rickie Weeks,1230,211
Xander Bogaerts,1228,212
Starling Marte,1226,213
Boog Powell,1226,214
Matt Carpenter,1225,215
Garret Anderson,1224,216
Juan Uribe,1224,217
Josh Donaldson,1221,218
Luis Gonzalez,1218,219
Jason Bay,1216,220
Jason Varitek,1216,221
Robinson Cano,1214,222
Bernie Williams,1212,223
Russell Martin,1211,224
Tony Clark,1209,225
Graig Nettles,1209,226
Anthony Rizzo,1208,227
Elvis Andrus,1206,228
Bobby Bonilla,1204,229
Teoscar Hernández,1204,230
Dansby Swanson,1204,231
Edgar Martinez,1202,232
Tony Armas,1201,233
Ray Durham,1201,234
Matt Chapman,1199,235
Vada Pinson,1196,236
Chase Utley,1193,237
Chris Young,1192,238
Brady Anderson,1190,239
Will Clark,1190,240
Tom Brunansky,1187,241
Dave Concepcion,1186,242
Geoff Jenkins,1186,243
Edgar Renteria,1182,244
Robin Ventura,1179,245
Todd Helton,1175,246
Gary Sheffield,1171,247
Orlando Cepeda,1169,248
Wil Myers,1169,249
Trevor Story,1169,250
Jeff Conine,1168,251
Alex Gonzalez,1168,252
Eric Karros,1167,253
Paul O'Neill,1166,254
Alex Gonzalez,1165,255
Ken Caminiti,1163,256
Randal Grichuk,1158,257
Prince Fielder,1155,258
José Cruz,1147,259
Jorge Soler,1147,260
Kelly Johnson,1145,261
Willie Wilson,1144,262
Pete Rose,1143,263
Charlie Blackmon,1142,264
Bert Campaneris,1142,265
J.T. Snow,1142,266
Roberto Alomar,1140,267
Donn Clendenon,1140,268
J.D. Drew,1137,269
Gil Hodges,1137,270
Matt Olson,1137,271
Jeff Burroughs,1135,272
Leo Cardenas,1135,273
Lloyd Moseby,1135,274
Raul Mondesi,1130,275
Chris Taylor,1129,276
Brian Downing,1127,277
Bob Bailey,1126,278
Kole Calhoun,1126,279
Gary Matthews,1125,280
Michael Bourn,1124,281
Yasmani Grandal,1124,282
Justin Smoak,1122,283
Matt Stairs,1122,284
Greg Gagne,1121,285
Austin Jackson,1120,286
Kyle Seager,1120,287
Russell Branyan,1118,288
Alex Rios,1117,289
Fred Lynn,1116,290
Mike Piazza,1113,291
J.T. Realmuto,1110,292
Michael Taylor,1110,293
Lyle Overbay,1108,294
Colby Rasmus,1106,295
Dave Henderson,1105,296
Starlin Castro,1103,297
Jose Guillen,1103,298
Howie Kendrick,1102,299
Michael Cuddyer,1101,300
Lou Whitaker,1099,301
Jim Fregosi,1097,302
Mark Trumbo,1097,303
Ian Happ,1096,304
Joe Torre,1094,305
Brandon Phillips,1092,306
Garry Templeton,1092,307
Norm Cash,1091,308
Martín Maldonado,1090,309
Jonny Gomes,1088,310
Mike Zunino,1088,311
Omar Vizquel,1087,312
Todd Frazier,1085,313
Preston Wilson,1085,314
Tony Taylor,1083,315
Jose Altuve,1081,316
Jeff Francoeur,1080,317
Tommy Harper,1080,318
Ichiro Suzuki,1080,319
Eric Chavez,1079,320
Miguel Tejada,1079,321
Dante Bichette,1078,322
Ryan McMahon,1078,323
Miguel Sanó,1078,324
Nolan Arenado,1077,325
Ryan Klesko,1077,326
Tommy Pham,1075,327
Adam Duvall,1074,328
Don Baylor,1069,329
Vinny Castilla,1069,330
Tino Martinez,1069,331
Willy Adames,1068,332
Alex Avila,1068,333
Carl Crawford,1067,334
Jackie Bradley Jr.,1066,335
Kris Bryant,1064,336
Johnny Callison,1064,337
Cliff Floyd,1064,338
Andy Van Slyke,1063,339
Delino DeShields,1061,340
Miguel Olivo,1060,341
Joe Adcock,1059,342
Doug Rader,1055,343
Brian McCann,1054,344
Howard Johnson,1053,345
Francisco Lindor,1051,346
Joc Pederson,1048,347
Ian Kinsler,1046,348
Billy Williams,1046,349
Rougned Odor,1045,350
Jonathan Villar,1045,351
Eduardo Escobar,1043,352
Avisaíl García,1038,353
Casey Blake,1037,354
DJ LeMahieu,1036,355
Josh Willingham,1036,356
Frank White,1035,357
Brad Ausmus,1034,358
Joe Mauer,1034,359
Bob Allison,1033,360
Jose Cruz,1031,361
Reggie Smith,1030,362
Jonathan Schoop,1029,363
Rod Carew,1028,364
Darrell Porter,1025,365
Chris Iannetta,1024,366
Chet Lemon,1024,367
Carlos Correa,1023,368
Carl Everett,1021,369
Al Kaline,1020,370
Phil Nevin,1019,371
Ken Boyer,1017,372
Khris Davis,1017,373
Kenny Lofton,1016,374
John Olerud,1016,375
Joe Morgan,1015,376
Robbie Grossman,1014,377
George Hendrick,1013,378
Keith Hernandez,1012,379
Larry Doby,1011,380
Randy Winn,1010,381
Shohei Ohtani,1009,382
Amos Otis,1008,383
Hubie Brooks,1005,384
Steve Garvey,1003,385
Shawon Dunston,1000,386
Jeffrey Leonard,1000,387
David Justice,999,388
Gene Tenace,998,389
Gary Carter,997,390
Michael Conforto,997,391
Charles Johnson,997,392
Justin Turner,995,393
Ben Zobrist,994,394
Cory Snyder,992,395
Brooks Robinson,990,396
Todd Hundley,988,397
Justin Morneau,988,398
Chris Speier,988,399
Robby Thompson,987,400
Vladimir Guerrero,985,401
Carlos Lee,984,402
Jarrod Saltalamacchia,984,403
Mark McLemore,983,404
Tim Anderson,980,405
Terry Pendleton,979,406
Travis Hafner,978,407
Kendrys Morales,978,408
Willie Davis,977,409
Rafael Devers,977,410
Mitch Moreland,975,411
Trea Turner,975,412
David Freese,974,413
Dick McAuliffe,974,414
Brian Dozier,973,415
Drew Stubbs,972,416
Bill Hall,971,417
Jason Castro,970,418
Willson Contreras,969,419
Javy Lopez,969,420
Brandon Moss,968,421
Mike Moustakas,968,422
Tim Raines,966,423
Kirby Puckett,965,424
Jim Sundberg,963,425
Albert Belle,961,426
Dolph Camilli,961,427
Vince Coleman,960,428
J.J. Hardy,960,429
Michael Tucker,960,430
John Buck,959,431
Yan Gomes,958,432
Gary Pettis,958,433
Dick Stuart,957,434
Vernon Wells,956,435
Derek Bell,955,436
Mark Grudzielanek,954,437
Melvin Mora,953,438
Dwayne Murphy,953,439
Pedro Alvarez,952,440
Grady Sizemore,952,441
Chris Carter,951,442
Jason Kipnis,951,443
Yoán Moncada,950,444
Max Muncy,950,445
Eric Hinske,949,446
Jacque Jones,949,447
Brad Wilkerson,947,448
Adam Lind,945,449
Woodie Held,944,450
Danny Espinosa,943,451
Aurelio Rodriguez,943,452
Larry Hisle,941,453
Darin Erstad,939,454
Cesar Cedeno,938,455
Andre Ethier,938,456
Josh Hamilton,938,457
Terry Steinbach,938,458
Jeff Blauser,937,459
Damion Easley,935,460
Matt Joyce,935,461
Corey Patterson,933,462
Clete Boyer,931,463
Neil Walker,931,464
Paul DeJong,929,465
Mike Stanley,929,466
C.J. Cron,928,467
Bill White,927,468
Dusty Baker,926,469
Chris Chambliss,926,470
Stephen Drew,926,471
César Hernández,926,472
Rico Petrocelli,926,473
Hunter Renfroe,926,474
Josh Bell,925,475
Rondell White,925,476
Sal Bando,923,477
Yadier Molina,922,478
Cameron Maybin,921,479
Gerardo Parra,920,480
Roy Sievers,920,481
Eddie Yost,920,482
Tommie Agee,918,483
Charlie Hayes,918,484
Rhys Hoskins,916,485
Jose Offerman,914,486
Jose Reyes,914,487
Aaron Rowand,914,488
Mariano Duncan,913,489
Felipe Lopez,913,490
Cody Bellinger,912,491
Cecil Cooper,911,492
Rafael Furcal,910,493
Richie Zisk,910,494
George Brett,908,495
Kevin Kiermaier,908,496
Roy Smalley,908,497
Brett Butler,907,498
Aubrey Huff,907,499
Doug DeCinces,904,500
Nate Colbert,902,501
Troy Tulowitzki,900,502
