Name,Times on Base,Rank
Pete Rose,5929,1
Barry Bonds,5599,2
Ty Cobb,5532,3
Rickey Henderson,5343,4
Carl Yastrzemski,5304,5
Stan Musial,5282,6
Hank Aaron,5205,7
Tris Speaker,4998,8
Babe Ruth,4978,9
Eddie Collins,4890,10
Albert Pujols,4880,11
Willie Mays,4791,12
Derek Jeter,4717,13
Ted Williams,4714,14
Mel Ott,4648,15
Alex Rodriguez,4629,16
Eddie Murray,4606,17
Frank Robinson,4561,18
Honus Wagner,4517,19
Miguel Cabrera,4506,20
Craig Biggio,4505,21
Paul Molitor,4460,22
Rafael Palmeiro,4460,23
Wade Boggs,4445,24
Joe Morgan,4422,25
Cal Ripken Jr.,4379,26
Dave Winfield,4351,27
Al Kaline,4339,28
Gary Sheffield,4299,29
George Brett,4283,30
Paul Waner,4281,31
Lou Gehrig,4274,32
Chipper Jones,4256,33
Frank Thomas,4222,34
Ken Griffey Jr.,4174,35
Mickey Mantle,4161,36
Robin Yount,4156,37
Jim Thome,4144,38
Adrián Beltré,4111,39
Jimmie Foxx,4111,40
Rod Carew,4096,41
Charlie Gehringer,4075,42
Luke Appling,4062,43
Reggie Jackson,4055,44
Rusty Staub,4050,45
Rogers Hornsby,4016,46
Manny Ramirez,4012,47
Cap Anson,3995,48
Bobby Abreu,3979,49
Tim Raines,3977,50
Tony Gwynn,3955,51
Jesse Burkett,3954,52
Omar Vizquel,3954,53
Harold Baines,3942,54
Todd Helton,3911,55
Nap Lajoie,3902,56
Dwight Evans,3890,57
Darrell Evans,3863,58
Carlos Beltran,3860,59
Luis Gonzalez,3857,60
Jeff Bagwell,3843,61
Fred McGriff,3834,62
Lou Brock,3833,63
David Ortiz,3829,64
Johnny Damon,3822,65
Mike Schmidt,3820,66
Richie Ashburn,3815,67
Roberto Alomar,3806,68
Billy Williams,3799,69
Ichiro Suzuki,3791,70
Eddie Mathews,3785,71
Max Carey,3782,72
Brooks Robinson,3761,73
Sam Rice,3751,74
Sam Crawford,3744,75
Goose Goslin,3739,76
Jake Beckley,3729,77
Tony Perez,3700,78
Fred Clarke,3699,79
Harmon Killebrew,3693,80
Harry Hooper,3678,81
Bill Dahlen,3661,82
Roberto Clemente,3656,83
Frankie Frisch,3639,84
Willie McCovey,3625,85
Edgar Martinez,3619,86
Zack Wheat,3611,87
George Davis,3604,88
John Olerud,3602,89
Chili Davis,3589,90
Lou Whitaker,3586,91
Willie Keeler,3585,92
Joey Votto,3581,93
Eddie Yost,3576,94
Al Simmons,3572,95
Ozzie Smith,3565,96
Jason Giambi,3556,97
Harry Heilmann,3556,98
Mark Grace,3554,99
Brett Butler,3542,100
Julio Franco,3541,101
Nellie Fox,3524,102
Mickey Vernon,3499,103
Freddie Freeman,3495,104
Willie Randolph,3491,105
Rabbit Maranville,3483,106
Andre Dawson,3474,107
Andrew McCutchen,3455,108
Dave Parker,3451,109
Steve Finley,3445,110
George Van Haltren,3445,111
Bernie Williams,3444,112
Luis Aparicio,3440,113
Enos Slaughter,3438,114
Billy Hamilton,3434,115
Roger Connor,3432,116
Ed Delahanty,3431,117
Vladimir Guerrero,3430,118
Brian Downing,3425,119
Ernie Banks,3416,120
Ivan Rodriguez,3415,121
Pee Wee Reese,3406,122
Kenny Lofton,3405,123
Ron Santo,3400,124
Jimmy Ryan,3398,125
Sammy Sosa,3396,126
Buddy Bell,3388,127
Jeff Kent,3387,128
Vada Pinson,3385,129
Tony Phillips,3384,130
Joe Cronin,3378,131
Joe Judge,3368,132
Ted Simmons,3366,133
Paul Konerko,3365,134
Graig Nettles,3363,135
Al Oliver,3360,136
Carlton Fisk,3348,137
Robinson Cano,3344,138
Barry Larkin,3334,139
George Sisler,3332,140
Nick Markakis,3330,141
Jimmy Dykes,3329,142
Carlos Delgado,3319,143
Doc Cramer,3318,144
Bid McPhee,3318,145
Jimmy Sheckard,3311,146
Ken Singleton,3309,147
Stan Hack,3306,148
Jimmy Rollins,3306,149
Keith Hernandez,3284,150
Paul Goldschmidt,3263,151
Alan Trammell,3252,152
Willie Stargell,3247,153
Joe Kuhel,3231,154
Joe Kelley,3213,155
Larry Walker,3211,156
Torii Hunter,3210,157
Don Baylor,3207,158
Bill Buckner,3207,159
Joe Torre,3206,160
Carlos Santana,3202,161
Jim Rice,3186,162
Ryne Sandberg,3181,163
Dummy Hoy,3179,164
Lance Berkman,3172,165
Will Clark,3172,166
Dan Brouthers,3170,167
Toby Harrah,3170,168
