Name,Triples,Rank
Sam Crawford,309,1
Ty Cobb,295,2
Honus Wagner,252,3
Jake Beckley,243,4
Roger Connor,233,5
Tris Speaker,222,6
Fred Clarke,220,7
Dan Brouthers,205,8
Joe Kelley,194,9
Paul Waner,191,10
Bid McPhee,188,11
Eddie Collins,187,12
Ed Delahanty,185,13
Sam Rice,184,14
Jesse Burkett,182,15
Edd Roush,182,16
Ed Konetchy,181,17
Buck Ewing,178,18
Rabbit Maranville,177,19
Stan Musial,177,20
Harry Stovey,174,21
Goose Goslin,173,22
Tommy Leach,172,23
Zack Wheat,172,24
Rogers Hornsby,169,25
Joe Jackson,168,26
Roberto Clemente,166,27
Sherry Magee,166,28
Jake Daubert,165,29
Elmer Flick,164,30
George Sisler,164,31
Pie Traynor,164,32
Bill Dahlen,163,33
George Davis,163,34
Lou Gehrig,163,35
Nap Lajoie,163,36
Mike Tiernan,162,37
George Van Haltren,161,38
Harry Hooper,160,39
Heinie Manush,160,40
Sam Thompson,160,41
Max Carey,159,42
Joe Judge,159,43
Ed McKean,158,44
Kiki Cuyler,157,45
Jimmy Ryan,157,46
Tommy Corcoran,155,47
Earle Combs,154,48
Jim Bottomley,151,49
Harry Heilmann,151,50
Kip Selbach,149,51
Al Simmons,149,52
Wally Pipp,148,53
Enos Slaughter,148,54
Bobby Veach,147,55
Willie Wilson,147,56
Charlie Gehringer,146,57
Harry Davis,145,58
Willie Keeler,145,59
Bobby Wallace,143,60
Lou Brock,141,61
Willie Mays,140,62
John Reilly,139,63
Tom Brown,138,64
Willie Davis,138,65
Frankie Frisch,138,66
Jimmy Williams,138,67
George Brett,137,68
Babe Ruth,136,69
Jimmy Sheckard,136,70
Elmer Smith,136,71
Lave Cross,135,72
Pete Rose,135,73
Shano Collins,133,74
Jim O'Rourke,132,75
George Wood,132,76
Brett Butler,131,77
Joe DiMaggio,131,78
Buck Freeman,131,79
Jose Reyes,131,80
Buddy Myer,130,81
Oyster Burns,129,82
Larry Gardner,129,83
Earl Averill,128,84
Arky Vaughan,128,85
Vada Pinson,127,86
Hardy Richardson,126,87
Robin Yount,126,88
Jimmie Foxx,125,89
John Anderson,124,90
Cap Anson,124,91
Hal Chase,124,92
Steve Finley,124,93
Frank Schulte,124,94
Carl Crawford,123,95
Larry Doyle,123,96
Duke Farrell,123,97
Dummy Hoy,121,98
Mickey Vernon,120,99
Hugh Duffy,119,100
Fred Pfeffer,119,101
Joe Cronin,118,102
Chick Stahl,118,103
Lloyd Waner,118,104
Lance Johnson,117,105
Del Pratt,117,106
Curt Walker,117,107
Jimmy Collins,116,108
Kenny Lofton,116,109
Bill Kuehne,115,110
Tony Lazzeri,115,111
Jimmy Rollins,115,112
Henry Larkin,114,113
Paul Molitor,114,114
Gus Suhr,114,115
Joe Tinker,114,116
Chief Wilson,114,117
Jack Fournier,113,118
Joe Medwick,113,119
Tim Raines,113,120
Rod Carew,112,121
Nellie Fox,112,122
Bill Terry,112,123
Sam Wise,112,124
Joe Kuhel,111,125
Babe Herman,110,126
Wally Moses,110,127
Richie Ashburn,109,128
Lu Blue,109,129
Doc Cramer,109,130
Johnny Damon,109,131
Jimmy Wolf,109,132
George Burns,108,133
Mike Griffin,108,134
Charlie Grimm,108,135
Sam Mertes,108,136
Dots Miller,108,137
Dave Orr,108,138
Ben Chapman,107,139
Carl Reynolds,107,140
Bill Joyce,106,141
Les Mann,106,142
Garry Templeton,106,143
Clyde Milan,105,144
John Stone,105,145
Heinie Zimmerman,105,146
Mike Mitchell,104,147
Home Run Baker,103,148
Tom Daly,103,149
Luke Appling,102,150
Bill Bruton,102,151
Duff Cooley,102,152
Jeff Heath,102,153
King Kelly,102,154
Danny Murphy,102,155
Juan Samuel,102,156
Stuffy McInnis,101,157
Sam West,101,158
Cupid Childs,100,159
Dan McGann,100,160
Hy Myers,100,161
Larry Bowa,99,162
Phil Cavarretta,99,163
Jack Tobin,99,164
Hank Aaron,98,165
Andre Dawson,98,166
Jack Glasscock,98,167
Charley Jones,98,168
Bill Phillips,98,169
Mike Donlin,97,170
Herman Long,97,171
Billy Shindle,97,172
Bing Miller,96,173
Joe Morgan,96,174
Red Murray,96,175
Cy Seymour,96,176
Howie Shanks,96,177
Amos Strunk,96,178
Ichiro Suzuki,96,179
Dixie Walker,96,180
John Ward,96,181
Lou Bierbauer,95,182
Hughie Critz,95,183
Curtis Granderson,95,184
Bob Johnson,95,185
Bob Meusel,95,186
Jose Cruz,94,187
Bob Elliott,94,188
George Gore,94,189
Billy Hamilton,94,190
Baby Doll Jacobson,94,191
Willie McGee,94,192
Juan Pierre,94,193
Germany Smith,94,194
George Grantham,93,195
Buddy Lewis,93,196
Irish Meusel,93,197
Ross Youngs,93,198
Luis Aparicio,92,199
Tony Fernandez,92,200
Topsy Hartsel,92,201
Tip O'Neill,92,202
Joe Vosmik,92,203
Walt Wilmot,92,204
Dave Foutz,91,205
Charlie Hickman,91,206
Billy Southworth,91,207
Andy Van Slyke,91,208
Ernie Banks,90,209
Jimmy Dykes,90,210
Joe Hornung,90,211
Wally Schang,90,212
Harry Steinfeldt,90,213
Steve Brodie,89,214
Johnny Callison,89,215
Vince Coleman,89,216
George Cutshaw,89,217
Bobby Doerr,89,218
Hobe Ferris,89,219
Cristian Guzman,89,220
Casey Stengel,89,221
Tommy Dowd,88,222
Dick Hoblitzell,88,223
Hughie Jennings,88,224
Marty McManus,88,225
Jack Rowe,88,226
Billy Williams,88,227
Dave Winfield,88,228
Rube Bressler,87,229
Bruce Campbell,87,230
Heinie Groh,87,231
Omar Moreno,87,232
Billy Nash,87,233
Pop Smith,87,234
Jake Stahl,87,235
Perry Werden,87,236
Dolph Camilli,86,237
Bert Campaneris,86,238
Travis Jackson,86,239
Candy LaChance,86,240
Tony Taylor,86,241
Pete Browning,85,242
Lou Finney,85,243
Ival Goodman,85,244
Tony Gwynn,85,245
Willie Kamm,85,246
Arlie Latham,85,247
Bobby Lowe,85,248
Duke Snider,85,249
Tommy Tucker,85,250
Ned Williamson,85,251
Bill Bradley,84,252
Paul Hines,84,253
John Hummel,84,254
Gavvy Cravath,83,255
Roy Johnson,83,256
Minnie Minoso,83,257
Johnny Mize,83,258
Ginger Beaumont,82,259
Wid Conroy,82,260
Frank Fennelly,82,261
Dexter Fowler,82,262
Phil Garner,82,263
Billy Herman,82,264
Hans Lobert,82,265
Fred Merkle,82,266
Johnny Mostil,82,267
Ray Chapman,81,268
Abner Dalrymple,81,269
Mickey Doolin,81,270
Stan Hack,81,271
Bill Hallman,81,272
Freddie Lindstrom,81,273
Bill Virdon,81,274
Ivey Wingo,81,275
Roberto Alomar,80,276
Pop Corkhill,80,277
Kid Gleason,80,278
Charlie Jamieson,80,279
Don Kessinger,80,280
Bill Lange,80,281
John Morrill,80,282
Pee Wee Reese,80,283
Dick Allen,79,284
Frank Chance,79,285
Ray Durham,79,286
Jack Graney,79,287
Ned Hanlon,79,288
Frank LaPorte,79,289
Deacon McGuire,79,290
Tony Perez,79,291
Jim Rice,79,292
Frank Shugart,79,293
