Name,Strikeouts,Rank
Nolan Ryan,5714,1
Randy Johnson,4875,2
Roger Clemens,4672,3
Steve Carlton,4136,4
Bert Blyleven,3701,5
Tom Seaver,3640,6
Don Sutton,3574,7
Gaylord Perry,3534,8
Walter Johnson,3508,9
Justin Verlander,3463,10
Max Scherzer,3408,11
Greg Maddux,3371,12
Phil Niekro,3342,13
Fergie Jenkins,3192,14
Pedro Martinez,3154,15
Bob Gibson,3117,16
Curt Schilling,3116,17
CC Sabathia,3093,18
John Smoltz,3084,19
Clayton Kershaw,2992,20
Zack Greinke,2979,21
Jim Bunning,2855,22
Mickey Lolich,2832,23
Mike Mussina,2813,24
Cy Young,2803,25
Frank Tanana,2773,26
David Cone,2668,27
Chuck Finley,2610,28
Tom Glavine,2607,29
Warren Spahn,2583,30
Bob Feller,2581,31
Tim Keefe,2564,32
Cole Hamels,2560,33
Jerry Koosman,2556,34
Javier Vazquez,2536,35
Bartolo Colon,2535,36
Chris Sale,2528,37
Felix Hernández,2524,38
A.J. Burnett,2513,39
Christy Mathewson,2502,40
Jon Lester,2488,41
Don Drysdale,2486,42
Jack Morris,2478,43
Mark Langston,2464,44
Jim Kaat,2461,45
Sam McDowell,2453,46
Andy Pettitte,2448,47
Jamie Moyer,2441,48
Luis Tiant,2416,49
Dennis Eckersley,2401,50
Kevin Brown,2397,51
Sandy Koufax,2396,52
Charlie Hough,2362,53
Robin Roberts,2357,54
Early Wynn,2334,55
Rube Waddell,2316,56
Juan Marichal,2303,57
John Lackey,2294,58
Dwight Gooden,2293,59
Lefty Grove,2266,60
Gerrit Cole,2251,61
Eddie Plank,2246,62
Tommy John,2245,63
James Shields,2234,64
Jim Palmer,2212,65
Jake Peavy,2207,66
Adam Wainwright,2202,67
David Wells,2201,68
Grover Alexander,2198,69
Vida Blue,2175,70
Camilo Pascual,2167,71
Tim Wakefield,2156,72
Dennis Martinez,2149,73
Charlie Morton,2121,74
Roy Halladay,2117,75
Kevin Millwood,2083,76
Bobo Newsom,2082,77
Tim Hudson,2080,78
David Price,2076,79
Ryan Dempster,2075,80
Fernando Valenzuela,2074,81
Madison Bumgarner,2070,82
Dazzy Vance,2045,83
Lance Lynn,2015,84
Rick Reuschel,2015,85
Orel Hershiser,2014,86
Dan Haren,2013,87
Catfish Hunter,2012,88
Yu Darvish,2007,89
Andy Benes,2000,90
Billy Pierce,1999,91
Kevin Appier,1994,92
Johan Santana,1988,93
Red Ruffing,1987,94
John Clarkson,1978,95
Ervin Santana,1978,96
Livan Hernandez,1976,97
Al Leiter,1974,98
Bob Welch,1969,99
Kenny Rogers,1968,100
Whitey Ford,1956,101
Bobby Witt,1955,102
Amos Rusie,1950,103
Danny Darwin,1942,104
Tom Gordon,1928,105
Hideo Nomo,1918,106
Jerry Reuss,1907,107
Josh Beckett,1901,108
Barry Zito,1885,109
Mark Buehrle,1870,110
Kid Nichols,1868,111
Gio Gonzalez,1860,112
Johnny Cueto,1857,113
Roy Oswalt,1852,114
Mickey Welch,1850,115
Kevin Gausman,1849,116
Frank Viola,1844,117
Aaron Harang,1842,118
Aaron Nola,1831,119
Old Hoss Radbourn,1830,120
Cliff Lee,1824,121
Francisco Liriano,1815,122
Sonny Gray,1814,123
Randy Wolf,1814,124
Tony Mullane,1803,125
Pud Galvin,1799,126
Hal Newhouser,1796,127
Patrick Corbin,1782,128
Ron Guidry,1778,129
Ian Kennedy,1775,130
Aníbal Sánchez,1774,131
John Burkett,1766,132
José Quintana,1763,133
Rudy May,1760,134
Jason Schmidt,1758,135
Jacob deGrom,1753,136
Joe Niekro,1747,137
Sid Fernandez,1743,138
Zack Wheeler,1743,139
Dave Stewart,1741,140
Tim Lincecum,1736,141
Ed Walsh,1736,142
Tom Candiotti,1735,143
