Name,Games,Rank
Cy Young,749,1
Pud Galvin,639,2
Tim Keefe,554,3
Walter Johnson,531,4
Kid Nichols,531,5
Mickey Welch,525,6
Old Hoss Radbourn,489,7
John Clarkson,485,8
Tony Mullane,468,9
Jim McCormick,466,10
Gus Weyhing,448,11
Grover Alexander,437,12
Christy Mathewson,434,13
Jack Powell,422,14
Eddie Plank,410,15
Will White,394,16
Amos Rusie,393,17
Vic Willis,388,18
Warren Spahn,382,19
Jim Whitney,377,20
Adonis Terry,367,21
Ted Lyons,356,22
George Mullin,353,23
Charlie Buffinton,351,24
Chick Fraser,342,25
Clark Griffith,337,26
Red Ruffing,335,27
Silver King,328,28
Al Orth,324,29
Bill Hutchison,321,30
Burleigh Grimes,314,31
Joe McGinnity,314,32
Red Donahue,313,33
Guy Hecker,312,34
Bill Dinneen,306,35
Robin Roberts,305,36
Gaylord Perry,303,37
Theodore Breitenstein,300,38
Bob Caruthers,298,39
Lefty Grove,298,40
Pink Hawley,297,41
Ed Morris,297,42
Mark Baldwin,295,43
Tommy Bond,294,44
Brickyard Kennedy,293,45
Eppa Rixey,290,46
Early Wynn,290,47
Bill Donovan,289,48
Bobby Mathews,289,49
Bert Cunningham,286,50
Wilbur Cooper,279,51
Bob Feller,279,52
Sadie McMahon,279,53
Jack Stivetts,278,54
Jack Taylor,278,55
Charlie Getzien,277,56
Red Faber,273,57
Mordecai Brown,271,58
Frank Dwyer,270,59
Jouett Meekin,270,60
Fergie Jenkins,267,61
Ice Box Chamberlain,264,62
Matt Kilroy,264,63
Jesse Tannehill,263,64
Doc White,262,65
Rube Waddell,261,66
Jack Chesbro,260,67
Red Ehret,260,68
Carl Hubbell,260,69
Larry Corcoran,256,70
Chief Bender,255,71
Bob Gibson,255,72
Steve Carlton,254,73
Frank Killen,253,74
Paul Derringer,251,75
Win Mercer,251,76
Sad Sam Jones,250,77
Ed Walsh,250,78
Eddie Cicotte,249,79
George Wiedman,249,80
Herb Pennock,247,81
Bobo Newsom,246,82
George Bradley,245,83
Hooks Dauss,245,84
Phil Niekro,245,85
Harry Howell,244,86
Juan Marichal,244,87
John Ward,244,88
Jack Quinn,243,89
Bert Blyleven,242,90
Deacon Phillippe,242,91
Bucky Walters,242,92
Sam Leever,241,93
Kid Gleason,240,94
Addie Joss,234,95
George Uhle,232,96
Carl Mays,231,97
Tom Seaver,231,98
Harry Staley,231,99
Earl Moore,230,100
Wes Ferrell,227,101
Tom Hughes,227,102
Waite Hoyt,226,103
Earl Whitehill,226,104
Bullet Joe Bush,225,105
Toad Ramsey,225,106
Stan Coveleski,224,107
Nig Cuppy,224,108
Nolan Ryan,222,109
Lee Meadows,219,110
Kid Carsey,218,111
Dazzy Vance,216,112
Jack Lynch,215,113
Hippo Vaughn,215,114
Noodles Hahn,212,115
Hal Newhouser,212,116
Jim Palmer,211,117
Frank Kitson,210,118
Red Ames,209,119
Jesse Haines,208,120
John Healy,208,121
Jack Taylor,208,122
Babe Adams,206,123
Dolf Luque,206,124
Case Patten,206,125
Bob Ewing,205,126
Red Lucas,204,127
Dave Foutz,202,128
Tully Sparks,202,129
Henry Porter,201,130
Ed Reulbach,201,131
Willie Sudhoff,201,132
Tommy Bridges,200,133
Urban Shocker,200,134
Howard Ehmke,199,135
Larry French,198,136
Scott Stratton,198,137
Hardie Henderson,197,138
Rube Marquard,197,139
Bob Shawkey,197,140
Dupee Shaw,196,141
Mickey Lolich,195,142
Jeff Pfeffer,194,143
Billy Pierce,193,144
Dutch Leonard,192,145
Lon Warneke,192,146
Jersey Bakley,191,147
Ad Gumbert,191,148
Henry Boyle,189,149
Slim Sallee,189,150
Bob Lemon,188,151
Claude Passeau,188,152
Billy Rhines,188,153
Jack Coombs,187,154
Togie Pittinger,187,155
Luis Tiant,187,156
Freddie Fitzsimmons,186,157
Nap Rucker,186,158
Tom Zachary,186,159
Ray Caldwell,184,160
Claude Hendrix,184,161
Frank Smith,184,162
Dan Casey,182,163
Bill Lee,182,164
Art Nehf,182,165
Mel Harder,181,166
Catfish Hunter,181,167
Jesse Barnes,180,168
Cy Falkenberg,180,169
Jim Kaat,180,170
Lefty Tyler,179,171
Don Sutton,178,172
Jumbo McGinnis,177,173
Hank O'Day,177,174
Charlie Root,177,175
Bill Bernhard,175,176
Jack Morris,175,177
Barney Pelty,175,178
Fred Goldsmith,174,179
Lefty Gomez,173,180
Mike Cuellar,172,181
Terry Larkin,172,182
Dick Rudolph,172,183
Jimmy Callahan,169,184
Frank Foreman,169,185
Don Drysdale,167,186
Charlie Ferguson,165,187
Ed Lopat,164,188
Bob Friend,163,189
Curt Simmons,163,190
Bill Doak,162,191
Bill Hart,162,192
Tommy John,162,193
Lee Richmond,161,194
George Haddock,160,195
Dummy Taylor,160,196
Ed Seward,159,197
Bill Sherdel,159,198
Lew Burdette,158,199
Bill Duggleby,158,200
Danny MacFayden,158,201
Ed Stein,158,202
Fred Toney,158,203
Dizzy Trout,158,204
Hugh Daily,157,205
Bob Groom,157,206
Whitey Ford,156,207
George Hemming,156,208
Jim Tobin,156,209
Willis Hudlin,155,210
Thornton Lee,155,211
Dutch Ruether,155,212
Dizzy Dean,154,213
Bob Rhoads,154,214
Jimmy Ring,154,215
Hooks Wiltse,154,216
Ned Garver,153,217
Duke Esper,152,218
Dutch Leonard,152,219
Mel Stottlemyre,152,220
Jim Bunning,151,221
Guy Bush,151,222
Ed Brandt,150,223
Alvin Crowder,150,224
Murry Dickson,149,225
Larry Jackson,149,226
Ed Killian,149,227
Eddie Rommel,147,228
Ed Crane,146,229
Lee Viau,146,230
George Winter,146,231
Rube Benton,145,232
Clarence Mitchell,145,233
Ben Sanders,144,234
Vida Blue,143,235
Bob Harmon,143,236
Al Maul,143,237
Frank Tanana,143,238
Jake Weimer,143,239
Sherry Smith,142,240
Sam Weaver,142,241
Ed Willett,142,242
Bob Barr,141,243
Curt Davis,141,244
Ed Doheny,141,245
Phil Knell,141,246
Earl Hamilton,140,247
Jerry Koosman,140,248
Harry McIntire,140,249
Claude Osteen,140,250
Johnny Sain,140,251
