Name,Games,Rank
Cy Young,316,1
Pud Galvin,308,2
Nolan Ryan,292,3
Walter Johnson,279,4
Phil Niekro,274,5
Gaylord Perry,265,6
Don Sutton,256,7
Jack Powell,254,8
Eppa Rixey,251,9
Bert Blyleven,250,10
Robin Roberts,245,11
Warren Spahn,245,12
Steve Carlton,244,13
Early Wynn,244,14
Jim Kaat,237,15
Frank Tanana,236,16
Gus Weyhing,232,17
Tommy John,231,18
Bob Friend,230,19
Ted Lyons,230,20
Greg Maddux,227,21
Fergie Jenkins,226,22
Tim Keefe,225,23
Red Ruffing,225,24
Bobo Newsom,222,25
Tony Mullane,220,26
Jack Quinn,218,27
Sad Sam Jones,217,28
Charlie Hough,216,29
Jim McCormick,214,30
Red Faber,213,31
Paul Derringer,212,32
Chick Fraser,212,33
Burleigh Grimes,212,34
Mickey Welch,210,35
Jerry Koosman,209,36
Jamie Moyer,209,37
Grover Alexander,208,38
Kid Nichols,208,39
Tom Seaver,205,40
Vic Willis,205,41
Joe Niekro,204,42
Jim Whitney,204,43
Tom Glavine,203,44
George Mullin,196,45
Adonis Terry,196,46
Claude Osteen,195,47
Old Hoss Radbourn,195,48
Eddie Plank,194,49
Dennis Martinez,193,50
Mickey Lolich,191,51
Rick Reuschel,191,52
Jerry Reuss,191,53
Tom Zachary,191,54
Al Orth,189,55
Bartolo Colon,188,56
Christy Mathewson,188,57
Mel Harder,186,58
Mike Morgan,186,59
Jack Morris,186,60
Earl Whitehill,185,61
Jim Bunning,184,62
Roger Clemens,184,63
Bullet Joe Bush,183,64
Larry Jackson,183,65
Curt Simmons,183,66
Danny Darwin,182,67
Hooks Dauss,182,68
Waite Hoyt,182,69
Murry Dickson,181,70
Dutch Leonard,181,71
Rick Wise,181,72
Lee Meadows,180,73
Tim Wakefield,180,74
Pink Hawley,179,75
Dolf Luque,179,76
John Clarkson,178,77
Wilbur Cooper,178,78
Bill Dinneen,177,79
Livan Hernandez,177,80
Rube Marquard,177,81
Mike Moore,176,82
Red Donahue,175,83
Tom Hughes,175,84
Doyle Alexander,174,85
Bob Gibson,174,86
Jim Perry,174,87
Amos Rusie,174,88
Chuck Finley,173,89
Luis Tiant,172,90
Dennis Eckersley,171,91
Larry French,171,92
Theodore Breitenstein,170,93
Camilo Pascual,170,94
Billy Pierce,169,95
Red Ames,167,96
Jim Clancy,167,97
Bert Cunningham,167,98
Red Ehret,167,99
Don Drysdale,166,100
Howard Ehmke,166,101
Catfish Hunter,166,102
Randy Johnson,166,103
George Uhle,166,104
Will White,166,105
