Name,HBP,Rank
Gus Weyhing,277,1
Chick Fraser,219,2
Pink Hawley,210,3
Walter Johnson,205,4
Eddie Plank,196,5
Charlie Morton,191,6
Randy Johnson,190,7
Tim Wakefield,186,8
Joe McGinnity,182,9
Charlie Hough,174,10
Jim Bunning,160,11
Roger Clemens,159,12
Nolan Ryan,158,13
Cy Young,157,14
Vic Willis,156,15
Bert Blyleven,155,16
Jamey Wright,155,17
Don Drysdale,154,18
Silver King,154,19
Jamie Moyer,146,20
A.J. Burnett,143,21
Ed Doheny,141,22
Pedro Martinez,141,23
Kevin Brown,139,24
Chan Ho Park,138,25
Howard Ehmke,137,26
Greg Maddux,137,27
Phil Knell,136,28
John Lackey,133,29
Kid Nichols,133,30
George Mullin,131,31
Jesse Tannehill,130,32
Dave Stieb,129,33
Frank Tanana,129,34
Kenny Rogers,127,35
Chris Sale,126,36
Tim Hudson,124,37
Jeff Weaver,124,38
Mark Baldwin,123,39
Phil Niekro,123,40
CC Sabathia,123,41
Jim Kaat,122,42
Dennis Martinez,122,43
Hooks Dauss,121,44
Johnny Cueto,120,45
Doc White,119,46
Orel Hershiser,117,47
Darryl Kile,117,48
Al Leiter,117,49
Rube Waddell,117,50
Justin Verlander,116,51
Jack Warhop,114,52
Jack Chesbro,113,53
George Uhle,113,54
Amos Rusie,112,55
Max Scherzer,112,56
Aaron Sele,112,57
Pedro Astacio,111,58
Vicente Padilla,109,59
Gaylord Perry,108,60
Barney Pelty,107,61
Ed Reulbach,107,62
David Cone,106,63
Earl Moore,106,64
Jack Powell,106,65
Ed Willett,106,66
Bronson Arroyo,105,67
Felix Hernández,105,68
Jim Lonborg,105,69
Jeff Pfeffer,105,70
Tom Hughes,104,71
Ervin Santana,104,72
Scott Erickson,103,73
Red Faber,103,74
Randy Wolf,103,75
Chief Bender,102,76
Bob Gibson,102,77
Clark Griffith,102,78
Carlos Zambrano,102,79
Earl Whitehill,101,80
Wilbur Cooper,100,81
Cole Hamels,100,82
Kerry Wood,99,83
Jack Billingham,98,84
Don Cardwell,98,85
Tommy John,98,86
Burleigh Grimes,97,87
Harry Howell,97,88
Frank Lary,97,89
James Shields,97,90
Barry Zito,97,91
Tim Keefe,96,92
Harry McIntire,96,93
Darren Oliver,96,94
Togie Pittinger,96,95
Julian Tavarez,96,96
Rube Benton,95,97
José Berríos,95,98
Cy Morgan,95,99
Matt Clement,94,100
Jack Quinn,94,101
Jeff Suppan,94,102
Justin Masterson,93,103
Mickey Lolich,92,104
Win Mercer,92,105
Jack Taylor,92,106
Ryan Dempster,91,107
Bill Donovan,91,108
John Burkett,90,109
Joe Coleman,90,110
R.A. Dickey,90,111
Sam Leever,90,112
Jon Lester,90,113
Lee Meadows,90,114
Chris Bassitt,89,115
Madison Bumgarner,89,116
Lance Lynn,89,117
Carl Mays,89,118
Jack Coombs,88,119
Jeremy Guthrie,88,120
Jason Marquis,88,121
Jakie May,88,122
Oliver Pérez,88,123
Rick Reuschel,88,124
Tully Sparks,88,125
Javier Vazquez,88,126
Mike Boddicker,87,127
Kyle Lohse,87,128
Jimmy Callahan,86,129
Tommy Byrne,85,130
Tom Candiotti,85,131
Lefty Leifield,85,132
Hippo Vaughn,85,133
Bill Duggleby,84,134
Fergie Jenkins,84,135
Ian Kennedy,84,136
Carl Pavano,84,137
Rick Porcello,84,138
Cy Seymour,84,139
Otto Hess,83,140
Todd Stottlemyre,83,141
David Wells,83,142
Roberto Hernandez,82,143
Frank Kitson,82,144
Tony Mullane,82,145
Don Sutton,82,146
Danny Darwin,81,147
Roy Halladay,81,148
Rich Hill,81,149
Mike Pelfrey,81,150
Adam Wainwright,81,151
Dave Bush,80,152
Byung-Hyun Kim,80,153
Omar Olivares,80,154
Roy Oswalt,80,155
Jim Perry,80,156
Wiley Piatt,80,157
Willie Sudhoff,80,158
Kevin Appier,79,159
Miguel Batista,79,160
Mark Buehrle,79,161
Red Donahue,79,162
Zack Greinke,79,163
Kevin Gross,79,164
Al Orth,79,165
Charlie Root,79,166
Bob Welch,79,167
Dwight Gooden,78,168
Livan Hernandez,78,169
Ubaldo Jimenez,78,170
Derek Lowe,78,171
Jake Peavy,78,172
Yu Darvish,77,173
Bill Dinneen,77,174
Paul Maholm,77,175
Joe Musgrove,77,176
Hank O'Day,77,177
Dazzy Vance,77,178
Josh Beckett,76,179
Rip Collins,76,180
Chuck Finley,76,181
George Mogridge,76,182
Eppa Rixey,76,183
Tom Seaver,76,184
Edinson Volquez,76,185
C.J. Wilson,76,186
Dennis Eckersley,75,187
Mark Leiter,75,188
Esteban Loaiza,75,189
Willie Mitchell,75,190
Case Patten,75,191
Kevin Millwood,74,192
Matt Morris,74,193
Milt Wilcox,74,194
Mike Morgan,73,195
Nap Rucker,73,196
Mike Smithson,73,197
Jake Weimer,73,198
Alex Wood,73,199
Chris Carpenter,72,200
Doug Fister,72,201
Ed Killian,72,202
Dave McNally,72,203
Milt Pappas,72,204
Dummy Taylor,72,205
Woody Williams,72,206
Bill Carrick,71,207
Ned Garvin,71,208
Jason Hammel,71,209
Guy Hecker,71,210
Jerry Koosman,71,211
Bob Purkey,71,212
Julio Teheran,71,213
Stan Williams,71,214
Grover Alexander,70,215
Ray Culp,70,216
Earl Hamilton,70,217
Johnny Klippstein,70,218
Terry Mulholland,70,219
Joe Nuxhall,70,220
Kip Wells,70,221
Zack Wheeler,70,222
Cy Falkenberg,69,223
Ivan Nova,69,224
Ramon Ortiz,69,225
Woodie Fryman,68,226
Kyle Gibson,68,227
Steve Gromek,68,228
Kyle Hendricks,68,229
Larry Jackson,68,230
Sad Sam Jones,68,231
Scott Kazmir,68,232
Bruce Kison,68,233
Mike Leake,68,234
Dutch Leonard,68,235
Doc Newton,68,236
Pedro Ramos,68,237
Ron Villone,68,238
Jake Westbrook,68,239
Will White,68,240
Rolando Arrojo,67,241
Freddy Garcia,67,242
Dan Haren,67,243
Orlando Hernandez,67,244
