Name,Runs Allowed,Rank
Cy Young,2994,1
Gus Weyhing,2788,2
Pud Galvin,2589,3
Mickey Welch,2556,4
Kid Nichols,2477,5
Tim Keefe,2469,6
John Clarkson,2376,7
Phil Niekro,2337,8
Tony Mullane,2311,9
Old Hoss Radbourn,2275,10
Nolan Ryan,2178,11
Steve Carlton,2130,12
Gaylord Perry,2128,13
Red Ruffing,2117,14
Adonis Terry,2109,15
Don Sutton,2104,16
Jamie Moyer,2076,17
Amos Rusie,2068,18
Ted Lyons,2056,19
Burleigh Grimes,2048,20
Jim Kaat,2038,21
Early Wynn,2037,22
Bert Blyleven,2029,23
Jim Whitney,2026,24
Earl Whitehill,2018,25
Tommy John,2017,26
Warren Spahn,2016,27
Sad Sam Jones,2007,28
Chick Fraser,1995,29
Eppa Rixey,1986,30
Greg Maddux,1981,31
Robin Roberts,1962,32
Pink Hawley,1927,33
Frank Tanana,1910,34
Bobo Newsom,1908,35
Walter Johnson,1902,36
Tom Glavine,1900,37
Roger Clemens,1885,38
Jim McCormick,1878,39
Bill Hutchison,1872,40
Brickyard Kennedy,1859,41
Fergie Jenkins,1853,42
Clark Griffith,1852,43
Grover Alexander,1851,44
Will White,1844,45
Jack Stivetts,1836,46
Dennis Martinez,1835,47
Jack Quinn,1835,48
Charlie Buffinton,1824,49
Mark Baldwin,1816,50
Jack Morris,1815,51
Red Faber,1813,52
Charlie Hough,1807,53
Silver King,1805,54
Jack Powell,1794,55
Tim Wakefield,1791,56
Waite Hoyt,1780,57
Bobby Mathews,1758,58
Bert Cunningham,1757,59
Win Mercer,1744,60
Kenny Rogers,1739,61
Guy Hecker,1726,62
Frank Dwyer,1724,63
Bartolo Colon,1719,64
Mel Harder,1714,65
Jouett Meekin,1704,66
Al Orth,1704,67
Randy Johnson,1703,68
David Wells,1702,69
Jerry Reuss,1700,70
Herb Pennock,1692,71
Livan Hernandez,1686,72
Tom Seaver,1674,73
Red Ehret,1658,74
Paul Derringer,1652,75
Bob Friend,1652,76
George Mullin,1636,77
George Uhle,1635,78
Vic Willis,1628,79
CC Sabathia,1623,80
Joe Niekro,1620,81
Christy Mathewson,1616,82
Bump Hadley,1609,83
Jerry Koosman,1608,84
Hooks Dauss,1599,85
Lefty Grove,1594,86
Andy Pettitte,1572,87
Frank Killen,1571,88
Eddie Plank,1569,89
Mike Mussina,1559,90
Bob Feller,1557,91
Jesse Haines,1556,92
Tom Zachary,1552,93
Curt Simmons,1551,94
Mark Buehrle,1542,95
Doyle Alexander,1541,96
Matt Kilroy,1539,97
Mickey Lolich,1537,98
George Wiedman,1536,99
Kid Carsey,1529,100
Jim Bunning,1527,101
Mike Moore,1516,102
Chuck Finley,1512,103
Freddie Fitzsimmons,1505,104
Mike Torrez,1501,105
Rick Reuschel,1494,106
Willis Hudlin,1491,107
Lee Meadows,1491,108
Charlie Getzien,1468,109
Charlie Root,1467,110
Rick Wise,1455,111
Jeff Suppan,1451,112
Bobby Witt,1449,113
Bullet Joe Bush,1443,114
Rube Marquard,1443,115
Larry French,1440,116
Mark Langston,1438,117
Joe McGinnity,1438,118
Claude Osteen,1435,119
Dutch Leonard,1432,120
Danny Darwin,1431,121
Murry Dickson,1431,122
Mike Morgan,1431,123
Javier Vazquez,1431,124
Howard Ehmke,1425,125
Rube Walberg,1423,126
Bob Gibson,1420,127
Dolf Luque,1412,128
Bill Dinneen,1411,129
Zack Greinke,1410,130
Jim Perry,1407,131
Wilbur Cooper,1406,132
Larry Jackson,1405,133
Lew Burdette,1400,134
Luis Tiant,1400,135
Terry Mulholland,1396,136
Danny MacFayden,1395,137
Jim Palmer,1395,138
George Bradley,1392,139
John Smoltz,1391,140
Justin Verlander,1385,141
Dennis Eckersley,1382,142
Wes Ferrell,1382,143
Carl Hubbell,1380,144
Catfish Hunter,1380,145
John Burkett,1374,146
Toad Ramsey,1373,147
Guy Bush,1369,148
Orel Hershiser,1366,149
Vida Blue,1357,150
Kevin Brown,1357,151
Kevin Millwood,1357,152
John Lackey,1347,153
Ad Gumbert,1346,154
Bucky Walters,1343,155
Tommy Bond,1339,156
Jim Slaton,1335,157
Camilo Pascual,1334,158
Derek Lowe,1333,159
Milt Pappas,1331,160
Juan Marichal,1329,161
A.J. Burnett,1328,162
Kyle Lohse,1327,163
Steve Trachsel,1327,164
Jimmy Ring,1326,165
Bill Sherdel,1326,166
Billy Pierce,1325,167
Rick Sutcliffe,1324,168
Tommy Bridges,1321,169
Bob Forsch,1319,170
Tim Hudson,1319,171
Curt Schilling,1318,172
Red Ames,1311,173
Bob Welch,1310,174
Scott Erickson,1306,175
