Name,Games,Rank
Mariano Rivera,652,1
Trevor Hoffman,601,2
Lee Smith,478,3
Kenley Jansen,462,4
Craig Kimbrel,440,5
Francisco Rodriguez,437,6
John Franco,424,7
Billy Wagner,422,8
Dennis Eckersley,390,9
Joe Nathan,377,10
Jonathan Papelbon,368,11
Jeff Reardon,367,12
Troy Percival,358,13
Aroldis Chapman,349,14
Randy Myers,347,15
Rollie Fingers,341,16
John Wetteland,330,17
Francisco Cordero,329,18
Fernando Rodney,327,19
Roberto Hernandez,326,20
Huston Street,324,21
Jose Mesa,321,22
Todd Jones,319,23
Rick Aguilera,318,24
Robb Nen,314,25
Tom Henke,311,26
Rich Gossage,310,27
Jeff Montgomery,304,28
Doug Jones,303,29
Jason Isringhausen,300,30
Bruce Sutter,300,31
Armando Benitez,289,32
Jose Valverde,288,33
Rod Beck,286,34
Bob Wickman,267,35
Mark Melancon,262,36
Todd Worrell,256,37
Dave Righetti,252,38
Dan Quisenberry,244,39
Edwin Díaz,240,40
Sparky Lyle,238,41
Ugueth Urbina,237,42
Raisel Iglesias,232,43
Joakim Soria,229,44
Hoyt Wilhelm,227,45
Brad Lidge,225,46
Greg Holland,220,47
Gene Garber,218,48
Josh Hader,218,49
Gregg Olson,217,50
Dave Smith,216,51
Rafael Soriano,207,52
Brian Fuentes,204,53
Jeff Shaw,203,54
Bobby Thigpen,201,55
Roy Face,193,56
Mike Henneman,193,57
Mitch Williams,192,58
Keith Foulke,191,59
J.J. Putz,189,60
Mike Marshall,188,61
Eric Gagne,187,62
Eddie Guardado,187,63
Jeff Russell,186,64
Steve Bedrosian,184,65
Kent Tekulve,184,66
Danny Graves,182,67
Tug McGraw,180,68
Ron Perranoski,179,69
Jim Johnson,178,70
Kevin Gregg,177,71
Bryan Harvey,177,72
David Robertson,177,73
Emmanuel Clase,176,74
Jeff Brantley,172,75
Bobby Jenks,172,76
Lindy McDaniel,172,77
Brian Wilson,172,78
Heath Bell,168,79
Billy Koch,163,80
Alex Colomé,159,81
Roger McDowell,159,82
Tom Gordon,158,83
Dan Plesac,158,84
Jay Howell,155,85
Roberto Osuna,155,86
Zack Britton,154,87
Stu Miller,154,88
John Smoltz,154,89
Cody Allen,153,90
Don McMahon,153,91
Greg Minton,150,92
Ted Abernathy,148,93
Willie Hernandez,147,94
Dave Giusti,145,95
John Axford,144,96
Santiago Casilla,144,97
Jesse Orosco,144,98
Mike Williams,144,99
Clay Carroll,143,100
Darold Knowles,143,101
Michael Jackson,142,102
Wade Davis,141,103
Mike Timlin,141,104
Matt Capps,138,105
Sergio Romo,137,106
Gary Lavelle,136,107
Steve Cishek,133,108
Chris Perez,133,109
Jim Brewer,132,110
Steve Farr,132,111
Brad Hand,132,112
Trevor Rosenthal,132,113
Bob Stanley,132,114
Joe Borowski,131,115
Ron Davis,130,116
Antonio Alfonseca,129,117
Kazuhiro Sasaki,129,118
Chad Cordero,128,119
Jeurys Familia,127,120
Terry Forster,127,121
LaTroy Hawkins,127,122
Bill Campbell,126,123
Dave LaRoche,126,124
Mel Rojas,126,125
John Hiller,125,126
Addison Reed,125,127
Jack Aker,123,128
Dick Radatz,122,129
Duane Ward,121,130
Glen Perkins,120,131
Mark Wohlers,119,132
Jonathan Broxton,118,133
Carlos Marmol,117,134
Ryan Pressly,117,135
B.J. Ryan,117,136
Ricky Bottalico,116,137
Liam Hendriks,116,138
Ken Giles,115,139
Tippy Martinez,115,140
Danys Baez,114,141
Will Smith,114,142
Jordan Romano,113,143
Sean Doolittle,111,144
Frank Linzy,111,145
Jose Jimenez,110,146
Al Worthington,110,147
Octavio Dotel,109,148
Fred Gladding,109,149
Wayne Granger,108,150
Ron Kline,108,151
Neftalí Feliz,107,152
Johnny Murphy,107,153
Héctor Neris,107,154
Bill Caudill,106,155
Kyle Finnegan,106,156
Brad Ziegler,105,157
Camilo Doval,104,158
Carlos Estévez,104,159
Braden Looper,103,160
Ron Reed,103,161
John Wyatt,103,162
Tom Burgmeier,102,163
Tim Burke,102,164
Ellis Kinder,102,165
Craig Lefferts,101,166
Firpo Marberry,101,167
Mike Fetters,100,168
Joel Hanrahan,100,169
Billy Taylor,100,170
Joe Hoerner,99,171
Jorge Julio,99,172
AJ Ramos,99,173
Drew Storen,99,174
Ryan Helsley,98,175
Mike Schooler,98,176
Heathcliff Slocumb,98,177
Norm Charlton,97,178
Al Hrabosky,97,179
Tom Niedenfuer,97,180
Kirby Yates,97,181
Mark Davis,96,182
Clem Labine,96,183
Randy Moffitt,96,184
Andrew Bailey,95,185
Bob Locker,95,186
Koji Uehara,95,187
Dave Veres,95,188
David Bednar,94,189
Aurelio Lopez,93,190
Matt Mantei,93,191
Juan Oviedo,93,192
Tom Hume,92,193
Phil Regan,92,194
Hector Rondon,92,195
Jim Gott,91,196
Steve Howe,91,197
Ryan Madson,91,198
Bill Henry,90,199
Casey Janssen,90,200
Rob Dibble,89,201
Donnie Moore,89,202
Felipe Vázquez,89,203
Jim Kern,88,204
John Rocker,88,205
Ryan Dempster,87,206
Byung-Hyun Kim,86,207
Derek Lowe,86,208
Ken Sanders,86,209
Cecil Upshaw,86,210
Paul Sewald,85,211
Grant Balfour,84,212
Brad Boxberger,84,213
Ryan Franklin,84,214
Takashi Saito,84,215
Joe Sambito,84,216
Mike Stanton,84,217
Mark Clear,83,218
Turk Farrell,83,219
Claude Raymond,83,220
Taylor Rogers,83,221
Elias Sosa,83,222
Don Aase,82,223
Doug Henry,82,224
Larry Sherry,82,225
Blake Treinen,82,226
Doug Bair,81,227
Eddie Fisher,81,228
Pedro Borbon,80,229
Eddie Watt,80,230
Stan Belinda,79,231
Jason Grilli,79,232
Grant Jackson,79,233
Brandon Lyon,79,234
Jake McGee,79,235
Al Holland,78,236
Devin Williams,78,237
Pete Fairbanks,76,238
Joe Page,76,239
Tim Stoddard,76,240
Neil Allen,75,241
Rafael Betancourt,75,242
Alexis Díaz,75,243
Ed Farmer,75,244
David Weathers,75,245
Tyler Clippard,74,246
Clay Holmes,74,247
Jim Konstanty,74,248
Brandon League,74,249
Alejandro Pena,74,250
Chad Qualls,74,251
Frank Francisco,73,252
Ernesto Frieri,73,253
Bob James,73,254
Dan Kolb,73,255
Turk Lown,73,256
Corey Knebel,72,257
Ron Taylor,72,258
Mike MacDougal,71,259
Diego Segui,71,260
Tim Worrell,71,261
Ted Power,70,262
Tanner Scott,70,263
David Aardsma,69,264
Jhoan Duran,68,265
Rawly Eastwick,68,266
Dick Hall,68,267
Skip Lockwood,68,268
Tom Wilhelmsen,68,269
Jim Brosnan,67,270
Daniel Bard,66,271
Al Benton,66,272
Doug Corbett,66,273
Luke Gregerson,66,274
Bob Howry,66,275
Ian Kennedy,66,276
Johnny Klippstein,66,277
Derrick Turnbow,65,278
Félix Bautista,64,279
Clint Brown,64,280
Paul Lindblad,64,281
Tom Morgan,64,282
Don Stanhouse,64,283
Don Elston,63,284
Joe Heving,63,285
Bob Lee,63,286
